Florida Gulf Coast,57,Florida,526
time,team_id,description,h_score,a_score
19:39,526,Christian Terrell Turnover.,0,0
19:39,57,KeVaughn Allen Steal.,0,0
19:39,526,Foul on Zach Johnson.,0,0
19:25,57,KeVaughn Allen missed Three Point Jumper.,0,0
19:25,526,Florida Gulf Coast Defensive Rebound.,0,0
18:53,526,Brandon Goodwin made Jumper.,2,0
18:42,57,Devin Robinson made Three Point Jumper. Assisted by Kasey Hill.,2,3
18:31,526,RaySean Scott Jr. missed Three Point Jumper.,2,3
18:31,57,KeVaughn Allen Defensive Rebound.,2,3
18:25,57,Devin Robinson missed Layup.,2,3
18:25,57,John Egbunu Offensive Rebound.,2,3
18:21,57,John Egbunu missed Jumper.,2,3
18:21,57,Devin Robinson Offensive Rebound.,2,3
18:18,526,Reggie Reid Turnover.,2,3
18:06,526,Zach Johnson missed Three Point Jumper.,2,3
18:06,57,Kasey Hill Defensive Rebound.,2,3
17:57,57,Devin Robinson made Three Point Jumper. Assisted by KeVaughn Allen.,2,6
17:33,526,Zach Johnson missed Three Point Jumper.,2,6
17:33,526,Christian Terrell Offensive Rebound.,2,6
17:29,526,Christian Terrell made Layup.,4,6
17:17,57,Justin Leon missed Jumper.,4,6
17:17,526,Demetris Morant Defensive Rebound.,4,6
17:04,526,Christian Terrell Turnover.,4,6
17:03,57,Devin Robinson Steal.,4,6
16:59,57,John Egbunu made Dunk. Assisted by Kasey Hill.,4,8
16:13,526,Brandon Goodwin made Three Point Jumper. Assisted by Zach Johnson.,7,8
16:04,57,Kasey Hill made Layup.,7,10
15:48,526,Brandon Goodwin missed Jumper.,7,10
15:48,57,John Egbunu Defensive Rebound.,7,10
15:46,526,Foul on Kevin Mickle.,7,10
15:46,57,Official TV Timeout,7,10
15:25,57,Chris Chiozza made Layup. Assisted by Kevarrius Hayes.,7,12
15:25,526,Foul on Zach Johnson.,7,12
15:25,57,Chris Chiozza missed Free Throw.,7,12
15:25,526,Rayjon Tucker Defensive Rebound.,7,12
15:07,526,Antravious Simmons made Layup. Assisted by Reggie Reid.,9,12
14:52,57,Canyon Barry missed Jumper.,9,12
14:52,526,Kevin Mickle Defensive Rebound.,9,12
14:35,526,Antravious Simmons missed Jumper.,9,12
14:35,57,Kevarrius Hayes Block.,9,12
14:33,57,Kevarrius Hayes Defensive Rebound.,9,12
14:27,57,Canyon Barry missed Three Point Jumper.,9,12
14:27,526,Reggie Reid Defensive Rebound.,9,12
13:59,526,Reggie Reid missed Three Point Jumper.,9,12
13:59,526,Antravious Simmons Offensive Rebound.,9,12
13:53,526,Antravious Simmons missed Layup.,9,12
13:53,526,Florida Gulf Coast Offensive Rebound.,9,12
13:53,57,Foul on Kevarrius Hayes.,9,12
13:44,526,Christian Terrell made Jumper.,11,12
13:33,57,Kasey Hill Turnover.,11,12
13:04,526,Rayjon Tucker missed Layup.,11,12
13:04,57,Canyon Barry Defensive Rebound.,11,12
12:52,57,Canyon Barry made Layup.,11,14
12:35,526,Reggie Reid Turnover.,11,14
12:34,57,Kasey Hill Steal.,11,14
12:31,57,Justin Leon missed Jumper.,11,14
12:31,57,John Egbunu Offensive Rebound.,11,14
12:27,57,John Egbunu made Dunk.,11,16
12:16,526,Brandon Goodwin missed Layup.,11,16
12:16,526,Brandon Goodwin Offensive Rebound.,11,16
11:52,526,Reggie Reid made Three Point Jumper. Assisted by Demetris Morant.,14,16
11:42,526,Foul on Rayjon Tucker.,14,16
11:42,57,Official TV Timeout,14,16
11:30,57,Keith Stone missed Layup.,14,16
11:30,526,RaySean Scott Jr. Defensive Rebound.,14,16
11:16,526,Rayjon Tucker made Three Point Jumper. Assisted by RaySean Scott Jr..,17,16
10:52,57,Keith Stone missed Jumper.,17,16
10:52,526,Demetris Morant Defensive Rebound.,17,16
10:37,526,Brandon Goodwin made Three Point Jumper. Assisted by Rayjon Tucker.,20,16
10:35,57,Florida  Timeout,20,16
10:16,57,John Egbunu made Jumper.,20,18
9:47,526,Brandon Goodwin made Jumper.,22,18
9:34,526,Foul on Brandon Goodwin.,22,18
9:32,57,Justin Leon made Layup. Assisted by Kasey Hill.,22,20
9:03,526,Christian Terrell made Jumper.,24,20
8:51,57,John Egbunu missed Jumper.,24,20
8:51,526,Demetris Morant Block.,24,20
8:49,526,RaySean Scott Jr. Defensive Rebound.,24,20
8:45,57,Foul on Justin Leon.,24,20
8:40,526,Christian Terrell missed Jumper.,24,20
8:40,57,Justin Leon Defensive Rebound.,24,20
8:14,57,KeVaughn Allen missed Layup.,24,20
8:14,57,Kevarrius Hayes Offensive Rebound.,24,20
8:10,526,Foul on Kevin Mickle.,24,20
8:10,57,Kevarrius Hayes made Free Throw.,24,21
8:10,57,Kevarrius Hayes made Free Throw.,24,22
7:58,526,Reggie Reid missed Layup.,24,22
7:58,526,Florida Gulf Coast Offensive Rebound.,24,22
7:58,57,Official TV Timeout,24,22
7:57,526,Antravious Simmons made Three Point Jumper. Assisted by Reggie Reid.,27,22
7:41,57,Chris Chiozza missed Three Point Jumper.,27,22
7:41,57,KeVaughn Allen Offensive Rebound.,27,22
7:27,57,KeVaughn Allen made Jumper.,27,24
7:07,526,Christian Terrell missed Three Point Jumper.,27,24
7:07,57,Kevarrius Hayes Defensive Rebound.,27,24
6:56,57,Justin Leon missed Layup.,27,24
6:56,526,Antravious Simmons Block.,27,24
6:56,57,Florida Offensive Rebound.,27,24
6:56,526,Foul on Demetris Morant.,27,24
6:56,57,KeVaughn Allen made Free Throw.,27,25
6:56,57,KeVaughn Allen made Free Throw.,27,26
6:38,526,Reggie Reid missed Layup.,27,26
6:38,57,John Egbunu Block.,27,26
6:36,526,Florida Gulf Coast Offensive Rebound.,27,26
6:33,526,Brandon Goodwin missed Three Point Jumper.,27,26
6:33,57,Devin Robinson Defensive Rebound.,27,26
6:13,57,John Egbunu made Jumper.,27,28
6:04,57,Foul on Chris Chiozza.,27,28
5:42,526,Christian Terrell Turnover.,27,28
5:41,57,Chris Chiozza Steal.,27,28
5:38,57,Chris Chiozza missed Layup.,27,28
5:38,57,John Egbunu Offensive Rebound.,27,28
5:22,526,Foul on Brandon Goodwin.,27,28
5:22,57,Canyon Barry made Free Throw.,27,29
5:22,57,Canyon Barry missed Free Throw.,27,29
5:22,526,Demetris Morant Defensive Rebound.,27,29
5:12,526,Reggie Reid made Jumper.,29,29
4:45,57,Canyon Barry missed Jumper.,29,29
4:45,57,John Egbunu Offensive Rebound.,29,29
4:39,57,Canyon Barry missed Three Point Jumper.,29,29
4:39,57,Keith Stone Offensive Rebound.,29,29
4:35,57,Keith Stone Turnover.,29,29
4:34,526,Reggie Reid Steal.,29,29
4:30,526,Reggie Reid missed Layup.,29,29
4:30,526,Demetris Morant Offensive Rebound.,29,29
4:25,526,Demetris Morant Turnover.,29,29
4:22,57,Canyon Barry missed Two Point Tip Shot.,29,29
4:22,526,Florida Gulf Coast Defensive Rebound.,29,29
4:10,526,Christian Terrell Turnover.,29,29
4:10,57,Foul on Keith Stone.,29,29
3:52,526,Rayjon Tucker made Layup.,31,29
3:52,526,Foul on Antravious Simmons.,31,29
3:45,57,Official TV Timeout,31,29
3:45,57,Canyon Barry missed Free Throw.,31,29
3:45,57,Florida Deadball Team Rebound.,31,29
3:45,57,Canyon Barry missed Free Throw.,31,29
3:45,526,Demetris Morant Defensive Rebound.,31,29
3:24,526,Rayjon Tucker Turnover.,31,29
3:21,57,Canyon Barry Steal.,31,29
3:19,57,KeVaughn Allen made Layup.,31,31
2:49,526,Christian Terrell missed Three Point Jumper.,31,31
2:49,57,John Egbunu Defensive Rebound.,31,31
2:39,57,KeVaughn Allen missed Three Point Jumper.,31,31
2:39,57,Canyon Barry Offensive Rebound.,31,31
2:35,57,Canyon Barry made Layup.,31,33
2:15,526,Demetris Morant made Layup.,33,33
1:59,526,Foul on Reggie Reid.,33,33
