Nevada,2608,Saint Mary's,2440
time,team_id,description,h_score,a_score
19:46,2440,Cameron Oliver Turnover.,0,0
19:46,2440,Cameron Oliver Turnover.,0,0
19:44,2608,Emmett Naar Steal.,0,0
19:42,2608,Jock Landale made Layup. Assisted by Emmett Naar.,0,2
19:15,2440,Marcus Marshall missed Three Point Jumper.,0,2
19:15,2608,Calvin Hermanson Defensive Rebound.,0,2
18:47,2608,Jock Landale made Layup. Assisted by Joe Rahon.,0,4
18:21,2440,Elijah Foster made Layup.,2,4
18:08,2608,Evan Fitzner missed Three Point Jumper.,2,4
18:08,2608,Evan Fitzner Offensive Rebound.,2,4
17:49,2608,Joe Rahon missed Layup.,2,4
17:49,2440,Elijah Foster Defensive Rebound.,2,4
17:38,2440,Cameron Oliver missed Jumper.,2,4
17:38,2608,Jock Landale Defensive Rebound.,2,4
17:36,2440,Foul on Elijah Foster.,2,4
17:14,2608,Jock Landale made Layup. Assisted by Joe Rahon.,2,6
17:00,2608,Foul on Evan Fitzner.,2,6
16:55,2440,D.J. Fenner Turnover.,2,6
16:32,2608,Jock Landale missed Jumper.,2,6
16:32,2440,Cameron Oliver Block.,2,6
16:32,2440,Elijah Foster Defensive Rebound.,2,6
16:14,2440,D.J. Fenner made Jumper. Assisted by Elijah Foster.,4,6
15:42,2608,Evan Fitzner missed Three Point Jumper.,4,6
15:42,2608,Jock Landale Offensive Rebound.,4,6
15:35,2608,Jock Landale missed Layup.,4,6
15:35,2608,Jock Landale Offensive Rebound.,4,6
15:31,2608,Joe Rahon made Layup.,4,8
15:07,2440,Elijah Foster made Layup. Assisted by Marcus Marshall.,6,8
14:53,2608,Evan Fitzner made Three Point Jumper. Assisted by Joe Rahon.,6,11
14:26,2440,Marcus Marshall missed Three Point Jumper.,6,11
14:26,2608,Joe Rahon Defensive Rebound.,6,11
14:15,2608,Evan Fitzner made Three Point Jumper. Assisted by Joe Rahon.,6,14
14:00,2440,Marcus Marshall missed Jumper.,6,14
14:00,2440,Marcus Marshall Offensive Rebound.,6,14
13:50,2440,Cameron Oliver made Three Point Jumper. Assisted by D.J. Fenner.,9,14
13:33,2608,Joe Rahon made Layup.,9,16
13:03,2440,Cameron Oliver Turnover.,9,16
13:03,2608,Official TV Timeout,9,16
12:47,2608,Jock Landale made Layup. Assisted by Emmett Naar.,9,18
12:19,2440,D.J. Fenner missed Jumper.,9,18
12:19,2608,Emmett Naar Defensive Rebound.,9,18
12:12,2440,Foul on Lindsey Drew.,9,18
12:11,2608,Emmett Naar missed Three Point Jumper.,9,18
12:11,2608,Jock Landale Offensive Rebound.,9,18
12:05,2608,Jock Landale missed Layup.,9,18
12:05,2440,Cameron Oliver Defensive Rebound.,9,18
12:01,2440,Marcus Marshall made Three Point Jumper. Assisted by Cameron Oliver.,12,18
11:44,2440,Foul on Cameron Oliver.,12,18
11:44,2608,Official TV Timeout,12,18
11:28,2608,Calvin Hermanson missed Layup.,12,18
11:28,2440,Cameron Oliver Block.,12,18
11:28,2440,Devearl Ramsey Defensive Rebound.,12,18
11:22,2608,Foul on Calvin Hermanson.,12,18
11:22,2440,Cameron Oliver missed Free Throw.,12,18
11:22,2440,Nevada Deadball Team Rebound.,12,18
11:22,2440,Cameron Oliver made Free Throw.,13,18
11:22,2440,Cameron Oliver made Free Throw.,14,18
10:54,2608,Joe Rahon missed Jumper.,14,18
10:54,2440,Jordan Caroline Defensive Rebound.,14,18
10:28,2440,Marcus Marshall missed Jumper.,14,18
10:28,2608,Dane Pineau Defensive Rebound.,14,18
10:22,2608,Dane Pineau Turnover.,14,18
10:22,2440,Jordan Caroline Steal.,14,18
10:22,2440,Jordan Caroline made Layup. Assisted by Lindsey Drew.,16,18
10:22,2608,Foul on Dane Pineau.,16,18
10:22,2440,Jordan Caroline missed Free Throw.,16,18
10:22,2440,Elijah Foster Offensive Rebound.,16,18
10:18,2440,Marcus Marshall missed Three Point Jumper.,16,18
10:18,2440,Jordan Caroline Offensive Rebound.,16,18
10:14,2608,Foul on Stefan Gonzalez.,16,18
10:02,2440,Marcus Marshall missed Layup.,16,18
10:02,2608,Dane Pineau Defensive Rebound.,16,18
9:55,2608,Evan Fitzner missed Layup.,16,18
9:55,2608,Dane Pineau Offensive Rebound.,16,18
9:55,2608,Dane Pineau made Layup.,16,20
9:55,2440,Foul on Elijah Foster.,16,20
9:55,2608,Dane Pineau missed Free Throw.,16,20
9:55,2440,Cameron Oliver Defensive Rebound.,16,20
9:27,2440,Cameron Oliver missed Three Point Jumper.,16,20
9:27,2440,Jordan Caroline Offensive Rebound.,16,20
9:25,2608,Foul on Emmett Naar.,16,20
9:16,2440,Jordan Caroline made Layup. Assisted by Marcus Marshall.,18,20
9:16,2608,Foul on Calvin Hermanson.,18,20
9:16,2440,Jordan Caroline missed Free Throw.,18,20
9:16,2608,Dane Pineau Defensive Rebound.,18,20
8:58,2608,Dane Pineau made Layup. Assisted by Joe Rahon.,18,22
8:28,2440,Cameron Oliver made Jumper. Assisted by Marcus Marshall.,20,22
7:57,2608,Evan Fitzner missed Three Point Jumper.,20,22
7:57,2440,Jordan Caroline Defensive Rebound.,20,22
7:56,2608,Foul on Evan Fitzner.,20,22
7:56,2608,Official TV Timeout,20,22
7:56,2440,Jordan Caroline made Free Throw.,21,22
7:56,2440,Jordan Caroline made Free Throw.,22,22
7:38,2440,Foul on Devearl Ramsey.,22,22
7:28,2608,Kyle Clark made Layup. Assisted by Jock Landale.,22,24
7:01,2440,Foul on Cameron Oliver.,22,24
7:01,2440,Cameron Oliver Turnover.,22,24
6:32,2440,Foul on D.J. Fenner.,22,24
6:32,2608,Calvin Hermanson made Free Throw.,22,25
6:32,2608,Calvin Hermanson made Free Throw.,22,26
6:32,2608,Calvin Hermanson made Free Throw.,22,27
6:06,2440,Marcus Marshall missed Three Point Jumper.,22,27
6:06,2608,Joe Rahon Defensive Rebound.,22,27
5:49,2608,Jock Landale made Layup. Assisted by Emmett Naar.,22,29
5:22,2440,Devearl Ramsey missed Three Point Jumper.,22,29
5:22,2608,Tanner Krebs Defensive Rebound.,22,29
5:05,2608,Kyle Clark made Three Point Jumper. Assisted by Jock Landale.,22,32
4:34,2608,Foul on Joe Rahon.,22,32
4:34,2440,D.J. Fenner made Free Throw.,23,32
4:34,2440,D.J. Fenner made Free Throw.,24,32
4:09,2608,Jock Landale made Layup. Assisted by Joe Rahon.,24,34
3:40,2440,Marcus Marshall missed Three Point Jumper.,24,34
3:40,2440,Jordan Caroline Offensive Rebound.,24,34
3:32,2440,Leland King Ii Turnover.,24,34
3:32,2608,Official TV Timeout,24,34
3:15,2608,Joe Rahon made Layup.,24,36
3:10,2440,D.J. Fenner missed Jumper.,24,36
3:10,2608,Joe Rahon Defensive Rebound.,24,36
3:00,2608,Joe Rahon missed Three Point Jumper.,24,36
2:59,2440,Jordan Caroline Defensive Rebound.,24,36
2:56,2608,Foul on Tanner Krebs.,24,36
2:56,2440,D.J. Fenner missed Free Throw.,24,36
2:56,2608,Jock Landale Defensive Rebound.,24,36
2:31,2608,Jock Landale made Layup.,24,38
2:05,2440,D.J. Fenner made Layup. Assisted by Lindsey Drew.,26,38
1:51,2440,Foul on Elijah Foster.,26,38
1:51,2608,Jock Landale made Free Throw.,26,39
1:51,2608,Jock Landale made Free Throw.,26,40
1:26,2440,Devearl Ramsey missed Jumper.,26,40
1:26,2608,Joe Rahon Defensive Rebound.,26,40
1:00,2608,Joe Rahon missed Three Point Jumper.,26,40
1:00,2440,Lindsey Drew Defensive Rebound.,26,40
0:49,2440,D.J. Fenner made Layup.,28,40
0:21,2608,Joe Rahon made Layup. Assisted by Emmett Naar.,28,42
0:03,2608,Foul on Emmett Naar.,28,42
0:03,2440,Marcus Marshall missed Free Throw.,28,42
0:03,2440,Nevada Deadball Team Rebound.,28,42
0:03,2440,Marcus Marshall made Free Throw.,29,42
0:00,2608,End of 1st half,29,42
19:36,2608,Jock Landale made Layup. Assisted by Calvin Hermanson.,29,44
19:04,2440,Marcus Marshall made Three Point Jumper.,32,44
18:38,2608,Calvin Hermanson missed Jumper.,32,44
18:38,2440,Jordan Caroline Defensive Rebound.,32,44
18:27,2608,Foul on Calvin Hermanson.,32,44
18:12,2440,D.J. Fenner missed Layup.,32,44
18:12,2608,Jock Landale Defensive Rebound.,32,44
17:59,2608,Jock Landale made Layup. Assisted by Emmett Naar.,32,46
17:29,2440,Marcus Marshall made Three Point Jumper. Assisted by Jordan Caroline.,35,46
17:13,2440,Foul on Marcus Marshall.,35,46
17:05,2608,Jock Landale missed Layup.,35,46
17:05,2608,Jock Landale Offensive Rebound.,35,46
17:02,2608,Jock Landale made Layup.,35,48
16:47,2440,Marcus Marshall made Free Throw.,36,48
16:47,2608,Foul on Emmett Naar.,35,48
16:47,2440,Marcus Marshall made Free Throw.,37,48
16:47,2608,Emmett Naar missed Free Throw.,37,48
16:47,2608,Jock Landale Offensive Rebound.,37,48
16:16,2608,Jock Landale Turnover.,37,48
16:04,2440,Foul on Cameron Oliver.,37,48
16:04,2440,Cameron Oliver Turnover.,37,48
15:47,2608,Joe Rahon missed Layup.,37,48
15:47,2608,Jock Landale Offensive Rebound.,37,48
15:47,2608,Jock Landale made Dunk.,37,50
15:47,2608,Official TV Timeout,37,50
15:47,2608,Jock Landale made Free Throw.,37,51
15:47,2440,Foul on Jordan Caroline.,37,50
15:15,2440,Cameron Oliver made Jumper.,39,51
15:15,2608,Jock Landale missed Layup.,39,51
14:57,2440,Cameron Oliver Block.,39,51
14:57,2440,Marcus Marshall Defensive Rebound.,39,51
14:50,2440,Marcus Marshall made Jumper.,41,51
14:27,2608,Jock Landale made Layup.,41,53
14:19,2608,Foul on Evan Fitzner.,41,53
14:12,2440,D.J. Fenner made Jumper. Assisted by Lindsey Drew.,43,53
13:40,2608,Calvin Hermanson made Three Point Jumper. Assisted by Emmett Naar.,43,56
13:10,2608,Foul on Joe Rahon.,43,56
13:10,2440,Marcus Marshall made Free Throw.,44,56
13:10,2440,Marcus Marshall made Free Throw.,45,56
12:59,2608,Calvin Hermanson made Three Point Jumper. Assisted by Dane Pineau.,45,59
12:47,2440,Marcus Marshall missed Three Point Jumper.,45,59
12:47,2608,Emmett Naar Defensive Rebound.,45,59
12:42,2608,Emmett Naar Turnover.,45,59
12:42,2440,Jordan Caroline Steal.,45,59
12:42,2608,Foul on Jock Landale.,45,59
12:42,2440,Jordan Caroline missed Free Throw.,45,59
12:42,2440,Nevada Deadball Team Rebound.,45,59
12:42,2440,Jordan Caroline made Free Throw.,46,59
12:20,2608,Emmett Naar made Layup.,46,61
11:57,2440,Jordan Caroline missed Three Point Jumper.,46,61
11:57,2440,Marcus Marshall Offensive Rebound.,46,61
11:51,2440,Marcus Marshall made Jumper.,48,61
11:29,2440,Foul on Jordan Caroline.,48,61
11:29,2608,Official TV Timeout,48,61
11:21,2440,Foul on D.J. Fenner.,48,61
11:11,2608,Emmett Naar made Layup.,48,63
10:47,2440,Cameron Oliver missed Jumper.,48,63
10:47,2608,Dane Pineau Defensive Rebound.,48,63
10:24,2608,Emmett Naar made Layup.,48,65
10:10,2440,Marcus Marshall made Jumper.,50,65
9:48,2608,Dane Pineau Turnover.,50,65
9:45,2440,Cameron Oliver Steal.,50,65
9:26,2608,Foul on Calvin Hermanson.,50,65
9:26,2440,Jordan Caroline missed Free Throw.,50,65
9:26,2440,Nevada Deadball Team Rebound.,50,65
9:26,2440,Jordan Caroline missed Free Throw.,50,65
9:26,2608,Tanner Krebs Defensive Rebound.,50,65
9:03,2440,Foul on Lindsey Drew.,50,65
8:54,2440,Foul on Elijah Foster.,50,65
8:54,2608,Foul on Jock Landale.,50,65
8:44,2608,Kyle Clark missed Layup.,50,65
8:44,2440,Cameron Oliver Block.,50,65
8:44,2608,Tanner Krebs Offensive Rebound.,50,65
8:41,2608,Foul on Jock Landale.,50,65
8:41,2608,Jock Landale Turnover.,50,65
8:17,2440,Elijah Foster missed Layup.,50,65
8:17,2608,Joe Rahon Defensive Rebound.,50,65
8:11,2608,Tanner Krebs missed Three Point Jumper.,50,65
8:11,2440,Elijah Foster Defensive Rebound.,50,65
7:48,2440,Marcus Marshall missed Layup.,50,65
7:48,2608,Kyle Clark Defensive Rebound.,50,65
7:32,2608,Jock Landale made Layup. Assisted by Joe Rahon.,50,67
7:23,2608,Official TV Timeout,50,67
7:07,2608,Foul on Jock Landale.,50,67
7:07,2440,Jordan Caroline missed Free Throw.,50,67
7:07,2440,Nevada Deadball Team Rebound.,50,67
7:07,2440,Jordan Caroline made Free Throw.,51,67
6:42,2608,Tanner Krebs missed Three Point Jumper.,51,67
6:42,2608,Dane Pineau Offensive Rebound.,51,67
6:13,2608,Emmett Naar missed Layup.,51,67
6:13,2440,Cameron Oliver Defensive Rebound.,51,67
6:06,2440,Marcus Marshall missed Three Point Jumper.,51,67
6:06,2608,Emmett Naar Defensive Rebound.,51,67
6:00,2608,Kyle Clark made Layup. Assisted by Emmett Naar.,51,69
5:41,2440,D.J. Fenner made Jumper.,53,69
5:20,2608,Emmett Naar missed Layup.,53,69
5:20,2440,Cameron Oliver Block.,53,69
5:20,2440,Cameron Oliver Defensive Rebound.,53,69
5:14,2440,Marcus Marshall made Three Point Jumper. Assisted by Cameron Oliver.,56,69
5:00,2608,Dane Pineau made Layup. Assisted by Kyle Clark.,56,71
4:42,2440,Jordan Caroline missed Three Point Jumper.,56,71
4:42,2608,Kyle Clark Defensive Rebound.,56,71
4:40,2440,Foul on Cameron Oliver.,56,71
4:40,2608,Kyle Clark made Free Throw.,56,72
4:40,2608,Kyle Clark made Free Throw.,56,73
4:31,2440,Cameron Oliver made Layup. Assisted by D.J. Fenner.,58,73
4:03,2608,Emmett Naar Turnover.,58,73
3:57,2440,Marcus Marshall made Jumper.,60,73
3:36,2440,Foul on D.J. Fenner.,60,73
3:36,2608,Official TV Timeout,60,73
3:36,2608,Tanner Krebs missed Free Throw.,60,73
3:36,2440,Jordan Caroline Defensive Rebound.,60,73
3:23,2440,D.J. Fenner Turnover.,60,73
3:20,2608,Joe Rahon Steal.,60,73
3:08,2608,Saint Mary's  Timeout,60,73
2:54,2608,Jock Landale made Layup. Assisted by Joe Rahon.,60,75
2:36,2440,Jordan Caroline missed Layup.,60,75
2:36,2608,Joe Rahon Defensive Rebound.,60,75
2:18,2608,Jock Landale made Layup. Assisted by Emmett Naar.,60,77
2:07,2440,Cameron Oliver made Dunk. Assisted by Marcus Marshall.,62,77
1:52,2440,Foul on Cameron Oliver.,62,77
1:52,2608,Kyle Clark missed Free Throw.,62,77
1:52,2608,Saint Mary's Deadball Team Rebound.,62,77
1:52,2608,Kyle Clark made Free Throw.,62,78
1:41,2440,Marcus Marshall missed Three Point Jumper.,62,78
1:41,2440,Lindsey Drew Offensive Rebound.,62,78
1:35,2440,Lindsey Drew Turnover.,62,78
1:31,2608,Kyle Clark Steal.,62,78
1:15,2608,Joe Rahon made Jumper.,62,80
1:02,2608,Foul on Kyle Clark.,62,80
1:02,2440,Jordan Caroline missed Free Throw.,62,80
1:02,2440,Nevada Deadball Team Rebound.,62,80
1:02,2440,Jordan Caroline made Free Throw.,63,80
0:34,2440,Foul on D.J. Fenner.,63,80
0:34,2608,Joe Rahon made Free Throw.,63,81
0:34,2608,Joe Rahon missed Free Throw.,63,81
0:34,2440,Lindsey Drew Defensive Rebound.,63,81
0:22,2440,Jordan Caroline missed Layup.,63,81
0:21,2608,Dan Sheets Defensive Rebound.,63,81
0:00,2608,End of 2nd half,63,81
