Florida A&amp;M,58,South Florida,50
time,team_id,description,h_score,a_score
19:46,50,Desmond Williams Turnover.,0,0
19:45,58,Geno Thorpe Steal.,0,0
19:42,58,Geno Thorpe missed Layup.,0,0
19:42,50,Elijah Mays Defensive Rebound.,0,0
19:36,50,Marcus Barham made Three Point Jumper. Assisted by Elijah Mays.,3,0
19:16,58,Tulio Da Silva Turnover.,3,0
19:03,50,Craig Bowman missed Jumper.,3,0
19:03,58,Ruben Guerrero Defensive Rebound.,3,0
18:45,58,Ruben Guerrero Turnover.,3,0
18:19,50,Marcus Barham missed Layup.,3,0
18:19,58,Tulio Da Silva Block.,3,0
18:17,58,Ruben Guerrero Defensive Rebound.,3,0
18:13,58,Geno Thorpe missed Three Point Jumper.,3,0
18:13,50,Trey Warren Defensive Rebound.,3,0
18:04,50,Desmond Williams missed Layup.,3,0
18:04,58,Ruben Guerrero Defensive Rebound.,3,0
17:46,58,Tulio Da Silva missed Dunk.,3,0
17:46,50,Marcus Barham Defensive Rebound.,3,0
17:36,50,Elijah Mays Turnover.,3,0
17:35,58,Bo Zeigler Steal.,3,0
17:32,58,Bo Zeigler made Dunk. Assisted by Geno Thorpe.,3,2
17:14,50,Desmond Williams missed Jumper.,3,2
17:14,58,Ruben Guerrero Defensive Rebound.,3,2
17:04,58,Troy Holston missed Three Point Jumper.,3,2
17:04,50,Elijah Mays Defensive Rebound.,3,2
16:54,50,Marcus Barham made Three Point Jumper. Assisted by Elijah Mays.,6,2
16:34,58,Geno Thorpe made Three Point Jumper. Assisted by Troy Holston.,6,5
16:14,50,Elijah Mays made Jumper.,8,5
15:56,58,Geno Thorpe missed Layup.,8,5
15:56,50,Desmond Williams Block.,8,5
15:55,58,Tulio Da Silva Offensive Rebound.,8,5
15:48,58,Troy Holston made Three Point Jumper.,8,8
15:27,50,Craig Bowman missed Three Point Jumper.,8,8
15:27,58,Tulio Da Silva Defensive Rebound.,8,8
15:11,58,Geno Thorpe made Layup.,8,10
14:56,50,Marcus Barham made Three Point Jumper. Assisted by Craig Bowman.,11,10
14:37,50,Foul on Elijah Mays.,11,10
14:37,58,Official TV Timeout,11,10
14:37,58,Tulio Da Silva made Free Throw.,11,11
14:37,58,Tulio Da Silva made Free Throw.,11,12
14:14,50,Nasir Core missed Layup.,11,12
14:14,58,Tulio Da Silva Defensive Rebound.,11,12
14:12,50,Foul on Derrick Dandridge.,11,12
13:56,58,Troy Holston missed Three Point Jumper.,11,12
13:56,58,Jake Bodway Offensive Rebound.,11,12
13:50,58,Geno Thorpe missed Layup.,11,12
13:50,50,Nick Severado Block.,11,12
13:49,50,Nick Severado Defensive Rebound.,11,12
13:43,50,Nasir Core missed Three Point Jumper.,11,12
13:43,58,Tulio Da Silva Defensive Rebound.,11,12
13:21,58,Tulio Da Silva made Layup.,11,14
13:09,50,Marcus Barham missed Three Point Jumper.,11,14
13:09,58,Geno Thorpe Defensive Rebound.,11,14
12:52,58,Geno Thorpe missed Three Point Jumper.,11,14
12:52,58,Ruben Guerrero Offensive Rebound.,11,14
12:48,58,Ruben Guerrero made Layup.,11,16
12:24,50,Marcus Barham missed Layup.,11,16
12:24,58,Tulio Da Silva Block.,11,16
12:21,50,Nick Severado Offensive Rebound.,11,16
12:19,50,Nick Severado missed Jumper.,11,16
12:19,58,Ruben Guerrero Defensive Rebound.,11,16
11:51,58,Michael Bibby made Layup.,11,18
11:28,50,Trey Warren missed Layup.,11,18
11:28,58,Troy Holston Defensive Rebound.,11,18
11:04,58,Tulio Da Silva missed Jumper.,11,18
11:04,50,Desmond Williams Defensive Rebound.,11,18
10:48,50,Desmond Williams missed Jumper.,11,18
10:48,58,Ruben Guerrero Defensive Rebound.,11,18
10:40,58,Michael Bibby missed Three Point Jumper.,11,18
10:40,58,Ruben Guerrero Offensive Rebound.,11,18
10:37,58,Ruben Guerrero made Layup.,11,20
10:20,58,Foul on Tulio Da Silva.,11,20
10:20,58,Official TV Timeout,11,20
10:20,50,Florida A&M  Timeout,11,20
10:14,50,Elijah Mays missed Three Point Jumper.,11,20
10:14,58,Jake Bodway Defensive Rebound.,11,20
10:08,50,Foul on Trey Warren.,11,20
9:52,58,Michael Bibby made Three Point Jumper. Assisted by Bo Zeigler.,11,23
9:35,50,Craig Bowman made Three Point Jumper. Assisted by Elijah Mays.,14,23
9:14,58,Bo Zeigler made Layup.,14,25
8:58,50,Craig Bowman Turnover.,14,25
8:57,58,Bo Zeigler Steal.,14,25
8:45,58,Luis Santos made Layup. Assisted by Tulio Da Silva.,14,27
8:27,50,Craig Bowman made Three Point Jumper. Assisted by Elijah Mays.,17,27
8:14,58,Geno Thorpe made Layup.,17,29
8:05,58,Foul on Tulio Da Silva.,17,29
7:53,58,Foul on Geno Thorpe.,17,29
7:53,58,Official TV Timeout,17,29
7:53,50,Craig Bowman missed Free Throw.,17,29
7:53,50,Florida A&M Deadball Team Rebound.,17,29
7:53,50,Craig Bowman made Free Throw.,18,29
7:32,58,Geno Thorpe made Layup.,18,31
7:22,50,Elijah Mays missed Three Point Jumper.,18,31
7:22,58,Bo Zeigler Defensive Rebound.,18,31
7:08,58,Geno Thorpe missed Layup.,18,31
7:08,50,Nick Severado Block.,18,31
7:08,58,South Florida Offensive Rebound.,18,31
7:06,58,Bo Zeigler made Layup. Assisted by Geno Thorpe.,18,33
6:49,50,Marcus Barham Turnover.,18,33
6:28,58,Troy Holston missed Three Point Jumper.,18,33
6:28,50,Marcus Barham Defensive Rebound.,18,33
6:14,50,Desmond Williams missed Jumper.,18,33
6:14,58,Ruben Guerrero Defensive Rebound.,18,33
6:03,58,Michael Bibby Turnover.,18,33
6:02,50,Marcus Barham Steal.,18,33
5:56,50,Marcus Barham made Three Point Jumper. Assisted by Craig Bowman.,21,33
5:56,58,Foul on Michael Bibby.,21,33
5:56,50,Marcus Barham made Free Throw.,22,33
5:49,58,Geno Thorpe Turnover.,22,33
5:39,50,Brendon Myles Turnover.,22,33
5:38,58,Michael Bibby Steal.,22,33
