Lehigh,2752,Xavier,2329
time,team_id,description,h_score,a_score
19:46,2752,Edmond Sumner made Layup.,0,2
19:45,2329,Foul on Kahron Ross.,0,2
19:45,2752,Edmond Sumner made Free Throw.,0,3
19:33,2329,Tim Kempton Turnover.,0,3
19:18,2752,Foul on Edmond Sumner.,0,3
19:18,2752,Edmond Sumner Turnover.,0,3
19:04,2329,Tim Kempton missed Three Point Jumper.,0,3
19:04,2752,Trevon Bluiett Defensive Rebound.,0,3
18:49,2752,J.P. Macura missed Three Point Jumper.,0,3
18:49,2752,Trevon Bluiett Offensive Rebound.,0,3
18:35,2752,Foul on Trevon Bluiett.,0,3
18:35,2752,Trevon Bluiett Turnover.,0,3
18:25,2329,Kyle Leufroy missed Three Point Jumper.,0,3
18:25,2752,Edmond Sumner Defensive Rebound.,0,3
18:19,2752,Edmond Sumner made Jumper.,0,5
18:04,2329,Kahron Ross Turnover.,0,5
17:53,2329,Foul on Kyle Leufroy.,0,5
17:41,2752,Sean O'Mara made Layup. Assisted by Edmond Sumner.,0,7
17:29,2329,Tim Kempton made Layup. Assisted by Kahron Ross.,2,7
17:29,2752,Foul on J.P. Macura.,2,7
17:29,2329,Tim Kempton missed Free Throw.,2,7
17:29,2329,Kahron Ross Offensive Rebound.,2,7
17:20,2329,Kyle Leufroy Turnover.,2,7
17:19,2752,J.P. Macura Steal.,2,7
17:15,2752,Trevon Bluiett missed Three Point Jumper.,2,7
17:15,2752,Sean O'Mara Offensive Rebound.,2,7
17:12,2752,Sean O'Mara made Layup.,2,9
16:55,2329,Tim Kempton missed Jumper.,2,9
16:55,2752,Trevon Bluiett Defensive Rebound.,2,9
16:43,2752,Malcolm Bernard made Three Point Jumper. Assisted by Sean O'Mara.,2,12
16:40,2329,Lehigh  Timeout,2,12
16:27,2329,Austin Price Turnover.,2,12
16:26,2752,Sean O'Mara Steal.,2,12
16:23,2752,Sean O'Mara made Dunk. Assisted by J.P. Macura.,2,14
16:12,2329,Tim Kempton made Layup. Assisted by Kahron Ross.,4,14
15:46,2329,Foul on Kyle Leufroy.,4,14
15:46,2752,Official TV Timeout,4,14
15:40,2752,Edmond Sumner made Dunk. Assisted by Trevon Bluiett.,4,16
15:18,2752,Foul on RaShid Gaston.,4,16
15:15,2752,Foul on Malcolm Bernard.,4,16
15:15,2329,Austin Price missed Free Throw.,4,16
15:15,2329,Lehigh Deadball Team Rebound.,4,16
15:15,2329,Austin Price made Free Throw.,5,16
15:02,2752,J.P. Macura missed Layup.,5,16
15:02,2329,Kahron Ross Block.,5,16
15:01,2329,Kahron Ross Defensive Rebound.,5,16
14:50,2329,Kahron Ross made Jumper.,7,16
14:27,2752,Quentin Goodin missed Three Point Jumper.,7,16
14:27,2329,Lehigh Deadball Team Rebound.,7,16
14:25,2752,Foul on Trevon Bluiett.,7,16
14:12,2329,Matt Holba made Layup. Assisted by Austin Price.,9,16
13:50,2329,Foul on Brandon Alston.,9,16
13:39,2752,Edmond Sumner made Jumper.,9,18
13:26,2329,Kahron Ross missed Jumper.,9,18
13:26,2752,Malcolm Bernard Defensive Rebound.,9,18
13:19,2752,Edmond Sumner missed Layup.,9,18
13:19,2752,Xavier Offensive Rebound.,9,18
