Utah State,300,UC Irvine,328
time,team_id,description,h_score,a_score
19:41,328,Koby McEwen made Three Point Jumper.,3,0
19:17,328,Foul on Norbert Janicek.,3,0
19:17,300,Max Hazzard missed Free Throw.,3,0
19:17,300,UC Irvine Deadball Team Rebound.,3,0
19:17,300,Max Hazzard made Free Throw.,3,1
19:03,328,Quinn Taylor Turnover.,3,1
19:01,300,Jaron Martin Steal.,3,1
18:36,300,Max Hazzard made Three Point Jumper. Assisted by Ioannis Dimakopoulos.,3,4
18:20,328,Shane Rector made Three Point Jumper. Assisted by Norbert Janicek.,6,4
17:58,300,Max Hazzard missed Three Point Jumper.,6,4
17:58,328,Norbert Janicek Defensive Rebound.,6,4
17:46,328,Norbert Janicek Turnover.,6,4
17:44,300,Brandon Smith Steal.,6,4
17:40,300,Max Hazzard missed Layup.,6,4
17:40,328,Norbert Janicek Defensive Rebound.,6,4
17:23,328,Shane Rector missed Jumper.,6,4
17:23,328,Norbert Janicek Offensive Rebound.,6,4
17:18,328,Jalen Moore missed Jumper.,6,4
17:18,300,Jonathan Galloway Defensive Rebound.,6,4
16:54,300,Jonathan Galloway missed Jumper.,6,4
16:54,328,Utah State Defensive Rebound.,6,4
16:33,300,Foul on Brandon Smith.,6,4
16:33,328,Norbert Janicek missed Free Throw.,6,4
16:33,328,Utah State Deadball Team Rebound.,6,4
16:33,328,Norbert Janicek made Free Throw.,7,4
16:21,300,Jaron Martin missed Three Point Jumper.,7,4
16:21,328,Quinn Taylor Defensive Rebound.,7,4
16:18,300,Foul on Jonathan Galloway.,7,4
16:08,328,Jalen Moore Turnover.,7,4
15:55,300,Ioannis Dimakopoulos missed Three Point Jumper.,7,4
15:55,328,Koby McEwen Defensive Rebound.,7,4
15:45,328,Quinn Taylor made Three Point Jumper. Assisted by Shane Rector.,10,4
15:17,300,Brandon Smith made Three Point Jumper. Assisted by Max Hazzard.,10,7
15:01,300,Official TV Timeout,10,7
14:48,328,Shane Rector missed Three Point Jumper.,10,7
14:48,300,Brandon Smith Defensive Rebound.,10,7
14:28,300,Eyassu Worku made Jumper.,10,9
14:07,300,Foul on Brandon Smith.,10,9
14:07,328,Shane Rector made Free Throw.,11,9
14:07,328,Shane Rector made Free Throw.,12,9
13:56,328,Jalen Moore missed Jumper.,12,9
13:56,300,Brandon Smith Defensive Rebound.,12,9
13:47,300,Brandon Smith missed Three Point Jumper.,12,9
13:47,300,Eyassu Worku Offensive Rebound.,12,9
13:39,300,Eyassu Worku missed Layup.,12,9
13:36,300,Tommy Rutherford Offensive Rebound.,12,9
13:17,300,Eyassu Worku missed Three Point Jumper.,12,9
13:17,328,Koby McEwen Defensive Rebound.,12,9
13:02,328,Jalen Moore missed Layup.,12,9
13:02,300,Evan Leonard Defensive Rebound.,12,9
12:55,328,Foul on Koby McEwen.,12,9
12:45,300,Jaron Martin missed Three Point Jumper.,12,9
12:45,328,Ngor Barnaba Defensive Rebound.,12,9
12:30,300,Foul on Evan Leonard.,12,9
12:30,328,Jalen Moore made Free Throw.,13,9
12:30,328,Jalen Moore made Free Throw.,14,9
12:10,300,Jaron Martin Turnover.,14,9
11:53,328,Julion Pearre missed Jumper.,14,9
11:53,300,Tommy Rutherford Block.,14,9
11:49,300,Eyassu Worku Defensive Rebound.,14,9
11:46,300,Eyassu Worku missed Jumper.,14,9
11:46,328,Alexis Dargenton Block.,14,9
11:46,300,UC Irvine Offensive Rebound.,14,9
11:46,300,Official TV Timeout,14,9
11:31,300,Evan Leonard made Three Point Jumper. Assisted by Eyassu Worku.,14,12
11:10,300,Foul on Evan Leonard.,14,12
11:03,328,Alexis Dargenton missed Jumper.,14,12
11:03,300,Eyassu Worku Defensive Rebound.,14,12
10:53,328,Foul on Sam Merrill.,14,12
10:53,300,Eyassu Worku made Free Throw.,14,13
10:53,300,Eyassu Worku missed Free Throw.,14,13
10:53,328,Alexis Dargenton Defensive Rebound.,14,13
10:48,328,Shane Rector missed Three Point Jumper.,14,13
10:48,300,Eyassu Worku Defensive Rebound.,14,13
10:20,300,Ioannis Dimakopoulos made Jumper.,14,15
9:56,328,Sam Merrill made Jumper. Assisted by Julion Pearre.,16,15
9:37,300,Ioannis Dimakopoulos Turnover.,16,15
9:36,328,Julion Pearre Steal.,16,15
9:32,300,Foul on John Edgar Jr..,16,15
9:23,328,Jalen Moore made Three Point Jumper. Assisted by Shane Rector.,19,15
9:09,328,Foul on Ngor Barnaba.,19,15
9:06,300,Ioannis Dimakopoulos Turnover.,19,15
9:05,328,Shane Rector Steal.,19,15
8:55,300,Foul on Darrian Traylor.,19,15
8:55,328,Jalen Moore made Free Throw.,20,15
8:55,328,Jalen Moore missed Free Throw.,20,15
8:55,300,Ioannis Dimakopoulos Defensive Rebound.,20,15
8:25,300,Max Hazzard missed Three Point Jumper.,20,15
8:25,328,Sam Merrill Defensive Rebound.,20,15
7:59,328,Shane Rector missed Jumper.,20,15
7:59,300,Brandon Smith Defensive Rebound.,20,15
7:37,300,Max Hazzard Turnover.,20,15
7:36,328,Norbert Janicek Steal.,20,15
7:31,328,Sam Merrill missed Jumper.,20,15
7:31,328,Shane Rector Offensive Rebound.,20,15
7:23,328,Shane Rector made Layup.,22,15
7:23,300,Foul on Ioannis Dimakopoulos.,22,15
7:23,300,Official TV Timeout,22,15
7:23,328,Shane Rector made Free Throw.,23,15
7:00,300,Jaron Martin missed Jumper.,23,15
7:00,328,Shane Rector Defensive Rebound.,23,15
6:54,328,Jalen Moore made Layup. Assisted by Shane Rector.,25,15
6:36,300,Jaron Martin missed Three Point Jumper.,25,15
6:36,300,Jonathan Galloway Offensive Rebound.,25,15
6:30,300,Eyassu Worku made Three Point Jumper. Assisted by Jaron Martin.,25,18
6:12,328,Jalen Moore made Jumper. Assisted by Quinn Taylor.,27,18
5:55,300,Max Hazzard Turnover.,27,18
5:43,328,Jalen Moore missed Jumper.,27,18
5:43,300,Eyassu Worku Defensive Rebound.,27,18
5:20,300,Eyassu Worku Turnover.,27,18
5:06,328,Shane Rector missed Three Point Jumper.,27,18
5:06,300,Evan Leonard Defensive Rebound.,27,18
5:00,300,Evan Leonard Turnover.,27,18
4:51,328,Quinn Taylor made Three Point Jumper. Assisted by Jalen Moore.,30,18
4:32,300,Tommy Rutherford Turnover.,30,18
4:32,300,Foul on Tommy Rutherford.,30,18
4:17,328,Julion Pearre made Jumper. Assisted by Koby McEwen.,32,18
3:59,300,Ioannis Dimakopoulos missed Jumper.,32,18
3:59,328,Quinn Taylor Defensive Rebound.,32,18
3:52,328,Koby McEwen made Layup.,34,18
3:50,300,UC Irvine  Timeout,34,18
3:24,300,Jaron Martin missed Jumper.,34,18
3:24,300,Ioannis Dimakopoulos Offensive Rebound.,34,18
3:16,300,Ioannis Dimakopoulos missed Jumper.,34,18
3:16,328,Quinn Taylor Defensive Rebound.,34,18
2:52,328,Jalen Moore missed Three Point Jumper.,34,18
2:52,328,Utah State Offensive Rebound.,34,18
2:48,328,Quinn Taylor missed Three Point Jumper.,34,18
2:48,300,Brandon Smith Defensive Rebound.,34,18
2:39,328,Foul on Quinn Taylor.,34,18
2:34,300,Evan Leonard missed Three Point Jumper.,34,18
2:34,328,Quinn Taylor Defensive Rebound.,34,18
2:21,328,Julion Pearre made Layup.,36,18
2:10,300,Jaron Martin missed Three Point Jumper.,36,18
2:10,328,Norbert Janicek Defensive Rebound.,36,18
1:50,328,Koby McEwen missed Three Point Jumper.,36,18
1:50,300,Jaron Martin Defensive Rebound.,36,18
1:41,300,Ioannis Dimakopoulos made Three Point Jumper. Assisted by Jaron Martin.,36,21
1:18,328,Norbert Janicek Turnover.,36,21
1:18,300,Ioannis Dimakopoulos Steal.,36,21
1:15,328,Foul on Jalen Moore.,36,21
1:15,300,Evan Leonard made Free Throw.,36,22
0:53,328,Alexis Dargenton missed Jumper.,36,22
0:53,300,Brad Greene Defensive Rebound.,36,22
0:45,300,John Edgar Jr. made Layup. Assisted by Jaron Martin.,36,24
0:45,328,Foul on Alexis Dargenton.,36,24
0:45,328,Utah State  Timeout,36,24
0:45,300,John Edgar Jr. missed Free Throw.,36,24
0:45,328,Ngor Barnaba Defensive Rebound.,36,24
0:31,300,Foul on Brad Greene.,36,24
0:31,328,Jalen Moore made Free Throw.,37,24
0:31,328,Jalen Moore made Free Throw.,38,24
0:11,300,Eyassu Worku missed Three Point Jumper.,38,24
0:11,328,Alexis Dargenton Defensive Rebound.,38,24
0:09,300,Foul on Brad Greene.,38,24
0:09,328,Alexis Dargenton made Free Throw.,39,24
0:09,328,Alexis Dargenton made Free Throw.,40,24
0:01,300,Jaron Martin missed Jumper.,40,24
0:01,328,Jalen Moore Defensive Rebound.,40,24
0:00,300,End of 1st half,40,24
19:45,328,Koby McEwen Turnover.,40,24
19:44,300,Brandon Smith Steal.,40,24
19:29,300,Brandon Smith missed Three Point Jumper.,40,24
19:29,328,Jalen Moore Defensive Rebound.,40,24
19:11,328,Norbert Janicek made Three Point Jumper. Assisted by Jalen Moore.,43,24
18:43,300,Brandon Smith missed Jumper.,43,24
18:43,300,Jonathan Galloway Offensive Rebound.,43,24
18:39,300,Jonathan Galloway missed Jumper.,43,24
18:39,328,Quinn Taylor Defensive Rebound.,43,24
18:33,328,Shane Rector missed Jumper.,43,24
18:33,300,Jonathan Galloway Block.,43,24
18:31,300,Max Hazzard Defensive Rebound.,43,24
18:19,300,Ioannis Dimakopoulos missed Three Point Jumper.,43,24
18:19,300,UC Irvine Offensive Rebound.,43,24
18:16,328,Foul on Quinn Taylor.,43,24
18:14,300,Max Hazzard missed Three Point Jumper.,43,24
18:14,328,Koby McEwen Defensive Rebound.,43,24
17:45,328,Koby McEwen missed Jumper.,43,24
17:45,300,Jonathan Galloway Block.,43,24
17:43,300,Ioannis Dimakopoulos Defensive Rebound.,43,24
17:39,328,Foul on Quinn Taylor.,43,24
17:39,300,Brandon Smith missed Free Throw.,43,24
17:39,300,UC Irvine Deadball Team Rebound.,43,24
17:39,300,Brandon Smith made Free Throw.,43,25
17:25,300,Foul on Tommy Rutherford.,43,25
17:10,300,Foul on Tommy Rutherford.,43,25
17:10,328,Jalen Moore made Free Throw.,44,25
17:10,328,Jalen Moore made Free Throw.,45,25
16:51,328,Ngor Barnaba missed Jumper.,45,25
16:51,300,Evan Leonard Defensive Rebound.,45,25
16:44,328,Norbert Janicek made Layup. Assisted by Jalen Moore.,47,25
16:31,300,Eyassu Worku missed Three Point Jumper.,47,25
16:31,300,Tommy Rutherford Offensive Rebound.,47,25
16:26,300,Jaron Martin made Three Point Jumper. Assisted by Tommy Rutherford.,47,28
16:09,328,Norbert Janicek made Jumper.,49,28
15:47,300,Eyassu Worku missed Jumper.,49,28
15:47,300,Jonathan Galloway Offensive Rebound.,49,28
15:44,300,Jonathan Galloway missed Jumper.,49,28
15:44,300,Jonathan Galloway Offensive Rebound.,49,28
15:36,300,Official TV Timeout,49,28
15:25,300,Jaron Martin missed Layup.,49,28
15:25,328,Ngor Barnaba Defensive Rebound.,49,28
15:04,300,Foul on John Edgar Jr..,49,28
14:51,328,Jalen Moore made Jumper. Assisted by Koby McEwen.,51,28
14:30,300,Evan Leonard made Free Throw.,51,30
14:30,300,Evan Leonard made Free Throw.,51,29
14:28,328,Foul on Alexis Dargenton.,51,30
14:17,328,Koby McEwen Turnover.,51,30
14:16,300,Jaron Martin Steal.,51,30
13:56,300,John Edgar Jr. missed Three Point Jumper.,51,30
13:56,300,Tommy Rutherford Offensive Rebound.,51,30
13:54,328,Foul on Ngor Barnaba.,51,30
13:49,300,Foul on Tommy Rutherford.,51,30
13:49,300,Tommy Rutherford Turnover.,51,30
13:38,328,Sam Merrill missed Three Point Jumper.,51,30
13:38,300,Tommy Rutherford Defensive Rebound.,51,30
13:32,328,Foul on Alexis Dargenton.,51,30
13:17,300,Evan Leonard missed Jumper.,51,30
13:17,328,Julion Pearre Defensive Rebound.,51,30
12:56,328,Foul on Shane Rector.,51,30
12:56,328,Shane Rector Turnover.,51,30
12:42,300,John Edgar Jr. made Jumper. Assisted by Eyassu Worku.,51,32
12:17,328,Ngor Barnaba made Three Point Jumper. Assisted by Shane Rector.,54,32
11:54,300,Eyassu Worku missed Jumper.,54,32
11:54,300,Brad Greene Offensive Rebound.,54,32
11:52,300,Brad Greene made Jumper.,54,34
11:52,328,Foul on Ngor Barnaba.,54,34
11:52,300,Official TV Timeout,54,34
11:52,300,Brad Greene made Free Throw.,54,35
11:35,300,Foul on Evan Leonard.,54,35
11:28,328,Alexis Dargenton missed Jumper.,54,35
11:28,300,Brad Greene Defensive Rebound.,54,35
11:10,300,John Edgar Jr. made Three Point Jumper. Assisted by Max Hazzard.,54,38
10:47,328,Koby McEwen made Layup.,56,38
10:29,300,Eyassu Worku made Jumper. Assisted by Evan Leonard.,56,40
10:09,328,Alexis Dargenton Turnover.,56,40
10:08,300,Evan Leonard Steal.,56,40
10:05,300,Evan Leonard made Layup.,56,42
9:46,300,Foul on John Edgar Jr..,56,42
9:37,300,Foul on Evan Leonard.,56,42
9:37,328,Jalen Moore made Free Throw.,57,42
9:37,328,Jalen Moore made Free Throw.,58,42
9:37,328,Utah State  Timeout,58,42
9:15,328,Alexis Dargenton missed Three Point Jumper.,58,42
9:09,300,John Edgar Jr. missed Three Point Jumper.,58,42
9:09,328,Koby McEwen Defensive Rebound.,58,42
9:05,328,Sam Merrill missed Three Point Jumper.,58,42
9:05,300,UC Irvine Defensive Rebound.,58,42
8:57,300,Eyassu Worku Turnover.,58,42
8:42,300,Foul on Eyassu Worku.,58,42
8:42,328,Norbert Janicek missed Free Throw.,58,42
8:42,300,Max Hazzard Defensive Rebound.,58,42
8:20,300,Eyassu Worku missed Jumper.,58,42
8:20,328,Norbert Janicek Defensive Rebound.,58,42
8:08,328,Koby McEwen made Jumper.,60,42
7:49,300,Max Hazzard missed Jumper.,60,42
7:49,328,Quinn Taylor Defensive Rebound.,60,42
7:42,328,Koby McEwen made Layup.,62,42
7:41,300,Foul on John Edgar Jr..,62,42
7:41,300,Official TV Timeout,62,42
7:41,328,Koby McEwen missed Free Throw.,62,42
7:41,300,Ioannis Dimakopoulos Defensive Rebound.,62,42
7:20,328,Foul on Norbert Janicek.,62,42
7:20,300,Ioannis Dimakopoulos made Free Throw.,62,43
7:20,300,Ioannis Dimakopoulos made Free Throw.,62,44
7:01,328,Quinn Taylor missed Three Point Jumper.,62,44
7:01,300,Brandon Smith Defensive Rebound.,62,44
6:43,300,Brandon Smith missed Jumper.,62,44
6:43,328,Jalen Moore Defensive Rebound.,62,44
6:34,328,Jalen Moore made Layup.,64,44
6:12,300,Ioannis Dimakopoulos made Jumper. Assisted by Max Hazzard.,64,46
5:52,328,Shane Rector missed Jumper.,64,46
5:52,300,Max Hazzard Defensive Rebound.,64,46
5:32,328,Foul on Quinn Taylor.,64,46
5:32,300,Ioannis Dimakopoulos missed Free Throw.,64,46
