Le Tourneau,Error,Sam Houston State,2534
time,team_id,description,h_score,a_score
19:38,2534,Dakarai Henderson missed Three Point Jumper.,0,0
19:38,2326,Caylab Herrera Defensive Rebound.,0,0
19:08,2326,Caleb Loggins missed Jumper.,0,0
19:08,2534,Jamal Williams Defensive Rebound.,0,0
19:00,2534,Jamal Williams missed Jumper.,0,0
19:00,2326,Caylab Herrera Defensive Rebound.,0,0
18:38,2534,Foul on Aurimas Majauskas.,0,0
18:38,2326,C.J. Bird made Free Throw.,1,0
18:38,2326,C.J. Bird made Free Throw.,2,0
18:24,2534,Christopher Galbreath Jr. made Layup.,2,2
18:24,2326,Foul on Caleb Loggins.,2,2
18:24,2534,Jamal Williams missed Free Throw.,2,2
18:24,2326,C.J. Bird Defensive Rebound.,2,2
18:19,2326,Sam Talbert made Three Point Jumper. Assisted by Caleb Loggins.,5,2
18:07,2534,Jamal Williams missed Layup.,5,2
18:07,2534,Jamal Williams Offensive Rebound.,5,2
17:49,2326,Foul on Caleb Loggins.,5,2
17:46,2534,Jamal Williams missed Jumper.,5,2
17:46,2534,Jamal Williams Offensive Rebound.,5,2
17:44,2326,Foul on Jeff Martin.,5,2
17:43,2534,Aurimas Majauskas made Layup. Assisted by Paul Baxter.,5,4
17:11,2326,C.J. Bird made Layup. Assisted by Jeff Martin.,7,4
17:11,2534,Foul on Aurimas Majauskas.,7,4
17:11,2326,C.J. Bird missed Free Throw.,7,4
17:11,2326,Jeff Martin Offensive Rebound.,7,4
16:49,2326,Sam Talbert missed Three Point Jumper.,7,4
16:49,2534,Christopher Galbreath Jr. Defensive Rebound.,7,4
16:43,2534,Foul on Christopher Galbreath Jr..,7,4
16:43,2534,Christopher Galbreath Jr. Turnover.,7,4
16:23,2326,Christian Seidl missed Layup.,7,4
16:23,2534,Torry Butler Defensive Rebound.,7,4
16:16,2534,John Dewey III made Layup. Assisted by Torry Butler.,7,6
15:57,2326,Sam Talbert made Layup.,9,6
15:42,2534,Aurimas Majauskas made Layup. Assisted by Torry Butler.,9,8
15:20,2326,Jeff Martin missed Jumper.,9,8
15:20,2534,Torry Butler Defensive Rebound.,9,8
15:07,2534,Torry Butler made Jumper. Assisted by John Dewey III.,9,10
14:51,2326,Caylab Herrera missed Three Point Jumper.,9,10
14:51,2534,Torry Butler Defensive Rebound.,9,10
14:44,2326,Foul on Christian Seidl.,9,10
14:44,2534,Sam Houston St  Timeout,9,10
14:44,2534,John Dewey III missed Free Throw.,9,10
14:44,2534,Sam Houston St Deadball Team Rebound.,9,10
14:44,2534,John Dewey III made Free Throw.,9,11
14:41,2326,C.J. Bird made Layup.,11,11
14:35,2534,Jamal Williams Turnover.,11,11
14:33,2326,Christian Seidl Steal.,11,11
