Bridgewater,Error,William &amp; Mary,2729
time,team_id,description,h_score,a_score
19:50,2729,Paul Rowley missed Three Point Jumper.,0,0
19:50,2079,Romello Crowell Defensive Rebound.,0,0
19:40,2729,Foul on Jack Whitman.,0,0
19:40,2079,Romello Crowell missed Free Throw.,0,0
19:40,2079,Bridgewater (VA) Deadball Team Rebound.,0,0
19:40,2079,Romello Crowell made Free Throw.,1,0
19:26,2729,Omar Prewitt made Three Point Jumper. Assisted by David Cohn.,1,3
19:08,2079,Bryce Boggs Turnover.,1,3
19:07,2729,Omar Prewitt Steal.,1,3
19:00,2729,Omar Prewitt missed Jumper.,1,3
19:00,2079,Bryce Boggs Block.,1,3
18:58,2079,Bryce Boggs Defensive Rebound.,1,3
18:54,2079,Bryce Boggs missed Layup.,1,3
18:54,2729,Paul Rowley Block.,1,3
18:54,2079,Bridgewater (VA) Offensive Rebound.,1,3
18:40,2079,Jesse Case missed Three Point Jumper.,1,3
18:40,2729,Omar Prewitt Defensive Rebound.,1,3
18:34,2729,David Cohn Turnover.,1,3
18:34,2079,Romello Crowell Steal.,1,3
18:22,2079,Kevin Saylor made Jumper.,3,3
18:09,2079,Foul on Kevin Saylor.,3,3
18:00,2729,David Cohn Turnover.,3,3
17:46,2079,Kevin Saylor made Layup.,5,3
17:28,2729,Omar Prewitt missed Three Point Jumper.,5,3
17:28,2729,Omar Prewitt Offensive Rebound.,5,3
17:25,2729,Omar Prewitt made Layup.,5,5
17:07,2079,Romello Crowell missed Three Point Jumper.,5,5
17:07,2729,Jack Whitman Defensive Rebound.,5,5
17:01,2729,David Cohn made Layup.,5,7
17:01,2079,Foul on Bryce Boggs.,5,7
17:01,2729,David Cohn made Free Throw.,5,8
16:32,2079,Efe Balfour missed Layup.,5,8
16:32,2729,Jack Whitman Block.,5,8
16:31,2729,David Cohn Defensive Rebound.,5,8
16:25,2729,Daniel Dixon made Three Point Jumper. Assisted by David Cohn.,5,11
16:06,2079,Jesse Case Turnover.,5,11
16:05,2729,David Cohn Steal.,5,11
15:54,2729,Daniel Dixon missed Three Point Jumper.,5,11
15:54,2079,Kevin Saylor Defensive Rebound.,5,11
15:46,2079,Jesse Case missed Three Point Jumper.,5,11
15:44,2729,Foul on Greg Malinowski.,5,11
15:44,2729,Official TV Timeout,5,11
15:44,2079,Bridgewater (VA) Offensive Rebound.,5,11
15:30,2079,Romello Crowell Turnover.,5,11
15:29,2729,Nathan Knight Steal.,5,11
15:26,2729,David Cohn Turnover.,5,11
15:25,2079,Jesse Case Steal.,5,11
15:23,2079,Jesse Case Turnover.,5,11
15:21,2729,Greg Malinowski Steal.,5,11
15:07,2729,Nathan Knight Turnover.,5,11
15:07,2729,Foul on Nathan Knight.,5,11
14:51,2079,Bryce Boggs made Jumper.,7,11
14:34,2729,Daniel Dixon made Three Point Jumper. Assisted by Greg Malinowski.,7,14
14:10,2079,Jesse Case missed Layup.,7,14
14:10,2729,Omar Prewitt Block.,7,14
14:07,2729,David Cohn Defensive Rebound.,7,14
14:00,2729,Omar Prewitt Turnover.,7,14
13:59,2079,Bryce Boggs Steal.,7,14
13:44,2079,Romello Crowell Turnover.,7,14
13:43,2729,Omar Prewitt Steal.,7,14
13:38,2729,David Cohn missed Three Point Jumper.,7,14
13:38,2729,Nathan Knight Offensive Rebound.,7,14
13:35,2729,Nathan Knight made Layup.,7,16
13:17,2079,Zach Kopp missed Jumper.,7,16
13:17,2729,David Cohn Defensive Rebound.,7,16
13:07,2729,Omar Prewitt made Jumper. Assisted by David Cohn.,7,18
13:06,2079,Bridgewater (VA)  Timeout,7,18
12:47,2729,Foul on Justin Pierce.,7,18
12:47,2079,Bryce Boggs missed Free Throw.,7,18
12:47,2079,Bridgewater (VA) Deadball Team Rebound.,7,18
12:47,2079,Bryce Boggs made Free Throw.,8,18
12:38,2729,Nathan Knight missed Three Point Jumper.,8,18
12:38,2079,Bryce Boggs Defensive Rebound.,8,18
12:27,2079,Kevin Saylor missed Three Point Jumper.,8,18
12:27,2729,Omar Prewitt Defensive Rebound.,8,18
12:18,2729,Omar Prewitt missed Layup.,8,18
12:18,2079,Joe Lewis Defensive Rebound.,8,18
12:00,2079,Keonte Dennis made Jumper.,10,18
11:40,2079,Foul on Paul Brown.,10,18
11:40,2729,Official TV Timeout,10,18
11:37,2729,David Cohn missed Jumper.,10,18
11:37,2729,Jack Whitman Offensive Rebound.,10,18
11:33,2729,Jack Whitman made Layup.,10,20
10:55,2079,Kevin Saylor missed Three Point Jumper.,10,20
10:55,2079,Efe Balfour Offensive Rebound.,10,20
