Illinois Tech,Error,Chicago State,2130
time,team_id,description,h_score,a_score
19:44,2130,Deionte Simmons missed Jumper.,0,0
19:44,-1,Samuel Rarick Defensive Rebound.,0,0
19:12,-1,Anthony Mosley Jr. Turnover.,0,0
19:11,2130,Deionte Simmons Steal.,0,0
19:07,2130,Fred Sims Jr. made Jumper. Assisted by Glen Burns.,0,2
18:42,-1,Malik Howze made Jumper.,2,2
18:24,2130,Clemmye Owens V missed Layup.,2,2
18:24,2130,Clemmye Owens V Offensive Rebound.,2,2
18:21,2130,Clemmye Owens V made Layup.,2,4
18:09,-1,Samuel Rarick missed Layup.,2,4
18:09,2130,Fred Sims Jr. Block.,2,4
18:06,-1,Samuel Rarick Defensive Rebound.,2,4
18:05,-1,Malik Howze Turnover.,2,4
18:04,2130,Fred Sims Jr. Steal.,2,4
18:00,2130,Fred Sims Jr. missed Layup.,2,4
18:00,-1,Max Hisitake Block.,2,4
17:58,-1,Samuel Rarick Defensive Rebound.,2,4
17:54,-1,Anthony Mosley Jr. made Layup. Assisted by Malik Howze.,4,4
17:43,-1,Foul on Samuel Rarick.,4,4
17:43,2130,Trayvon Palmer made Free Throw.,4,5
17:43,2130,Trayvon Palmer made Free Throw.,4,6
17:41,-1,Samuel Rarick missed Jumper.,4,6
17:41,2130,Fred Sims Jr. Defensive Rebound.,4,6
17:38,2130,Clemmye Owens V made Three Point Jumper. Assisted by Fred Sims Jr..,4,9
17:14,-1,Samuel Rarick made Layup. Assisted by Anthony Mosley Jr..,6,9
16:33,-1,Foul on Malik Howze.,6,9
16:26,-1,Foul on Parker Joncus.,6,9
16:20,2130,Glen Burns made Layup.,6,11
16:17,-1,Foul on Max Hisitake.,6,11
16:17,2130,Glen Burns made Free Throw.,6,12
16:07,-1,Malik Howze missed Three Point Jumper.,6,12
16:07,-1,Illinois Inst Technology Offensive Rebound.,6,12
15:58,-1,Parker Joncus made Three Point Jumper. Assisted by Anthony Mosley Jr..,9,12
15:38,2130,Clemmye Owens V made Jumper.,9,14
15:21,2130,Foul on Clemmye Owens V.,9,14
15:21,2130,Official TV Timeout,9,14
