Louisiana,147,Montana State,309
time,team_id,description,h_score,a_score
19:46,147,Foul on Zach Green.,0,0
19:24,309,Frank Bartley IV missed Three Point Jumper.,0,0
19:24,147,Quinton Everett Defensive Rebound.,0,0
19:12,309,Foul on Bryce Washington.,0,0
19:11,309,Foul on Justin Miller.,0,0
18:54,147,Quinton Everett made Layup.,0,2
18:54,309,Foul on Johnathan Stove.,0,2
18:54,147,Quinton Everett missed Free Throw.,0,2
18:54,309,Bryce Washington Defensive Rebound.,0,2
18:35,147,Foul on Quinton Everett.,0,2
18:35,309,Justin Miller made Free Throw.,1,2
18:35,309,Justin Miller made Free Throw.,2,2
18:12,147,Harald Frey Turnover.,2,2
17:59,147,Foul on Sam Neumann.,2,2
17:37,147,Foul on Benson Osayande.,2,2
17:37,309,Justin Miller made Free Throw.,3,2
17:37,309,Justin Miller made Free Throw.,4,2
17:29,147,Foul on Benson Osayande.,4,2
17:21,309,Frank Bartley IV made Three Point Jumper. Assisted by Jay Wright.,7,2
17:11,147,Tyler Hall missed Jumper.,7,2
17:11,309,Jay Wright Defensive Rebound.,7,2
17:03,309,Frank Bartley IV made Three Point Jumper. Assisted by Johnathan Stove.,10,2
16:39,309,Foul on Jay Wright.,10,2
16:30,147,Quinton Everett missed Three Point Jumper.,10,2
16:30,309,Bryce Washington Defensive Rebound.,10,2
16:04,309,Johnathan Stove made Jumper.,12,2
15:53,147,Sarp Gobeloglu made Layup. Assisted by Quinton Everett.,12,4
15:46,309,Jay Wright missed Three Point Jumper.,12,4
15:46,309,Johnathan Stove Offensive Rebound.,12,4
15:41,309,Foul on Johnathan Stove.,12,4
15:41,309,Johnathan Stove Turnover.,12,4
15:41,147,Montana St  Timeout,12,4
15:27,309,Foul on Frank Bartley IV.,12,4
15:27,147,Tyler Hall made Free Throw.,12,5
15:27,147,Tyler Hall made Free Throw.,12,6
15:22,147,Foul on Devin Kirby.,12,6
15:19,309,Frank Bartley IV made Three Point Jumper. Assisted by Larenz Stalcup.,15,6
14:40,309,Bryce Washington made Layup.,17,6
14:15,147,Foul on Joe Mvuezolo Jr..,17,6
14:15,147,Joe Mvuezolo Jr. Turnover.,17,6
13:54,309,Larenz Stalcup missed Jumper.,17,6
13:54,147,Tyler Hall Defensive Rebound.,17,6
13:43,147,Zach Green made Three Point Jumper. Assisted by Devonte Klines.,17,9
13:28,309,Foul on Frank Bartley IV.,17,9
13:28,309,Frank Bartley IV Turnover.,17,9
13:15,147,Joe Mvuezolo Jr. missed Three Point Jumper.,17,9
13:15,309,Kadavion Evans Defensive Rebound.,17,9
12:54,147,Zach Green Steal.,17,9
12:53,309,Jay Wright Turnover.,17,9
