High Point,259,Virginia Tech,2272
time,team_id,description,h_score,a_score
19:43,259,Chris Clarke made Jumper. Assisted by Justin Robinson.,0,2
19:09,2272,Miles Bowman Jr. missed Jumper.,0,2
19:09,259,Justin Robinson Defensive Rebound.,0,2
19:01,259,Ahmed Hill made Three Point Jumper. Assisted by Chris Clarke.,0,5
18:29,2272,Jamal Wright missed Jumper.,0,5
18:29,259,Virginia Tech Deadball Team Rebound.,0,5
18:16,259,Justin Bibbs missed Three Point Jumper.,0,5
18:16,2272,Jamal Wright Defensive Rebound.,0,5
18:10,2272,Ricky Madison Turnover.,0,5
18:10,2272,Foul on Ricky Madison.,0,5
17:59,259,Khadim Sy Turnover.,0,5
17:59,259,Foul on Khadim Sy.,0,5
17:43,2272,Miles Bowman Jr. made Jumper.,2,5
17:33,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Robinson.,2,8
17:21,2272,Andre Fox made Three Point Jumper. Assisted by Jamal Wright.,5,8
16:54,259,Chris Clarke made Dunk. Assisted by Justin Bibbs.,5,10
16:41,2272,Miles Bowman Jr. missed Layup.,5,10
16:41,259,Khadim Sy Block.,5,10
16:40,259,Justin Robinson Defensive Rebound.,5,10
16:36,259,Chris Clarke Turnover.,5,10
16:17,2272,Jamal Wright missed Jumper.,5,10
16:17,259,Justin Bibbs Defensive Rebound.,5,10
16:10,259,Justin Robinson made Layup.,5,12
16:10,2272,Foul on Jamal Wright.,5,12
16:10,259,Justin Robinson made Free Throw.,5,13
15:58,2272,Tarique Thompson made Three Point Jumper. Assisted by Anthony Lindauer.,8,13
15:28,259,Justin Bibbs made Three Point Jumper. Assisted by Ahmed Hill.,8,16
15:06,2272,Miles Bowman Jr. missed Jumper.,8,16
15:06,259,Ahmed Hill Defensive Rebound.,8,16
14:57,259,Zach LeDay made Layup.,8,18
14:57,2272,Foul on Tarique Thompson.,8,18
14:57,259,Official TV Timeout,8,18
14:57,259,Zach LeDay made Free Throw.,8,19
14:43,2272,Andre Fox made Layup.,10,19
14:43,259,Foul on Ahmed Hill.,10,19
14:43,2272,Andre Fox missed Free Throw.,10,19
14:43,259,Zach LeDay Defensive Rebound.,10,19
14:19,259,Seth Allen made Three Point Jumper. Assisted by Zach LeDay.,10,22
14:04,2272,Tarique Thompson missed Jumper.,10,22
14:04,259,Ahmed Hill Defensive Rebound.,10,22
13:47,259,Ahmed Hill made Three Point Jumper. Assisted by Justin Bibbs.,10,25
13:29,2272,Andre Fox missed Layup.,10,25
13:29,259,Johnny Hamilton Defensive Rebound.,10,25
13:15,259,Zach LeDay made Layup.,10,27
13:08,2272,High Point  Timeout,10,27
12:57,2272,Anthony Lindauer Turnover.,10,27
12:56,259,Ahmed Hill Steal.,10,27
12:53,259,Seth Allen made Layup.,10,29
12:38,259,Foul on Justin Robinson.,10,29
12:24,259,Foul on Justin Robinson.,10,29
12:24,2272,Anthony Lindauer made Free Throw.,11,29
12:24,2272,Anthony Lindauer made Free Throw.,12,29
12:06,259,Seth Allen made Layup.,12,31
11:58,2272,Jamal Wright missed Three Point Jumper.,12,31
11:58,259,Virginia Tech Deadball Team Rebound.,12,31
11:56,259,Official TV Timeout,12,31
11:37,259,Ty Outlaw made Three Point Jumper. Assisted by Justin Bibbs.,12,34
11:15,2272,Miles Bowman Jr. Turnover.,12,34
11:13,259,Seth Allen Steal.,12,34
11:09,2272,Foul on Austin White.,12,34
11:08,259,Justin Bibbs made Jumper. Assisted by Seth Allen.,12,36
10:53,2272,Andre Fox missed Jumper.,12,36
10:53,2272,Miles Bowman Jr. Offensive Rebound.,12,36
10:46,2272,Miles Bowman Jr. made Jumper.,14,36
10:19,259,Justin Bibbs missed Three Point Jumper.,14,36
10:19,2272,Miles Bowman Jr. Defensive Rebound.,14,36
10:09,259,Foul on Justin Bibbs.,14,36
10:09,2272,Anthony Lindauer made Free Throw.,15,36
10:09,2272,Anthony Lindauer made Free Throw.,16,36
9:57,259,Ty Outlaw made Three Point Jumper. Assisted by Seth Allen.,16,39
9:38,2272,Ricky Madison Turnover.,16,39
9:25,2272,Foul on Tarique Thompson.,16,39
9:25,259,Seth Allen made Free Throw.,16,40
9:25,259,Seth Allen made Free Throw.,16,41
9:10,2272,Andre Fox missed Three Point Jumper.,16,41
9:10,259,Khadim Sy Defensive Rebound.,16,41
8:58,259,Ty Outlaw missed Layup.,16,41
8:58,2272,Miles Bowman Jr. Defensive Rebound.,16,41
8:46,2272,Jalen Williams made Layup.,18,41
8:46,259,Foul on Justin Bibbs.,18,41
8:46,2272,Jalen Williams missed Free Throw.,18,41
8:46,259,Seth Allen Defensive Rebound.,18,41
8:38,259,Seth Allen missed Layup.,18,41
8:37,259,Khadim Sy Offensive Rebound.,18,41
8:37,2272,Luke Vargo Block.,18,41
8:36,2272,Foul on Luke Vargo.,18,41
8:36,259,Khadim Sy made Free Throw.,18,42
8:36,259,Khadim Sy missed Free Throw.,18,42
8:36,2272,Luke Vargo Defensive Rebound.,18,42
8:24,2272,Jalen Williams missed Jumper.,18,42
8:24,259,Khadim Sy Defensive Rebound.,18,42
8:08,259,Seth Allen made Layup.,18,44
7:42,2272,Andre Fox missed Layup.,18,44
7:42,259,Seth Allen Defensive Rebound.,18,44
7:37,259,Ahmed Hill made Layup.,18,46
7:37,2272,Foul on Austin White.,18,46
7:37,259,Official TV Timeout,18,46
7:37,259,Ahmed Hill missed Free Throw.,18,46
7:37,2272,Cliff Thomas Jr. Defensive Rebound.,18,46
7:19,2272,Andre Fox made Three Point Jumper. Assisted by Ricky Madison.,21,46
7:05,259,Zach LeDay made Layup.,21,48
6:46,2272,Anthony Lindauer Turnover.,21,48
6:45,259,Zach LeDay Steal.,21,48
6:41,2272,Foul on Ricky Madison.,21,48
6:41,259,Zach LeDay made Free Throw.,21,49
6:41,259,Zach LeDay missed Free Throw.,21,49
6:41,2272,Cliff Thomas Jr. Defensive Rebound.,21,49
6:41,259,Foul on Chris Clarke.,21,49
6:41,2272,Cliff Thomas Jr. made Free Throw.,22,49
6:41,2272,Cliff Thomas Jr. missed Free Throw.,22,49
6:41,2272,Miles Bowman Jr. Offensive Rebound.,22,49
6:36,2272,Andre Fox made Three Point Jumper. Assisted by Jamal Wright.,25,49
6:07,259,Zach LeDay made Jumper.,25,51
5:39,2272,Anthony Lindauer missed Three Point Jumper.,25,51
5:39,259,Chris Clarke Defensive Rebound.,25,51
5:28,259,Ahmed Hill made Three Point Jumper. Assisted by Seth Allen.,25,54
4:59,2272,Andre Fox Turnover.,25,54
4:45,259,Khadim Sy made Dunk. Assisted by Chris Clarke.,25,56
4:24,2272,Andre Fox missed Three Point Jumper.,25,56
4:24,259,Zach LeDay Defensive Rebound.,25,56
4:11,259,Khadim Sy missed Jumper.,25,56
4:11,259,Khadim Sy Offensive Rebound.,25,56
4:07,259,Khadim Sy made Layup.,25,58
3:51,2272,Jamal Wright Turnover.,25,58
3:50,259,Chris Clarke Steal.,25,58
3:45,259,Seth Allen Turnover.,25,58
3:45,259,Official TV Timeout,25,58
3:28,259,Foul on Zach LeDay.,25,58
3:28,2272,Miles Bowman Jr. made Free Throw.,26,58
3:28,2272,Miles Bowman Jr. made Free Throw.,27,58
3:28,2272,Miles Bowman Jr. missed Free Throw.,27,58
3:28,259,Zach LeDay Defensive Rebound.,27,58
3:08,259,Zach LeDay missed Three Point Jumper.,27,58
3:08,2272,Andre Fox Defensive Rebound.,27,58
2:59,2272,Jamal Wright Turnover.,27,58
2:58,259,Ahmed Hill Steal.,27,58
2:55,259,Chris Clarke Turnover.,27,58
2:55,259,Foul on Chris Clarke.,27,58
2:40,2272,Anthony Lindauer missed Jumper.,27,58
2:40,259,Seth Allen Block.,27,58
2:38,259,Zach LeDay Defensive Rebound.,27,58
2:36,259,Zach LeDay made Dunk. Assisted by Ahmed Hill.,27,60
2:21,2272,Miles Bowman Jr. made Three Point Jumper. Assisted by Anthony Lindauer.,30,60
1:52,259,Seth Allen missed Three Point Jumper.,30,60
1:52,2272,Jamal Wright Defensive Rebound.,30,60
1:32,259,Foul on Zach LeDay.,30,60
1:32,2272,Miles Bowman Jr. made Free Throw.,31,60
1:32,2272,Miles Bowman Jr. made Free Throw.,32,60
1:21,259,Matt Galloway missed Three Point Jumper.,32,60
1:21,2272,Miles Bowman Jr. Defensive Rebound.,32,60
1:02,2272,Jamal Wright made Jumper.,34,60
0:49,259,Ty Outlaw Turnover.,34,60
0:49,2272,Jalen Williams Steal.,34,60
0:38,2272,Andre Fox Turnover.,34,60
0:37,259,Johnny Hamilton Steal.,34,60
0:34,259,Virginia Tech  Timeout,34,60
0:14,259,Matt Galloway missed Three Point Jumper.,34,60
0:14,2272,Miles Bowman Jr. Defensive Rebound.,34,60
0:00,2272,Andre Fox missed Jumper.,34,60
0:00,2272,High Point Deadball Team Rebound.,34,60
0:00,259,End of 1st half,34,60
19:36,259,Khadim Sy missed Layup.,34,60
19:36,259,Khadim Sy Offensive Rebound.,34,60
19:34,259,Khadim Sy made Layup.,34,62
19:17,2272,Andre Fox made Three Point Jumper. Assisted by Anthony Lindauer.,37,62
19:03,259,Khadim Sy made Dunk. Assisted by Chris Clarke.,37,64
18:45,259,Foul on Khadim Sy.,37,64
18:41,2272,Miles Bowman Jr. missed Jumper.,37,64
18:41,259,Chris Clarke Defensive Rebound.,37,64
18:31,259,Justin Bibbs missed Three Point Jumper.,37,64
18:31,2272,Ricky Madison Defensive Rebound.,37,64
18:22,2272,Andre Fox made Layup.,39,64
17:58,259,Justin Robinson missed Three Point Jumper.,39,64
17:58,259,Khadim Sy Offensive Rebound.,39,64
17:54,259,Khadim Sy missed Layup.,39,64
17:54,2272,Miles Bowman Jr. Defensive Rebound.,39,64
17:46,2272,Jamal Wright made Layup.,41,64
17:46,259,Virginia Tech  Timeout,41,64
17:46,259,Official TV Timeout,41,64
17:21,259,Johnny Hamilton made Layup. Assisted by Justin Robinson.,41,66
17:21,2272,Foul on Tarique Thompson.,41,66
17:21,259,Johnny Hamilton missed Free Throw.,41,66
17:21,2272,Tarique Thompson Defensive Rebound.,41,66
17:04,259,Foul on Seth Allen.,41,66
16:58,2272,Jamal Wright made Three Point Jumper.,44,66
16:38,259,Ahmed Hill missed Three Point Jumper.,44,66
16:38,259,Justin Robinson Offensive Rebound.,44,66
16:29,259,Justin Robinson missed Three Point Jumper.,44,66
16:29,2272,Andre Fox Defensive Rebound.,44,66
16:22,2272,Jamal Wright missed Three Point Jumper.,44,66
