Weber State,24,Stanford,2692
time,team_id,description,h_score,a_score
19:38,24,Michael Humphrey missed Layup.,0,0
19:38,2692,Zach Braxton Defensive Rebound.,0,0
19:14,2692,Cody John Turnover.,0,0
19:01,24,Dorian Pickens Turnover.,0,0
19:00,2692,Zach Braxton Steal.,0,0
18:33,2692,McKay Cannon missed Three Point Jumper.,0,0
18:33,24,Reid Travis Defensive Rebound.,0,0
18:13,24,Christian Sanders made Jumper. Assisted by Michael Humphrey.,0,2
17:52,2692,Kyndahl Hill made Layup.,2,2
17:44,24,Marcus Allen missed Layup.,2,2
17:44,2692,Kyndahl Hill Block.,2,2
17:42,2692,Zach Braxton Defensive Rebound.,2,2
17:38,2692,Jeremy Senglin made Three Point Jumper. Assisted by McKay Cannon.,5,2
17:19,24,Michael Humphrey made Jumper. Assisted by Christian Sanders.,5,4
16:55,2692,Jeremy Senglin missed Three Point Jumper.,5,4
16:55,24,Christian Sanders Defensive Rebound.,5,4
16:46,24,Reid Travis made Layup. Assisted by Dorian Pickens.,5,6
16:26,2692,Cody John made Jumper. Assisted by McKay Cannon.,7,6
16:10,24,Michael Humphrey missed Three Point Jumper.,7,6
16:10,2692,Jeremy Senglin Defensive Rebound.,7,6
16:01,24,Foul on Marcus Allen.,7,6
16:01,2692,Jeremy Senglin made Free Throw.,8,6
16:01,2692,Jeremy Senglin made Free Throw.,9,6
15:47,24,Official TV Timeout,9,6
15:38,2692,Foul on Kyndahl Hill.,9,6
15:37,2692,Foul on Zach Braxton.,9,6
15:25,24,Dorian Pickens made Layup. Assisted by Robert Cartwright.,9,8
15:08,2692,Cody John missed Jumper.,9,8
15:08,24,Michael Humphrey Defensive Rebound.,9,8
14:58,24,Robert Cartwright Turnover.,9,8
14:58,2692,Kyndahl Hill Steal.,9,8
14:52,2692,Zach Braxton made Jumper. Assisted by Cody John.,11,8
14:30,24,Michael Humphrey missed Layup.,11,8
14:30,24,Reid Travis Offensive Rebound.,11,8
14:25,24,Reid Travis missed Jumper.,11,8
14:25,24,Reid Travis Offensive Rebound.,11,8
14:25,24,Reid Travis made Layup.,11,10
14:19,24,Foul on Robert Cartwright.,11,10
14:05,2692,Richaud Gittens missed Jumper.,11,10
14:05,2692,Richaud Gittens Offensive Rebound.,11,10
13:57,2692,Richaud Gittens made Layup.,13,10
13:46,24,Reid Travis missed Jumper.,13,10
13:46,2692,Jeremy Senglin Defensive Rebound.,13,10
13:39,2692,Jeremy Senglin missed Three Point Jumper.,13,10
13:39,2692,Zach Braxton Offensive Rebound.,13,10
13:23,2692,Kyndahl Hill missed Jumper.,13,10
13:23,24,Reid Travis Defensive Rebound.,13,10
13:09,24,Marcus Sheffield Turnover.,13,10
12:54,2692,Zach Braxton Turnover.,13,10
12:54,24,Robert Cartwright Steal.,13,10
12:51,24,Robert Cartwright missed Layup.,13,10
12:51,24,Grant Verhoeven Offensive Rebound.,13,10
12:47,24,Grant Verhoeven made Layup.,13,12
12:27,2692,Zach Braxton made Dunk. Assisted by Jeremy Senglin.,15,12
11:55,24,Dorian Pickens missed Jumper.,15,12
11:55,24,Grant Verhoeven Offensive Rebound.,15,12
11:47,24,Official TV Timeout,15,12
11:47,24,Grant Verhoeven Turnover.,15,12
11:32,2692,Jordan Dallas missed Jumper.,15,12
11:32,24,Stanford Defensive Rebound.,15,12
11:07,24,Marcus Sheffield Turnover.,15,12
11:07,24,Foul on Marcus Sheffield.,15,12
10:51,2692,Richaud Gittens Turnover.,15,12
10:51,2692,Foul on Richaud Gittens.,15,12
10:25,2692,Foul on Jordan Dallas.,15,12
10:25,24,Michael Humphrey missed Free Throw.,15,12
10:25,24,Stanford Deadball Team Rebound.,15,12
10:25,24,Michael Humphrey made Free Throw.,15,13
10:14,2692,Ryan Richardson Turnover.,15,13
10:13,24,Robert Cartwright Steal.,15,13
10:09,24,Reid Travis made Layup. Assisted by Robert Cartwright.,15,15
9:48,2692,Ryan Richardson missed Three Point Jumper.,15,15
9:48,24,Michael Humphrey Defensive Rebound.,15,15
9:26,24,Marcus Allen Turnover.,15,15
9:15,2692,Foul on Ryan Richardson.,15,15
9:15,2692,Ryan Richardson Turnover.,15,15
8:58,24,Dorian Pickens made Jumper.,15,17
8:39,2692,Jeremy Senglin Turnover.,15,17
8:29,24,Robert Cartwright made Three Point Jumper. Assisted by Reid Travis.,15,20
8:00,2692,Jeremy Senglin missed Three Point Jumper.,15,20
8:00,24,Christian Sanders Defensive Rebound.,15,20
7:53,24,Michael Humphrey made Layup. Assisted by Christian Sanders.,15,22
7:51,24,Official TV Timeout,15,22
7:51,2692,Weber State  Timeout,15,22
7:45,2692,Cody John made Layup.,17,22
7:28,24,Reid Travis made Layup. Assisted by Christian Sanders.,17,24
7:01,2692,Foul on Kyndahl Hill.,17,24
7:01,2692,Kyndahl Hill Turnover.,17,24
6:46,24,Dorian Pickens made Jumper.,17,26
6:13,24,Foul on Christian Sanders.,17,26
6:13,2692,Jeremy Senglin missed Free Throw.,17,26
6:13,2692,Weber State Deadball Team Rebound.,17,26
6:13,2692,Jeremy Senglin made Free Throw.,18,26
6:00,2692,Foul on Zach Braxton.,18,26
6:00,24,Reid Travis made Free Throw.,18,27
6:00,24,Reid Travis made Free Throw.,18,28
5:48,2692,Jeremy Senglin Turnover.,18,28
5:47,24,Robert Cartwright Steal.,18,28
5:44,24,Josh Sharma Turnover.,18,28
5:32,2692,Dusty Baker missed Three Point Jumper.,18,28
5:32,24,Robert Cartwright Defensive Rebound.,18,28
5:09,24,Dorian Pickens Turnover.,18,28
5:07,2692,Dusty Baker Steal.,18,28
5:03,2692,Cody John missed Three Point Jumper.,18,28
5:03,24,Josh Sharma Defensive Rebound.,18,28
4:47,24,Robert Cartwright missed Three Point Jumper.,18,28
4:47,2692,Cody John Defensive Rebound.,18,28
4:38,2692,Ryan Richardson Turnover.,18,28
4:29,24,Dorian Pickens made Three Point Jumper. Assisted by Marcus Sheffield.,18,31
3:57,24,Foul on Josh Sharma.,18,31
3:57,24,Official TV Timeout,18,31
3:40,2692,Jerrick Harding missed Three Point Jumper.,18,31
3:40,24,Josh Sharma Defensive Rebound.,18,31
3:31,24,Marcus Sheffield Turnover.,18,31
3:17,2692,Cody John made Layup.,20,31
2:59,24,Christian Sanders made Jumper.,20,33
2:41,2692,Dusty Baker missed Three Point Jumper.,20,33
2:41,2692,Zach Braxton Offensive Rebound.,20,33
2:32,24,Foul on Marcus Allen.,20,33
2:24,2692,Cody John missed Jumper.,20,33
2:24,24,Grant Verhoeven Defensive Rebound.,20,33
2:02,24,Dorian Pickens missed Three Point Jumper.,20,33
2:02,2692,Dusty Baker Defensive Rebound.,20,33
1:43,2692,Zach Braxton missed Jumper.,20,33
1:43,24,Grant Verhoeven Defensive Rebound.,20,33
1:15,2692,Foul on Zach Braxton.,20,33
1:15,24,Reid Travis made Free Throw.,20,34
1:15,24,Reid Travis missed Free Throw.,20,34
1:15,24,Robert Cartwright Offensive Rebound.,20,34
1:09,24,Stanford  Timeout,20,34
0:50,24,Dorian Pickens Turnover.,20,34
0:37,2692,McKay Cannon Turnover.,20,34
0:37,24,Michael Humphrey Steal.,20,34
0:37,2692,Foul on Jordan Dallas.,20,34
0:37,24,Michael Humphrey made Free Throw.,20,35
0:37,24,Michael Humphrey made Free Throw.,20,36
0:22,2692,Jerrick Harding missed Jumper.,20,36
0:22,24,Reid Travis Defensive Rebound.,20,36
0:05,24,Reid Travis Turnover.,20,36
0:01,2692,McKay Cannon missed Three Point Jumper.,20,36
0:01,24,Stanford Defensive Rebound.,20,36
0:00,24,End of 1st half,20,36
19:43,24,Michael Humphrey made Layup. Assisted by Dorian Pickens.,20,38
19:27,24,Foul on Reid Travis.,20,38
19:22,2692,Cody John missed Three Point Jumper.,20,38
19:22,2692,Zach Braxton Offensive Rebound.,20,38
19:18,24,Foul on Christian Sanders.,20,38
19:13,2692,McKay Cannon made Layup.,22,38
19:03,24,Foul on Michael Humphrey.,22,38
19:03,24,Michael Humphrey Turnover.,22,38
18:36,2692,Kyndahl Hill made Jumper. Assisted by McKay Cannon.,24,38
18:07,24,Josh Sharma missed Jumper.,24,38
18:07,24,Reid Travis Offensive Rebound.,24,38
18:05,2692,Foul on Kyndahl Hill.,24,38
18:03,24,Dorian Pickens missed Jumper.,24,38
18:03,2692,Zach Braxton Defensive Rebound.,24,38
17:55,24,Foul on Marcus Allen.,24,38
17:43,2692,Foul on Zach Braxton.,24,38
17:43,2692,Zach Braxton Turnover.,24,38
17:21,24,Dorian Pickens missed Three Point Jumper.,24,38
17:21,2692,Weber State Deadball Team Rebound.,24,38
17:20,24,Foul on Reid Travis.,24,38
17:00,2692,Jordan Dallas missed Jumper.,24,38
17:00,24,Reid Travis Defensive Rebound.,24,38
16:48,24,Marcus Sheffield made Jumper. Assisted by Christian Sanders.,24,40
16:28,2692,Cody John missed Layup.,24,40
16:28,24,Josh Sharma Block.,24,40
16:24,24,Reid Travis Defensive Rebound.,24,40
16:18,24,Josh Sharma made Three Point Jumper. Assisted by Marcus Sheffield.,24,43
15:50,24,Foul on Josh Sharma.,24,43
15:50,24,Official TV Timeout,24,43
15:50,2692,Kyndahl Hill made Free Throw.,25,43
15:50,2692,Kyndahl Hill missed Free Throw.,25,43
15:50,24,Reid Travis Defensive Rebound.,25,43
15:33,24,Reid Travis made Layup. Assisted by Robert Cartwright.,25,45
15:14,24,Foul on Robert Cartwright.,25,45
15:14,2692,McKay Cannon made Free Throw.,26,45
15:14,2692,McKay Cannon made Free Throw.,27,45
14:59,24,Robert Cartwright missed Three Point Jumper.,27,45
14:59,2692,McKay Cannon Defensive Rebound.,27,45
14:51,2692,Cody John made Layup. Assisted by McKay Cannon.,29,45
14:34,24,Reid Travis missed Jumper.,29,45
14:34,2692,Jeremy Senglin Defensive Rebound.,29,45
14:19,2692,Kyndahl Hill Turnover.,29,45
14:18,24,Josh Sharma Steal.,29,45
14:08,24,Josh Sharma made Jumper.,29,47
13:47,2692,Cody John missed Layup.,29,47
13:47,24,Reid Travis Defensive Rebound.,29,47
13:40,24,Marcus Sheffield missed Three Point Jumper.,29,47
13:40,2692,Cody John Defensive Rebound.,29,47
13:35,2692,Cody John made Layup.,31,47
13:07,24,Josh Sharma missed Layup.,31,47
13:07,24,Josh Sharma Offensive Rebound.,31,47
13:06,24,Josh Sharma made Layup.,31,49
12:40,2692,Jeremy Senglin made Layup.,33,49
12:28,24,Josh Sharma missed Three Point Jumper.,33,49
12:28,2692,Kyndahl Hill Defensive Rebound.,33,49
12:18,24,Foul on Josh Sharma.,33,49
12:18,2692,Jeremy Senglin made Free Throw.,34,49
12:18,2692,Jeremy Senglin missed Free Throw.,34,49
12:18,24,Josh Sharma Defensive Rebound.,34,49
12:13,24,Stanford  Timeout,34,49
12:13,24,Official TV Timeout,34,49
11:57,24,Robert Cartwright missed Jumper.,34,49
11:57,2692,McKay Cannon Defensive Rebound.,34,49
11:47,2692,Kyndahl Hill missed Jumper.,34,49
11:47,24,Josh Sharma Defensive Rebound.,34,49
11:34,2692,Foul on Jeremy Senglin.,34,49
11:34,24,Official TV Timeout,34,49
11:15,24,Christian Sanders missed Jumper.,34,49
11:15,24,Michael Humphrey Offensive Rebound.,34,49
11:13,24,Michael Humphrey missed Layup.,34,49
11:13,24,Christian Sanders Offensive Rebound.,34,49
11:02,24,Robert Cartwright missed Three Point Jumper.,34,49
11:02,2692,Weber State Deadball Team Rebound.,34,49
10:59,24,Foul on Michael Humphrey.,34,49
10:59,2692,Jordan Dallas made Free Throw.,35,49
10:59,2692,Jordan Dallas made Free Throw.,36,49
10:49,24,Michael Humphrey missed Layup.,36,49
10:49,2692,Jordan Dallas Block.,36,49
10:48,24,Stanford Offensive Rebound.,36,49
10:39,2692,Foul on Kyndahl Hill.,36,49
10:39,24,Reid Travis made Free Throw.,36,50
