Troy,5,UAB,2653
time,team_id,description,h_score,a_score
19:49,5,Hakeem Baxter missed Layup.,0,0
19:49,2653,Alex Hicks Defensive Rebound.,0,0
19:32,2653,Jordon Varnado missed Jumper.,0,0
19:32,2653,DeVon Walker Offensive Rebound.,0,0
19:28,2653,DeVon Walker made Layup.,2,0
19:08,5,Deion Lavender made Three Point Jumper. Assisted by Chris Cokley.,2,3
18:48,2653,Kevin Baker made Three Point Jumper. Assisted by DeVon Walker.,5,3
18:30,2653,Foul on Alex Hicks.,5,3
18:30,5,Chris Cokley made Free Throw.,5,4
18:30,5,Chris Cokley made Free Throw.,5,5
18:18,2653,Kevin Baker missed Three Point Jumper.,5,5
18:18,5,William Lee Defensive Rebound.,5,5
18:06,5,William Lee made Layup. Assisted by Chris Cokley.,5,7
17:51,2653,Jordon Varnado missed Jumper.,5,7
17:51,5,Deion Lavender Defensive Rebound.,5,7
17:43,5,Dirk Williams made Jumper. Assisted by Deion Lavender.,5,9
17:35,2653,Wesley Person missed Three Point Jumper.,5,9
17:35,5,Deion Lavender Defensive Rebound.,5,9
17:26,2653,Foul on Kevin Baker.,5,9
17:09,5,Chris Cokley made Layup. Assisted by Deion Lavender.,5,11
16:56,2653,Alex Hicks missed Jumper.,5,11
16:56,5,William Lee Defensive Rebound.,5,11
16:51,5,Deion Lavender Turnover.,5,11
16:29,2653,DeVon Walker missed Jumper.,5,11
16:29,5,William Lee Block.,5,11
16:26,5,Deion Lavender Defensive Rebound.,5,11
16:23,5,Dirk Williams Turnover.,5,11
16:22,2653,Kevin Baker Steal.,5,11
16:12,2653,Kevin Baker missed Three Point Jumper.,5,11
16:12,5,Chris Cokley Defensive Rebound.,5,11
15:49,5,Chris Cokley made Jumper. Assisted by Deion Lavender.,5,13
15:33,2653,Kevin Baker missed Three Point Jumper.,5,13
15:33,2653,Alex Hicks Offensive Rebound.,5,13
15:22,2653,Wesley Person missed Jumper.,5,13
15:22,5,William Lee Block.,5,13
15:22,5,Chris Cokley Defensive Rebound.,5,13
15:22,2653,Foul on DeVon Walker.,5,13
15:22,5,Official TV Timeout,5,13
15:06,5,Chris Cokley Turnover.,5,13
15:05,2653,Jordon Varnado Steal.,5,13
15:01,2653,Daniel Peace missed Layup.,5,13
