Winthrop,52,Florida State,2737
time,team_id,description,h_score,a_score
19:48,2737,Xavier Cooks made Dunk. Assisted by Joshua Davenport.,2,0
19:22,52,Michael Ojo missed Layup.,2,0
19:22,52,Michael Ojo Offensive Rebound.,2,0
19:18,52,Jonathan Isaac Turnover.,2,0
19:05,2737,Xavier Cooks made Jumper.,4,0
18:47,52,Dwayne Bacon missed Three Point Jumper.,4,0
18:47,2737,Duby Okeke Defensive Rebound.,4,0
18:38,2737,Joshua Davenport missed Layup.,4,0
18:38,52,Michael Ojo Defensive Rebound.,4,0
18:31,52,Xavier Rathan-Mayes made Three Point Jumper. Assisted by Dwayne Bacon.,4,3
18:17,2737,Duby Okeke made Dunk. Assisted by Xavier Cooks.,6,3
18:04,52,Michael Ojo made Layup. Assisted by Xavier Rathan-Mayes.,6,5
17:56,2737,Foul on Xavier Cooks.,6,5
17:56,2737,Xavier Cooks Turnover.,6,5
17:29,52,Dwayne Bacon made Dunk.,6,7
17:15,2737,Anders Broman made Jumper. Assisted by Joshua Davenport.,8,7
16:52,52,Terance Mann made Jumper.,8,9
16:44,52,Foul on Trent Forrest.,8,9
16:34,2737,Bjorn Broman made Three Point Jumper.,11,9
16:17,52,Phil Cofer made Layup.,11,11
16:06,2737,Bjorn Broman missed Three Point Jumper.,11,11
16:06,52,Trent Forrest Defensive Rebound.,11,11
15:55,52,Trent Forrest made Layup.,11,13
15:38,52,Foul on Michael Ojo.,11,13
15:38,52,Official TV Timeout,11,13
15:38,2737,Xavier Cooks made Free Throw.,12,13
15:38,2737,Xavier Cooks missed Free Throw.,12,13
15:38,52,Phil Cofer Defensive Rebound.,12,13
15:22,2737,Foul on Tevin Prescott.,12,13
15:00,52,Trent Forrest missed Jumper.,12,13
15:00,2737,Xavier Cooks Defensive Rebound.,12,13
14:51,2737,Xavier Cooks made Jumper.,14,13
14:37,52,Dwayne Bacon made Jumper.,14,15
14:16,2737,Anders Broman missed Three Point Jumper.,14,15
14:16,2737,Tevin Prescott Offensive Rebound.,14,15
14:08,2737,Tevin Prescott missed Jumper.,14,15
14:08,52,Trent Forrest Defensive Rebound.,14,15
14:01,2737,Foul on Anders Broman.,14,15
14:01,52,Trent Forrest made Free Throw.,14,16
14:01,52,Trent Forrest made Free Throw.,14,17
13:36,2737,Roderick Perkins missed Three Point Jumper.,14,17
13:36,52,Jarquez Smith Defensive Rebound.,14,17
13:23,52,Jonathan Isaac made Jumper.,14,19
13:03,52,Foul on Jarquez Smith.,14,19
13:03,2737,Roderick Perkins made Free Throw.,15,19
13:03,2737,Roderick Perkins missed Free Throw.,15,19
13:03,52,Jarquez Smith Defensive Rebound.,15,19
12:58,52,Xavier Rathan-Mayes missed Three Point Jumper.,15,19
12:58,2737,Joshua Davenport Defensive Rebound.,15,19
12:49,2737,Joshua Davenport missed Jumper.,15,19
12:49,2737,Roderick Perkins Offensive Rebound.,15,19
12:46,2737,Roderick Perkins missed Layup.,15,19
12:46,52,Jarquez Smith Defensive Rebound.,15,19
12:38,2737,Foul on Adam Pickett.,15,19
12:22,52,Braian Angola-Rodas made Jumper.,15,21
12:05,2737,Bjorn Broman made Three Point Jumper. Assisted by Joshua Davenport.,18,21
11:49,52,CJ Walker missed Three Point Jumper.,18,21
11:49,2737,Roderick Perkins Defensive Rebound.,18,21
11:38,52,Foul on Christ Koumadje.,18,21
11:38,52,Official TV Timeout,18,21
11:38,2737,Adam Pickett made Free Throw.,19,21
11:38,2737,Adam Pickett missed Free Throw.,19,21
11:38,52,Jonathan Isaac Defensive Rebound.,19,21
11:28,52,Jonathan Isaac made Three Point Jumper. Assisted by Xavier Rathan-Mayes.,19,24
11:01,52,Foul on CJ Walker.,19,24
11:00,2737,Joshua Davenport Turnover.,19,24
10:58,52,Braian Angola-Rodas Steal.,19,24
10:57,52,Braian Angola-Rodas made Layup.,19,26
10:51,2737,Xavier Cooks Turnover.,19,26
10:50,52,Braian Angola-Rodas Steal.,19,26
10:46,52,Braian Angola-Rodas missed Layup.,19,26
10:46,52,Braian Angola-Rodas Offensive Rebound.,19,26
10:43,52,Braian Angola-Rodas missed Layup.,19,26
10:43,52,Xavier Rathan-Mayes Offensive Rebound.,19,26
10:31,52,Jonathan Isaac made Three Point Jumper. Assisted by Xavier Rathan-Mayes.,19,29
10:15,2737,Winthrop  Timeout,19,29
9:54,2737,Anders Broman missed Three Point Jumper.,19,29
9:54,2737,Anders Broman Offensive Rebound.,19,29
9:42,2737,Duby Okeke missed Layup.,19,29
9:42,52,Jonathan Isaac Defensive Rebound.,19,29
9:36,52,Christ Koumadje made Dunk. Assisted by Xavier Rathan-Mayes.,19,31
9:15,52,Foul on Jonathan Isaac.,19,31
9:11,2737,Xavier Cooks Turnover.,19,31
9:11,52,Trent Forrest Steal.,19,31
9:10,52,Christ Koumadje made Dunk. Assisted by Dwayne Bacon.,19,33
8:48,2737,Tevin Prescott missed Layup.,19,33
8:48,52,Trent Forrest Defensive Rebound.,19,33
8:40,52,Xavier Rathan-Mayes missed Three Point Jumper.,19,33
8:40,52,Florida St Deadball Team Rebound.,19,33
8:40,2737,Foul on Tevin Prescott.,19,33
8:36,52,Dwayne Bacon missed Three Point Jumper.,19,33
8:36,2737,Winthrop Deadball Team Rebound.,19,33
8:34,52,Foul on Christ Koumadje.,19,33
8:34,2737,Josh Ferguson missed Free Throw.,19,33
8:34,52,Terance Mann Defensive Rebound.,19,33
8:16,52,Dwayne Bacon missed Layup.,19,33
8:16,2737,Anders Broman Defensive Rebound.,19,33
8:09,2737,Roderick Perkins made Three Point Jumper. Assisted by Anders Broman.,22,33
7:49,52,Terance Mann missed Jumper.,22,33
7:49,2737,Anders Broman Defensive Rebound.,22,33
7:42,2737,Roderick Perkins made Three Point Jumper. Assisted by Anders Broman.,25,33
7:30,52,Florida St  Timeout,25,33
7:30,52,Official TV Timeout,25,33
7:18,52,Jarquez Smith missed Jumper.,25,33
7:18,2737,Xavier Cooks Defensive Rebound.,25,33
7:02,2737,Bjorn Broman missed Layup.,25,33
7:02,2737,Josh Ferguson Offensive Rebound.,25,33
7:00,52,Foul on Jarquez Smith.,25,33
7:00,2737,Josh Ferguson missed Free Throw.,25,33
7:00,2737,Winthrop Deadball Team Rebound.,25,33
7:00,2737,Josh Ferguson made Free Throw.,26,33
6:53,52,Michael Ojo made Dunk. Assisted by Trent Forrest.,26,35
6:25,2737,Roderick Perkins made Three Point Jumper. Assisted by Anders Broman.,29,35
6:13,2737,Foul on Roderick Perkins.,29,35
6:07,2737,Foul on Bjorn Broman.,29,35
6:07,52,Trent Forrest made Free Throw.,29,36
6:07,52,Trent Forrest made Free Throw.,29,37
5:56,2737,Bjorn Broman made Jumper.,31,37
5:56,52,Foul on Trent Forrest.,31,37
5:56,2737,Bjorn Broman made Free Throw.,32,37
5:42,52,Foul on Michael Ojo.,32,37
5:42,52,Michael Ojo Turnover.,32,37
5:26,52,Foul on Terance Mann.,32,37
5:26,2737,Xavier Cooks missed Free Throw.,32,37
5:26,2737,Winthrop Deadball Team Rebound.,32,37
5:26,2737,Xavier Cooks missed Free Throw.,32,37
5:26,52,Michael Ojo Defensive Rebound.,32,37
5:17,52,Jonathan Isaac missed Three Point Jumper.,32,37
5:17,52,Terance Mann Offensive Rebound.,32,37
5:09,2737,Foul on Roderick Perkins.,32,37
5:09,52,Michael Ojo made Free Throw.,32,38
5:09,52,Michael Ojo made Free Throw.,32,39
4:53,2737,Xavier Cooks Turnover.,32,39
4:51,52,Xavier Rathan-Mayes Steal.,32,39
4:47,52,Braian Angola-Rodas missed Jumper.,32,39
4:47,52,Jonathan Isaac Offensive Rebound.,32,39
4:44,52,Jonathan Isaac missed Layup.,32,39
4:44,2737,Winthrop Defensive Rebound.,32,39
4:19,2737,Joshua Davenport missed Layup.,32,39
4:19,52,Michael Ojo Block.,32,39
4:17,52,Michael Ojo Defensive Rebound.,32,39
4:07,52,Xavier Rathan-Mayes missed Three Point Jumper.,32,39
4:07,2737,Anders Broman Defensive Rebound.,32,39
3:58,52,Foul on Jonathan Isaac.,32,39
3:58,52,Official TV Timeout,32,39
3:58,2737,Anders Broman made Free Throw.,33,39
3:58,2737,Anders Broman made Free Throw.,34,39
3:50,52,Braian Angola-Rodas made Dunk.,34,41
3:24,2737,Josh Ferguson made Dunk. Assisted by Anders Broman.,36,41
2:59,52,Michael Ojo missed Dunk.,36,41
2:59,52,Michael Ojo Offensive Rebound.,36,41
2:56,2737,Foul on Adam Pickett.,36,41
2:56,52,Michael Ojo made Free Throw.,36,42
2:56,52,Michael Ojo missed Free Throw.,36,42
2:56,2737,Duby Okeke Defensive Rebound.,36,42
2:44,2737,Duby Okeke Turnover.,36,42
2:32,52,Dwayne Bacon missed Layup.,36,42
2:32,52,Michael Ojo Offensive Rebound.,36,42
2:28,2737,Foul on Duby Okeke.,36,42
2:28,52,Michael Ojo made Free Throw.,36,43
2:28,52,Michael Ojo made Free Throw.,36,44
2:21,2737,Xavier Cooks made Jumper. Assisted by Bjorn Broman.,38,44
2:09,2737,Foul on Roderick Perkins.,38,44
2:09,52,Michael Ojo made Free Throw.,38,45
2:09,52,Michael Ojo made Free Throw.,38,46
1:50,2737,Xavier Cooks missed Jumper.,38,46
1:50,52,Michael Ojo Defensive Rebound.,38,46
1:42,52,Braian Angola-Rodas missed Jumper.,38,46
1:42,2737,Winthrop Deadball Team Rebound.,38,46
1:41,52,Foul on Terance Mann.,38,46
1:41,2737,Bjorn Broman missed Free Throw.,38,46
1:41,2737,Winthrop Deadball Team Rebound.,38,46
1:41,2737,Bjorn Broman made Free Throw.,39,46
1:34,52,Dwayne Bacon Turnover.,39,46
1:22,2737,Xavier Cooks Turnover.,39,46
1:21,52,CJ Walker Steal.,39,46
1:18,52,CJ Walker made Layup.,39,48
0:57,2737,Duby Okeke made Layup. Assisted by Bjorn Broman.,41,48
0:57,52,Foul on Xavier Rathan-Mayes.,41,48
0:57,2737,Duby Okeke made Free Throw.,42,48
0:50,2737,Foul on Duby Okeke.,42,48
0:50,52,Xavier Rathan-Mayes made Free Throw.,42,49
0:50,52,Xavier Rathan-Mayes made Free Throw.,42,50
0:40,2737,Bjorn Broman made Jumper.,44,50
0:14,52,Dwayne Bacon made Three Point Jumper. Assisted by Xavier Rathan-Mayes.,44,53
0:03,2737,Xavier Cooks missed Jumper.,44,53
0:03,2737,Josh Ferguson Offensive Rebound.,44,53
0:01,2737,Josh Ferguson made Two Point Tip Shot.,46,53
0:00,52,End of 1st half,46,53
19:53,52,Dwayne Bacon missed Jumper.,46,53
19:53,2737,Duby Okeke Defensive Rebound.,46,53
19:29,2737,Anders Broman missed Three Point Jumper.,46,53
19:29,52,Michael Ojo Defensive Rebound.,46,53
19:14,52,Jonathan Isaac Turnover.,46,53
18:59,2737,Anders Broman missed Three Point Jumper.,46,53
18:59,2737,Duby Okeke Offensive Rebound.,46,53
18:52,52,Foul on Dwayne Bacon.,46,53
18:52,2737,Anders Broman made Free Throw.,47,53
18:52,2737,Anders Broman made Free Throw.,48,53
18:43,52,Dwayne Bacon missed Three Point Jumper.,48,53
18:43,52,Michael Ojo Offensive Rebound.,48,53
18:39,2737,Foul on Bjorn Broman.,48,53
18:39,52,Michael Ojo missed Free Throw.,48,53
18:39,52,Florida St Deadball Team Rebound.,48,53
18:39,52,Michael Ojo made Free Throw.,48,54
18:30,52,Foul on Michael Ojo.,48,54
18:30,2737,Joshua Davenport made Free Throw.,49,54
18:30,2737,Joshua Davenport made Free Throw.,50,54
18:15,52,Jonathan Isaac missed Jumper.,50,54
18:15,2737,Xavier Cooks Defensive Rebound.,50,54
18:05,2737,Xavier Cooks missed Jumper.,50,54
18:05,52,Jonathan Isaac Block.,50,54
18:03,52,Terance Mann Defensive Rebound.,50,54
18:00,2737,Foul on Bjorn Broman.,50,54
17:47,2737,Foul on Duby Okeke.,50,54
17:47,52,Dwayne Bacon made Free Throw.,50,55
17:47,52,Dwayne Bacon made Free Throw.,50,56
17:35,2737,Anders Broman made Layup.,52,56
17:24,52,Jarquez Smith made Dunk. Assisted by Xavier Rathan-Mayes.,52,58
17:14,2737,Xavier Cooks missed Jumper.,52,58
17:14,52,Terance Mann Defensive Rebound.,52,58
17:03,52,Jonathan Isaac missed Layup.,52,58
17:03,2737,Anders Broman Defensive Rebound.,52,58
16:47,2737,Anders Broman missed Jumper.,52,58
16:47,52,Jarquez Smith Defensive Rebound.,52,58
16:40,52,Terance Mann missed Jumper.,52,58
16:40,2737,Joshua Davenport Defensive Rebound.,52,58
16:27,52,Foul on Jarquez Smith.,52,58
16:23,2737,Anders Broman missed Three Point Jumper.,52,58
16:23,2737,Anders Broman Offensive Rebound.,52,58
16:14,2737,Roderick Perkins missed Three Point Jumper.,52,58
16:14,52,Xavier Rathan-Mayes Defensive Rebound.,52,58
16:01,52,Xavier Rathan-Mayes missed Layup.,52,58
16:01,2737,Anders Broman Block.,52,58
16:00,2737,Anders Broman Defensive Rebound.,52,58
15:53,52,Foul on Braian Angola-Rodas.,52,58
15:53,52,Official TV Timeout,52,58
