Dallas Christian,Error,Houston Baptist,2277
time,team_id,description,h_score,a_score
19:43,2277,Colter Lasher Turnover.,0,0
19:27,-1,Anthony McQuary missed Three Point Jumper.,0,0
19:27,2277,Reveal Chukwujekwu Defensive Rebound.,0,0
19:10,-1,Foul on Anthony McQuary.,0,0
19:10,2277,Braxton Bonds missed Free Throw.,0,0
19:10,2277,Houston Baptist Deadball Team Rebound.,0,0
19:10,2277,Braxton Bonds missed Free Throw.,0,0
19:10,-1,Anthony McQuary Defensive Rebound.,0,0
18:57,2277,Foul on Braxton Bonds.,0,0
18:42,-1,Daytin Howard missed Jumper.,0,0
18:42,2277,Atif Russell Defensive Rebound.,0,0
18:24,2277,Reveal Chukwujekwu missed Layup.,0,0
18:24,-1,Daytin Howard Defensive Rebound.,0,0
18:13,-1,Anthony McQuary made Jumper. Assisted by Jaylen Edwards.,2,0
17:58,2277,Reveal Chukwujekwu Turnover.,2,0
17:57,-1,Daytin Howard Steal.,2,0
17:45,-1,Trey Lindsey missed Three Point Jumper.,2,0
17:45,2277,Reveal Chukwujekwu Defensive Rebound.,2,0
17:36,2277,Josh Ibarra made Layup. Assisted by Colter Lasher.,2,2
17:28,-1,Davyon Collins missed Jumper.,2,2
17:28,-1,Dallas Christian Offensive Rebound.,2,2
17:16,-1,Trey Lindsey missed Jumper.,2,2
17:16,2277,Josh Ibarra Defensive Rebound.,2,2
17:10,2277,Atif Russell missed Layup.,2,2
17:10,2277,Reveal Chukwujekwu Offensive Rebound.,2,2
17:07,2277,Reveal Chukwujekwu made Layup.,2,4
16:55,-1,Davyon Collins Turnover.,2,4
16:54,2277,Colter Lasher Steal.,2,4
16:50,2277,Braxton Bonds made Layup. Assisted by Colter Lasher.,2,6
16:50,-1,Foul on Trey Lindsey.,2,6
16:50,-1,Dallas Christian  Timeout,2,6
16:50,2277,Braxton Bonds missed Free Throw.,2,6
16:50,-1,Hunter Bennett Defensive Rebound.,2,6
16:30,-1,Anthony McQuary Turnover.,2,6
16:18,2277,Josh Ibarra Turnover.,2,6
16:18,2277,Foul on Josh Ibarra.,2,6
16:04,-1,Trey Lindsey Turnover.,2,6
15:50,2277,Atif Russell missed Jumper.,2,6
15:50,-1,Trey Lindsey Defensive Rebound.,2,6
15:33,-1,Daytin Howard missed Jumper.,2,6
15:33,2277,Colter Lasher Defensive Rebound.,2,6
15:21,2277,Colter Lasher missed Jumper.,2,6
15:21,-1,Keldon Williams Defensive Rebound.,2,6
14:57,-1,Keldon Williams missed Three Point Jumper.,2,6
14:57,2277,Braxton Bonds Defensive Rebound.,2,6
14:49,2277,Colter Lasher made Layup.,2,8
14:49,-1,Foul on Anthony McQuary.,2,8
14:49,2277,Colter Lasher made Free Throw.,2,9
14:22,-1,Hunter Bennett Turnover.,2,9
14:09,2277,Braxton Bonds missed Layup.,2,9
14:09,2277,Braxton Bonds Offensive Rebound.,2,9
14:07,2277,Braxton Bonds missed Two Point Tip Shot.,2,9
14:07,2277,Houston Baptist Offensive Rebound.,2,9
14:03,2277,Colter Lasher missed Jumper.,2,9
14:03,-1,Josh Walls Defensive Rebound.,2,9
13:47,-1,Keldon Williams missed Three Point Jumper.,2,9
13:47,2277,Josh Ibarra Defensive Rebound.,2,9
13:39,2277,Reveal Chukwujekwu made Layup.,2,11
13:39,-1,Foul on Keldon Williams.,2,11
13:39,2277,Reveal Chukwujekwu missed Free Throw.,2,11
13:39,2277,Atif Russell Offensive Rebound.,2,11
13:39,2277,Atif Russell missed Two Point Tip Shot.,2,11
13:39,-1,Dallas Christian Defensive Rebound.,2,11
13:28,-1,Daytin Howard Turnover.,2,11
13:27,2277,Colter Lasher Steal.,2,11
13:14,2277,William Gates Jr. made Layup.,2,13
12:59,-1,Davyon Collins made Layup.,4,13
12:41,2277,Colter Lasher missed Layup.,4,13
12:41,-1,Daytin Howard Defensive Rebound.,4,13
12:15,2277,Foul on Reveal Chukwujekwu.,4,13
12:11,-1,Josh Walls Turnover.,4,13
12:11,-1,Foul on Josh Walls.,4,13
12:03,2277,Alex Fountain Turnover.,4,13
11:52,-1,Daytin Howard made Layup. Assisted by Trey Lindsey.,6,13
11:34,2277,Cody Stetler Turnover.,6,13
11:33,-1,Daytin Howard Steal.,6,13
11:28,-1,Anthony McQuary missed Three Point Jumper.,6,13
11:28,2277,Cody Stetler Defensive Rebound.,6,13
11:22,2277,Alex Fountain made Dunk. Assisted by Jalen Weber.,6,15
11:11,2277,Foul on Alex Fountain.,6,15
11:11,2277,Official TV Timeout,6,15
10:58,-1,Anthony McQuary Turnover.,6,15
10:57,2277,William Gates Jr. Steal.,6,15
10:51,2277,Jalen Weber Turnover.,6,15
10:32,-1,Anthony McQuary Turnover.,6,15
10:30,2277,Alex Fountain Steal.,6,15
10:22,2277,Asa Cantwell missed Three Point Jumper.,6,15
10:22,2277,Alex Fountain Offensive Rebound.,6,15
10:10,2277,Asa Cantwell missed Layup.,6,15
10:10,-1,Anthony McQuary Defensive Rebound.,6,15
9:54,-1,Davyon Collins missed Jumper.,6,15
9:54,-1,Davyon Collins Offensive Rebound.,6,15
9:49,-1,Davyon Collins missed Jumper.,6,15
9:49,2277,Cody Stetler Defensive Rebound.,6,15
9:44,2277,Asa Cantwell missed Three Point Jumper.,6,15
9:44,2277,Cody Stetler Offensive Rebound.,6,15
9:41,2277,Cody Stetler made Layup.,6,17
9:22,-1,Keldon Williams made Jumper.,8,17
9:01,2277,Alex Fountain missed Jumper.,8,17
9:01,2277,Cody Stetler Offensive Rebound.,8,17
8:53,2277,Asa Cantwell Defensive Rebound.,8,17
8:47,-1,Foul on Davyon Collins.,8,17
8:47,2277,William Gates Jr. missed Free Throw.,8,17
8:47,2277,Houston Baptist Deadball Team Rebound.,8,17
8:47,2277,William Gates Jr. missed Free Throw.,8,17
8:47,-1,Trey Lindsey Defensive Rebound.,8,17
8:34,-1,Hunter Bennett missed Jumper.,8,17
8:34,2277,William Gates Jr. Defensive Rebound.,8,17
8:29,-1,Foul on Carlson Goode.,8,17
8:28,2277,William Gates Jr. missed Free Throw.,8,17
8:27,2277,Houston Baptist Deadball Team Rebound.,8,17
8:26,2277,William Gates Jr. missed Free Throw.,8,17
8:25,2277,Josh Ibarra Offensive Rebound.,8,17
8:21,2277,Braxton Bonds made Layup. Assisted by Asa Cantwell.,8,19
8:16,-1,Daytin Howard missed Three Point Jumper.,8,19
8:16,2277,Braxton Bonds Defensive Rebound.,8,19
8:08,2277,William Gates Jr. missed Three Point Jumper.,8,19
8:07,-1,Trey Lindsey Defensive Rebound.,8,19
7:59,-1,Hunter Bennett missed Jumper.,8,19
7:59,2277,Josh Ibarra Defensive Rebound.,8,19
7:47,-1,Trey Lindsey missed Jumper.,8,19
7:46,-1,Trey Lindsey made Layup.,10,19
7:18,2277,Josh Ibarra made Layup.,10,21
6:49,2277,Josh Ibarra missed Jumper.,10,21
6:49,-1,Rodney Daniels Defensive Rebound.,10,21
6:40,2277,Foul on Braxton Bonds.,10,21
6:31,-1,Carlson Goode missed Three Point Jumper.,10,21
6:31,2277,Reveal Chukwujekwu Defensive Rebound.,10,21
6:21,-1,Foul on Carlson Goode.,10,21
6:21,2277,Jalen Weber missed Free Throw.,10,21
6:21,2277,Houston Baptist Deadball Team Rebound.,10,21
6:21,2277,Jalen Weber made Free Throw.,10,22
6:07,-1,Anthony McQuary made Three Point Jumper. Assisted by Trey Lindsey.,13,22
5:53,2277,Jalen Weber made Jumper.,13,24
5:42,2277,Foul on Colter Lasher.,13,24
5:31,-1,Davyon Collins missed Three Point Jumper.,13,24
5:31,-1,Dallas Christian Offensive Rebound.,13,24
5:03,-1,Trey Lindsey missed Jumper.,13,24
5:03,2277,Josh Ibarra Defensive Rebound.,13,24
4:52,2277,Colter Lasher missed Three Point Jumper.,13,24
4:52,2277,Reveal Chukwujekwu Offensive Rebound.,13,24
4:35,-1,Foul on Keldon Williams.,13,24
4:35,2277,Colter Lasher made Free Throw.,13,25
4:35,2277,Colter Lasher missed Free Throw.,13,25
4:35,-1,Keldon Williams Defensive Rebound.,13,25
4:19,-1,Josh Walls missed Three Point Jumper.,13,25
4:19,-1,Keldon Williams Offensive Rebound.,13,25
4:14,-1,Anthony McQuary missed Three Point Jumper.,13,25
4:14,2277,Reveal Chukwujekwu Defensive Rebound.,13,25
4:08,2277,Reveal Chukwujekwu missed Layup.,13,25
4:08,2277,Reveal Chukwujekwu Offensive Rebound.,13,25
4:05,2277,Reveal Chukwujekwu missed Layup.,13,25
4:05,-1,Davyon Collins Defensive Rebound.,13,25
3:55,2277,Foul on Jalen Weber.,13,25
3:55,-1,Davyon Collins made Free Throw.,14,25
3:55,-1,Davyon Collins missed Free Throw.,14,25
3:55,2277,Colter Lasher Defensive Rebound.,14,25
3:42,2277,Josh Ibarra made Layup. Assisted by Colter Lasher.,14,27
3:26,-1,Keldon Williams missed Three Point Jumper.,14,27
3:26,2277,Josh Ibarra Defensive Rebound.,14,27
3:01,-1,Foul on Trey Lindsey.,14,27
3:01,2277,Colter Lasher missed Free Throw.,14,27
3:01,2277,Houston Baptist Deadball Team Rebound.,14,27
3:01,2277,Colter Lasher made Free Throw.,14,28
2:48,-1,Davyon Collins Turnover.,14,28
2:48,-1,Foul on Davyon Collins.,14,28
2:32,2277,Josh Ibarra missed Jumper.,14,28
2:32,-1,Josh Walls Defensive Rebound.,14,28
2:21,2277,Foul on Jalen Weber.,14,28
2:21,-1,Keldon Williams Turnover.,14,28
2:07,2277,Colter Lasher missed Layup.,14,28
2:07,2277,Josh Ibarra Offensive Rebound.,14,28
2:04,2277,Josh Ibarra made Layup.,14,30
1:53,-1,Josh Walls made Layup. Assisted by Anthony McQuary.,16,30
1:46,2277,Jalon Gates made Layup. Assisted by Colter Lasher.,16,32
1:33,2277,Foul on Jalon Gates.,16,32
1:33,-1,Hunter Bennett made Free Throw.,17,32
1:33,-1,Hunter Bennett made Free Throw.,18,32
1:26,2277,Reveal Chukwujekwu Offensive Rebound.,18,32
1:26,2277,Jalon Gates missed Three Point Jumper.,18,32
1:22,2277,Reveal Chukwujekwu made Layup.,18,34
1:01,-1,Trey Lindsey missed Layup.,18,34
1:01,2277,Josh Ibarra Block.,18,34
1:00,-1,Dallas Christian Offensive Rebound.,18,34
0:56,-1,Anthony McQuary Turnover.,18,34
0:54,2277,Atif Russell Steal.,18,34
0:51,-1,Foul on Hunter Bennett.,18,34
0:51,2277,Reveal Chukwujekwu made Free Throw.,18,35
0:51,2277,Reveal Chukwujekwu made Free Throw.,18,36
0:27,-1,Davyon Collins missed Three Point Jumper.,18,36
0:27,2277,Colter Lasher Defensive Rebound.,18,36
0:20,2277,Atif Russell made Layup. Assisted by Alex Fountain.,18,38
0:11,2277,Foul on Alex Fountain.,18,38
0:11,-1,Trey Lindsey missed Free Throw.,18,38
0:11,-1,Dallas Christian Deadball Team Rebound.,18,38
0:11,-1,Trey Lindsey made Free Throw.,19,38
0:05,-1,Foul on Rodney Daniels.,19,38
0:05,2277,Atif Russell made Free Throw.,19,39
0:05,2277,Atif Russell missed Free Throw.,19,39
0:05,-1,Rodney Daniels Defensive Rebound.,19,39
0:00,2277,End of 1st half,19,39
19:45,2277,Foul on Josh Ibarra.,19,39
19:27,2277,Foul on Josh Ibarra.,19,39
19:27,-1,Trey Lindsey missed Free Throw.,19,39
19:27,-1,Dallas Christian Deadball Team Rebound.,19,39
19:27,-1,Trey Lindsey made Free Throw.,20,39
19:14,2277,Braxton Bonds made Layup. Assisted by Colter Lasher.,20,41
19:02,-1,Hunter Bennett Turnover.,20,41
19:01,2277,Cody Stetler Steal.,20,41
19:00,2277,Colter Lasher made Layup.,20,43
18:43,2277,Alex Fountain Turnover.,20,43
18:36,-1,Trey Lindsey missed Layup.,20,43
18:36,2277,Braxton Bonds Defensive Rebound.,20,43
18:20,-1,Foul on Trey Lindsey.,20,43
18:14,2277,Atif Russell made Jumper.,20,45
18:08,-1,Davyon Collins missed Layup.,20,45
18:08,2277,Cody Stetler Block.,20,45
18:06,2277,Atif Russell Defensive Rebound.,20,45
18:02,-1,Foul on Hunter Bennett.,20,45
18:02,2277,Atif Russell missed Free Throw.,20,45
18:02,2277,Houston Baptist Deadball Team Rebound.,20,45
18:02,2277,Atif Russell made Free Throw.,20,46
17:51,-1,Hunter Bennett missed Jumper.,20,46
17:51,2277,Cody Stetler Defensive Rebound.,20,46
17:41,2277,Colter Lasher made Jumper.,20,48
17:28,-1,Keldon Williams missed Jumper.,20,48
17:28,-1,Davyon Collins Offensive Rebound.,20,48
17:25,2277,Foul on Atif Russell.,20,48
17:25,-1,Dallas Christian  Timeout,20,48
