UAB,2305,Kansas,5
time,team_id,description,h_score,a_score
20:00,2305,Jump Ball won by Kansas,0,0
19:51,2305,Josh Jackson made Dunk.,0,2
19:37,5,Chris Cokley Turnover.,0,2
19:37,2305,Frank Mason III Steal.,0,2
19:28,2305,Carlton Bragg Jr. made Dunk. Assisted by Josh Jackson.,0,4
19:08,5,William Lee missed Jumper.,0,4
19:08,2305,Josh Jackson Defensive Rebound.,0,4
18:56,2305,Carlton Bragg Jr. missed Layup.,0,4
18:56,5,Hakeem Baxter Defensive Rebound.,0,4
18:42,5,Dirk Williams Turnover.,0,4
18:25,2305,Frank Mason III made Three Point Jumper.,0,7
18:10,5,Dirk Williams Turnover.,0,7
17:57,2305,Devonte' Graham made Three Point Jumper. Assisted by Frank Mason III.,0,10
17:49,5,UAB  Timeout,0,10
17:20,2305,Foul on Carlton Bragg Jr..,0,10
17:02,5,Chris Cokley Turnover.,0,10
17:02,2305,Josh Jackson Steal.,0,10
16:55,2305,Josh Jackson made Layup.,0,12
16:38,5,William Lee Turnover.,0,12
16:38,2305,Devonte' Graham Steal.,0,12
16:26,2305,Frank Mason III Turnover.,0,12
16:26,5,Dirk Williams Steal.,0,12
16:16,5,Hakeem Baxter missed Layup.,0,12
16:16,2305,Carlton Bragg Jr. Block.,0,12
16:16,5,UAB Offensive Rebound.,0,12
16:06,5,Chris Cokley missed Layup.,0,12
16:06,2305,Udoka Azubuike Defensive Rebound.,0,12
15:58,2305,Frank Mason III made Layup.,0,14
15:39,5,Chris Cokley missed Jumper.,0,14
15:39,2305,Udoka Azubuike Defensive Rebound.,0,14
15:33,2305,Udoka Azubuike Turnover.,0,14
15:33,2305,Official TV Timeout,0,14
15:24,5,Tosin Mehinti missed Jumper.,0,14
15:24,2305,Frank Mason III Defensive Rebound.,0,14
15:15,2305,Devonte' Graham Turnover.,0,14
14:56,5,William Lee missed Three Point Jumper.,0,14
14:56,2305,Udoka Azubuike Defensive Rebound.,0,14
14:50,2305,Lagerald Vick missed Three Point Jumper.,0,14
14:50,5,Tosin Mehinti Defensive Rebound.,0,14
14:33,5,William Lee missed Layup.,0,14
14:33,2305,Sviatoslav Mykhailiuk Defensive Rebound.,0,14
14:26,2305,Devonte' Graham made Three Point Jumper. Assisted by Frank Mason III.,0,17
