South Dakota State,70,Idaho,2571
time,team_id,description,h_score,a_score
19:41,2571,Mike Daum made Layup. Assisted by A.J. Hess.,2,0
19:27,70,Brayon Blake Turnover.,2,0
19:27,70,Foul on Brayon Blake.,2,0
19:02,2571,A.J. Hess made Three Point Jumper. Assisted by Tevin King.,5,0
18:40,70,Trevon Allen missed Three Point Jumper.,5,0
18:40,2571,Tevin King Defensive Rebound.,5,0
18:10,2571,Andre Wallace missed Three Point Jumper.,5,0
18:10,70,Jordan Scott Defensive Rebound.,5,0
17:58,70,Nate Sherwood made Layup. Assisted by Brayon Blake.,5,2
17:39,2571,A.J. Hess made Three Point Jumper. Assisted by Tevin King.,8,2
17:20,70,Brayon Blake Turnover.,8,2
17:19,2571,Reed Tellinghuisen Steal.,8,2
17:07,2571,A.J. Hess missed Three Point Jumper.,8,2
17:07,70,Trevon Allen Defensive Rebound.,8,2
16:59,70,Victor Sanders Turnover.,8,2
16:58,2571,Tevin King Steal.,8,2
16:44,2571,Mike Daum Turnover.,8,2
16:31,70,Victor Sanders missed Three Point Jumper.,8,2
16:31,70,Jordan Scott Offensive Rebound.,8,2
16:08,70,Brayon Blake made Jumper. Assisted by Victor Sanders.,8,4
15:53,70,Official TV Timeout,8,4
15:43,2571,Mike Daum Turnover.,8,4
15:43,2571,Foul on Mike Daum.,8,4
15:24,70,Victor Sanders missed Three Point Jumper.,8,4
15:24,70,Nate Sherwood Offensive Rebound.,8,4
15:24,2571,Foul on Ian Theisen.,8,4
15:08,70,Victor Sanders missed Layup.,8,4
15:08,2571,Ian Theisen Defensive Rebound.,8,4
14:41,2571,Reed Tellinghuisen made Three Point Jumper.,11,4
14:19,70,Victor Sanders made Three Point Jumper. Assisted by Jordan Scott.,11,7
13:48,2571,Tevin King Turnover.,11,7
13:47,70,Victor Sanders Steal.,11,7
13:44,70,Victor Sanders made Dunk.,11,9
13:35,2571,A.J. Hess missed Three Point Jumper.,11,9
13:35,2571,South Dakota St Deadball Team Rebound.,11,9
13:33,70,Foul on Nate Sherwood.,11,9
13:08,70,Foul on Chad Sherwood.,11,9
13:08,2571,A.J. Hess made Free Throw.,12,9
13:08,2571,A.J. Hess made Free Throw.,13,9
12:48,2571,Foul on Ian Theisen.,13,9
12:30,70,Brayon Blake missed Jumper.,13,9
12:30,2571,Chris Howell Defensive Rebound.,13,9
12:12,2571,Chris Howell missed Layup.,13,9
12:12,70,Victor Sanders Block.,13,9
12:10,70,Arkadiy Mkrtychyan Defensive Rebound.,13,9
12:04,70,Victor Sanders made Layup.,13,11
11:41,2571,Reed Tellinghuisen made Three Point Jumper. Assisted by Chris Howell.,16,11
11:23,70,Chad Sherwood Turnover.,16,11
11:21,2571,Chris Howell Steal.,16,11
11:07,2571,Ian Theisen made Layup.,18,11
11:06,70,Official TV Timeout,18,11
10:55,70,Arkadiy Mkrtychyan Turnover.,18,11
10:41,2571,Reed Tellinghuisen made Layup. Assisted by Mike Daum.,20,11
10:23,70,Patrick Ingram made Jumper.,20,13
10:09,2571,Cole Gentry Turnover.,20,13
9:57,70,Patrick Ingram made Three Point Jumper. Assisted by Myles Franklin.,20,16
9:34,2571,Chris Howell missed Layup.,20,16
9:34,70,Myles Franklin Defensive Rebound.,20,16
9:28,70,Chad Sherwood made Three Point Jumper. Assisted by Myles Franklin.,20,19
9:27,2571,South Dakota St  Timeout,20,19
9:17,2571,Reed Tellinghuisen made Three Point Jumper. Assisted by Mike Daum.,23,19
9:15,70,Foul on Arkadiy Mkrtychyan.,23,19
9:15,2571,Reed Tellinghuisen made Free Throw.,24,19
9:05,70,Chad Sherwood made Three Point Jumper. Assisted by Myles Franklin.,24,22
8:48,70,Foul on Nate Sherwood.,24,22
8:38,2571,Andre Wallace missed Layup.,24,22
8:38,70,Myles Franklin Defensive Rebound.,24,22
8:28,70,Patrick Ingram Turnover.,24,22
8:26,2571,Mike Daum Steal.,24,22
8:11,2571,Mike Daum made Jumper.,26,22
7:54,70,Brayon Blake made Layup. Assisted by Myles Franklin.,26,24
7:46,2571,Reed Tellinghuisen Turnover.,26,24
7:46,70,Official TV Timeout,26,24
7:38,70,Myles Franklin Turnover.,26,24
7:35,2571,Reed Tellinghuisen Steal.,26,24
7:34,2571,Reed Tellinghuisen missed Layup.,26,24
7:34,70,Brayon Blake Block.,26,24
7:34,2571,South Dakota St Offensive Rebound.,26,24
7:20,2571,Andre Wallace missed Three Point Jumper.,26,24
7:20,70,Brayon Blake Defensive Rebound.,26,24
7:06,70,Patrick Ingram made Three Point Jumper. Assisted by Chad Sherwood.,26,27
6:48,2571,Mike Daum made Layup.,28,27
6:32,70,Myles Franklin missed Three Point Jumper.,28,27
6:32,2571,Mike Daum Defensive Rebound.,28,27
6:28,70,Foul on Ty Egbert.,28,27
6:15,2571,Mike Daum missed Jumper.,28,27
6:15,70,Myles Franklin Defensive Rebound.,28,27
5:54,70,Ty Egbert made Layup. Assisted by Patrick Ingram.,28,29
5:30,2571,Mike Daum missed Layup.,28,29
5:30,70,Patrick Ingram Defensive Rebound.,28,29
5:22,70,Myles Franklin Turnover.,28,29
5:09,70,Foul on Ty Egbert.,28,29
5:09,2571,Mike Daum made Free Throw.,29,29
5:09,2571,Mike Daum made Free Throw.,30,29
4:54,2571,Foul on Tevin King.,30,29
4:54,70,Ty Egbert made Free Throw.,30,30
4:54,70,Ty Egbert missed Free Throw.,30,30
4:54,2571,Mike Daum Defensive Rebound.,30,30
4:27,2571,Cole Gentry missed Three Point Jumper.,30,30
4:27,70,Brayon Blake Defensive Rebound.,30,30
4:19,70,Brayon Blake missed Three Point Jumper.,30,30
4:19,2571,Tevin King Defensive Rebound.,30,30
3:50,2571,Reed Tellinghuisen missed Jumper.,30,30
3:50,70,Ty Egbert Defensive Rebound.,30,30
3:41,70,Ty Egbert made Dunk. Assisted by Brayon Blake.,30,32
3:20,2571,Mike Daum Turnover.,30,32
3:20,2571,Foul on Mike Daum.,30,32
3:20,70,Official TV Timeout,30,32
3:00,70,Trevon Allen missed Three Point Jumper.,30,32
3:00,70,Jordan Scott Offensive Rebound.,30,32
2:57,2571,Foul on Reed Tellinghuisen.,30,32
2:56,70,Trevon Allen Turnover.,30,32
2:55,2571,Reed Tellinghuisen Steal.,30,32
2:55,70,Foul on Victor Sanders.,30,32
2:55,2571,Cole Gentry missed Free Throw.,30,32
2:55,2571,South Dakota St Offensive Rebound.,30,32
2:42,2571,A.J. Hess made Three Point Jumper. Assisted by Cole Gentry.,33,32
2:20,70,Victor Sanders made Three Point Jumper. Assisted by Arkadiy Mkrtychyan.,33,35
1:48,70,Foul on Jordan Scott.,33,35
1:48,2571,A.J. Hess made Free Throw.,34,35
1:48,2571,A.J. Hess made Free Throw.,35,35
1:38,70,Jordan Scott missed Layup.,35,35
1:38,2571,Chris Howell Defensive Rebound.,35,35
1:10,2571,Cole Gentry missed Three Point Jumper.,35,35
1:10,70,Brayon Blake Defensive Rebound.,35,35
0:50,70,Victor Sanders made Three Point Jumper. Assisted by Jordan Scott.,35,38
0:41,2571,Reed Tellinghuisen missed Three Point Jumper.,35,38
0:41,70,Jordan Scott Defensive Rebound.,35,38
0:11,70,Trevon Allen missed Three Point Jumper.,35,38
0:11,2571,Chris Howell Defensive Rebound.,35,38
0:04,2571,A.J. Hess made Three Point Jumper. Assisted by Chris Howell.,38,38
0:00,70,End of 1st half,38,38
19:37,70,Trevon Allen missed Jumper.,38,38
19:37,2571,Mike Daum Defensive Rebound.,38,38
19:04,2571,Mike Daum missed Layup.,38,38
19:04,70,Trevon Allen Defensive Rebound.,38,38
19:00,70,Victor Sanders made Layup. Assisted by Trevon Allen.,38,40
18:38,70,Foul on Jordan Scott.,38,40
18:38,2571,Tevin King made Free Throw.,39,40
18:38,2571,Tevin King made Free Throw.,40,40
