UMass Lowell,2335,Liberty,2349
time,team_id,description,h_score,a_score
19:46,2349,Tyler Livingston made Jumper. Assisted by Ryan Jones.,2,0
19:27,2335,Ryan Kemrite missed Layup.,2,0
19:27,2335,Ryan Kemrite Offensive Rebound.,2,0
19:22,2335,Ryan Kemrite made Layup.,2,2
19:11,2335,Foul on Myo Baxter-Bell.,2,2
19:01,2349,Ryan Jones missed Three Point Jumper.,2,2
19:01,2335,Georgie Pacheco-Ortiz Defensive Rebound.,2,2
18:40,2335,Myo Baxter-Bell missed Jumper.,2,2
18:40,2349,Isaac White Defensive Rebound.,2,2
18:28,2335,Foul on John Dawson.,2,2
18:28,2349,Stefan Borovac made Free Throw.,3,2
18:28,2349,Stefan Borovac missed Free Throw.,3,2
18:28,2335,Lovell Cabbil Defensive Rebound.,3,2
18:02,2335,Myo Baxter-Bell missed Jumper.,3,2
18:02,2349,Stefan Borovac Defensive Rebound.,3,2
17:54,2349,Jahad Thomas Turnover.,3,2
17:34,2335,Ryan Kemrite missed Three Point Jumper.,3,2
17:34,2349,Ryan Jones Defensive Rebound.,3,2
17:18,2349,Tyler Livingston Turnover.,3,2
17:17,2335,Lovell Cabbil Steal.,3,2
17:12,2335,John Dawson made Jumper. Assisted by Lovell Cabbil.,3,4
16:55,2349,Ryan Jones missed Three Point Jumper.,3,4
16:55,2335,Myo Baxter-Bell Defensive Rebound.,3,4
16:32,2335,John Dawson Turnover.,3,4
16:31,2349,Stefan Borovac Steal.,3,4
16:28,2349,Stefan Borovac missed Layup.,3,4
16:28,2335,John Dawson Defensive Rebound.,3,4
16:17,2335,John Dawson missed Three Point Jumper.,3,4
16:17,2349,Tyler Livingston Defensive Rebound.,3,4
15:53,2349,Isaac White missed Three Point Jumper.,3,4
15:53,2335,Ryan Kemrite Defensive Rebound.,3,4
15:24,2335,Ryan Kemrite made Three Point Jumper. Assisted by John Dawson.,3,7
15:05,2349,Tyler Livingston made Layup. Assisted by Jahad Thomas.,5,7
14:43,2349,Foul on Tyler Livingston.,5,7
14:43,2335,Official TV Timeout,5,7
14:42,2335,Caleb Homesley made Layup. Assisted by Georgie Pacheco-Ortiz.,5,9
14:42,2349,Foul on Jahad Thomas.,5,9
14:42,2335,Caleb Homesley missed Free Throw.,5,9
14:42,2335,Lovell Cabbil Offensive Rebound.,5,9
14:16,2335,Lovell Cabbil missed Three Point Jumper.,5,9
14:16,2349,Jahad Thomas Defensive Rebound.,5,9
14:00,2349,Tyler Livingston made Three Point Jumper. Assisted by Ryan Jones.,8,9
13:41,2349,Foul on Isaac White.,8,9
13:41,2335,Ryan Kemrite made Free Throw.,8,10
13:41,2335,Ryan Kemrite made Free Throw.,8,11
13:17,2349,Cameron Wolter made Layup. Assisted by Tyler Livingston.,10,11
12:46,2335,Georgie Pacheco-Ortiz missed Jumper.,10,11
12:46,2349,Tyler Livingston Defensive Rebound.,10,11
12:28,2349,Matt Harris made Three Point Jumper. Assisted by Ryan Jones.,13,11
12:00,2335,A.C. Reid missed Three Point Jumper.,13,11
12:00,2349,Rinardo Perry Defensive Rebound.,13,11
11:51,2349,Tyler Livingston Turnover.,13,11
11:51,2335,Official TV Timeout,13,11
11:38,2335,Caleb Homesley missed Layup.,13,11
11:38,2349,Dontavious Smith Block.,13,11
11:38,2335,Liberty Offensive Rebound.,13,11
11:30,2335,Josiah Talbert Turnover.,13,11
11:30,2335,Foul on Josiah Talbert.,13,11
11:15,2349,Cameron Wolter Turnover.,13,11
11:14,2335,Ray Chen Steal.,13,11
11:10,2335,Ray Chen Turnover.,13,11
11:08,2349,Ryan Jones Steal.,13,11
11:02,2349,Matt Harris missed Three Point Jumper.,13,11
11:02,2335,John Dawson Defensive Rebound.,13,11
10:43,2349,Foul on Dontavious Smith.,13,11
10:39,2335,Brock Gardner made Three Point Jumper. Assisted by Caleb Homesley.,13,14
10:16,2349,Cameron Wolter missed Jumper.,13,14
10:16,2349,Logan Primerano Offensive Rebound.,13,14
10:10,2349,Logan Primerano made Layup.,15,14
9:52,2335,Brock Gardner missed Three Point Jumper.,15,14
9:52,2349,Dontavious Smith Defensive Rebound.,15,14
9:21,2335,Foul on A.C. Reid.,15,14
9:21,2349,Ryan Jones made Free Throw.,16,14
9:21,2349,Ryan Jones made Free Throw.,17,14
9:21,2349,Ryan Jones made Free Throw.,18,14
9:09,2335,John Dawson Turnover.,18,14
9:08,2349,Matt Harris Steal.,18,14
8:58,2349,Logan Primerano Turnover.,18,14
8:36,2335,Brock Gardner made Three Point Jumper. Assisted by Caleb Homesley.,18,17
8:14,2349,Cameron Wolter made Layup. Assisted by Logan Primerano.,20,17
8:01,2335,Georgie Pacheco-Ortiz missed Layup.,20,17
8:01,2349,Dontavious Smith Block.,20,17
7:59,2349,Logan Primerano Defensive Rebound.,20,17
7:55,2349,Matt Harris missed Layup.,20,17
7:55,2335,John Dawson Defensive Rebound.,20,17
7:54,2349,Foul on Cameron Wolter.,20,17
7:54,2335,Official TV Timeout,20,17
7:36,2335,Ryan Kemrite missed Three Point Jumper.,20,17
7:36,2335,Ryan Kemrite Offensive Rebound.,20,17
7:31,2335,Brock Gardner missed Layup.,20,17
7:31,2335,Myo Baxter-Bell Offensive Rebound.,20,17
7:30,2349,Foul on Isaac White.,20,17
7:30,2335,Myo Baxter-Bell made Free Throw.,20,18
7:30,2335,Myo Baxter-Bell missed Free Throw.,20,18
7:30,2349,Logan Primerano Defensive Rebound.,20,18
7:06,2349,Dontavious Smith Turnover.,20,18
6:54,2335,John Dawson Turnover.,20,18
6:42,2349,Tyler Livingston made Three Point Jumper. Assisted by Jahad Thomas.,23,18
6:08,2335,Lovell Cabbil missed Layup.,23,18
6:08,2349,Logan Primerano Defensive Rebound.,23,18
5:44,2349,Rinardo Perry Turnover.,23,18
5:44,2349,Foul on Rinardo Perry.,23,18
5:34,2335,Georgie Pacheco-Ortiz made Three Point Jumper. Assisted by Caleb Homesley.,23,21
5:11,2349,Jahad Thomas missed Jumper.,23,21
5:11,2335,Lovell Cabbil Defensive Rebound.,23,21
5:03,2335,Caleb Homesley Turnover.,23,21
4:44,2349,Stefan Borovac Turnover.,23,21
4:23,2335,Lovell Cabbil made Layup.,23,23
4:12,2349,Isaac White missed Jumper.,23,23
4:12,2335,Xzavier Barmore Defensive Rebound.,23,23
3:58,2335,Caleb Homesley made Three Point Jumper. Assisted by Xzavier Barmore.,23,26
3:40,2349,Isaac White made Three Point Jumper. Assisted by Jahad Thomas.,26,26
3:21,2335,Lovell Cabbil missed Three Point Jumper.,26,26
3:21,2349,Logan Primerano Defensive Rebound.,26,26
3:02,2349,Stefan Borovac missed Three Point Jumper.,26,26
3:02,2335,Georgie Pacheco-Ortiz Defensive Rebound.,26,26
2:53,2335,Xzavier Barmore missed Three Point Jumper.,26,26
2:53,2349,Tyler Livingston Defensive Rebound.,26,26
2:37,2349,Jahad Thomas made Layup.,28,26
2:37,2335,Foul on Ryan Kemrite.,28,26
2:37,2335,Official TV Timeout,28,26
2:37,2349,Jahad Thomas made Free Throw.,29,26
2:09,2335,Xzavier Barmore missed Three Point Jumper.,29,26
2:09,2349,Jahad Thomas Defensive Rebound.,29,26
1:56,2349,Ryan Jones made Layup.,31,26
1:26,2335,Ryan Kemrite missed Three Point Jumper.,31,26
1:26,2349,Ryan Jones Defensive Rebound.,31,26
0:59,2335,Foul on Lovell Cabbil.,31,26
0:58,2335,Foul on Ryan Kemrite.,31,26
0:58,2349,Jahad Thomas made Free Throw.,32,26
0:58,2349,Jahad Thomas made Free Throw.,33,26
0:44,2335,John Dawson made Three Point Jumper. Assisted by Georgie Pacheco-Ortiz.,33,29
0:31,2349,Tyler Livingston made Three Point Jumper. Assisted by Jahad Thomas.,36,29
0:02,2335,A.C. Reid made Three Point Jumper. Assisted by John Dawson.,36,32
0:00,2335,End of 1st half,36,32
19:36,2335,John Dawson missed Layup.,36,32
19:36,2349,UMass Lowell Defensive Rebound.,36,32
19:25,2349,Tyler Livingston missed Jumper.,36,32
19:25,2349,Stefan Borovac Offensive Rebound.,36,32
19:18,2349,Stefan Borovac Turnover.,36,32
19:17,2335,Caleb Homesley Steal.,36,32
