Fresno State,2934,CSU Bakersfield,278
time,team_id,description,h_score,a_score
19:46,278,Jaron Hopkins made Layup.,2,0
19:13,2934,Jaylin Airington missed Jumper.,2,0
19:13,278,Jahmel Taylor Defensive Rebound.,2,0
18:47,278,Jaron Hopkins Turnover.,2,0
18:36,278,Foul on Cullen Russo.,2,0
18:18,2934,Matt Smith missed Layup.,2,0
18:18,278,Cullen Russo Defensive Rebound.,2,0
18:02,278,Bryson Williams missed Layup.,2,0
18:02,2934,Dedrick Basile Defensive Rebound.,2,0
17:53,2934,Shon Briggs made Layup.,2,2
17:53,278,Foul on Cullen Russo.,2,2
17:53,2934,Shon Briggs missed Free Throw.,2,2
17:53,278,Jaron Hopkins Defensive Rebound.,2,2
17:39,278,Jaron Hopkins Turnover.,2,2
17:39,278,Foul on Jaron Hopkins.,2,2
17:25,2934,Matt Smith made Layup. Assisted by Shon Briggs.,2,4
17:08,2934,Foul on Matt Smith.,2,4
16:59,2934,Shon Briggs Defensive Rebound.,2,4
16:59,278,Bryson Williams missed Free Throw.,2,4
16:59,2934,Foul on Shon Briggs.,2,4
16:57,278,Bryson Williams made Free Throw.,3,4
16:40,2934,Brent Wrapp missed Layup.,3,4
16:40,278,Bryson Williams Block.,3,4
16:38,278,Bryson Williams Defensive Rebound.,3,4
16:37,278,Bryson Williams Turnover.,3,4
16:36,2934,Brent Wrapp Steal.,3,4
16:34,2934,Dedrick Basile Turnover.,3,4
16:33,278,Jaron Hopkins Steal.,3,4
16:29,278,Jaron Hopkins Turnover.,3,4
16:28,2934,Dedrick Basile Steal.,3,4
16:24,2934,Dedrick Basile missed Three Point Jumper.,3,4
16:24,278,Fresno St Defensive Rebound.,3,4
16:21,2934,Foul on Shon Briggs.,3,4
16:05,278,Paul Watson missed Three Point Jumper.,3,4
16:05,278,Jaron Hopkins Offensive Rebound.,3,4
16:02,278,Jaron Hopkins missed Two Point Tip Shot.,3,4
16:02,278,Jaron Hopkins Offensive Rebound.,3,4
15:56,278,Jaron Hopkins missed Layup.,3,4
15:56,278,Bryson Williams Offensive Rebound.,3,4
15:51,278,Bryson Williams made Two Point Tip Shot.,5,4
15:51,2934,Foul on Matt Smith.,5,4
15:51,2934,Official TV Timeout,5,4
15:51,278,Bryson Williams missed Free Throw.,5,4
15:51,2934,Jaylin Airington Defensive Rebound.,5,4
15:25,2934,Matt Smith missed Jumper.,5,4
15:25,278,Bryson Williams Defensive Rebound.,5,4
14:53,278,Terrell Carter II Turnover.,5,4
14:53,2934,James Suber Steal.,5,4
14:50,2934,Jaylin Airington made Three Point Jumper. Assisted by Dedrick Basile.,5,7
14:37,278,Jaron Hopkins Turnover.,5,7
14:36,2934,Damiyne Durham Steal.,5,7
14:34,278,Foul on Sam Bittner.,5,7
14:21,2934,Dedrick Basile Turnover.,5,7
14:20,278,Deshon Taylor Turnover.,5,7
14:19,2934,Taze Moore missed Three Point Jumper.,5,7
14:19,278,Paul Watson Defensive Rebound.,5,7
14:15,2934,Foul on Justin Pride.,5,7
13:50,278,Paul Watson missed Jumper.,5,7
13:50,2934,Justin Pride Defensive Rebound.,5,7
13:44,2934,Damiyne Durham missed Three Point Jumper.,5,7
13:44,2934,Taze Moore Offensive Rebound.,5,7
13:21,2934,Jaylin Airington Turnover.,5,7
13:20,278,Paul Watson Steal.,5,7
13:17,278,Paul Watson missed Layup.,5,7
13:17,2934,James Suber Defensive Rebound.,5,7
13:09,2934,Jaylin Airington made Layup. Assisted by Damiyne Durham.,5,9
12:47,278,Jahmel Taylor made Three Point Jumper.,8,9
12:20,2934,Jaylin Airington made Jumper. Assisted by Justin Pride.,8,11
12:00,278,Terrell Carter II made Layup. Assisted by Sam Bittner.,10,11
11:31,2934,Jaylin Airington made Three Point Jumper. Assisted by Taze Moore.,10,14
11:12,278,Paul Watson Turnover.,10,14
11:11,2934,Damiyne Durham Steal.,10,14
11:10,278,Foul on Paul Watson.,10,14
10:55,2934,Taze Moore Turnover.,10,14
10:54,278,Terrell Carter II Steal.,10,14
10:34,278,Terrell Carter II Turnover.,10,14
10:12,2934,Jaylin Airington Turnover.,10,14
10:11,278,Sam Bittner Steal.,10,14
10:04,278,Jaron Hopkins made Layup. Assisted by Deshon Taylor.,12,14
9:55,2934,Dedrick Basile missed Jumper.,12,14
9:55,2934,James Suber Offensive Rebound.,12,14
9:51,2934,James Suber missed Two Point Tip Shot.,12,14
9:51,2934,Dedrick Basile Offensive Rebound.,12,14
9:26,2934,Dedrick Basile made Layup.,12,16
9:26,278,Foul on Terrell Carter II.,12,16
9:26,2934,Dedrick Basile made Free Throw.,12,17
9:14,278,Deshon Taylor missed Three Point Jumper.,12,17
9:14,2934,Damiyne Durham Defensive Rebound.,12,17
9:06,2934,Damiyne Durham missed Layup.,12,17
9:06,278,Johnny McWilliams Defensive Rebound.,12,17
8:30,278,Fresno St  Turnover.,12,17
8:05,2934,Justin Pride missed Layup.,12,17
8:05,278,Bryson Williams Block.,12,17
8:03,2934,Matt Smith Offensive Rebound.,12,17
8:01,2934,Matt Smith Turnover.,12,17
8:01,278,Sam Bittner Steal.,12,17
7:50,278,Sam Bittner missed Three Point Jumper.,12,17
7:50,2934,Damiyne Durham Defensive Rebound.,12,17
7:18,2934,Taze Moore missed Jumper.,12,17
7:18,278,Jaron Hopkins Defensive Rebound.,12,17
7:14,2934,Foul on Justin Pride.,12,17
7:14,2934,Official TV Timeout,12,17
6:53,278,Cullen Russo missed Three Point Jumper.,12,17
