Jarvis Christian,Error,Texas A&amp;M-CC,357
time,team_id,description,h_score,a_score
19:35,357,Cole Martinez missed Three Point Jumper.,0,0
19:35,-1,Leonard Herring Defensive Rebound.,0,0
19:12,-1,Jr Churon Thomas Turnover.,0,0
19:02,357,Rashawn Thomas made Layup.,0,2
18:42,357,Foul on Rashawn Thomas.,0,2
18:32,-1,Jr Churon Thomas missed Jumper.,0,2
18:32,357,Rashawn Thomas Defensive Rebound.,0,2
18:25,357,Rashawn Thomas Turnover.,0,2
18:23,-1,Isaiah Lopez Steal.,0,2
18:20,-1,Jr Churon Thomas made Layup.,2,2
18:10,357,Cole Martinez missed Jumper.,2,2
18:10,357,Joseph Kilgore Offensive Rebound.,2,2
17:48,357,Elijah Schmidt made Layup. Assisted by Rashawn Thomas.,2,4
17:39,-1,Jarvis Christian  Timeout,2,4
17:32,-1,Jr Churon Thomas missed Three Point Jumper.,2,4
17:32,357,Texas A&M-CC Defensive Rebound.,2,4
17:22,-1,Jr Churon Thomas made Layup. Assisted by Dion Malone.,4,4
17:22,357,Ehab Amin made Layup. Assisted by Cole Martinez.,2,6
16:52,-1,Chasen King missed Three Point Jumper.,2,6
16:52,357,Ehab Amin Defensive Rebound.,2,6
16:46,357,Ehab Amin Turnover.,2,6
16:40,-1,Deon Fisher missed Jumper.,2,6
16:40,357,Rashawn Thomas Defensive Rebound.,2,6
16:34,357,Cole Martinez made Layup. Assisted by Ehab Amin.,2,8
16:10,-1,Leonard Herring missed Jumper.,2,8
16:10,357,Ehab Amin Defensive Rebound.,2,8
16:07,357,Ehab Amin Turnover.,2,8
16:06,-1,Isaiah Lopez Steal.,2,8
15:52,-1,Deon Fisher missed Layup.,2,8
15:52,357,Elijah Schmidt Block.,2,8
15:52,-1,Deon Fisher Offensive Rebound.,2,8
15:44,-1,Sam Aguste Turnover.,2,8
15:43,357,Cole Martinez Steal.,2,8
15:34,357,Elijah Schmidt missed Jumper.,2,8
15:34,-1,Sam Aguste Defensive Rebound.,2,8
15:25,-1,Isaiah Lopez missed Layup.,2,8
15:25,357,Rashawn Thomas Defensive Rebound.,2,8
15:21,-1,Foul on Isaiah Lopez.,2,8
15:21,357,Official TV Timeout,2,8
15:07,357,Joseph Kilgore missed Jumper.,2,8
15:07,-1,Isaiah Lopez Defensive Rebound.,2,8
15:00,-1,Sam Aguste Turnover.,2,8
14:46,357,Joseph Kilgore made Layup. Assisted by Rashawn Thomas.,2,10
14:38,-1,Deon Fisher missed Three Point Jumper.,2,10
14:38,357,- Null Defensive Rebound.,2,10
14:35,-1,Foul on Deon Fisher.,2,10
14:22,357,Joseph Kilgore missed Layup.,2,10
14:22,357,Kareem South Offensive Rebound.,2,10
14:15,357,Joseph Kilgore made Layup. Assisted by Cole Martinez.,2,12
14:05,-1,Foul on Leonard Herring.,2,12
14:05,-1,Leonard Herring Turnover.,2,12
13:53,357,Kareem South missed Three Point Jumper.,2,12
13:53,-1,Jalen West Defensive Rebound.,2,12
13:43,-1,Todd Brown made Three Point Jumper. Assisted by Chris Adams.,5,12
13:30,357,Rashawn Thomas made Layup. Assisted by Joseph Kilgore.,5,14
13:08,-1,Gerardo Chavez missed Layup.,5,14
13:08,357,Joseph Kilgore Defensive Rebound.,5,14
13:02,357,Kareem South missed Layup.,5,14
13:02,357,Joseph Kilgore Offensive Rebound.,5,14
12:59,357,Joseph Kilgore missed Layup.,5,14
12:59,357,Texas A&M-CC Offensive Rebound.,5,14
