Temple,52,Florida State,218
time,team_id,description,h_score,a_score
19:44,52,Xavier Rathan-Mayes made Jumper.,0,2
19:08,218,Shizz Alston Jr. missed Three Point Jumper.,0,2
19:08,52,Michael Ojo Defensive Rebound.,0,2
18:55,52,Xavier Rathan-Mayes missed Three Point Jumper.,0,2
18:55,52,Michael Ojo Offensive Rebound.,0,2
18:44,218,Foul on Mark Williams.,0,2
18:44,52,Jonathan Isaac missed Free Throw.,0,2
18:44,52,Florida St Deadball Team Rebound.,0,2
18:44,52,Jonathan Isaac made Free Throw.,0,3
18:28,218,Daniel Dingle made Layup.,2,3
18:18,52,Foul on Michael Ojo.,2,3
18:18,52,Michael Ojo Turnover.,2,3
18:05,218,Shizz Alston Jr. made Jumper.,4,3
17:44,52,Xavier Rathan-Mayes made Layup. Assisted by Michael Ojo.,4,5
17:24,218,Obi Enechionyia missed Layup.,4,5
17:24,52,Michael Ojo Block.,4,5
17:22,52,Jonathan Isaac Defensive Rebound.,4,5
17:11,52,Dwayne Bacon missed Three Point Jumper.,4,5
17:11,218,Obi Enechionyia Defensive Rebound.,4,5
17:10,52,Foul on Terance Mann.,4,5
17:09,218,Alani Moore II Turnover.,4,5
17:08,52,Dwayne Bacon Steal.,4,5
17:06,52,Dwayne Bacon made Layup.,4,7
16:44,218,Daniel Dingle Turnover.,4,7
16:43,52,Dwayne Bacon Steal.,4,7
16:33,52,Phil Cofer missed Layup.,4,7
16:33,218,Mark Williams Block.,4,7
16:31,218,Mark Williams Defensive Rebound.,4,7
16:15,218,Mark Williams missed Three Point Jumper.,4,7
16:15,52,Dwayne Bacon Defensive Rebound.,4,7
15:55,218,Foul on Daniel Dingle.,4,7
15:55,52,Official TV Timeout,4,7
15:34,52,Terance Mann made Jumper.,4,9
15:03,52,Foul on Braian Angola-Rodas.,4,9
14:57,218,Foul on Daniel Dingle.,4,9
14:57,218,Daniel Dingle Turnover.,4,9
14:39,52,Foul on Phil Cofer.,4,9
14:39,52,Phil Cofer Turnover.,4,9
14:16,218,Shizz Alston Jr. missed Layup.,4,9
14:16,218,Alani Moore II Offensive Rebound.,4,9
14:13,218,Alani Moore II missed Two Point Tip Shot.,4,9
14:13,218,Obi Enechionyia Offensive Rebound.,4,9
14:10,218,Obi Enechionyia missed Jumper.,4,9
14:10,52,Jarquez Smith Defensive Rebound.,4,9
14:03,52,Terance Mann missed Layup.,4,9
14:03,52,Terance Mann Offensive Rebound.,4,9
14:01,52,Terance Mann made Two Point Tip Shot.,4,11
13:42,218,Quinton Rose missed Jumper.,4,11
13:42,52,Florida St Defensive Rebound.,4,11
13:20,52,Jonathan Isaac missed Three Point Jumper.,4,11
13:20,218,Alani Moore II Defensive Rebound.,4,11
13:06,218,Quinton Rose made Layup.,6,11
12:45,52,Terance Mann made Layup.,6,13
12:32,218,Alani Moore II made Layup.,8,13
12:13,52,Braian Angola-Rodas missed Three Point Jumper.,8,13
12:13,218,Obi Enechionyia Defensive Rebound.,8,13
11:57,218,Obi Enechionyia made Layup. Assisted by Mark Williams.,10,13
11:32,218,Foul on Mark Williams.,10,13
11:32,52,Official TV Timeout,10,13
11:32,52,Jonathan Isaac made Free Throw.,10,14
11:32,52,Jonathan Isaac made Free Throw.,10,15
11:16,218,Obi Enechionyia missed Jumper.,10,15
11:16,218,Ernest Aflakpui Offensive Rebound.,10,15
11:13,52,Foul on Christ Koumadje.,10,15
11:13,218,Ernest Aflakpui missed Free Throw.,10,15
11:13,218,Temple Deadball Team Rebound.,10,15
11:13,218,Ernest Aflakpui made Free Throw.,11,15
10:52,52,Dwayne Bacon made Jumper.,11,17
10:34,218,Shizz Alston Jr. missed Jumper.,11,17
10:34,218,Obi Enechionyia Offensive Rebound.,11,17
10:28,218,Shizz Alston Jr. missed Three Point Jumper.,11,17
10:28,218,Quinton Rose Offensive Rebound.,11,17
10:24,218,Quinton Rose made Three Point Jumper.,14,17
10:01,52,Dwayne Bacon missed Jumper.,14,17
10:01,52,Phil Cofer Offensive Rebound.,14,17
9:57,52,Phil Cofer missed Layup.,14,17
9:57,218,Ernest Aflakpui Block.,14,17
9:56,218,Quinton Rose Defensive Rebound.,14,17
9:55,52,Foul on Dwayne Bacon.,14,17
9:48,218,Ernest Aflakpui Turnover.,14,17
9:35,52,Jonathan Isaac made Jumper. Assisted by Xavier Rathan-Mayes.,14,19
9:10,218,Ernest Aflakpui made Jumper.,16,19
8:54,52,Xavier Rathan-Mayes made Three Point Jumper. Assisted by Jonathan Isaac.,16,22
8:38,218,Ernest Aflakpui Turnover.,16,22
8:19,52,Jonathan Isaac missed Layup.,16,22
8:19,218,Obi Enechionyia Block.,16,22
8:18,52,Florida St Offensive Rebound.,16,22
8:10,52,Xavier Rathan-Mayes Turnover.,16,22
7:54,218,Mark Williams made Three Point Jumper. Assisted by Quinton Rose.,19,22
7:41,52,Phil Cofer made Three Point Jumper. Assisted by Xavier Rathan-Mayes.,19,25
7:09,218,Mark Williams made Layup.,21,25
6:57,52,Terance Mann missed Jumper.,21,25
6:57,218,Mark Williams Defensive Rebound.,21,25
6:46,218,Mark Williams Turnover.,21,25
6:46,52,Official TV Timeout,21,25
6:30,218,Foul on Alani Moore II.,21,25
6:30,52,Xavier Rathan-Mayes made Free Throw.,21,26
6:30,52,Xavier Rathan-Mayes missed Free Throw.,21,26
6:30,52,Florida St Deadball Team Rebound.,21,26
6:30,52,Xavier Rathan-Mayes made Free Throw.,21,27
6:16,218,Quinton Rose missed Layup.,21,27
6:16,218,Ernest Aflakpui Offensive Rebound.,21,27
6:15,52,Foul on Dwayne Bacon.,21,27
6:15,218,Ernest Aflakpui made Free Throw.,22,27
6:15,218,Ernest Aflakpui missed Free Throw.,22,27
6:15,52,Terance Mann Defensive Rebound.,22,27
6:04,52,Xavier Rathan-Mayes missed Three Point Jumper.,22,27
6:04,52,Xavier Rathan-Mayes Offensive Rebound.,22,27
5:49,52,Jonathan Isaac made Layup. Assisted by Jarquez Smith.,22,29
5:32,218,Ernest Aflakpui missed Layup.,22,29
5:32,218,Ernest Aflakpui Offensive Rebound.,22,29
5:20,218,Quinton Rose missed Jumper.,22,29
5:20,52,Jonathan Isaac Block.,22,29
5:16,52,Jonathan Isaac Defensive Rebound.,22,29
5:03,52,Terance Mann missed Layup.,22,29
5:03,218,Mike Robbins Block.,22,29
5:01,218,Obi Enechionyia Defensive Rebound.,22,29
4:55,218,Obi Enechionyia missed Layup.,22,29
4:55,52,Terance Mann Block.,22,29
4:54,218,Temple Offensive Rebound.,22,29
4:49,218,Obi Enechionyia missed Jumper.,22,29
4:49,52,Terance Mann Defensive Rebound.,22,29
4:40,52,Trent Forrest Turnover.,22,29
4:23,52,Foul on CJ Walker.,22,29
4:23,218,Mike Robbins missed Free Throw.,22,29
4:23,52,Terance Mann Defensive Rebound.,22,29
4:08,52,CJ Walker made Layup.,22,31
3:50,218,Shizz Alston Jr. made Jumper.,24,31
3:37,52,Trent Forrest Turnover.,24,31
3:37,52,Official TV Timeout,24,31
3:23,218,Obi Enechionyia Turnover.,24,31
3:22,52,CJ Walker Steal.,24,31
3:17,52,CJ Walker made Three Point Jumper. Assisted by Terance Mann.,24,34
2:51,218,Quinton Rose Turnover.,24,34
2:37,52,Trent Forrest Turnover.,24,34
2:36,218,Shizz Alston Jr. Steal.,24,34
2:32,218,Quinton Rose made Jumper. Assisted by Obi Enechionyia.,26,34
2:15,218,Foul on Ernest Aflakpui.,26,34
2:10,52,CJ Walker missed Three Point Jumper.,26,34
2:10,52,CJ Walker Offensive Rebound.,26,34
2:06,52,CJ Walker made Layup.,26,36
1:50,218,Quinton Rose missed Jumper.,26,36
1:50,52,Michael Ojo Defensive Rebound.,26,36
1:33,52,Trent Forrest missed Layup.,26,36
1:33,52,Michael Ojo Offensive Rebound.,26,36
1:32,218,Foul on Ernest Aflakpui.,26,36
1:32,52,Michael Ojo made Free Throw.,26,37
1:32,52,Michael Ojo made Free Throw.,26,38
1:20,218,Obi Enechionyia made Three Point Jumper. Assisted by Shizz Alston Jr..,29,38
0:59,218,Foul on Mark Williams.,29,38
0:59,52,Trent Forrest missed Free Throw.,29,38
0:59,52,Florida St Deadball Team Rebound.,29,38
0:59,52,Trent Forrest made Free Throw.,29,39
0:54,218,Quinton Rose missed Layup.,29,39
0:54,52,Trent Forrest Block.,29,39
0:53,218,Temple Offensive Rebound.,29,39
0:50,52,Foul on Braian Angola-Rodas.,29,39
0:50,218,Quinton Rose missed Free Throw.,29,39
0:50,218,Temple Deadball Team Rebound.,29,39
0:50,218,Quinton Rose made Free Throw.,30,39
0:40,52,Braian Angola-Rodas Turnover.,30,39
0:39,218,Shizz Alston Jr. Steal.,30,39
0:36,52,Foul on Trent Forrest.,30,39
0:36,218,Quinton Rose missed Free Throw.,30,39
0:36,218,Temple Deadball Team Rebound.,30,39
0:36,218,Quinton Rose made Free Throw.,31,39
0:36,52,Florida St  Timeout,31,39
0:07,52,Xavier Rathan-Mayes made Jumper.,31,41
0:01,218,Obi Enechionyia missed Three Point Jumper.,31,41
0:01,218,Temple Offensive Rebound.,31,41
0:00,52,End of 1st half,31,41
19:58,218,Shizz Alston Jr. made Jumper. Assisted by Daniel Dingle.,33,41
19:30,52,Jonathan Isaac made Three Point Jumper. Assisted by Xavier Rathan-Mayes.,33,44
19:09,218,Alani Moore II missed Three Point Jumper.,33,44
19:09,52,Jonathan Isaac Defensive Rebound.,33,44
18:59,52,Michael Ojo made Dunk. Assisted by Jonathan Isaac.,33,46
18:41,218,Ernest Aflakpui missed Jumper.,33,46
18:41,218,Ernest Aflakpui Offensive Rebound.,33,46
18:39,218,Ernest Aflakpui made Layup.,35,46
18:39,52,Foul on Dwayne Bacon.,35,46
18:39,218,Ernest Aflakpui made Free Throw.,36,46
18:28,52,Jonathan Isaac missed Three Point Jumper.,36,46
18:28,218,Shizz Alston Jr. Defensive Rebound.,36,46
17:56,218,Daniel Dingle missed Jumper.,36,46
17:56,52,Jonathan Isaac Defensive Rebound.,36,46
17:42,52,Michael Ojo made Layup. Assisted by Dwayne Bacon.,36,48
17:16,218,Daniel Dingle Turnover.,36,48
17:15,52,Terance Mann Steal.,36,48
17:14,218,Foul on Shizz Alston Jr..,36,48
17:11,218,Foul on Alani Moore II.,36,48
16:57,52,Dwayne Bacon Turnover.,36,48
16:38,218,Quinton Rose missed Three Point Jumper.,36,48
16:38,218,Obi Enechionyia Offensive Rebound.,36,48
16:36,52,Foul on Terance Mann.,36,48
16:35,52,Foul on Terance Mann.,36,48
16:30,218,Obi Enechionyia made Jumper.,38,48
16:02,52,Dwayne Bacon made Three Point Jumper. Assisted by Terance Mann.,38,51
15:39,218,Daniel Dingle missed Layup.,38,51
15:39,52,Terance Mann Defensive Rebound.,38,51
15:32,52,Terance Mann missed Layup.,38,51
15:32,218,Obi Enechionyia Block.,38,51
15:31,52,Florida St Offensive Rebound.,38,51
15:31,52,Official TV Timeout,38,51
15:31,218,Foul on Mark Williams.,38,51
15:21,52,Phil Cofer made Layup. Assisted by Jonathan Isaac.,38,53
15:13,218,Obi Enechionyia made Layup. Assisted by Quinton Rose.,40,53
15:04,52,Jonathan Isaac made Three Point Jumper. Assisted by CJ Walker.,40,56
14:52,52,Foul on Jarquez Smith.,40,56
14:52,218,Quinton Rose made Free Throw.,41,56
14:52,218,Quinton Rose missed Free Throw.,41,56
14:52,52,Jonathan Isaac Defensive Rebound.,41,56
14:36,52,Phil Cofer missed Layup.,41,56
14:36,218,Obi Enechionyia Block.,41,56
14:34,218,Daniel Dingle Defensive Rebound.,41,56
14:31,52,Foul on CJ Walker.,41,56
14:31,218,Daniel Dingle missed Free Throw.,41,56
14:31,218,Temple Deadball Team Rebound.,41,56
14:31,218,Daniel Dingle made Free Throw.,42,56
14:23,52,Jarquez Smith missed Jumper.,42,56
14:23,218,Daniel Dingle Defensive Rebound.,42,56
14:15,218,Foul on Quinton Rose.,42,56
14:15,218,Quinton Rose Turnover.,42,56
13:59,52,Jonathan Isaac missed Three Point Jumper.,42,56
13:59,218,Quinton Rose Defensive Rebound.,42,56
13:43,218,Shizz Alston Jr. missed Jumper.,42,56
13:43,52,Jonathan Isaac Block.,42,56
13:41,52,CJ Walker Defensive Rebound.,42,56
13:36,52,CJ Walker missed Layup.,42,56
13:36,52,Jonathan Isaac Offensive Rebound.,42,56
