Presbyterian College,68,Boise State,2506
time,team_id,description,h_score,a_score
19:38,2506,Jo'Vontae Millner Turnover.,0,0
19:11,68,Nick Duncan made Layup. Assisted by Chandler Hutchison.,0,2
18:41,2506,Ed Drew missed Jumper.,0,2
18:41,68,Justinian Jessup Defensive Rebound.,0,2
18:31,68,Justinian Jessup missed Three Point Jumper.,0,2
18:31,2506,Jo'Vontae Millner Defensive Rebound.,0,2
18:18,2506,Ed Drew missed Jumper.,0,2
18:18,68,Chandler Hutchison Defensive Rebound.,0,2
18:02,68,Chandler Hutchison missed Jumper.,0,2
18:02,68,Nick Duncan Offensive Rebound.,0,2
17:46,68,Chandler Hutchison Turnover.,0,2
17:45,2506,Reggie Dillard Steal.,0,2
17:40,2506,JC Younger missed Jumper.,0,2
17:40,2506,Presbyterian Offensive Rebound.,0,2
17:19,2506,Jo'Vontae Millner missed Three Point Jumper.,0,2
17:19,2506,Davon Bell Offensive Rebound.,0,2
17:15,2506,Davon Bell missed Layup.,0,2
17:15,2506,Presbyterian Deadball Team Rebound.,0,2
17:12,68,Foul on Chandler Hutchison.,0,2
17:11,2506,Will Adams made Three Point Jumper. Assisted by Ed Drew.,3,2
16:54,2506,Foul on Will Adams.,3,2
16:53,2506,Foul on Davon Bell.,3,2
16:49,68,Justinian Jessup made Three Point Jumper. Assisted by Nick Duncan.,3,5
16:32,2506,Ed Drew Turnover.,3,5
16:32,2506,Foul on Ed Drew.,3,5
16:08,68,Justinian Jessup missed Three Point Jumper.,3,5
16:08,2506,Jo'Vontae Millner Defensive Rebound.,3,5
15:58,2506,JC Younger missed Jumper.,3,5
15:58,68,Boise State Deadball Team Rebound.,3,5
15:56,2506,Foul on Ed Drew.,3,5
15:56,68,Official TV Timeout,3,5
15:52,68,Nick Duncan missed Three Point Jumper.,3,5
15:52,2506,JC Younger Defensive Rebound.,3,5
15:46,2506,Darius Moore Turnover.,3,5
15:44,68,Justinian Jessup Steal.,3,5
15:25,68,Justinian Jessup Turnover.,3,5
15:20,2506,Will Adams Steal.,3,5
15:13,2506,Jo'Vontae Millner missed Three Point Jumper.,3,5
15:13,68,James Reid Defensive Rebound.,3,5
14:48,68,James Reid missed Three Point Jumper.,3,5
14:48,2506,Ruben Arroyo Defensive Rebound.,3,5
14:25,2506,Ruben Arroyo Turnover.,3,5
14:24,68,Paris Austin Steal.,3,5
14:21,68,Paris Austin made Layup.,3,7
14:02,2506,Ruben Arroyo made Jumper.,5,7
13:44,68,David Wacker made Layup. Assisted by James Reid.,5,9
13:44,2506,Foul on Darius Moore.,5,9
13:44,68,David Wacker made Free Throw.,5,10
13:36,2506,Darius Moore Turnover.,5,10
13:35,68,Chandler Hutchison Steal.,5,10
13:32,68,Chandler Hutchison made Layup.,5,12
13:05,2506,Reggie Dillard made Three Point Jumper.,8,12
12:39,68,James Reid missed Three Point Jumper.,8,12
12:39,68,Chandler Hutchison Offensive Rebound.,8,12
12:36,2506,Foul on Armel TeTe.,8,12
12:36,68,Chandler Hutchison made Free Throw.,8,13
12:36,68,Chandler Hutchison made Free Throw.,8,14
12:27,2506,Jaron Withers made Three Point Jumper.,11,14
12:06,68,Marcus Dickinson made Three Point Jumper. Assisted by Justinian Jessup.,11,17
11:25,68,Foul on Robin Jorch.,11,17
11:25,68,Official TV Timeout,11,17
11:23,2506,Jaron Withers missed Jumper.,11,17
11:23,68,Marcus Dickinson Defensive Rebound.,11,17
10:53,68,Chandler Hutchison missed Jumper.,11,17
10:53,68,Robin Jorch Offensive Rebound.,11,17
10:49,68,Justinian Jessup made Jumper.,11,19
10:21,2506,Austin Venable missed Jumper.,11,19
10:21,68,Robin Jorch Block.,11,19
10:19,2506,Austin Venable Offensive Rebound.,11,19
10:16,2506,Austin Venable missed Layup.,11,19
10:16,68,Robin Jorch Defensive Rebound.,11,19
10:08,68,Justinian Jessup made Three Point Jumper.,11,22
9:44,68,Foul on Robin Jorch.,11,22
9:32,2506,Davon Bell missed Layup.,11,22
9:32,68,Justinian Jessup Defensive Rebound.,11,22
9:09,68,Marcus Dickinson missed Layup.,11,22
9:09,2506,Austin Venable Defensive Rebound.,11,22
9:01,2506,JC Younger made Three Point Jumper. Assisted by Davon Bell.,14,22
8:38,68,James Reid missed Three Point Jumper.,14,22
8:38,68,David Wacker Offensive Rebound.,14,22
8:23,68,Nick Duncan missed Three Point Jumper.,14,22
8:23,68,David Wacker Offensive Rebound.,14,22
8:17,68,Justinian Jessup made Three Point Jumper. Assisted by Paris Austin.,14,25
8:01,2506,JC Younger missed Three Point Jumper.,14,25
8:01,68,Paris Austin Defensive Rebound.,14,25
7:50,68,Nick Duncan made Three Point Jumper. Assisted by Justinian Jessup.,14,28
7:23,2506,Armel TeTe made Jumper.,16,28
7:23,68,Foul on David Wacker.,16,28
7:23,68,Official TV Timeout,16,28
