Tennessee Tech,195,Ohio,2635
time,team_id,description,h_score,a_score
19:44,195,Gavin Block Turnover.,0,0
19:42,2635,Kajon Mack Steal.,0,0
19:27,2635,Mason Ramsey missed Jumper.,0,0
19:27,195,Antonio Campbell Defensive Rebound.,0,0
19:01,195,Jordan Dartis missed Three Point Jumper.,0,0
19:01,2635,JaCardo Hawkins Defensive Rebound.,0,0
18:49,2635,Markell Henderson made Jumper.,2,0
18:35,195,Jaaron Simmons missed Three Point Jumper.,2,0
18:35,195,Antonio Campbell Offensive Rebound.,2,0
18:31,195,Antonio Campbell missed Layup.,2,0
18:31,2635,Aleksa Jugovic Defensive Rebound.,2,0
18:24,2635,Kajon Mack made Layup.,4,0
18:24,195,Foul on Gavin Block.,4,0
18:24,2635,Kajon Mack made Free Throw.,5,0
18:13,2635,Foul on Mason Ramsey.,5,0
17:56,195,Jordan Dartis Turnover.,5,0
17:54,2635,Aleksa Jugovic Steal.,5,0
17:45,2635,Aleksa Jugovic Turnover.,5,0
17:44,195,Jordan Dartis Steal.,5,0
17:37,195,Rodney Culver missed Dunk.,5,0
17:37,195,Ohio Offensive Rebound.,5,0
17:22,195,Jordan Dartis made Three Point Jumper. Assisted by Jaaron Simmons.,5,3
16:53,2635,Markell Henderson missed Three Point Jumper.,5,3
16:53,2635,Mason Ramsey Offensive Rebound.,5,3
16:48,2635,JaCardo Hawkins Turnover.,5,3
16:34,2635,Foul on Markell Henderson.,5,3
16:23,195,Jordan Dartis made Three Point Jumper. Assisted by Jaaron Simmons.,5,6
15:56,2635,Mason Ramsey made Jumper. Assisted by Kajon Mack.,7,6
15:40,195,Gavin Block Turnover.,7,6
15:40,195,Foul on Gavin Block.,7,6
15:40,195,Official TV Timeout,7,6
15:29,2635,Aleksa Jugovic Turnover.,7,6
15:27,195,Rodney Culver Steal.,7,6
15:26,195,Rodney Culver made Layup.,7,8
15:10,2635,Mason Ramsey missed Layup.,7,8
15:10,195,Antonio Campbell Defensive Rebound.,7,8
15:00,195,Jordan Dartis missed Three Point Jumper.,7,8
15:00,2635,JaCardo Hawkins Defensive Rebound.,7,8
14:48,2635,Kajon Mack made Jumper.,9,8
14:22,195,Antonio Campbell missed Three Point Jumper.,9,8
14:22,2635,Kajon Mack Defensive Rebound.,9,8
