Belmont,227,Rhode Island,2057
time,team_id,description,h_score,a_score
19:47,227,Hassan Martin made Jumper. Assisted by Kuran Iverson.,0,2
19:23,227,Foul on Kuran Iverson.,0,2
19:23,2057,Nick Smith made Free Throw.,1,2
19:23,2057,Nick Smith made Free Throw.,2,2
19:03,227,Kuran Iverson missed Jumper.,2,2
19:03,2057,Nick Smith Defensive Rebound.,2,2
18:37,2057,Amanze Egekeze made Layup. Assisted by Austin Luke.,4,2
18:26,227,Jared Terrell missed Layup.,4,2
18:26,2057,Amanze Egekeze Block.,4,2
18:24,2057,Nick Smith Defensive Rebound.,4,2
18:08,2057,Amanze Egekeze missed Layup.,4,2
18:08,227,Hassan Martin Block.,4,2
18:06,227,E.C. Matthews Defensive Rebound.,4,2
17:58,2057,Foul on Taylor Barnette.,4,2
17:47,227,Jarvis Garrett made Three Point Jumper. Assisted by Kuran Iverson.,4,5
17:24,2057,Amanze Egekeze made Layup. Assisted by Austin Luke.,6,5
17:08,2057,Foul on Dylan Windler.,6,5
16:55,227,Hassan Martin missed Layup.,6,5
16:55,2057,Dylan Windler Block.,6,5
16:53,227,Kuran Iverson Offensive Rebound.,6,5
16:51,227,Kuran Iverson Turnover.,6,5
16:50,2057,Austin Luke Steal.,6,5
16:46,2057,Taylor Barnette missed Three Point Jumper.,6,5
16:46,227,Kuran Iverson Defensive Rebound.,6,5
16:31,227,Hassan Martin missed Jumper.,6,5
16:31,2057,Dylan Windler Defensive Rebound.,6,5
16:15,2057,Austin Luke missed Layup.,6,5
16:15,227,Jarvis Garrett Defensive Rebound.,6,5
15:53,227,Kuran Iverson made Three Point Jumper. Assisted by E.C. Matthews.,6,8
15:34,2057,Nick Smith Turnover.,6,8
15:34,227,Rhode Island  Timeout,6,8
15:21,227,Jarvis Garrett made Jumper.,6,10
15:11,2057,Kevin McClain Turnover.,6,10
15:01,227,Hassan Martin made Dunk. Assisted by Jarvis Garrett.,6,12
14:45,2057,Kevin McClain missed Three Point Jumper.,6,12
14:45,227,E.C. Matthews Defensive Rebound.,6,12
14:33,227,Hassan Martin missed Layup.,6,12
14:33,2057,Taylor Barnette Defensive Rebound.,6,12
14:28,2057,Kevin McClain made Layup. Assisted by Taylor Barnette.,8,12
14:28,227,Foul on Jarvis Garrett.,8,12
14:28,2057,Kevin McClain made Free Throw.,9,12
14:09,227,Jared Terrell missed Jumper.,9,12
14:09,227,Kuran Iverson Offensive Rebound.,9,12
14:04,227,Kuran Iverson made Layup.,9,14
13:39,2057,Taylor Barnette Turnover.,9,14
13:39,227,Stanford Robinson Steal.,9,14
13:39,2057,Foul on Kevin McClain.,9,14
13:24,227,Jeff Dowtin Turnover.,9,14
13:23,2057,Kevin McClain Steal.,9,14
13:05,2057,Tyler Hadden made Layup. Assisted by Burton Sampson.,11,14
12:45,227,Cyril Langevine Turnover.,11,14
12:45,2057,Tyler Hadden Steal.,11,14
12:45,227,Foul on Cyril Langevine.,11,14
12:41,2057,Dylan Windler Turnover.,11,14
12:40,227,Stanford Robinson Steal.,11,14
12:28,227,Jeff Dowtin Turnover.,11,14
12:27,2057,Austin Luke Steal.,11,14
12:23,2057,Nick Smith missed Layup.,11,14
12:23,227,Cyril Langevine Defensive Rebound.,11,14
12:09,227,Stanford Robinson made Layup.,11,16
11:50,227,Foul on Jared Terrell.,11,16
11:50,2057,Belmont  Timeout,11,16
11:44,2057,Austin Luke missed Three Point Jumper.,11,16
11:44,2057,Dylan Windler Offensive Rebound.,11,16
11:30,2057,Nick Smith made Layup. Assisted by Austin Luke.,13,16
11:14,227,Jarvis Garrett missed Three Point Jumper.,13,16
11:14,2057,Dylan Windler Defensive Rebound.,13,16
10:50,2057,Tyler Hadden made Layup. Assisted by Burton Sampson.,15,16
10:30,227,Jarvis Garrett made Three Point Jumper.,15,19
10:14,227,Foul on Stanford Robinson.,15,19
10:14,2057,Amanze Egekeze made Free Throw.,16,19
10:14,2057,Amanze Egekeze made Free Throw.,17,19
9:58,227,Hassan Martin made Jumper. Assisted by Nicola Akele.,17,21
9:39,2057,Nick Smith made Layup. Assisted by Kevin McClain.,19,21
9:17,227,Christion Thompson missed Three Point Jumper.,19,21
9:17,2057,Dylan Windler Defensive Rebound.,19,21
9:01,227,Foul on Nicola Akele.,19,21
9:01,2057,Amanze Egekeze missed Free Throw.,19,21
9:01,2057,Belmont Deadball Team Rebound.,19,21
9:01,2057,Amanze Egekeze missed Free Throw.,19,21
9:01,227,Kuran Iverson Defensive Rebound.,19,21
8:51,227,Jarvis Garrett made Three Point Jumper.,19,24
8:25,2057,Austin Luke missed Three Point Jumper.,19,24
8:25,227,Hassan Martin Defensive Rebound.,19,24
8:12,227,E.C. Matthews missed Jumper.,19,24
8:12,2057,Nick Smith Defensive Rebound.,19,24
7:58,2057,Amanze Egekeze Turnover.,19,24
7:58,227,Kuran Iverson Steal.,19,24
