Ark Monticello,Error,UMKC,140
time,team_id,description,h_score,a_score
19:39,140,Broderick Newbill Turnover.,0,0
19:39,-1,Karim Mawunyega Steal.,0,0
19:28,-1,Derylton Hill missed Layup.,0,0
19:28,-1,Vicktor Arnick Offensive Rebound.,0,0
19:25,-1,Vicktor Arnick made Layup.,2,0
19:08,140,Kyle Steward missed Three Point Jumper.,2,0
19:08,140,Darnell Tillman Offensive Rebound.,2,0
19:04,140,Darnell Tillman made Layup.,2,2
18:41,-1,Derylton Hill made Layup. Assisted by Cobe Goosby.,4,2
18:34,140,UMKC  Timeout,4,2
18:20,140,Broderick Newbill made Jumper.,4,4
17:57,-1,Vicktor Arnick missed Layup.,4,4
17:57,140,Kyle Steward Block.,4,4
17:55,-1,Vicktor Arnick Offensive Rebound.,4,4
17:53,-1,Vicktor Arnick missed Layup.,4,4
17:53,140,Broderick Newbill Defensive Rebound.,4,4
17:48,-1,Foul on Karim Mawunyega.,4,4
17:47,140,Martez Harrison Turnover.,4,4
17:45,-1,Tyrin Jones Steal.,4,4
17:37,140,Foul on Kyle Steward.,4,4
17:37,-1,Cobe Goosby missed Free Throw.,4,4
17:37,-1,Arkansas-Monticello Deadball Team Rebound.,4,4
17:37,-1,Cobe Goosby made Free Throw.,5,4
17:33,140,LaVell Boyd made Three Point Jumper.,5,7
17:16,-1,Derylton Hill Turnover.,5,7
17:01,140,Broderick Newbill missed Jumper.,5,7
17:01,-1,Vicktor Arnick Defensive Rebound.,5,7
16:47,-1,Derylton Hill missed Layup.,5,7
16:47,140,Duane Clark Defensive Rebound.,5,7
16:37,-1,Foul on Derylton Hill.,5,7
16:37,140,LaVell Boyd made Free Throw.,5,8
16:37,140,LaVell Boyd made Free Throw.,5,9
16:22,-1,Derylton Hill made Layup. Assisted by Cobe Goosby.,7,9
16:05,140,Kyle Steward missed Jumper.,7,9
16:05,-1,Derylton Hill Defensive Rebound.,7,9
15:54,-1,Cobe Goosby missed Jumper.,7,9
15:54,-1,Derylton Hill Offensive Rebound.,7,9
15:52,140,Foul on Jordan Giles.,7,9
15:52,140,Official TV Timeout,7,9
15:42,-1,Karim Mawunyega missed Three Point Jumper.,7,9
15:42,140,Jordan Giles Defensive Rebound.,7,9
15:27,-1,Foul on Cobe Goosby.,7,9
15:27,140,Isaiah Ross missed Free Throw.,7,9
15:27,140,UMKC Deadball Team Rebound.,7,9
15:27,140,Isaiah Ross made Free Throw.,7,10
15:12,-1,Stephen Glassco Jr. made Layup. Assisted by Karim Mawunyega.,9,10
15:00,140,Jordan Giles missed Jumper.,9,10
15:00,-1,Derylton Hill Defensive Rebound.,9,10
14:48,-1,Foul on Derylton Hill.,9,10
14:48,-1,Derylton Hill Turnover.,9,10
14:20,-1,Foul on Karim Mawunyega.,9,10
14:20,140,Xavier Bishop made Free Throw.,9,11
14:20,140,Xavier Bishop made Free Throw.,9,12
13:56,-1,Cobe Goosby missed Layup.,9,12
13:56,140,Duane Clark Block.,9,12
13:54,140,UMKC Defensive Rebound.,9,12
13:31,140,Jordan Giles missed Three Point Jumper.,9,12
13:31,-1,Stephon Gordon Defensive Rebound.,9,12
13:08,140,Foul on Aleer Leek.,9,12
13:08,-1,Stephon Gordon made Free Throw.,10,12
13:08,-1,Stephon Gordon made Free Throw.,11,12
12:52,-1,Foul on Vicktor Arnick.,11,12
12:52,140,Xavier Bishop made Free Throw.,11,13
12:52,140,Xavier Bishop made Free Throw.,11,14
12:42,-1,Cobe Goosby missed Layup.,11,14
12:42,-1,Troy Thomas Offensive Rebound.,11,14
12:40,140,Foul on Aleer Leek.,11,14
12:40,-1,Troy Thomas missed Free Throw.,11,14
12:40,-1,Arkansas-Monticello Deadball Team Rebound.,11,14
12:40,-1,Troy Thomas made Free Throw.,12,14
12:28,140,Darnell Tillman Turnover.,12,14
12:16,-1,Vicktor Arnick Turnover.,12,14
12:14,140,Dashawn King Steal.,12,14
12:06,140,Dashawn King missed Layup.,12,14
12:06,-1,Vicktor Arnick Defensive Rebound.,12,14
12:04,140,Foul on Dashawn King.,12,14
11:44,-1,Vicktor Arnick Turnover.,12,14
11:44,140,Official TV Timeout,12,14
11:18,140,Dashawn King missed Three Point Jumper.,12,14
11:18,-1,Karim Mawunyega Defensive Rebound.,12,14
11:01,140,Foul on Dashawn King.,12,14
10:56,-1,Cobe Goosby Turnover.,12,14
10:54,140,Dashawn King Steal.,12,14
10:52,140,Martez Harrison missed Layup.,12,14
10:52,140,UMKC Offensive Rebound.,12,14
10:49,140,LaVell Boyd made Jumper. Assisted by Dashawn King.,12,16
10:39,140,Foul on LaVell Boyd.,12,16
10:39,-1,Vicktor Arnick made Free Throw.,13,16
10:39,-1,Vicktor Arnick made Free Throw.,14,16
10:33,140,Darnell Tillman made Layup. Assisted by LaVell Boyd.,14,18
10:21,-1,Vicktor Arnick missed Three Point Jumper.,14,18
10:21,-1,Cobe Goosby Offensive Rebound.,14,18
10:18,140,Foul on Darnell Tillman.,14,18
10:18,-1,Cobe Goosby made Free Throw.,15,18
10:18,-1,Cobe Goosby missed Free Throw.,15,18
10:18,140,Darnell Tillman Defensive Rebound.,15,18
10:12,140,LaVell Boyd made Layup.,15,20
10:11,-1,Foul on Vicktor Arnick.,15,20
10:11,140,LaVell Boyd made Free Throw.,15,21
9:47,-1,Tyrin Jones missed Jumper.,15,21
9:47,140,Darnell Tillman Defensive Rebound.,15,21
9:40,140,Broderick Newbill missed Jumper.,15,21
9:40,-1,Arkansas-Monticello Defensive Rebound.,15,21
9:31,140,Foul on Darnell Tillman.,15,21
9:31,-1,Vicktor Arnick made Free Throw.,16,21
9:31,-1,Vicktor Arnick missed Free Throw.,16,21
9:31,140,Kyle Steward Defensive Rebound.,16,21
9:20,140,Isaiah Ross missed Three Point Jumper.,16,21
9:20,140,LaVell Boyd Offensive Rebound.,16,21
9:14,140,UMKC  Timeout,16,21
9:12,140,LaVell Boyd Turnover.,16,21
8:55,-1,Vicktor Arnick missed Jumper.,16,21
8:55,140,Duane Clark Defensive Rebound.,16,21
8:49,140,Martez Harrison missed Three Point Jumper.,16,21
8:49,-1,Arkansas-Monticello Deadball Team Rebound.,16,21
8:47,140,Foul on Duane Clark.,16,21
8:47,-1,Derylton Hill missed Free Throw.,16,21
8:47,-1,Arkansas-Monticello Deadball Team Rebound.,16,21
8:47,-1,Derylton Hill made Free Throw.,17,21
8:39,-1,Foul on Derylton Hill.,17,21
8:39,140,Kyle Steward made Free Throw.,17,22
8:39,140,Kyle Steward made Free Throw.,17,23
8:19,-1,Troy Thomas missed Jumper.,17,23
8:19,140,Kyle Steward Defensive Rebound.,17,23
8:10,140,LaVell Boyd missed Three Point Jumper.,17,23
8:10,140,Martez Harrison Offensive Rebound.,17,23
8:07,140,Martez Harrison made Layup.,17,25
7:42,-1,Stephon Gordon missed Layup.,17,25
7:42,-1,Tyrin Jones Offensive Rebound.,17,25
7:37,-1,Tyrin Jones made Layup.,19,25
7:33,-1,Foul on Troy Thomas.,19,25
7:33,140,Official TV Timeout,19,25
7:33,140,Duane Clark missed Free Throw.,19,25
7:33,-1,Troy Thomas Defensive Rebound.,19,25
7:09,-1,Arkansas-Monticello  Timeout,19,25
7:02,-1,Arkansas-Monticello  Turnover.,19,25
6:42,140,Kyle Steward made Three Point Jumper.,19,28
6:30,-1,Stephen Glassco Jr. Turnover.,19,28
6:16,140,Kyle Steward missed Three Point Jumper.,19,28
6:16,140,Duane Clark Offensive Rebound.,19,28
6:11,140,Duane Clark missed Dunk.,19,28
6:11,140,Isaiah Ross Offensive Rebound.,19,28
6:07,140,Isaiah Ross missed Layup.,19,28
6:07,-1,Karim Mawunyega Defensive Rebound.,19,28
6:04,-1,Troy Thomas made Layup. Assisted by Karim Mawunyega.,21,28
5:55,140,Isaiah Ross missed Jumper.,21,28
5:55,140,UMKC Deadball Team Rebound.,21,28
5:55,-1,Foul on Cobe Goosby.,21,28
5:55,140,Kyle Steward missed Free Throw.,21,28
5:55,140,UMKC Deadball Team Rebound.,21,28
5:55,140,Kyle Steward made Free Throw.,21,29
5:30,-1,Karim Mawunyega missed Layup.,21,29
5:30,140,Xavier Bishop Defensive Rebound.,21,29
5:25,-1,Foul on Hunter Daley.,21,29
5:25,140,Xavier Bishop missed Free Throw.,21,29
5:25,140,UMKC Deadball Team Rebound.,21,29
5:25,140,Xavier Bishop made Free Throw.,21,30
5:10,-1,Tyrin Jones missed Jumper.,21,30
5:10,140,Dashawn King Defensive Rebound.,21,30
4:55,140,Foul on Xavier Bishop.,21,30
4:55,140,Xavier Bishop Turnover.,21,30
4:46,140,Foul on LaVell Boyd.,21,30
4:46,-1,Tyrin Jones made Free Throw.,22,30
4:46,-1,Tyrin Jones made Free Throw.,23,30
4:30,140,Broderick Robinson Turnover.,23,30
4:29,-1,Tyrin Jones Steal.,23,30
4:07,-1,Tyrin Jones Turnover.,23,30
4:05,140,Xavier Bishop Steal.,23,30
4:03,-1,Foul on Stephen Glassco Jr..,23,30
4:03,140,Grant Leach made Free Throw.,23,31
4:03,140,Grant Leach missed Free Throw.,23,31
4:03,-1,Arkansas-Monticello Deadball Team Rebound.,23,31
4:02,140,Foul on Kyle Steward.,23,31
4:02,-1,Vicktor Arnick made Free Throw.,24,31
4:02,-1,Vicktor Arnick made Free Throw.,25,31
3:36,140,Grant Leach missed Three Point Jumper.,25,31
3:36,-1,Karim Mawunyega Defensive Rebound.,25,31
3:17,-1,Cobe Goosby made Jumper.,27,31
3:09,140,Xavier Bishop made Layup.,27,33
2:52,-1,Karim Mawunyega made Jumper.,29,33
2:40,140,Xavier Bishop missed Three Point Jumper.,29,33
2:40,-1,Vicktor Arnick Defensive Rebound.,29,33
2:32,-1,Cobe Goosby Turnover.,29,33
2:29,140,Xavier Bishop Steal.,29,33
2:26,140,Xavier Bishop made Layup.,29,35
2:12,-1,Karim Mawunyega missed Layup.,29,35
2:12,140,Jordan Giles Block.,29,35
2:12,140,Official TV Timeout,29,35
2:12,140,UMKC Defensive Rebound.,29,35
2:03,140,Xavier Bishop Turnover.,29,35
2:02,-1,Stephon Gordon Steal.,29,35
1:57,-1,Cobe Goosby made Layup.,31,35
1:43,140,Grant Leach missed Three Point Jumper.,31,35
1:43,-1,Vicktor Arnick Defensive Rebound.,31,35
1:28,-1,Stephon Gordon missed Layup.,31,35
1:28,140,Grant Leach Defensive Rebound.,31,35
1:18,140,Martez Harrison missed Three Point Jumper.,31,35
1:18,-1,Cobe Goosby Defensive Rebound.,31,35
1:02,-1,Stephen Glassco Jr. made Layup. Assisted by Karim Mawunyega.,33,35
1:00,140,Foul on Jordan Giles.,33,35
1:00,-1,Stephen Glassco Jr. made Free Throw.,34,35
0:56,-1,Foul on Tyrin Jones.,34,35
0:56,140,Xavier Bishop made Free Throw.,34,36
0:56,140,Xavier Bishop missed Free Throw.,34,36
0:56,-1,Vicktor Arnick Defensive Rebound.,34,36
0:42,-1,Cobe Goosby missed Jumper.,34,36
0:42,140,Kyle Steward Defensive Rebound.,34,36
0:34,140,Broderick Newbill missed Layup.,34,36
0:34,-1,Cobe Goosby Defensive Rebound.,34,36
0:03,-1,Cobe Goosby missed Jumper.,34,36
0:03,140,Broderick Newbill Defensive Rebound.,34,36
0:00,140,End of 1st half,34,36
19:36,-1,Karim Mawunyega missed Three Point Jumper.,34,36
19:36,-1,Derylton Hill Offensive Rebound.,34,36
19:32,-1,Derylton Hill Turnover.,34,36
19:11,140,LaVell Boyd made Three Point Jumper.,34,39
18:49,-1,Derylton Hill made Layup. Assisted by Vicktor Arnick.,36,39
18:39,140,Darnell Tillman missed Layup.,36,39
18:39,-1,Karim Mawunyega Defensive Rebound.,36,39
18:32,-1,Karim Mawunyega missed Layup.,36,39
18:32,140,Darnell Tillman Defensive Rebound.,36,39
18:23,140,Broderick Newbill Turnover.,36,39
18:23,-1,Stephon Gordon Turnover.,36,39
18:23,140,Martez Harrison Steal.,36,39
18:23,140,Martez Harrison made Layup.,36,41
18:12,-1,Stephon Gordon made Layup. Assisted by Karim Mawunyega.,38,41
18:10,140,Foul on Martez Harrison.,38,41
18:10,-1,Stephon Gordon made Free Throw.,39,41
17:48,140,LaVell Boyd made Three Point Jumper. Assisted by Kyle Steward.,39,44
17:39,-1,Derylton Hill Turnover.,39,44
17:37,140,Broderick Newbill Steal.,39,44
17:34,140,Broderick Newbill made Layup.,39,46
17:31,-1,Cobe Goosby made Layup.,41,46
