Drake,302,UC Davis,2181
time,team_id,description,h_score,a_score
19:44,302,J.T. Adenrele made Layup. Assisted by Siler Schneider.,0,2
19:27,2181,Reed Timmer missed Jumper.,0,2
19:27,302,Darius Graham Defensive Rebound.,0,2
19:10,302,Chima Moneke Turnover.,0,2
18:54,2181,T.J. Thomas made Layup. Assisted by C.J. Rivers.,2,2
18:54,302,Foul on Chima Moneke.,2,2
18:54,2181,T.J. Thomas missed Free Throw.,2,2
18:54,302,UC Davis Defensive Rebound.,2,2
18:44,302,Brynton Lemar made Layup. Assisted by Darius Graham.,2,4
18:10,2181,C.J. Rivers missed Jumper.,2,4
18:10,2181,Drake Deadball Team Rebound.,2,4
18:09,302,Foul on J.T. Adenrele.,2,4
18:04,2181,Reed Timmer missed Jumper.,2,4
18:04,302,J.T. Adenrele Defensive Rebound.,2,4
17:50,2181,Foul on Kory Kuenstling.,2,4
17:45,2181,Foul on C.J. Rivers.,2,4
17:45,302,Chima Moneke made Free Throw.,2,5
17:45,302,Chima Moneke made Free Throw.,2,6
17:27,2181,Graham Woodward Turnover.,2,6
17:26,302,Chima Moneke Steal.,2,6
17:21,302,Siler Schneider made Three Point Jumper. Assisted by Darius Graham.,2,9
17:01,2181,Graham Woodward made Three Point Jumper. Assisted by Kory Kuenstling.,5,9
16:33,2181,Foul on Reed Timmer.,5,9
16:22,302,Darius Graham made Three Point Jumper. Assisted by Brynton Lemar.,5,12
16:05,2181,Billy Wampler missed Three Point Jumper.,5,12
16:05,302,Mikey Henn Defensive Rebound.,5,12
15:57,302,Official TV Timeout,5,12
15:54,302,Brynton Lemar made Jumper. Assisted by Darius Graham.,5,14
15:36,2181,Nick McGlynn missed Layup.,5,14
15:36,302,Siler Schneider Defensive Rebound.,5,14
15:24,302,Mikey Henn missed Three Point Jumper.,5,14
15:24,2181,Nick McGlynn Defensive Rebound.,5,14
15:11,2181,Casey Schlatter made Layup. Assisted by Graham Woodward.,7,14
14:55,302,Darius Graham Turnover.,7,14
14:42,2181,Graham Woodward missed Three Point Jumper.,7,14
14:42,302,UC Davis Deadball Team Rebound.,7,14
14:41,2181,Foul on Nick McGlynn.,7,14
14:41,302,Joe Mooney made Three Point Jumper. Assisted by Brynton Lemar.,7,17
13:44,2181,De'Antae McMurray missed Jumper.,7,17
13:44,2181,Nick McGlynn Offensive Rebound.,7,17
13:41,2181,Nick McGlynn made Two Point Tip Shot.,9,17
13:28,2181,Foul on Nick McGlynn.,9,17
13:24,302,Foul on Joe Mooney.,9,17
13:24,302,Joe Mooney Turnover.,9,17
13:10,2181,Nick McGlynn Turnover.,9,17
13:08,302,Joe Mooney Steal.,9,17
13:02,302,Brynton Lemar missed Three Point Jumper.,9,17
13:02,2181,Nick McGlynn Defensive Rebound.,9,17
12:46,2181,Billy Wampler Turnover.,9,17
12:41,302,Siler Schneider Turnover.,9,17
12:41,2181,Billy Wampler Steal.,9,17
12:37,2181,Billy Wampler missed Three Point Jumper.,9,17
12:37,302,UC Davis Defensive Rebound.,9,17
12:20,302,Siler Schneider missed Three Point Jumper.,9,17
12:20,302,UC Davis Deadball Team Rebound.,9,17
12:17,2181,Foul on Graham Woodward.,9,17
12:14,302,Chima Moneke made Jumper. Assisted by Siler Schneider.,9,19
12:01,2181,Foul on T.J. Thomas.,9,19
12:01,2181,T.J. Thomas Turnover.,9,19
11:43,302,Official TV Timeout,9,19
11:22,302,J.T. Adenrele Turnover.,9,19
11:04,302,Foul on Siler Schneider.,9,19
11:04,2181,De'Antae McMurray made Three Point Jumper.,12,19
10:56,302,Darius Graham Turnover.,12,19
10:19,2181,Ore Arogundade missed Layup.,12,19
10:19,2181,Drake Deadball Team Rebound.,12,19
10:18,302,Foul on J.T. Adenrele.,12,19
10:18,2181,T.J. Thomas missed Layup.,12,19
10:18,302,Chima Moneke Defensive Rebound.,12,19
