North Carolina Central,94,Northern Kentucky,2428
time,team_id,description,h_score,a_score
19:45,94,Lavone Holland II made Layup.,0,2
19:31,2428,Will Ransom Turnover.,0,2
19:27,94,Jeff Garrett Steal.,0,2
19:26,2428,Foul on Del'Vin Dickerson.,0,2
19:26,94,Carson Williams made Free Throw.,0,3
19:26,94,Carson Williams made Free Throw.,0,4
19:01,2428,Will Ransom made Dunk. Assisted by Patrick Cole.,2,4
18:50,2428,Foul on Del'Vin Dickerson.,2,4
18:34,94,Foul on Jalen Tate.,2,4
18:34,94,Jalen Tate Turnover.,2,4
18:31,94,Foul on Lavone Holland II.,2,4
18:09,2428,Rashaun Madison missed Three Point Jumper.,2,4
18:09,2428,Patrick Cole Offensive Rebound.,2,4
18:07,94,Foul on Jeff Garrett.,2,4
18:07,2428,Patrick Cole made Free Throw.,3,4
18:07,2428,Patrick Cole missed Free Throw.,3,4
18:07,94,Jeff Garrett Defensive Rebound.,3,4
17:57,2428,Foul on Patrick Cole.,3,4
17:57,94,Lavone Holland II made Free Throw.,3,5
17:57,94,Lavone Holland II missed Free Throw.,3,5
17:57,2428,North Carolina Central Defensive Rebound.,3,5
17:44,2428,Dajuan Graf missed Jumper.,3,5
17:44,94,Lavone Holland II Defensive Rebound.,3,5
17:37,2428,Foul on Rashaun Madison.,3,5
17:13,94,Jeff Garrett missed Three Point Jumper.,3,5
17:13,94,Drew McDonald Offensive Rebound.,3,5
17:08,94,Drew McDonald missed Layup.,3,5
17:08,94,Carson Williams Offensive Rebound.,3,5
17:03,94,Blake Spellman missed Three Point Jumper.,3,5
17:03,94,Jeff Garrett Offensive Rebound.,3,5
16:59,94,Jeff Garrett made Jumper.,3,7
16:46,2428,Pablo Rivas made Three Point Jumper. Assisted by Dajuan Graf.,6,7
16:27,94,Foul on Jeff Garrett.,6,7
16:27,94,Jeff Garrett Turnover.,6,7
16:13,94,Foul on Jalen Tate.,6,7
15:58,2428,Patrick Cole missed Jumper.,6,7
15:58,94,Cole Murray Offensive Rebound.,6,7
15:57,2428,Foul on Pablo Rivas.,6,7
15:47,94,Cole Murray missed Three Point Jumper.,6,7
15:47,94,Drew McDonald Offensive Rebound.,6,7
15:44,94,Drew McDonald made Jumper.,6,9
15:13,2428,Patrick Cole missed Jumper.,6,9
15:09,2428,Patrick Cole made Jumper.,8,9
15:00,94,Cole Murray missed Three Point Jumper.,8,9
15:00,94,Drew McDonald Offensive Rebound.,8,9
14:54,94,Drew McDonald missed Layup.,8,9
14:54,2428,Patrick Cole Defensive Rebound.,8,9
14:46,2428,Patrick Cole missed Three Point Jumper.,8,9
14:46,94,Blake Spellman Defensive Rebound.,8,9
14:38,94,Drew McDonald missed Layup.,8,9
14:38,2428,Pablo Rivas Defensive Rebound.,8,9
14:09,2428,Patrick Cole missed Jumper.,8,9
14:09,94,Cole Murray Defensive Rebound.,8,9
13:59,94,Blake Spellman made Three Point Jumper. Assisted by Jordan Garnett.,8,12
13:35,2428,Foul on Will Ransom.,8,12
13:11,94,Jordan Garnett Turnover.,8,12
13:09,2428,Patrick Cole Steal.,8,12
13:07,2428,Patrick Cole Turnover.,8,12
13:06,94,Cole Murray Steal.,8,12
13:01,94,Brandon Maxwell missed Three Point Jumper.,8,12
13:01,94,Brennan Gillis Offensive Rebound.,8,12
12:59,94,Brennan Gillis made Jumper.,8,14
12:30,2428,Ron Trapps missed Jumper.,8,14
12:30,94,Cole Murray Defensive Rebound.,8,14
12:26,94,Cole Murray made Three Point Jumper. Assisted by Blake Spellman.,8,17
12:24,2428,North Carolina Central  Timeout,8,17
12:03,2428,Dajuan Graf missed Jumper.,8,17
12:03,94,Blake Spellman Defensive Rebound.,8,17
11:41,94,Brandon Maxwell missed Layup.,8,17
11:41,2428,Pablo Rivas Defensive Rebound.,8,17
11:40,94,Foul on Brandon Maxwell.,8,17
11:40,94,Official TV Timeout,8,17
11:30,2428,Patrick Cole missed Layup.,8,17
11:30,94,Brennan Gillis Block.,8,17
11:21,2428,Patrick Cole made Layup.,10,17
11:21,94,Foul on Cole Murray.,10,17
11:21,2428,Patrick Cole made Free Throw.,11,17
11:06,94,Carson Williams missed Layup.,11,17
11:06,2428,Ron Trapps Defensive Rebound.,11,17
10:28,2428,C.J. Wiggins made Layup.,13,17
10:11,94,Jordan Garnett Offensive Rebound.,13,17
10:07,94,Lavone Holland II missed Three Point Jumper.,13,17
10:07,94,Jordan Garnett Offensive Rebound.,13,17
10:04,94,Jordan Garnett missed Layup.,13,17
10:04,2428,Ron Trapps Defensive Rebound.,13,17
10:04,2428,Patrick Cole made Free Throw.,14,17
10:04,2428,Patrick Cole made Free Throw.,15,17
9:51,94,Foul on Jordan Garnett.,15,17
9:43,2428,Foul on Rashaun Madison.,15,17
9:43,94,Lavone Holland II made Free Throw.,15,18
9:43,94,Lavone Holland II made Free Throw.,15,19
9:22,2428,Patrick Cole missed Jumper.,15,19
9:22,2428,North Carolina Central Offensive Rebound.,15,19
9:06,2428,Pablo Rivas made Layup.,17,19
8:55,94,Drew McDonald made Layup. Assisted by Blake Spellman.,17,21
8:38,2428,Ron Trapps made Three Point Jumper. Assisted by C.J. Wiggins.,20,21
8:28,2428,Foul on Ron Trapps.,20,21
8:28,94,Lavone Holland II missed Free Throw.,20,21
8:28,2428,Ron Trapps Defensive Rebound.,20,21
8:19,2428,C.J. Wiggins missed Layup.,20,21
8:19,94,Lavone Holland II Defensive Rebound.,20,21
8:14,94,Lavone Holland II made Layup.,20,23
7:55,2428,Ron Trapps made Three Point Jumper. Assisted by Patrick Cole.,23,23
7:39,94,Drew McDonald made Three Point Jumper. Assisted by Blake Spellman.,23,26
7:36,94,Northern Kentucky  Timeout,23,26
7:22,2428,Patrick Cole missed Jumper.,23,26
7:22,2428,Will Ransom Offensive Rebound.,23,26
7:11,2428,Pablo Rivas missed Three Point Jumper.,23,26
7:11,94,Drew McDonald Defensive Rebound.,23,26
6:55,94,Mason Faulkner missed Three Point Jumper.,23,26
6:55,2428,Patrick Cole Defensive Rebound.,23,26
6:49,2428,Dajuan Graf made Layup.,25,26
6:30,94,Dantez Walton made Three Point Jumper. Assisted by Lavone Holland II.,25,29
6:10,2428,Pablo Rivas missed Jumper.,25,29
6:10,94,Northern Kentucky Offensive Rebound.,25,29
5:52,94,Drew McDonald missed Layup.,25,29
5:52,94,Drew McDonald Offensive Rebound.,25,29
5:48,94,Drew McDonald Turnover.,25,29
5:47,2428,Pablo Rivas Steal.,25,29
5:44,2428,Dajuan Graf made Layup.,27,29
5:34,94,Jordan Garnett missed Three Point Jumper.,27,29
5:34,2428,Will Ransom Defensive Rebound.,27,29
5:30,2428,Ron Trapps Turnover.,27,29
5:12,94,Dantez Walton missed Three Point Jumper.,27,29
5:12,2428,Patrick Cole Defensive Rebound.,27,29
5:04,2428,Patrick Cole made Three Point Jumper.,30,29
4:51,2428,Foul on Patrick Cole.,30,29
4:51,94,Jordan Garnett missed Free Throw.,30,29
4:51,2428,Patrick Cole Defensive Rebound.,30,29
4:35,2428,North Carolina Central  Timeout,30,29
4:22,2428,Del'Vin Dickerson made Jumper.,32,29
4:06,94,Lavone Holland II Turnover.,32,29
3:55,2428,Patrick Cole missed Jumper.,32,29
3:55,2428,Del'Vin Dickerson Offensive Rebound.,32,29
3:35,2428,Ron Trapps made Jumper.,34,29
3:22,94,Brandon Maxwell missed Three Point Jumper.,34,29
3:22,2428,Del'Vin Dickerson Defensive Rebound.,34,29
3:15,2428,Dajuan Graf missed Layup.,34,29
3:15,94,Lavone Holland II Block.,34,29
3:14,94,Brandon Maxwell Defensive Rebound.,34,29
3:05,94,Cole Murray missed Three Point Jumper.,34,29
3:05,2428,Del'Vin Dickerson Defensive Rebound.,34,29
2:42,2428,Patrick Cole made Jumper.,36,29
2:23,94,Cole Murray missed Three Point Jumper.,36,29
2:23,2428,Ron Trapps Defensive Rebound.,36,29
2:14,2428,Patrick Cole made Layup.,38,29
1:53,94,Drew McDonald missed Jumper.,38,29
1:53,2428,Del'Vin Dickerson Defensive Rebound.,38,29
1:27,2428,Dajuan Graf missed Layup.,38,29
1:27,2428,Ron Trapps Offensive Rebound.,38,29
1:10,94,Foul on Brandon Maxwell.,38,29
1:10,2428,Official TV Timeout,38,29
1:10,2428,Patrick Cole made Free Throw.,39,29
1:10,2428,Patrick Cole made Free Throw.,40,29
0:50,94,Cole Murray missed Three Point Jumper.,40,29
0:50,2428,Del'Vin Dickerson Defensive Rebound.,40,29
0:27,2428,Dajuan Graf made Jumper.,42,29
0:01,94,Lavone Holland II missed Jumper.,42,29
0:01,2428,Ron Trapps Defensive Rebound.,42,29
0:00,94,End of 1st half,42,29
19:45,94,Jeff Garrett missed Layup.,42,29
19:45,2428,Patrick Cole Defensive Rebound.,42,29
19:22,2428,Dajuan Graf missed Layup.,42,29
19:22,94,Carson Williams Block.,42,29
19:21,94,Jeff Garrett Defensive Rebound.,42,29
19:13,94,Drew McDonald Turnover.,42,29
19:10,94,Tre Cobbs Steal.,42,29
19:06,2428,Dajuan Graf made Jumper.,44,29
18:59,2428,Foul on Patrick Cole.,44,29
18:33,2428,Foul on Will Ransom.,44,29
18:33,94,Jalen Tate missed Free Throw.,44,29
18:33,94,Northern Kentucky Offensive Rebound.,44,29
18:33,94,Jalen Tate missed Free Throw.,44,29
18:33,2428,Del'Vin Dickerson Defensive Rebound.,44,29
18:19,94,Foul on Jalen Tate.,44,29
18:19,94,Foul on Jeff Garrett.,44,29
18:01,2428,Dajuan Graf missed Three Point Jumper.,44,29
18:01,94,Carson Williams Defensive Rebound.,44,29
17:35,94,Blake Spellman made Three Point Jumper. Assisted by Carson Williams.,44,32
17:17,2428,Rashaun Madison missed Three Point Jumper.,44,32
17:17,94,Lavone Holland II Defensive Rebound.,44,32
17:02,94,Drew McDonald made Three Point Jumper. Assisted by Lavone Holland II.,44,35
16:34,2428,Patrick Cole missed Layup.,44,35
16:34,94,Carson Williams Defensive Rebound.,44,35
16:17,94,Carson Williams made Layup.,44,37
15:44,2428,Patrick Cole missed Three Point Jumper.,44,37
15:44,94,Carson Williams Defensive Rebound.,44,37
15:38,94,Jeff Garrett missed Layup.,44,37
15:38,2428,Patrick Cole Defensive Rebound.,44,37
15:08,2428,Will Ransom made Dunk. Assisted by Patrick Cole.,46,37
14:50,2428,Foul on Rashaun Madison.,46,37
14:50,94,Official TV Timeout,46,37
14:47,94,Carson Williams missed Layup.,46,37
14:47,2428,Will Ransom Defensive Rebound.,46,37
14:41,2428,Dajuan Graf missed Layup.,46,37
14:41,94,Lavone Holland II Block.,46,37
14:41,94,Dantez Walton Defensive Rebound.,46,37
14:34,94,Dantez Walton missed Three Point Jumper.,46,37
14:34,2428,Dajuan Graf Defensive Rebound.,46,37
14:11,2428,Rashaun Madison missed Three Point Jumper.,46,37
14:11,94,Brennan Gillis Defensive Rebound.,46,37
13:55,94,Foul on Lavone Holland II.,46,37
13:50,94,Lavone Holland II missed Three Point Jumper.,46,37
13:50,94,Drew McDonald Offensive Rebound.,46,37
13:49,94,Dantez Walton made Three Point Jumper. Assisted by Blake Spellman.,46,40
13:44,2428,Dajuan Graf Turnover.,46,40
13:43,94,Lavone Holland II Steal.,46,40
13:31,2428,Rashaun Madison made Three Point Jumper. Assisted by Dajuan Graf.,49,40
13:14,94,Dantez Walton missed Layup.,49,40
13:14,94,Drew McDonald Offensive Rebound.,49,40
13:13,2428,Foul on Will Ransom.,49,40
13:13,94,Drew McDonald made Free Throw.,49,41
13:13,94,Drew McDonald missed Free Throw.,49,41
13:13,2428,North Carolina Central Defensive Rebound.,49,41
13:06,94,Lavone Holland II made Three Point Jumper. Assisted by Dantez Walton.,49,44
12:44,2428,Dajuan Graf made Layup.,51,44
12:16,94,Lavone Holland II missed Three Point Jumper.,51,44
12:16,2428,Patrick Cole Defensive Rebound.,51,44
12:09,2428,Patrick Cole made Layup.,53,44
11:42,94,Lavone Holland II made Three Point Jumper. Assisted by Blake Spellman.,53,47
11:18,94,Official TV Timeout,53,47
11:17,2428,Patrick Cole missed Jumper.,53,47
11:17,94,Drew McDonald Block.,53,47
11:17,2428,North Carolina Central Offensive Rebound.,53,47
11:13,2428,Patrick Cole missed Jumper.,53,47
11:13,94,Northern Kentucky Defensive Rebound.,53,47
10:50,94,Drew McDonald made Layup.,53,49
10:50,2428,Foul on Will Ransom.,53,49
10:50,94,Drew McDonald missed Free Throw.,53,49
10:50,2428,Pablo Rivas Defensive Rebound.,53,49
10:28,2428,Dajuan Graf made Jumper.,55,49
10:00,94,Drew McDonald made Layup.,55,51
9:28,2428,Patrick Cole missed Layup.,55,51
9:28,94,Drew McDonald Defensive Rebound.,55,51
9:21,94,Lavone Holland II missed Layup.,55,51
9:21,2428,Ron Trapps Block.,55,51
9:19,2428,Ron Trapps Defensive Rebound.,55,51
9:16,2428,Patrick Cole made Layup.,57,51
9:00,2428,Foul on Ron Trapps.,57,51
8:48,94,Lavone Holland II missed Three Point Jumper.,57,51
8:48,2428,Pablo Rivas Defensive Rebound.,57,51
8:40,2428,Dajuan Graf made Jumper.,59,51
8:25,94,Drew McDonald missed Jumper.,59,51
8:25,2428,Patrick Cole Defensive Rebound.,59,51
8:18,2428,Patrick Cole missed Jumper.,59,51
8:15,2428,Patrick Cole made Three Point Jumper.,62,51
8:15,94,Northern Kentucky  Timeout,62,51
8:15,94,Official TV Timeout,62,51
8:00,94,Drew McDonald missed Jumper.,62,51
8:00,2428,Pablo Rivas Block.,62,51
7:59,94,Drew McDonald Turnover.,62,51
7:58,94,Northern Kentucky  Timeout,62,51
7:58,94,Drew McDonald Offensive Rebound.,62,51
7:42,2428,Pablo Rivas made Dunk. Assisted by Patrick Cole.,64,51
7:22,94,Jeff Garrett missed Three Point Jumper.,64,51
7:22,2428,Pablo Rivas Defensive Rebound.,64,51
6:52,2428,Patrick Cole made Jumper.,66,51
6:44,94,Foul on Carson Williams.,66,51
6:35,2428,Rashaun Madison Turnover.,66,51
6:33,94,Jalen Tate Steal.,66,51
6:31,94,Jalen Tate made Layup.,66,53
6:12,2428,Pablo Rivas made Dunk. Assisted by Patrick Cole.,68,53
5:56,94,Carson Williams made Layup.,68,55
5:56,2428,Foul on Pablo Rivas.,68,55
5:56,94,Carson Williams missed Free Throw.,68,55
5:56,2428,Pablo Rivas Defensive Rebound.,68,55
5:30,94,Foul on Jalen Tate.,70,55
5:30,2428,Patrick Cole made Free Throw.,71,55
5:29,2428,Patrick Cole made Layup.,70,55
5:16,94,Drew McDonald made Layup. Assisted by Cole Murray.,71,57
5:16,2428,Foul on Pablo Rivas.,71,57
5:16,94,Drew McDonald made Free Throw.,71,58
4:52,2428,Ron Trapps missed Jumper.,71,58
4:52,94,Brandon Maxwell Defensive Rebound.,71,58
4:41,94,Lavone Holland II made Layup.,71,60
4:23,2428,Patrick Cole missed Layup.,71,60
4:23,94,Drew McDonald Defensive Rebound.,71,60
4:11,94,Drew McDonald made Layup. Assisted by Brandon Maxwell.,71,62
3:46,2428,Rashaun Madison missed Three Point Jumper.,71,62
3:46,94,Brandon Maxwell Defensive Rebound.,71,62
3:32,2428,Foul on Pablo Rivas.,71,62
3:32,94,Official TV Timeout,71,62
3:32,94,Lavone Holland II made Free Throw.,71,63
3:32,94,Lavone Holland II made Free Throw.,71,64
3:18,2428,Will Ransom made Layup. Assisted by Patrick Cole.,73,64
3:01,94,Cole Murray made Three Point Jumper. Assisted by Jalen Tate.,73,67
2:48,94,Foul on Drew McDonald.,73,67
2:22,2428,Patrick Cole made Layup.,75,67
2:09,2428,Foul on Dajuan Graf.,75,67
2:09,94,Lavone Holland II missed Free Throw.,75,67
2:09,94,Northern Kentucky Offensive Rebound.,75,67
2:09,94,Lavone Holland II missed Free Throw.,75,67
2:09,2428,Patrick Cole Defensive Rebound.,75,67
1:59,2428,Will Ransom made Dunk. Assisted by Patrick Cole.,77,67
1:54,94,Northern Kentucky  Timeout,77,67
1:37,94,Cole Murray made Three Point Jumper. Assisted by Lavone Holland II.,77,70
1:29,2428,Patrick Cole Turnover.,77,70
1:28,94,Jalen Tate Steal.,77,70
1:25,94,Jalen Tate Turnover.,77,70
1:24,2428,Ron Trapps Steal.,77,70
1:22,2428,Rashaun Madison Turnover.,77,70
1:11,2428,Foul on Will Ransom.,77,70
1:10,94,Jalen Tate missed Free Throw.,77,70
1:10,2428,Del'Vin Dickerson Defensive Rebound.,77,70
1:10,94,Jalen Tate made Free Throw.,77,71
0:44,2428,Rashaun Madison missed Three Point Jumper.,77,71
0:44,94,Cole Murray Defensive Rebound.,77,71
0:36,94,Drew McDonald missed Three Point Jumper.,77,71
0:36,94,Northern Kentucky Offensive Rebound.,77,71
0:30,94,Drew McDonald missed Layup.,77,71
0:30,2428,Pablo Rivas Defensive Rebound.,77,71
0:27,94,Foul on Lavone Holland II.,77,71
0:27,2428,Dajuan Graf made Free Throw.,78,71
0:27,2428,Dajuan Graf made Free Throw.,79,71
0:21,94,Lavone Holland II made Three Point Jumper.,79,74
0:21,94,Northern Kentucky  Timeout,79,74
0:18,94,Foul on Lavone Holland II.,79,74
0:18,2428,Patrick Cole made Free Throw.,80,74
0:18,2428,Patrick Cole missed Free Throw.,80,74
0:18,94,Drew McDonald Defensive Rebound.,80,74
0:12,94,Jalen Tate missed Three Point Jumper.,80,74
0:12,2428,Ron Trapps Defensive Rebound.,80,74
0:04,2428,Pablo Rivas made Dunk. Assisted by Dajuan Graf.,82,74
0:00,94,End of Game,82,74
