Western Kentucky,2439,UNLV,98
time,team_id,description,h_score,a_score
19:25,2439,Tyrell Green made Three Point Jumper. Assisted by Jalen Poyser.,0,3
18:39,2439,Foul on Dwayne Morgan.,0,3
18:39,98,Junior Lomomba missed Three Point Jumper.,0,3
18:39,2439,Jalen Poyser Defensive Rebound.,0,3
18:31,2439,Dwayne Morgan missed Layup.,0,3
18:31,98,Ben Lawson Block.,0,3
18:26,98,Que Johnson Defensive Rebound.,0,3
18:19,98,Que Johnson missed Three Point Jumper.,0,3
18:19,2439,UNLV Defensive Rebound.,0,3
18:17,98,Foul on Ben Lawson.,0,3
18:14,2439,Uche Ofoegbu Turnover.,0,3
17:49,98,Pancake Thomas missed Jumper.,0,3
17:49,98,Pancake Thomas Offensive Rebound.,0,3
17:38,98,Que Johnson missed Jumper.,0,3
17:38,2439,Tyrell Green Defensive Rebound.,0,3
17:33,98,Foul on Ben Lawson.,0,3
17:22,2439,Tyrell Green made Three Point Jumper. Assisted by Jalen Poyser.,0,6
17:03,98,Anton Waters missed Jumper.,0,6
17:03,2439,Kris Clyburn Defensive Rebound.,0,6
16:53,2439,Dwayne Morgan missed Jumper.,0,6
16:53,98,Que Johnson Defensive Rebound.,0,6
16:44,98,Junior Lomomba missed Three Point Jumper.,0,6
16:44,2439,Kris Clyburn Defensive Rebound.,0,6
16:36,2439,Jalen Poyser missed Three Point Jumper.,0,6
16:36,2439,Dwayne Morgan Offensive Rebound.,0,6
16:29,2439,Dwayne Morgan made Layup.,0,8
15:58,98,Junior Lomomba Turnover.,0,8
15:56,2439,Jovan Mooring Steal.,0,8
15:54,2439,Jovan Mooring Turnover.,0,8
15:53,98,Junior Lomomba Steal.,0,8
15:51,98,Que Johnson missed Layup.,0,8
15:51,2439,Kris Clyburn Defensive Rebound.,0,8
15:45,2439,Tyrell Green made Layup. Assisted by Jalen Poyser.,0,10
15:45,98,Western Kentucky  Timeout,0,10
15:18,98,Anton Waters made Jumper.,2,10
15:01,2439,Kris Clyburn missed Three Point Jumper.,2,10
15:01,2439,Kris Clyburn Offensive Rebound.,2,10
14:52,2439,Troy Baxter Jr. missed Jumper.,2,10
14:52,98,Justin Johnson Defensive Rebound.,2,10
14:36,98,Justin Johnson made Layup. Assisted by Pancake Thomas.,4,10
14:36,2439,Foul on Troy Baxter Jr..,4,10
14:36,98,Justin Johnson missed Free Throw.,4,10
14:36,2439,Kris Clyburn Defensive Rebound.,4,10
14:15,2439,Dwayne Morgan missed Jumper.,4,10
14:15,98,Que Johnson Defensive Rebound.,4,10
14:04,98,Tobias Howard missed Three Point Jumper.,4,10
14:04,2439,Dwayne Morgan Defensive Rebound.,4,10
13:51,2439,Dwayne Morgan missed Jumper.,4,10
13:51,2439,Troy Baxter Jr. Offensive Rebound.,4,10
13:50,2439,Troy Baxter Jr. Turnover.,4,10
13:50,2439,Foul on Troy Baxter Jr..,4,10
13:29,98,Anton Waters made Jumper. Assisted by Pancake Thomas.,6,10
12:52,2439,Jalen Poyser missed Jumper.,6,10
12:52,98,Pancake Thomas Defensive Rebound.,6,10
12:40,98,Pancake Thomas made Jumper. Assisted by Tobias Howard.,8,10
12:24,2439,Ben Coupet Jr. missed Three Point Jumper.,8,10
12:24,98,Que Johnson Defensive Rebound.,8,10
