Hartford,249,North Texas,42
time,team_id,description,h_score,a_score
19:37,42,Hassan Attia missed Jumper.,0,0
19:37,249,Rickey Brice Jr. Block.,0,0
19:34,249,Derail Green Defensive Rebound.,0,0
19:21,249,Derail Green Turnover.,0,0
19:18,42,John Carroll Steal.,0,0
19:16,42,Jalen Ross missed Jumper.,0,0
19:16,249,North Texas Defensive Rebound.,0,0
19:04,249,A.J. Lawson made Three Point Jumper. Assisted by J-Mychal Reese.,0,3
18:46,42,Hassan Attia missed Jumper.,0,3
18:46,249,Rickey Brice Jr. Defensive Rebound.,0,3
18:25,249,Deckie Johnson Turnover.,0,3
18:22,42,Hassan Attia Steal.,0,3
18:11,42,J.R. Lynch made Three Point Jumper. Assisted by John Carroll.,3,3
17:50,249,Rickey Brice Jr. made Jumper. Assisted by A.J. Lawson.,3,5
17:28,42,J.R. Lynch missed Jumper.,3,5
17:28,42,Hassan Attia Offensive Rebound.,3,5
17:23,42,Hassan Attia Turnover.,3,5
17:14,249,J-Mychal Reese made Three Point Jumper.,3,8
16:59,42,Jalen Ross missed Three Point Jumper.,3,8
16:59,249,Rickey Brice Jr. Defensive Rebound.,3,8
16:50,249,Derail Green missed Jumper.,3,8
16:50,249,Derail Green Offensive Rebound.,3,8
16:41,249,Derail Green made Jumper.,3,10
16:17,42,J.R. Lynch Turnover.,3,10
16:15,249,Rickey Brice Jr. Steal.,3,10
16:08,249,J-Mychal Reese Turnover.,3,10
15:54,42,Jalen Ross made Three Point Jumper. Assisted by Jason Dunne.,6,10
15:46,249,Official TV Timeout,6,10
15:46,249,North Texas  Timeout,6,10
15:36,249,Derail Green missed Jumper.,6,10
15:36,42,J.R. Lynch Defensive Rebound.,6,10
15:28,42,Jack Hobbs made Jumper.,8,10
15:11,249,Deckie Johnson missed Three Point Jumper.,8,10
15:11,42,Jason Dunne Defensive Rebound.,8,10
14:40,42,John Carroll missed Three Point Jumper.,8,10
14:40,249,Rickey Brice Jr. Defensive Rebound.,8,10
14:32,249,A.J. Lawson made Jumper.,8,12
14:11,42,Jack Hobbs made Three Point Jumper. Assisted by J.R. Lynch.,11,12
13:47,249,J-Mychal Reese made Three Point Jumper.,11,15
13:28,42,Jack Hobbs missed Jumper.,11,15
13:28,249,J-Mychal Reese Defensive Rebound.,11,15
13:18,249,A.J. Lawson missed Three Point Jumper.,11,15
13:18,42,J.R. Lynch Defensive Rebound.,11,15
13:18,42,Foul on Jason Dunne.,11,15
13:18,249,J-Mychal Reese Turnover.,11,15
13:12,42,Jason Dunne missed Layup.,11,15
13:12,249,Allante Holston Block.,11,15
13:08,42,Hartford Offensive Rebound.,11,15
12:59,42,Jalen Ross made Three Point Jumper. Assisted by George Blagojevic.,14,15
12:38,249,Shane Temara Turnover.,14,15
12:30,42,Jack Hobbs Steal.,14,15
12:24,42,Hassan Attia made Layup.,16,15
12:06,249,Derail Green Turnover.,16,15
11:54,42,George Blagojevic Turnover.,16,15
11:54,249,Official TV Timeout,16,15
11:43,42,Foul on Hassan Attia.,16,15
11:37,249,Ja'Michael Brown made Three Point Jumper. Assisted by Allante Holston.,16,18
11:18,42,Hassan Attia Turnover.,16,18
10:59,249,Deckie Johnson missed Jumper.,16,18
10:59,42,Hartford Defensive Rebound.,16,18
10:59,249,Foul on Shane Temara.,16,18
10:43,42,Jalen Ross missed Three Point Jumper.,16,18
10:43,249,Ja'Michael Brown Defensive Rebound.,16,18
10:37,249,Deckie Johnson Turnover.,16,18
10:24,42,John Carroll missed Layup.,16,18
10:24,249,Allante Holston Defensive Rebound.,16,18
10:15,249,Allante Holston missed Jumper.,16,18
10:15,42,Hartford Defensive Rebound.,16,18
9:48,42,J.R. Lynch made Jumper.,18,18
9:35,249,A.J. Lawson Turnover.,18,18
9:20,42,Hassan Attia Turnover.,18,18
9:17,249,Deckie Johnson Steal.,18,18
9:15,42,Foul on John Carroll.,18,18
9:15,249,A.J. Lawson made Free Throw.,18,19
9:15,249,A.J. Lawson made Free Throw.,18,20
8:58,42,Hassan Attia Turnover.,18,20
8:58,42,Foul on Hassan Attia.,18,20
8:47,249,Derail Green missed Three Point Jumper.,18,20
8:47,249,A.J. Lawson Offensive Rebound.,18,20
8:43,249,A.J. Lawson made Jumper.,18,22
8:24,249,Foul on Deckie Johnson.,18,22
8:16,42,John Carroll made Layup. Assisted by Jason Dunne.,20,22
7:56,249,Derail Green made Jumper.,20,24
7:26,42,Jalen Ross missed Jumper.,20,24
7:26,249,North Texas Defensive Rebound.,20,24
7:26,42,Foul on John Carroll.,20,24
7:09,249,Rickey Brice Jr. missed Jumper.,20,24
7:09,42,TreVaughn Wilkerson Defensive Rebound.,20,24
7:01,42,George Blagojevic missed Three Point Jumper.,20,24
7:01,249,J-Mychal Reese Defensive Rebound.,20,24
6:44,249,J-Mychal Reese Turnover.,20,24
6:21,42,Jason Dunne missed Jumper.,20,24
6:21,249,Rickey Brice Jr. Defensive Rebound.,20,24
6:01,249,Derail Green made Three Point Jumper. Assisted by J-Mychal Reese.,20,27
5:52,42,Jalen Ross missed Three Point Jumper.,20,27
5:52,42,TreVaughn Wilkerson Offensive Rebound.,20,27
5:23,42,Jalen Ross made Jumper.,22,27
5:12,249,Rickey Brice Jr. made Jumper.,22,29
5:02,42,Jalen Ross missed Layup.,22,29
5:02,249,Rickey Brice Jr. Defensive Rebound.,22,29
4:35,249,Ja'Michael Brown missed Three Point Jumper.,22,29
4:35,42,Jalen Ross Defensive Rebound.,22,29
4:26,42,J.R. Lynch made Three Point Jumper. Assisted by Jalen Ross.,25,29
4:09,249,Shane Temara made Three Point Jumper. Assisted by J-Mychal Reese.,25,32
3:54,42,Jason Dunne made Layup.,27,32
3:44,249,Derail Green missed Jumper.,27,32
3:44,42,Jason Dunne Defensive Rebound.,27,32
3:33,42,Andrew Ramirez made Three Point Jumper. Assisted by J.R. Lynch.,30,32
3:10,249,Foul on Derail Green.,30,32
3:10,249,Derail Green Turnover.,30,32
3:10,249,Official TV Timeout,30,32
2:51,42,Andrew Ramirez made Three Point Jumper. Assisted by Jalen Ross.,33,32
2:27,249,J-Mychal Reese missed Jumper.,33,32
2:27,42,TreVaughn Wilkerson Defensive Rebound.,33,32
2:12,42,Jalen Ross made Three Point Jumper.,36,32
1:51,249,Deckie Johnson missed Three Point Jumper.,36,32
1:51,42,Andrew Ramirez Defensive Rebound.,36,32
1:38,42,Jason Dunne Turnover.,36,32
1:37,249,J-Mychal Reese Steal.,36,32
1:35,42,Foul on J.R. Lynch.,36,32
1:35,249,Deckie Johnson made Jumper. Assisted by J-Mychal Reese.,36,34
1:35,42,Jason Dunne missed Three Point Jumper.,36,34
1:35,249,Shane Temara Defensive Rebound.,36,34
1:35,249,Shane Temara missed Three Point Jumper.,36,34
1:35,42,Jason Dunne Defensive Rebound.,36,34
1:35,42,Jalen Ross made Jumper.,38,34
