Allen,Error,Campbell,2097
time,team_id,description,h_score,a_score
19:43,2097,Andrew Eudy made Dunk. Assisted by Cory Gensler.,0,2
19:23,-1,Donald Marshall Jr missed Jumper.,0,2
19:23,2097,Chris Clemons Defensive Rebound.,0,2
18:55,-1,Foul on Ramon Suero.,0,2
18:55,2097,Shane Whitfield made Free Throw.,0,3
18:55,2097,Shane Whitfield missed Free Throw.,0,3
18:55,2097,Andrew Eudy Offensive Rebound.,0,3
18:47,2097,Chris Clemons missed Three Point Jumper.,0,3
18:47,-1,Arvel Atwater Defensive Rebound.,0,3
18:24,-1,Ivory Drummer Turnover.,0,3
18:21,2097,Chris Clemons Steal.,0,3
18:15,2097,Shane Whitfield made Layup. Assisted by Chris Clemons.,0,5
17:57,-1,Ivory Drummer Turnover.,0,5
17:56,2097,Andrew Eudy Steal.,0,5
17:53,2097,Shane Whitfield made Layup. Assisted by Chris Clemons.,0,7
17:30,-1,Arvel Atwater missed Three Point Jumper.,0,7
17:30,2097,Cory Gensler Defensive Rebound.,0,7
17:17,-1,Foul on Johnathan Grant.,0,7
17:17,2097,Chris Clemons made Free Throw.,0,8
17:17,2097,Chris Clemons made Free Throw.,0,9
17:06,-1,Johnathan Grant made Layup. Assisted by Arvel Atwater.,2,9
16:52,2097,Chris Clemons Turnover.,2,9
16:38,-1,Demetrius Richardson Turnover.,2,9
16:38,-1,Foul on Demetrius Richardson.,2,9
16:16,2097,Damontez Oliver made Three Point Jumper. Assisted by Shane Whitfield.,2,12
15:55,-1,Johnathan Grant Turnover.,2,12
15:54,2097,Damontez Oliver Steal.,2,12
15:51,2097,Chris Clemons Turnover.,2,12
15:49,-1,Johnathan Grant Steal.,2,12
15:43,-1,Donald Marshall Jr missed Three Point Jumper.,2,12
15:43,2097,Cory Gensler Defensive Rebound.,2,12
15:36,2097,Official TV Timeout,2,12
15:25,2097,Mogga Lado Turnover.,2,12
15:24,-1,Ivory Drummer Steal.,2,12
15:21,-1,Arvel Atwater missed Layup.,2,12
15:21,-1,Sherrod Wade Offensive Rebound.,2,12
15:17,-1,Sherrod Wade missed Two Point Tip Shot.,2,12
15:17,-1,Sherrod Wade Offensive Rebound.,2,12
15:14,2097,Foul on Mogga Lado.,2,12
15:14,-1,Sherrod Wade made Free Throw.,3,12
15:14,-1,Sherrod Wade made Free Throw.,4,12
15:09,-1,Foul on Arvel Atwater.,4,12
15:05,-1,Foul on Johnathan Grant.,4,12
14:56,2097,Cory Gensler missed Three Point Jumper.,4,12
14:56,2097,Mogga Lado Offensive Rebound.,4,12
14:47,2097,Mogga Lado Turnover.,4,12
14:36,-1,Sherrod Wade missed Layup.,4,12
14:36,2097,Shane Whitfield Defensive Rebound.,4,12
14:30,2097,Khadre Lane missed Three Point Jumper.,4,12
14:30,-1,Sherrod Wade Defensive Rebound.,4,12
14:24,2097,Foul on Cory Gensler.,4,12
14:17,-1,Donald Marshall Jr made Jumper. Assisted by Emaray Johnson.,6,12
13:59,2097,Shane Whitfield Turnover.,6,12
13:45,-1,Donald Marshall Jr made Layup.,8,12
13:22,2097,Marcus Burk missed Three Point Jumper.,8,12
13:22,2097,Mogga Lado Offensive Rebound.,8,12
13:15,-1,Foul on Ivory Drummer.,8,12
13:02,2097,Khadre Lane made Three Point Jumper. Assisted by Shane Whitfield.,8,15
12:47,-1,Emaray Johnson missed Jumper.,8,15
12:47,2097,Shane Whitfield Defensive Rebound.,8,15
12:37,2097,Khadre Lane missed Layup.,8,15
12:37,2097,Andrew Eudy Offensive Rebound.,8,15
12:35,2097,Andrew Eudy made Layup.,8,17
12:15,-1,Donald Marshall Jr made Layup.,10,17
11:50,2097,Chris Clemons missed Three Point Jumper.,10,17
11:50,-1,Arvel Atwater Defensive Rebound.,10,17
11:39,2097,Official TV Timeout,10,17
11:36,-1,Sherrod Wade missed Three Point Jumper.,10,17
11:36,2097,Andrew Eudy Defensive Rebound.,10,17
11:17,-1,Foul on Ivory Drummer.,10,17
11:17,2097,Chris Clemons made Free Throw.,10,18
11:17,2097,Chris Clemons made Free Throw.,10,19
11:01,-1,Ramon Suero missed Jumper.,10,19
11:01,2097,Andrew Eudy Defensive Rebound.,10,19
10:35,2097,Austin Burnette missed Three Point Jumper.,10,19
10:35,-1,Donald Marshall Jr Defensive Rebound.,10,19
10:26,-1,Donald Marshall Jr missed Jumper.,10,19
10:26,2097,Marcus Burk Defensive Rebound.,10,19
10:00,2097,Chris Clemons missed Three Point Jumper.,10,19
10:00,-1,Ramon Suero Defensive Rebound.,10,19
9:46,2097,Foul on Marcus Burk.,10,19
9:34,-1,Ramon Suero Turnover.,10,19
9:10,2097,Damontez Oliver made Three Point Jumper. Assisted by Chris Clemons.,10,22
8:52,-1,Sherrod Wade Turnover.,10,22
8:49,2097,Andrew Eudy Steal.,10,22
8:47,2097,Quinton Ray made Layup. Assisted by Damontez Oliver.,10,24
8:31,-1,Donald Marshall Jr missed Layup.,10,24
8:31,2097,Cory Gensler Defensive Rebound.,10,24
8:22,2097,Andrew Eudy missed Three Point Jumper.,10,24
8:22,-1,Arvel Atwater Defensive Rebound.,10,24
8:05,-1,Arvel Atwater missed Jumper.,10,24
8:05,2097,Andrew Eudy Defensive Rebound.,10,24
8:01,-1,Foul on Ramon Suero.,10,24
8:01,2097,Andrew Eudy made Free Throw.,10,25
8:01,2097,Andrew Eudy missed Free Throw.,10,25
8:01,-1,Johnathan Grant Defensive Rebound.,10,25
7:53,-1,Donald Marshall Jr Turnover.,10,25
7:52,2097,Official TV Timeout,10,25
7:40,2097,Damontez Oliver missed Three Point Jumper.,10,25
