South Carolina Upstate,2,Auburn,2908
time,team_id,description,h_score,a_score
19:50,2,Danjel Purifoy made Jumper. Assisted by Jared Harper.,0,2
19:36,2908,Deion Holmes missed Three Point Jumper.,0,2
19:36,2,Danjel Purifoy Defensive Rebound.,0,2
19:26,2,Bryce Brown made Three Point Jumper. Assisted by Jared Harper.,0,5
19:03,2908,Philip Whittington missed Layup.,0,5
19:03,2908,Philip Whittington Offensive Rebound.,0,5
19:00,2908,Philip Whittington made Two Point Tip Shot.,2,5
18:46,2,Mustapha Heron made Jumper. Assisted by Danjel Purifoy.,2,7
18:26,2908,Philip Whittington missed Jumper.,2,7
18:26,2,Mustapha Heron Defensive Rebound.,2,7
18:19,2,Horace Spencer made Jumper. Assisted by Mustapha Heron.,2,9
18:18,2908,Foul on Malik Moore.,2,9
18:18,2,Horace Spencer missed Free Throw.,2,9
18:18,2908,Malik Moore Defensive Rebound.,2,9
18:08,2908,Mike Cunningham missed Jumper.,2,9
18:08,2908,Malik Moore Offensive Rebound.,2,9
18:01,2908,Mike Cunningham missed Three Point Jumper.,2,9
18:01,2,Horace Spencer Defensive Rebound.,2,9
17:51,2,Danjel Purifoy missed Three Point Jumper.,2,9
17:51,2908,Mike Cunningham Defensive Rebound.,2,9
17:41,2908,Michael Buchanan made Layup. Assisted by Josh Cuthbertson.,4,9
17:23,2,Horace Spencer missed Jumper.,4,9
17:23,2908,Michael Buchanan Defensive Rebound.,4,9
17:03,2908,Deion Holmes made Three Point Jumper. Assisted by Mike Cunningham.,7,9
16:49,2,Jared Harper missed Three Point Jumper.,7,9
16:49,2908,South Carolina Upstate Deadball Team Rebound.,7,9
16:47,2,Foul on LaRon Smith.,7,9
16:32,2908,Malik Moore missed Three Point Jumper.,7,9
16:32,2,Mustapha Heron Defensive Rebound.,7,9
16:24,2,Mustapha Heron made Jumper.,7,11
16:24,2908,Foul on Mike Cunningham.,7,11
16:24,2,Mustapha Heron made Free Throw.,7,12
16:05,2908,Deion Holmes missed Three Point Jumper.,7,12
16:05,2,Mustapha Heron Defensive Rebound.,7,12
15:50,2,Mustapha Heron Turnover.,7,12
15:50,2908,Ramel Thompkins Steal.,7,12
15:50,2,Official TV Timeout,7,12
15:30,2908,Michael Buchanan missed Layup.,7,12
15:30,2908,Michael Buchanan Offensive Rebound.,7,12
15:18,2908,Mike Cunningham Turnover.,7,12
15:17,2,TJ Lang Steal.,7,12
15:12,2,LaRon Smith missed Layup.,7,12
15:12,2908,Michael Buchanan Defensive Rebound.,7,12
15:04,2908,Josh Cuthbertson missed Layup.,7,12
15:04,2908,Josh Cuthbertson Offensive Rebound.,7,12
15:01,2908,Josh Cuthbertson missed Layup.,7,12
15:01,2,LaRon Smith Block.,7,12
14:59,2908,Ramel Thompkins Offensive Rebound.,7,12
14:57,2908,Mike Cunningham made Three Point Jumper. Assisted by Ramel Thompkins.,10,12
14:37,2908,Foul on Thomas Booker.,10,12
14:37,2,Danjel Purifoy made Free Throw.,10,13
14:37,2,Danjel Purifoy made Free Throw.,10,14
14:19,2908,Mike Cunningham missed Three Point Jumper.,10,14
14:19,2,Ronnie Johnson Defensive Rebound.,10,14
14:15,2,Ronnie Johnson missed Layup.,10,14
14:15,2908,Malik Moore Block.,10,14
14:13,2,Auburn Offensive Rebound.,10,14
13:52,2,Bryce Brown missed Three Point Jumper.,10,14
13:52,2908,Michael Buchanan Defensive Rebound.,10,14
13:35,2,Foul on Horace Spencer.,10,14
