Lamar,304,Idaho State,2320
time,team_id,description,h_score,a_score
19:34,2320,Foul on Torey Noel.,0,0
19:33,2320,Colton Weisbrod missed Jumper.,0,0
19:33,304,Novak Topalovic Block.,0,0
19:25,304,Ethan Telfair Defensive Rebound.,0,0
19:14,2320,Foul on Joey Frenchwood.,0,0
18:57,304,Gary Chivichyan made Three Point Jumper.,0,3
18:57,2320,Josh Nzeakor Turnover.,0,3
18:57,304,Foul on Ethan Telfair.,0,3
18:57,304,Ethan Telfair Turnover.,0,3
18:57,2320,Torey Noel missed Three Point Jumper.,0,3
18:57,304,Geno Luzcando Defensive Rebound.,0,3
18:57,304,Ethan Telfair made Layup.,0,5
18:30,2320,Torey Noel Turnover.,0,5
18:22,304,Geno Luzcando Steal.,0,5
17:55,304,Robert Jones III made Free Throw.,0,6
17:55,304,Robert Jones III made Free Throw.,0,7
17:44,2320,Foul on Joey Frenchwood.,0,7
17:24,2320,Marcus Owens missed Layup.,0,7
17:24,304,Novak Topalovic Block.,0,7
17:24,304,Idaho State Defensive Rebound.,0,7
17:13,304,Gary Chivichyan missed Three Point Jumper.,0,7
17:13,2320,Colton Weisbrod Defensive Rebound.,0,7
17:13,2320,Marcus Owens missed Three Point Jumper.,0,7
17:13,2320,Lamar Offensive Rebound.,0,7
16:31,2320,Marcus Owens missed Three Point Jumper.,0,7
16:31,304,Novak Topalovic Defensive Rebound.,0,7
16:10,304,Foul on Ethan Telfair.,0,7
16:10,304,Ethan Telfair Turnover.,0,7
15:59,2320,Torey Noel made Layup.,2,7
15:54,304,Official TV Timeout,2,7
15:54,2320,Foul on Josh Nzeakor.,2,7
15:39,304,Gary Chivichyan made Three Point Jumper. Assisted by Geno Luzcando.,2,10
15:24,2320,Nick Garth missed Three Point Jumper.,2,10
15:24,304,Geno Luzcando Defensive Rebound.,2,10
15:18,304,Geno Luzcando made Layup.,2,12
14:58,2320,Josh Nzeakor made Jumper.,4,12
14:32,304,Novak Topalovic missed Jumper.,4,12
14:32,2320,Josh Nzeakor Defensive Rebound.,4,12
14:24,2320,Marcus Owens missed Three Point Jumper.,4,12
14:24,304,Gary Chivichyan Defensive Rebound.,4,12
14:15,304,Foul on Brandon Boyd.,4,12
14:15,304,Brandon Boyd Turnover.,4,12
13:55,2320,Marcus Owens made Three Point Jumper. Assisted by Nick Garth.,7,12
13:47,304,Idaho State  Timeout,7,12
13:37,304,Gary Chivichyan missed Three Point Jumper.,7,12
13:37,2320,Marcus Owens Defensive Rebound.,7,12
13:13,2320,Christian Albright Turnover.,7,12
12:45,304,Novak Topalovic missed Jumper.,7,12
12:45,2320,Christian Albright Defensive Rebound.,7,12
12:37,2320,Marcus Owens made Three Point Jumper. Assisted by Torey Noel.,10,12
12:15,304,Brandon Boyd missed Jumper.,10,12
12:15,2320,Christian Albright Defensive Rebound.,10,12
11:53,2320,Colton Weisbrod missed Three Point Jumper.,10,12
11:53,304,Geno Luzcando Defensive Rebound.,10,12
11:43,2320,Foul on Christian Albright.,10,12
11:43,304,Official TV Timeout,10,12
11:43,304,Brandon Boyd made Free Throw.,10,13
11:43,304,Brandon Boyd made Free Throw.,10,14
11:34,304,Foul on Hayes Garrity.,10,14
11:34,2320,Cameron McGee missed Free Throw.,10,14
11:34,2320,Lamar Deadball Team Rebound.,10,14
11:34,2320,Cameron McGee made Free Throw.,11,14
11:18,304,Stephen Lennox missed Three Point Jumper.,11,14
11:18,2320,Christian Albright Defensive Rebound.,11,14
11:09,2320,Nick Garth missed Three Point Jumper.,11,14
11:09,304,Brandon Boyd Defensive Rebound.,11,14
10:56,304,Stephen Lennox missed Jumper.,11,14
10:56,304,Idaho State Offensive Rebound.,11,14
10:45,304,Brandon Boyd made Three Point Jumper. Assisted by Robert Jones III.,11,17
10:33,2320,Christian Albright made Jumper.,13,17
10:24,304,Robert Jones III made Three Point Jumper. Assisted by Hayes Garrity.,13,20
9:59,2320,Cameron McGee Turnover.,13,20
9:56,304,Geno Luzcando Steal.,13,20
9:54,2320,Foul on Nick Garth.,13,20
9:54,304,Brandon Boyd made Free Throw.,13,21
9:54,304,Brandon Boyd made Free Throw.,13,22
9:41,2320,Colton Weisbrod made Jumper.,15,22
9:31,304,Robert Jones III made Layup.,15,24
9:14,2320,Dorian Chatman missed Layup.,15,24
9:14,2320,Colton Weisbrod Offensive Rebound.,15,24
9:09,2320,Colton Weisbrod Turnover.,15,24
8:52,304,Brandon Boyd Turnover.,15,24
8:50,2320,Dorian Chatman Steal.,15,24
8:43,2320,Zjori Bosha Turnover.,15,24
8:43,304,Idaho State  Timeout,15,24
8:33,304,Brandon Boyd missed Three Point Jumper.,15,24
8:33,2320,Colton Weisbrod Defensive Rebound.,15,24
8:19,2320,Zjori Bosha Turnover.,15,24
7:56,2320,Foul on Zjori Bosha.,15,24
7:56,304,Official TV Timeout,15,24
7:56,304,Geno Luzcando made Free Throw.,15,25
7:56,304,Geno Luzcando made Free Throw.,15,26
7:37,2320,Colton Weisbrod missed Layup.,15,26
7:37,2320,Dorian Chatman Offensive Rebound.,15,26
7:32,2320,Dorian Chatman missed Jumper.,15,26
7:32,304,Novak Topalovic Block.,15,26
7:30,2320,Nick Garth Offensive Rebound.,15,26
7:20,304,Robert Jones III made Three Point Jumper. Assisted by Gary Chivichyan.,15,29
7:01,2320,Nick Garth missed Jumper.,15,29
7:01,2320,Colton Weisbrod Offensive Rebound.,15,29
6:57,2320,Colton Weisbrod missed Jumper.,15,29
6:57,304,Novak Topalovic Block.,15,29
6:55,304,Brandon Boyd Defensive Rebound.,15,29
6:50,2320,Foul on Dorian Chatman.,15,29
6:50,304,Brandon Boyd made Free Throw.,15,30
