Ave Maria,Error,Florida Gulf Coast,526
time,team_id,description,h_score,a_score
19:44,526,Foul on Antravious Simmons.,0,0
19:40,-1,Romello Bates Turnover.,0,0
19:33,526,Brandon Goodwin made Three Point Jumper. Assisted by Christian Terrell.,0,3
19:16,-1,Tejai Allen missed Layup.,0,3
19:16,526,Antravious Simmons Defensive Rebound.,0,3
18:51,526,Brandon Goodwin made Jumper.,0,5
18:30,-1,Tejai Allen missed Jumper.,0,5
18:30,526,RaySean Scott Jr. Defensive Rebound.,0,5
18:16,526,Reggie Reid Turnover.,0,5
17:54,-1,Deonte Dixon missed Three Point Jumper.,0,5
17:54,-1,Romello Bates Offensive Rebound.,0,5
17:47,-1,Exor Torres missed Three Point Jumper.,0,5
17:47,526,Brandon Goodwin Defensive Rebound.,0,5
17:40,-1,Foul on Romello Bates.,0,5
17:22,526,RaySean Scott Jr. made Jumper.,0,7
17:15,-1,Romello Bates Turnover.,0,7
17:13,526,Reggie Reid Steal.,0,7
17:09,526,Christian Terrell missed Three Point Jumper.,0,7
17:09,-1,Romello Bates Defensive Rebound.,0,7
16:58,-1,Deonte Dixon missed Three Point Jumper.,0,7
16:58,526,Christian Terrell Defensive Rebound.,0,7
16:46,-1,Ave Maria  Timeout,0,7
16:31,526,Reggie Reid missed Three Point Jumper.,0,7
16:31,526,Demetris Morant Offensive Rebound.,0,7
16:25,526,Demetris Morant made Layup.,0,9
16:16,-1,Foul on Tejai Allen.,0,9
16:16,-1,Tejai Allen Turnover.,0,9
15:57,526,Christian Terrell missed Three Point Jumper.,0,9
15:57,-1,Tejai Allen Defensive Rebound.,0,9
15:44,-1,Deonte Dixon missed Jumper.,0,9
15:44,526,Florida Gulf Coast Defensive Rebound.,0,9
15:43,526,Official TV Timeout,0,9
15:21,526,Rayjon Tucker made Layup.,0,11
15:03,-1,Tejai Allen missed Jumper.,0,11
15:03,526,Marc-Eddy Norelia Defensive Rebound.,0,11
14:41,526,Christian Terrell made Three Point Jumper. Assisted by Rayjon Tucker.,0,14
14:27,526,Foul on Rayjon Tucker.,0,14
14:17,-1,Foul on Exor Torres.,0,14
14:17,-1,Exor Torres Turnover.,0,14
14:00,526,Christian Carlyle made Jumper.,0,16
13:39,-1,Malik Mayeux missed Jumper.,0,16
13:39,526,Demetris Morant Block.,0,16
13:37,526,Marc-Eddy Norelia Defensive Rebound.,0,16
