SMU,68,Boise State,2567
time,team_id,description,h_score,a_score
19:48,2567,Sterling Brown made Jumper.,2,0
19:34,68,Justinian Jessup missed Three Point Jumper.,2,0
19:34,2567,Semi Ojeleye Defensive Rebound.,2,0
19:17,2567,Ben Moore missed Jumper.,2,0
19:17,68,Chandler Hutchison Defensive Rebound.,2,0
19:08,68,Chandler Hutchison made Layup.,2,2
18:35,2567,Sterling Brown Turnover.,2,2
18:34,68,Justinian Jessup Steal.,2,2
18:07,68,David Wacker missed Jumper.,2,2
18:07,2567,Ben Moore Defensive Rebound.,2,2
17:55,2567,Jarrey Foster made Layup. Assisted by Shake Milton.,4,2
17:36,68,Justinian Jessup missed Three Point Jumper.,4,2
17:36,2567,Semi Ojeleye Defensive Rebound.,4,2
17:15,2567,Jarrey Foster missed Three Point Jumper.,4,2
17:15,68,Chandler Hutchison Defensive Rebound.,4,2
17:04,68,Chandler Hutchison made Layup.,4,4
16:43,68,Foul on Paris Austin.,4,4
16:26,2567,Shake Milton Turnover.,4,4
16:26,2567,Foul on Shake Milton.,4,4
16:14,2567,Foul on Sterling Brown.,4,4
16:14,68,Chandler Hutchison made Free Throw.,4,5
16:14,68,Chandler Hutchison made Free Throw.,4,6
15:47,2567,Semi Ojeleye missed Layup.,4,6
15:47,2567,Semi Ojeleye Offensive Rebound.,4,6
15:44,2567,Semi Ojeleye made Layup.,6,6
15:23,68,Chandler Hutchison missed Three Point Jumper.,6,6
15:23,2567,SMU Defensive Rebound.,6,6
15:22,68,Official TV Timeout,6,6
14:58,68,Foul on Chandler Hutchison.,6,6
14:58,2567,Semi Ojeleye made Free Throw.,7,6
14:58,2567,Semi Ojeleye made Free Throw.,8,6
14:55,68,Zach Haney missed Jumper.,8,6
14:55,68,James Reid Offensive Rebound.,8,6
14:52,68,James Reid made Jumper.,8,8
14:44,2567,Ben Moore made Jumper.,10,9
14:37,68,Chandler Hutchison Turnover.,10,9
13:33,2567,Ben Moore Turnover.,10,9
13:31,68,James Reid Steal.,10,9
13:22,68,Zach Haney made Layup. Assisted by Chandler Hutchison.,10,11
13:22,2567,Foul on Sterling Brown.,10,11
13:22,68,Zach Haney missed Free Throw.,10,11
13:22,2567,Ben Moore Defensive Rebound.,10,11
13:05,2567,Jarrey Foster missed Jumper.,10,11
13:05,2567,Sterling Brown Offensive Rebound.,10,11
13:00,2567,Sterling Brown missed Dunk.,10,11
13:00,2567,Ben Moore Offensive Rebound.,10,11
12:43,2567,Harry Froling made Jumper.,12,11
12:25,68,James Reid made Three Point Jumper. Assisted by Justinian Jessup.,12,14
11:56,2567,Ben Emelogu II Turnover.,12,14
11:55,68,Chandler Hutchison Steal.,12,14
11:53,68,Chandler Hutchison made Dunk.,12,16
11:33,2567,Ben Moore missed Layup.,12,16
11:33,68,Zach Haney Defensive Rebound.,12,16
11:25,68,Justinian Jessup made Jumper.,12,18
11:16,2567,SMU  Timeout,12,18
11:16,68,Official TV Timeout,12,18
11:01,2567,Jarrey Foster Turnover.,12,18
10:58,68,James Reid made Three Point Jumper. Assisted by Chandler Hutchison.,12,21
10:33,2567,Ben Emelogu II missed Three Point Jumper.,12,21
10:33,68,Zach Haney Defensive Rebound.,12,21
10:02,2567,Foul on Ben Emelogu II.,12,21
10:00,68,Paris Austin made Layup.,12,23
9:31,68,Foul on Zach Haney.,12,23
9:31,2567,Semi Ojeleye made Free Throw.,13,23
9:31,2567,Semi Ojeleye made Free Throw.,14,23
9:14,68,Nick Duncan made Jumper.,14,25
8:58,2567,Semi Ojeleye Turnover.,14,25
8:56,68,James Reid Steal.,14,25
8:51,68,James Reid missed Three Point Jumper.,14,25
8:51,2567,Harry Froling Defensive Rebound.,14,25
8:32,2567,Semi Ojeleye missed Jumper.,14,25
8:32,68,Justinian Jessup Defensive Rebound.,14,25
8:17,68,Zach Haney made Layup. Assisted by James Reid.,14,27
8:17,2567,Foul on Harry Froling.,14,27
8:17,68,Zach Haney made Free Throw.,14,28
8:05,2567,Jarrey Foster made Layup.,16,28
8:05,68,Foul on Nick Duncan.,16,28
8:05,2567,Jarrey Foster missed Free Throw.,16,28
8:05,68,Chandler Hutchison Defensive Rebound.,16,28
7:47,68,Nick Duncan missed Layup.,16,28
7:47,2567,Ben Moore Defensive Rebound.,16,28
7:30,2567,Shake Milton missed Three Point Jumper.,16,28
7:30,68,Robin Jorch Defensive Rebound.,16,28
7:19,68,Justinian Jessup made Three Point Jumper.,16,31
6:51,2567,Ben Moore missed Jumper.,16,31
