CSU Bakersfield,2567,SMU,2934
time,team_id,description,h_score,a_score
19:37,2934,Jaylin Airington Turnover.,0,0
19:35,2567,Shake Milton Steal.,0,0
19:30,2567,Shake Milton Turnover.,0,0
19:28,2934,Matt Smith Steal.,0,0
19:26,2934,Dedrick Basile made Three Point Jumper. Assisted by Matt Smith.,3,0
19:14,2567,Shake Milton made Three Point Jumper. Assisted by Jarrey Foster.,3,3
18:39,2934,Matt Smith missed Jumper.,3,3
18:39,2567,Semi Ojeleye Defensive Rebound.,3,3
18:39,2934,Foul on James Suber.,3,3
18:27,2567,Semi Ojeleye made Layup. Assisted by Shake Milton.,3,5
17:58,2934,Brent Wrapp missed Jumper.,3,5
17:58,2567,Ben Moore Defensive Rebound.,3,5
17:40,2567,Jarrey Foster missed Layup.,3,5
17:40,2934,Matt Smith Block.,3,5
17:40,2567,SMU Offensive Rebound.,3,5
17:33,2567,Jarrey Foster Turnover.,3,5
17:33,2567,Foul on Jarrey Foster.,3,5
17:16,2934,Jaylin Airington missed Jumper.,3,5
17:16,2934,James Suber Offensive Rebound.,3,5
17:08,2934,James Suber Turnover.,3,5
16:57,2934,Foul on Dedrick Basile.,3,5
16:49,2567,Ben Moore Turnover.,3,5
16:47,2934,Matt Smith Steal.,3,5
16:44,2934,Dedrick Basile missed Layup.,3,5
16:44,2567,Ben Moore Block.,3,5
16:41,2934,Shon Briggs Offensive Rebound.,3,5
16:25,2934,Matt Smith made Layup.,5,5
15:55,2567,Shake Milton missed Three Point Jumper.,5,5
15:55,2567,Jarrey Foster Offensive Rebound.,5,5
15:54,2934,Foul on Brent Wrapp.,5,5
15:54,2567,Official TV Timeout,5,5
15:42,2567,Ben Moore missed Jumper.,5,5
15:42,2934,Jaylin Airington Defensive Rebound.,5,5
15:29,2934,Damiyne Durham Turnover.,5,5
15:27,2567,Shake Milton Steal.,5,5
15:22,2567,Sterling Brown made Jumper.,5,7
14:58,2934,Matt Smith missed Layup.,5,7
14:58,2567,Ben Moore Block.,5,7
14:54,2567,Semi Ojeleye Defensive Rebound.,5,7
14:49,2567,Shake Milton Turnover.,5,7
14:34,2934,Shon Briggs made Jumper. Assisted by Jaylin Airington.,7,7
14:13,2567,Sterling Brown missed Jumper.,7,7
14:13,2934,CSU Bakersfield Defensive Rebound.,7,7
13:50,2934,Jaylin Airington Turnover.,7,7
13:43,2567,Shake Milton Turnover.,7,7
13:27,2934,Damiyne Durham missed Three Point Jumper.,7,7
13:27,2934,CSU Bakersfield Offensive Rebound.,7,7
13:04,2934,Damiyne Durham missed Jumper.,7,7
13:04,2567,Sterling Brown Defensive Rebound.,7,7
12:47,2567,Sterling Brown missed Three Point Jumper.,7,7
12:47,2567,Ben Emelogu II Offensive Rebound.,7,7
12:39,2567,Ben Emelogu II missed Two Point Tip Shot.,7,7
12:39,2934,Shon Briggs Defensive Rebound.,7,7
12:26,2934,Shon Briggs Turnover.,7,7
12:17,2567,Semi Ojeleye made Three Point Jumper. Assisted by Sterling Brown.,7,10
11:49,2934,Taze Moore Turnover.,7,10
11:49,2567,Official TV Timeout,7,10
11:28,2567,Jarrey Foster made Layup. Assisted by Ben Emelogu II.,7,12
11:28,2934,Foul on James Suber.,7,12
11:28,2567,Jarrey Foster missed Free Throw.,7,12
11:28,2934,Damiyne Durham Defensive Rebound.,7,12
11:09,2934,Damiyne Durham made Three Point Jumper. Assisted by James Suber.,10,12
10:42,2567,Ben Emelogu II missed Three Point Jumper.,10,12
10:42,2934,James Suber Defensive Rebound.,10,12
10:16,2934,Damiyne Durham missed Three Point Jumper.,10,12
10:16,2934,Jaylin Airington Offensive Rebound.,10,12
9:51,2934,Justin Pride missed Jumper.,10,12
9:51,2567,Ben Moore Defensive Rebound.,10,12
9:41,2567,Ben Emelogu II missed Dunk.,10,12
9:41,2567,Jarrey Foster Offensive Rebound.,10,12
9:34,2567,Ben Moore missed Jumper.,10,12
9:34,2934,Moataz Aly Block.,10,12
9:32,2934,Justin Pride Defensive Rebound.,10,12
9:26,2934,Shon Briggs made Jumper. Assisted by Jaylin Airington.,12,12
9:07,2567,Ben Emelogu II made Three Point Jumper. Assisted by Shake Milton.,12,15
