Oklahoma State,120,Maryland,197
time,team_id,description,h_score,a_score
19:45,197,Foul on Leyton Hammonds.,0,0
19:45,120,Kevin Huerter made Free Throw.,0,1
19:45,120,Kevin Huerter missed Free Throw.,0,1
19:45,120,Damonte Dodd Offensive Rebound.,0,1
19:42,120,Damonte Dodd missed Layup.,0,1
19:42,197,Lucas N'Guessan Block.,0,1
19:40,197,Leyton Hammonds Defensive Rebound.,0,1
19:34,197,Jawun Evans missed Jumper.,0,1
19:34,197,Lucas N'Guessan Offensive Rebound.,0,1
19:27,197,Lucas N'Guessan missed Dunk.,0,1
19:27,197,Leyton Hammonds Offensive Rebound.,0,1
19:27,197,Leyton Hammonds made Layup.,2,1
19:11,120,Justin Jackson Turnover.,2,1
18:57,197,Lucas N'Guessan Turnover.,2,1
18:42,120,Damonte Dodd missed Jumper.,2,1
18:42,120,Damonte Dodd Offensive Rebound.,2,1
18:35,120,Kevin Huerter missed Three Point Jumper.,2,1
18:35,197,Phil Forte III Defensive Rebound.,2,1
18:27,197,Phil Forte III made Jumper.,4,1
18:14,197,Foul on Jawun Evans.,4,1
18:07,120,Anthony Cowan Turnover.,4,1
18:03,197,Jawun Evans Steal.,4,1
17:41,120,Melo Trimble made Layup.,4,3
17:38,197,Jawun Evans made Layup.,6,3
17:34,120,Justin Jackson Turnover.,6,3
17:34,197,Lindy Waters III Turnover.,6,3
17:27,120,Anthony Cowan Turnover.,6,3
17:25,120,Ivan Bender Steal.,6,3
17:25,197,Phil Forte III Steal.,6,3
17:14,197,Phil Forte III missed Three Point Jumper.,6,3
17:14,197,Brandon Averette Offensive Rebound.,6,3
17:14,120,Anthony Cowan Defensive Rebound.,6,3
17:00,120,Melo Trimble missed Jumper.,6,3
16:45,197,Mitchell Solomon Defensive Rebound.,6,3
16:43,120,Melo Trimble made Layup.,6,5
16:27,197,Jawun Evans made Jumper.,8,5
16:16,120,Anthony Cowan Turnover.,8,5
16:14,197,Phil Forte III Steal.,8,5
16:10,197,Jawun Evans missed Jumper.,8,5
16:10,120,Kevin Huerter Defensive Rebound.,8,5
15:55,120,Justin Jackson missed Three Point Jumper.,8,5
15:50,120,Maryland Defensive Rebound.,8,5
15:50,197,Oklahoma St Defensive Rebound.,8,5
15:50,197,Brandon Averette made Three Point Jumper. Assisted by Lindy Waters III.,11,5
15:21,120,Melo Trimble missed Three Point Jumper.,11,5
15:21,197,Jeffrey Carroll Defensive Rebound.,11,5
15:04,197,Leyton Hammonds missed Three Point Jumper.,11,5
15:04,120,Melo Trimble Defensive Rebound.,11,5
14:58,120,Melo Trimble Turnover.,11,5
14:56,120,Official TV Timeout,11,5
14:49,197,Brandon Averette Turnover.,11,5
14:28,197,Foul on Mitchell Solomon.,11,5
14:28,120,Jaylen Brantley made Free Throw.,11,6
14:28,120,Jaylen Brantley made Free Throw.,11,7
14:00,120,L.G. Gill made Three Point Jumper. Assisted by Melo Trimble.,13,10
13:26,197,Jeffrey Carroll missed Three Point Jumper.,13,10
13:26,120,L.G. Gill Defensive Rebound.,13,10
13:24,197,Foul on Cameron McGriff.,13,10
13:10,120,Michal Cekovsky Turnover.,13,10
13:03,197,Jeffrey Carroll missed Three Point Jumper.,13,10
13:03,120,Michal Cekovsky Defensive Rebound.,13,10
12:58,120,Michal Cekovsky Turnover.,13,10
12:56,197,Phil Forte III missed Three Point Jumper.,13,10
12:56,197,Jeffrey Carroll Offensive Rebound.,13,10
12:52,197,Jeffrey Carroll missed Layup.,13,10
12:52,120,Dion Wiley Defensive Rebound.,13,10
12:46,120,Dion Wiley Offensive Rebound.,13,10
12:46,120,Jaylen Brantley missed Jumper.,13,10
12:42,120,Dion Wiley missed Three Point Jumper.,13,10
12:42,120,Jaylen Brantley Offensive Rebound.,13,10
12:38,120,Jaylen Brantley missed Jumper.,13,10
12:38,197,Jeffrey Carroll Defensive Rebound.,13,10
12:34,120,Foul on Michal Cekovsky.,13,10
12:28,197,Jawun Evans missed Jumper.,13,10
