Fairleigh Dickinson,194,Ohio State,161
time,team_id,description,h_score,a_score
19:38,194,Jae'Sean Tate Turnover.,0,0
19:35,161,Darian Anderson Steal.,0,0
19:31,161,Tyrone O'Garro Turnover.,0,0
19:31,161,Foul on Tyrone O'Garro.,0,0
19:07,194,Marc Loving missed Jumper.,0,0
19:07,161,Tyrone O'Garro Defensive Rebound.,0,0
18:37,161,Darian Anderson missed Three Point Jumper.,0,0
18:37,194,Jae'Sean Tate Defensive Rebound.,0,0
18:30,194,JaQuan Lyle missed Three Point Jumper.,0,0
18:30,194,Micah Potter Offensive Rebound.,0,0
18:18,161,Foul on Kaleb Bishop.,0,0
18:15,194,Kam Williams missed Layup.,0,0
18:15,161,Stephan Jiggetts Block.,0,0
18:15,161,Mike Holloway Defensive Rebound.,0,0
17:52,161,Mike Holloway missed Layup.,0,0
17:52,194,Kam Williams Defensive Rebound.,0,0
17:44,194,Marc Loving Turnover.,0,0
17:25,161,Mike Holloway Turnover.,0,0
17:20,194,Jae'Sean Tate Turnover.,0,0
17:07,161,Kaleb Bishop made Jumper.,2,0
16:48,194,Marc Loving made Jumper.,2,2
16:28,161,Stephan Jiggetts missed Three Point Jumper.,2,2
16:28,194,Jae'Sean Tate Defensive Rebound.,2,2
16:21,194,Marc Loving missed Three Point Jumper.,2,2
16:21,161,Tyrone O'Garro Defensive Rebound.,2,2
16:07,161,Mike Holloway Turnover.,2,2
15:54,194,Kam Williams made Jumper. Assisted by Marc Loving.,2,4
15:36,161,Darian Anderson missed Jumper.,2,4
15:36,161,Tyrone O'Garro Offensive Rebound.,2,4
15:32,161,Tyrone O'Garro made Two Point Tip Shot.,4,4
15:15,194,JaQuan Lyle missed Layup.,4,4
15:15,161,Kaleb Bishop Defensive Rebound.,4,4
14:46,161,Darian Anderson missed Three Point Jumper.,4,4
14:46,194,Micah Potter Defensive Rebound.,4,4
14:35,161,Foul on Malik Miller.,4,4
14:35,194,Official TV Timeout,4,4
14:35,194,Marc Loving made Free Throw.,4,5
14:35,194,Marc Loving made Free Throw.,4,6
14:18,161,Darian Anderson made Three Point Jumper. Assisted by Stephan Jiggetts.,7,6
13:53,194,Trevor Thompson made Jumper. Assisted by Marc Loving.,7,8
13:22,161,Stephan Jiggetts missed Jumper.,7,8
13:22,194,Trevor Thompson Defensive Rebound.,7,8
13:20,161,Foul on Malik Miller.,7,8
13:09,194,C.J. Jackson Turnover.,7,8
12:51,161,Tyrone O'Garro missed Layup.,7,8
12:51,194,Trevor Thompson Block.,7,8
12:49,194,Marc Loving Defensive Rebound.,7,8
12:41,194,C.J. Jackson Turnover.,7,8
12:35,161,Kaleb Bishop made Three Point Jumper. Assisted by Darian Anderson.,10,8
12:23,161,Foul on Tyrone O'Garro.,10,8
12:21,194,Marc Loving made Three Point Jumper. Assisted by C.J. Jackson.,10,11
11:51,161,Darian Anderson missed Jumper.,10,11
11:51,194,Ohio State Defensive Rebound.,10,11
11:48,194,Official TV Timeout,10,11
11:40,194,Trevor Thompson Turnover.,10,11
11:17,161,Darnell Edge made Layup. Assisted by Stephan Jiggetts.,12,11
11:02,194,Trevor Thompson missed Layup.,12,11
11:02,161,Kaleb Bishop Defensive Rebound.,12,11
10:46,161,Kaleb Bishop missed Layup.,12,11
10:46,194,Trevor Thompson Block.,12,11
10:44,161,Kaleb Bishop Offensive Rebound.,12,11
10:43,161,Kaleb Bishop made Layup.,14,11
10:26,161,Foul on Darian Anderson.,14,11
10:12,194,JaQuan Lyle Turnover.,14,11
9:45,161,Darian Anderson missed Jumper.,14,11
9:45,194,Kam Williams Defensive Rebound.,14,11
9:33,194,Kam Williams missed Three Point Jumper.,14,11
9:33,161,Mike Holloway Defensive Rebound.,14,11
9:16,161,Tyrone O'Garro missed Three Point Jumper.,14,11
9:16,194,Marc Loving Defensive Rebound.,14,11
8:56,194,Kam Williams made Three Point Jumper. Assisted by Jae'Sean Tate.,14,14
8:35,194,Foul on JaQuan Lyle.,14,14
8:35,161,Darian Anderson made Free Throw.,15,14
8:35,161,Darian Anderson made Free Throw.,16,14
8:18,194,JaQuan Lyle missed Jumper.,16,14
8:18,194,Jae'Sean Tate Offensive Rebound.,16,14
8:15,194,Jae'Sean Tate missed Layup.,16,14
8:15,161,Tyrone O'Garro Defensive Rebound.,16,14
8:03,161,Darian Anderson missed Three Point Jumper.,16,14
8:03,194,Jae'Sean Tate Defensive Rebound.,16,14
7:42,161,Foul on Mike Holloway.,16,14
7:42,194,Official TV Timeout,16,14
7:42,194,Micah Potter made Free Throw.,16,15
7:42,194,Micah Potter missed Free Throw.,16,15
7:42,161,Darian Anderson Defensive Rebound.,16,15
7:27,161,Mike Holloway made Layup.,18,15
7:27,194,Foul on Micah Potter.,18,15
7:27,161,Mike Holloway missed Free Throw.,18,15
7:27,194,Jae'Sean Tate Defensive Rebound.,18,15
7:19,194,Ohio State  Timeout,18,15
7:06,194,JaQuan Lyle Turnover.,18,15
6:58,161,Stephan Jiggetts made Three Point Jumper. Assisted by Darian Anderson.,21,15
6:38,161,Foul on Kaleb Bishop.,21,15
6:38,194,Micah Potter missed Free Throw.,21,15
6:38,194,Ohio State Deadball Team Rebound.,21,15
6:38,194,Micah Potter made Free Throw.,21,16
6:24,161,Mike Holloway Turnover.,21,16
6:23,194,JaQuan Lyle Steal.,21,16
6:16,194,Jae'Sean Tate missed Three Point Jumper.,21,16
6:16,161,Kaleb Bishop Defensive Rebound.,21,16
6:14,194,Foul on Marc Loving.,21,16
5:49,161,Kaleb Bishop missed Layup.,21,16
5:49,161,Kaleb Bishop Offensive Rebound.,21,16
5:46,161,Kaleb Bishop missed Layup.,21,16
5:46,194,Jae'Sean Tate Defensive Rebound.,21,16
5:38,194,Jae'Sean Tate made Layup.,21,18
5:38,161,Foul on Darnell Edge.,21,18
5:38,194,Jae'Sean Tate missed Free Throw.,21,18
5:38,161,Mike Holloway Defensive Rebound.,21,18
5:37,194,Foul on Trevor Thompson.,21,18
5:24,161,Darnell Edge missed Three Point Jumper.,21,18
5:24,194,Trevor Thompson Defensive Rebound.,21,18
5:16,194,Kam Williams missed Three Point Jumper.,21,18
5:16,161,Fairleigh Dickinson Defensive Rebound.,21,18
4:55,161,Darian Anderson missed Layup.,21,18
4:55,194,Trevor Thompson Block.,21,18
4:51,161,Kaleb Bishop Offensive Rebound.,21,18
4:48,161,Kaleb Bishop Turnover.,21,18
4:47,194,Trevor Thompson Steal.,21,18
4:42,194,JaQuan Lyle Turnover.,21,18
4:37,161,Stephan Jiggetts made Layup.,23,18
4:13,194,Marc Loving made Jumper.,23,20
3:50,161,Kaleb Bishop missed Three Point Jumper.,23,20
3:50,194,Jae'Sean Tate Defensive Rebound.,23,20
3:38,161,Foul on Mike Holloway.,23,20
3:38,194,Official TV Timeout,23,20
3:38,194,Marc Loving missed Free Throw.,23,20
3:38,194,Ohio State Deadball Team Rebound.,23,20
3:38,194,Marc Loving made Free Throw.,23,21
3:06,161,Darian Anderson missed Jumper.,23,21
3:06,194,Trevor Thompson Defensive Rebound.,23,21
3:01,194,Kam Williams made Dunk. Assisted by Trevor Thompson.,23,23
2:57,161,Fairleigh Dickinson  Timeout,23,23
2:46,161,Mike Holloway missed Layup.,23,23
2:46,194,Trevor Thompson Defensive Rebound.,23,23
2:46,161,Foul on Mike Holloway.,23,23
2:46,194,Trevor Thompson made Free Throw.,23,24
2:46,194,Trevor Thompson made Free Throw.,23,25
2:25,161,Darnell Edge made Three Point Jumper. Assisted by Darian Anderson.,26,25
2:01,194,Jae'Sean Tate made Layup.,26,27
1:43,161,Darian Anderson made Three Point Jumper.,29,27
1:26,194,Kam Williams made Three Point Jumper. Assisted by C.J. Jackson.,29,30
1:10,161,Malik Miller made Three Point Jumper. Assisted by Darnell Edge.,32,30
0:52,194,Marc Loving made Three Point Jumper. Assisted by Jae'Sean Tate.,32,33
0:22,161,Darian Anderson missed Three Point Jumper.,32,33
0:22,194,Jae'Sean Tate Defensive Rebound.,32,33
0:03,194,C.J. Jackson missed Three Point Jumper.,32,33
0:03,194,Trevor Thompson Offensive Rebound.,32,33
0:01,194,Trevor Thompson missed Jumper.,32,33
0:01,161,Darnell Edge Defensive Rebound.,32,33
0:00,194,End of 1st half,32,33
19:29,161,Mike Holloway missed Jumper.,32,33
19:29,194,Trevor Thompson Block.,32,33
19:26,194,Trevor Thompson Defensive Rebound.,32,33
19:22,194,Jae'Sean Tate made Layup.,32,35
19:09,161,Darian Anderson Turnover.,32,35
19:09,161,Foul on Darian Anderson.,32,35
18:52,194,Trevor Thompson made Dunk. Assisted by Jae'Sean Tate.,32,37
18:16,161,Darian Anderson missed Jumper.,32,37
18:16,194,Trevor Thompson Block.,32,37
18:13,194,Kam Williams Defensive Rebound.,32,37
18:13,194,Marc Loving made Dunk. Assisted by JaQuan Lyle.,32,39
18:13,161,Foul on Tyrone O'Garro.,32,39
18:13,194,Marc Loving made Free Throw.,32,40
