Arkansas State,2628,TCU,2032
time,team_id,description,h_score,a_score
19:34,2032,C.J. Foster made Three Point Jumper. Assisted by Rashad Lindsey.,3,0
19:14,2628,Karviar Shepherd made Jumper. Assisted by Jaylen Fisher.,3,2
18:46,2032,Nelson Nweke Turnover.,3,2
18:36,2628,Jaylen Fisher made Three Point Jumper. Assisted by Desmond Bane.,3,5
18:03,2628,Foul on Desmond Bane.,3,5
17:56,2032,Donte Thomas Turnover.,3,5
17:55,2628,Jaylen Fisher Steal.,3,5
17:51,2628,Kenrich Williams made Layup. Assisted by Jaylen Fisher.,3,7
17:32,2032,C.J. Foster missed Three Point Jumper.,3,7
17:32,2032,Nelson Nweke Offensive Rebound.,3,7
17:22,2032,Devin Carter made Jumper.,5,7
17:07,2628,JD Miller missed Three Point Jumper.,5,7
17:07,2032,Rashad Lindsey Defensive Rebound.,5,7
16:48,2032,Devin Carter missed Three Point Jumper.,5,7
16:48,2628,JD Miller Defensive Rebound.,5,7
16:39,2628,JD Miller made Layup.,5,9
16:29,2032,Arkansas St  Timeout,5,9
16:29,2628,Official TV Timeout,5,9
16:22,2032,Tamas Bruce Turnover.,5,9
16:22,2032,Foul on Tamas Bruce.,5,9
16:12,2628,Kenrich Williams missed Jumper.,5,9
16:12,2032,Tamas Bruce Block.,5,9
16:09,2032,Connor Kern Defensive Rebound.,5,9
16:05,2032,Tamas Bruce Turnover.,5,9
16:04,2628,Jaylen Fisher Steal.,5,9
15:56,2628,Jaylen Fisher Turnover.,5,9
15:34,2032,Deven Simms made Jumper.,7,9
15:15,2628,JD Miller missed Layup.,7,9
15:15,2032,Salif Boudie Defensive Rebound.,7,9
14:57,2032,Devin Carter missed Three Point Jumper.,7,9
14:57,2628,Karviar Shepherd Defensive Rebound.,7,9
14:37,2628,Jaylen Fisher Turnover.,7,9
14:37,2628,Foul on Jaylen Fisher.,7,9
14:16,2032,Deven Simms Turnover.,7,9
14:15,2628,Vladimir Brodziansky Steal.,7,9
14:13,2628,Vladimir Brodziansky made Layup. Assisted by Brandon Parrish.,7,11
13:46,2032,Rashad Lindsey Turnover.,7,11
13:45,2628,Alex Robinson Steal.,7,11
13:27,2628,Brandon Parrish made Three Point Jumper. Assisted by Alex Robinson.,7,14
