Gardner-Webb,2678,VMI,2241
time,team_id,description,h_score,a_score
19:36,2678,Trey Chapman missed Three Point Jumper.,0,0
19:36,2241,Laquincy Rideau Defensive Rebound.,0,0
19:14,2241,L'Hassane Niangane missed Jumper.,0,0
19:14,2678,Fred Iruafemi Block.,0,0
19:14,2678,Fred Iruafemi Defensive Rebound.,0,0
19:11,2678,Fred Iruafemi made Jumper. Assisted by Julian Eleby.,0,2
18:29,2241,Laquincy Rideau missed Layup.,0,2
18:29,2678,Fred Iruafemi Block.,0,2
18:26,2678,Trey Chapman Defensive Rebound.,0,2
18:21,2678,Fred Iruafemi missed Jumper.,0,2
18:21,2241,Tyrell Nelson Defensive Rebound.,0,2
17:59,2241,Tyrell Nelson made Jumper.,2,2
17:38,2678,QJ Peterson missed Three Point Jumper.,2,2
17:38,2241,Tyrell Nelson Defensive Rebound.,2,2
17:24,2241,Liam O'Reilly missed Layup.,2,2
17:24,2241,L'Hassane Niangane Offensive Rebound.,2,2
17:23,2678,Foul on Fred Iruafemi.,2,2
17:23,2241,L'Hassane Niangane made Free Throw.,3,2
17:23,2241,L'Hassane Niangane missed Free Throw.,3,2
17:23,2678,Fred Iruafemi Defensive Rebound.,3,2
16:56,2678,QJ Peterson Turnover.,3,2
16:54,2241,Tyrell Nelson Steal.,3,2
16:50,2241,Liam O'Reilly missed Layup.,3,2
16:50,2678,QJ Peterson Defensive Rebound.,3,2
16:44,2678,Trey Chapman missed Jumper.,3,2
16:44,2241,L'Hassane Niangane Defensive Rebound.,3,2
16:29,2241,Jamaal Robateau made Three Point Jumper. Assisted by Liam O'Reilly.,6,2
16:16,2678,QJ Peterson Turnover.,6,2
16:14,2241,Jamaal Robateau Steal.,6,2
16:05,2241,L'Hassane Niangane made Layup.,8,2
15:34,2678,Trey Chapman made Jumper.,8,4
15:25,2241,Jamaal Robateau made Jumper. Assisted by Laquincy Rideau.,10,4
15:03,2678,QJ Peterson Turnover.,10,4
15:02,2241,Laquincy Rideau Steal.,10,4
14:59,2678,Foul on Trey Chapman.,10,4
14:59,2678,Official TV Timeout,10,4
14:59,2241,Laquincy Rideau made Free Throw.,11,4
14:59,2241,Laquincy Rideau made Free Throw.,12,4
14:44,2678,Julian Eleby made Three Point Jumper. Assisted by Trey Chapman.,12,7
14:33,2241,David Efianayi made Layup.,14,7
14:15,2678,Foul on Will Miller.,14,7
14:15,2678,Will Miller Turnover.,14,7
14:05,2241,Tyrell Nelson made Layup. Assisted by David Efianayi.,16,7
13:51,2678,Adrian Rich Turnover.,16,7
13:49,2241,Jamaal Robateau Steal.,16,7
13:45,2678,Foul on Tyler Creammer.,16,7
13:41,2241,Laquincy Rideau Turnover.,16,7
13:24,2678,Tyler Creammer Turnover.,16,7
13:22,2241,David Efianayi Steal.,16,7
13:18,2241,Jamaal Robateau made Layup.,18,7
13:04,2678,QJ Peterson made Three Point Jumper. Assisted by Will Miller.,18,10
12:51,2241,David Efianayi Turnover.,18,10
12:44,2241,Foul on Christian Turner.,18,10
12:35,2678,Foul on Will Miller.,18,10
12:35,2678,Will Miller Turnover.,18,10
12:14,2241,David Efianayi made Jumper.,20,10
11:55,2678,QJ Peterson missed Layup.,20,10
11:55,2241,Brandon Miller Block.,20,10
11:55,2678,VMI Offensive Rebound.,20,10
11:50,2678,Keith Smith made Jumper. Assisted by Trey Chapman.,20,12
11:24,2241,DJ Laster Turnover.,20,12
11:05,2678,Julian Eleby missed Three Point Jumper.,20,12
11:05,2241,Christian Turner Defensive Rebound.,20,12
10:43,2678,Foul on Fred Iruafemi.,20,12
10:31,2241,DJ Laster missed Jumper.,20,12
10:31,2678,Armani Branch Defensive Rebound.,20,12
10:31,2241,Foul on L'Hassane Niangane.,20,12
10:09,2678,Armani Branch made Jumper. Assisted by Garrett Gilkeson.,20,14
9:50,2241,DJ Laster missed Jumper.,20,14
9:50,2678,QJ Peterson Defensive Rebound.,20,14
9:40,2241,Foul on Christian Turner.,20,14
9:36,2678,Armani Branch missed Jumper.,20,14
