UMKC,2571,South Dakota State,140
time,team_id,description,h_score,a_score
19:36,2571,Sergio El Darwich missed Jumper.,0,0
19:36,140,LaVell Boyd Defensive Rebound.,0,0
19:30,140,Isaiah Ross made Three Point Jumper. Assisted by LaVell Boyd.,3,0
19:22,2571,Tevin King Turnover.,3,0
19:06,140,Isaiah Ross made Three Point Jumper. Assisted by LaVell Boyd.,6,0
18:44,2571,Foul on Tevin King.,6,0
18:44,2571,Tevin King Turnover.,6,0
18:44,2571,South Dakota St  Timeout,6,0
18:25,140,LaVell Boyd missed Three Point Jumper.,6,0
18:25,2571,South Dakota St Defensive Rebound.,6,0
18:01,2571,Mike Daum made Layup.,6,2
17:47,140,Kyle Steward Turnover.,6,2
17:47,140,Foul on Kyle Steward.,6,2
17:25,2571,Mike Daum missed Layup.,6,2
17:25,140,Darnell Tillman Defensive Rebound.,6,2
17:09,140,Isaiah Ross missed Three Point Jumper.,6,2
17:09,140,LaVell Boyd Offensive Rebound.,6,2
16:53,140,LaVell Boyd made Three Point Jumper. Assisted by Isaiah Ross.,9,2
16:29,2571,Mike Daum Turnover.,9,2
16:28,140,Isaiah Ross Steal.,9,2
16:18,140,Kyle Steward missed Jumper.,9,2
16:18,140,Darnell Tillman Offensive Rebound.,9,2
16:11,140,LaVell Boyd made Three Point Jumper.,12,2
15:56,2571,A.J. Hess missed Three Point Jumper.,12,2
15:56,140,Darnell Tillman Defensive Rebound.,12,2
15:49,140,LaVell Boyd missed Three Point Jumper.,12,2
15:49,140,Darnell Tillman Offensive Rebound.,12,2
15:45,140,Darnell Tillman made Dunk.,14,2
15:42,2571,South Dakota St  Timeout,14,2
15:42,2571,Official TV Timeout,14,2
15:25,2571,Reed Tellinghuisen made Layup. Assisted by Sergio El Darwich.,14,4
15:18,140,Isaiah Ross missed Three Point Jumper.,14,4
15:18,2571,A.J. Hess Defensive Rebound.,14,4
15:04,140,Foul on Broderick Robinson.,14,4
15:04,2571,Tevin King missed Free Throw.,14,4
15:04,2571,South Dakota St Deadball Team Rebound.,14,4
15:04,2571,Tevin King made Free Throw.,14,5
14:36,140,Kyle Steward made Jumper.,16,5
14:28,2571,Sergio El Darwich Turnover.,16,5
14:09,140,Xavier Bishop missed Layup.,16,5
14:09,2571,Andre Wallace Defensive Rebound.,16,5
13:46,2571,Reed Tellinghuisen missed Three Point Jumper.,16,5
13:46,2571,A.J. Hess Offensive Rebound.,16,5
13:35,2571,A.J. Hess missed Three Point Jumper.,16,5
13:35,2571,Andre Wallace Offensive Rebound.,16,5
13:14,2571,Andre Wallace missed Jumper.,16,5
13:14,140,Duane Clark Defensive Rebound.,16,5
12:45,140,Duane Clark missed Jumper.,16,5
12:45,2571,Tevin King Defensive Rebound.,16,5
12:36,2571,Tevin King made Layup.,16,7
12:21,140,Kyle Steward made Jumper. Assisted by Duane Clark.,18,7
11:56,2571,Reed Tellinghuisen Turnover.,18,7
11:54,140,Xavier Bishop Steal.,18,7
11:54,140,LaVell Boyd Turnover.,18,7
11:54,2571,Official TV Timeout,18,7
11:39,2571,Ian Theisen Turnover.,18,7
11:22,140,Broderick Robinson made Jumper.,20,7
11:12,2571,Reed Tellinghuisen missed Three Point Jumper.,20,7
11:12,2571,South Dakota St Offensive Rebound.,20,7
10:54,2571,Andre Wallace made Jumper.,20,9
10:31,140,Duane Clark missed Layup.,20,9
10:31,140,Xavier Bishop Offensive Rebound.,20,9
10:25,140,Xavier Bishop Turnover.,20,9
10:16,140,Foul on Grant Leach.,20,9
10:03,140,Foul on Broderick Newbill.,20,9
10:03,2571,Ian Theisen made Free Throw.,20,10
10:03,2571,Ian Theisen missed Free Throw.,20,10
10:03,2571,Mike Daum Offensive Rebound.,20,10
9:45,2571,Andre Wallace made Three Point Jumper. Assisted by Skyler Flatten.,20,13
9:33,140,Broderick Newbill missed Three Point Jumper.,20,13
9:33,2571,Mike Daum Defensive Rebound.,20,13
9:24,2571,Andre Wallace made Jumper.,20,15
9:14,140,Broderick Robinson missed Three Point Jumper.,20,15
9:14,140,Darnell Tillman Offensive Rebound.,20,15
9:09,140,LaVell Boyd made Three Point Jumper. Assisted by Darnell Tillman.,23,15
8:35,2571,A.J. Hess made Layup.,23,17
8:15,140,Broderick Newbill Turnover.,23,17
8:14,2571,A.J. Hess Steal.,23,17
8:10,2571,Andre Wallace made Layup.,23,19
7:50,2571,Foul on Andre Wallace.,23,19
7:50,2571,Official TV Timeout,23,19
7:50,140,Darnell Tillman made Free Throw.,24,19
7:50,140,Darnell Tillman made Free Throw.,25,19
7:33,2571,Skyler Flatten missed Layup.,25,19
7:33,140,Darnell Tillman Block.,25,19
7:33,2571,South Dakota St Offensive Rebound.,25,19
7:26,2571,Sergio El Darwich Turnover.,25,19
7:06,140,Kyle Steward made Three Point Jumper. Assisted by Broderick Robinson.,28,19
6:46,2571,Tevin King Turnover.,28,19
6:45,140,LaVell Boyd Steal.,28,19
6:41,2571,Foul on Tevin King.,28,19
6:32,140,LaVell Boyd missed Three Point Jumper.,28,19
6:32,2571,Mike Daum Defensive Rebound.,28,19
6:17,2571,Mike Daum Turnover.,28,19
6:17,2571,Foul on Mike Daum.,28,19
6:01,140,Kyle Steward Turnover.,28,19
6:01,140,Foul on Kyle Steward.,28,19
5:49,2571,Skyler Flatten made Dunk. Assisted by Sergio El Darwich.,28,21
5:34,140,LaVell Boyd Turnover.,28,21
5:33,2571,Mike Daum Steal.,28,21
5:27,2571,Skyler Flatten made Three Point Jumper. Assisted by Reed Tellinghuisen.,28,24
5:02,140,Broderick Robinson Turnover.,28,24
5:01,2571,Skyler Flatten Steal.,28,24
4:55,2571,Mike Daum made Three Point Jumper. Assisted by Reed Tellinghuisen.,28,27
4:50,140,UMKC  Timeout,28,27
