Chicago State,2710,Western Illinois,2130
time,team_id,description,h_score,a_score
19:49,2710,Garret Covington made Three Point Jumper. Assisted by Jabari Sandifer.,0,3
19:28,2130,Trayvon Palmer made Jumper. Assisted by Joshua Batson.,2,3
19:05,2710,Mike Miklusak made Three Point Jumper. Assisted by Jabari Sandifer.,2,6
18:38,2130,Brian Greene Jr. missed Jumper.,2,6
18:38,2710,Brandon Gilbeck Block.,2,6
18:36,2710,Garret Covington Defensive Rebound.,2,6
18:20,2710,Garret Covington missed Three Point Jumper.,2,6
18:20,2130,Brian Greene Jr. Defensive Rebound.,2,6
18:11,2130,Fred Sims Jr. made Jumper. Assisted by Brian Greene Jr..,4,6
17:50,2710,Mike Miklusak Turnover.,4,6
17:28,2130,Brian Greene Jr. missed Three Point Jumper.,4,6
17:28,2710,Western Illinois Defensive Rebound.,4,6
17:07,2710,Brandon Gilbeck missed Jumper.,4,6
17:07,2130,Brian Greene Jr. Defensive Rebound.,4,6
16:53,2130,Fred Sims Jr. missed Jumper.,4,6
16:53,2710,Mike Miklusak Defensive Rebound.,4,6
16:42,2710,C.J. Duff missed Jumper.,4,6
16:42,2130,Brian Greene Jr. Defensive Rebound.,4,6
16:19,2130,Trayvon Palmer Turnover.,4,6
15:57,2710,Garret Covington Turnover.,4,6
15:55,2130,Joshua Batson Steal.,4,6
15:53,2710,Foul on C.J. Duff.,4,6
15:53,2710,Official TV Timeout,4,6
15:53,2130,Fred Sims Jr. made Free Throw.,5,6
15:53,2130,Fred Sims Jr. made Free Throw.,6,6
15:33,2710,Jabari Sandifer missed Three Point Jumper.,6,6
15:33,2130,Fred Sims Jr. Defensive Rebound.,6,6
15:28,2710,Foul on Jabari Sandifer.,6,6
15:28,2130,Fred Sims Jr. made Free Throw.,7,6
15:28,2130,Fred Sims Jr. made Free Throw.,8,6
15:27,2710,Western Illinois  Timeout,8,6
15:08,2710,Jeremiah Usiosefe missed Three Point Jumper.,8,6
15:08,2710,Brandon Gilbeck Offensive Rebound.,8,6
15:03,2710,Mike Miklusak made Three Point Jumper. Assisted by Jabari Sandifer.,8,9
14:45,2130,Fred Sims Jr. made Three Point Jumper. Assisted by Patrick Szpir.,11,9
14:29,2710,Brandon Gilbeck missed Layup.,11,9
14:29,2710,Brandon Gilbeck Offensive Rebound.,11,9
14:28,2130,Foul on Joshua Batson.,11,9
14:19,2710,Jeremiah Usiosefe missed Three Point Jumper.,11,9
14:19,2130,Brian Greene Jr. Defensive Rebound.,11,9
14:06,2710,Foul on Mike Miklusak.,11,9
13:56,2130,Joshua Batson Turnover.,11,9
13:55,2710,Jeremiah Usiosefe Steal.,11,9
13:48,2710,Jabari Sandifer missed Three Point Jumper.,11,9
13:48,2130,Trayvon Palmer Defensive Rebound.,11,9
13:34,2130,Brian Greene Jr. Turnover.,11,9
13:32,2710,Garret Covington Steal.,11,9
13:27,2710,Garret Covington Turnover.,11,9
13:25,2130,Brian Greene Jr. Steal.,11,9
13:22,2130,Brian Greene Jr. made Layup.,13,9
13:06,2710,Jeremiah Usiosefe made Layup. Assisted by Mike Miklusak.,13,11
13:06,2130,Foul on Brian Greene Jr..,13,11
13:06,2710,Jeremiah Usiosefe missed Free Throw.,13,11
13:06,2130,Patrick Szpir Defensive Rebound.,13,11
12:52,2130,Fred Sims Jr. made Jumper.,15,11
12:32,2710,Mike Miklusak missed Three Point Jumper.,15,11
12:32,2130,Patrick Szpir Defensive Rebound.,15,11
12:13,2130,Fred Sims Jr. missed Three Point Jumper.,15,11
12:13,2710,Mike Miklusak Defensive Rebound.,15,11
11:58,2710,Mike Miklusak Turnover.,15,11
11:56,2130,Patrick Szpir Steal.,15,11
11:31,2710,Foul on Jalen Morgan.,15,11
11:31,2710,Official TV Timeout,15,11
11:31,2130,Patrick Szpir missed Free Throw.,15,11
11:31,2130,Chicago St Deadball Team Rebound.,15,11
11:31,2130,Patrick Szpir made Free Throw.,16,11
11:11,2130,Foul on Delundre Dixon.,16,11
10:57,2710,Delo Bruster made Jumper.,16,13
10:32,2130,Glen Burns missed Three Point Jumper.,16,13
10:32,2130,Clemmye Owens V Offensive Rebound.,16,13
10:27,2710,Foul on Delo Bruster.,16,13
10:25,2130,Deionte Simmons missed Jumper.,16,13
10:25,2710,Mike Miklusak Defensive Rebound.,16,13
10:24,2130,Foul on Trayvon Palmer.,16,13
10:01,2710,C.J. Duff made Three Point Jumper. Assisted by Delo Bruster.,16,16
9:34,2130,Trayvon Palmer made Three Point Jumper. Assisted by Glen Burns.,19,16
9:09,2710,Dalan Ancrum made Three Point Jumper. Assisted by Delo Bruster.,19,19
8:47,2130,Glen Burns Turnover.,19,19
8:24,2710,Garret Covington missed Three Point Jumper.,19,19
8:24,2130,Deionte Simmons Defensive Rebound.,19,19
8:15,2130,Clemmye Owens V made Three Point Jumper. Assisted by Glen Burns.,22,19
7:57,2710,C.J. Duff made Three Point Jumper. Assisted by Delo Bruster.,22,22
7:34,2130,Delundre Dixon made Jumper.,24,22
7:15,2710,Jalen Morgan missed Jumper.,24,22
7:15,2130,Deionte Simmons Defensive Rebound.,24,22
6:48,2130,Clemmye Owens V missed Jumper.,24,22
6:48,2130,Trayvon Palmer Offensive Rebound.,24,22
6:45,2130,Trayvon Palmer made Jumper.,26,22
6:45,2710,Foul on Jalen Morgan.,26,22
6:44,2710,Official TV Timeout,26,22
6:44,2130,Trayvon Palmer made Free Throw.,27,22
6:40,2710,Garret Covington Turnover.,27,22
6:40,2710,Foul on Garret Covington.,27,22
6:21,2710,Foul on Brandon Gilbeck.,27,22
6:21,2130,Foul on Deionte Simmons.,27,22
6:08,2130,Brian Greene Jr. made Three Point Jumper. Assisted by Fred Sims Jr..,30,22
5:57,2130,Foul on Clemmye Owens V.,30,22
5:42,2710,Garret Covington missed Three Point Jumper.,30,22
5:42,2130,Fred Sims Jr. Defensive Rebound.,30,22
5:19,2130,Fred Sims Jr. missed Jumper.,30,22
5:19,2710,Western Illinois Defensive Rebound.,30,22
5:05,2710,C.J. Duff made Three Point Jumper. Assisted by Brandon Gilbeck.,30,25
4:38,2130,Fred Sims Jr. missed Jumper.,30,25
4:38,2130,Chicago St Offensive Rebound.,30,25
4:31,2130,Fred Sims Jr. missed Three Point Jumper.,30,25
4:31,2130,Deionte Simmons Offensive Rebound.,30,25
4:28,2710,Foul on Brandon Gilbeck.,30,25
4:28,2130,Deionte Simmons made Free Throw.,31,25
4:28,2130,Deionte Simmons missed Free Throw.,31,25
4:28,2710,Garret Covington Defensive Rebound.,31,25
4:15,2130,Foul on Deionte Simmons.,31,25
4:15,2710,Garret Covington made Free Throw.,31,26
4:15,2710,Garret Covington made Free Throw.,31,27
4:03,2130,Trayvon Palmer Turnover.,31,27
4:03,2130,Foul on Trayvon Palmer.,31,27
3:59,2710,Official TV Timeout,31,27
3:56,2710,Chris Snyder made Layup. Assisted by Mike Miklusak.,31,29
3:26,2130,Brian Greene Jr. Turnover.,31,29
3:04,2130,Foul on Brian Greene Jr..,31,29
3:04,2710,Chris Snyder missed Free Throw.,31,29
3:04,2710,Garret Covington Offensive Rebound.,31,29
3:02,2130,Foul on Patrick Szpir.,31,29
3:02,2710,Garret Covington made Free Throw.,31,30
3:02,2710,Garret Covington missed Free Throw.,31,30
3:02,2130,Anthony Eaves Defensive Rebound.,31,30
2:42,2130,Patrick Szpir missed Jumper.,31,30
2:42,2710,Mike Miklusak Defensive Rebound.,31,30
2:30,2710,Garret Covington missed Three Point Jumper.,31,30
2:30,2130,Glen Burns Defensive Rebound.,31,30
2:06,2130,Fred Sims Jr. missed Layup.,31,30
2:06,2710,Chris Snyder Defensive Rebound.,31,30
1:49,2710,Jabari Sandifer missed Three Point Jumper.,31,30
1:49,2130,Anthony Eaves Defensive Rebound.,31,30
1:23,2130,Anthony Eaves missed Layup.,31,30
1:23,2710,Chris Snyder Defensive Rebound.,31,30
