Albany,43,Yale,399
time,team_id,description,h_score,a_score
19:35,399,Greig Stire made Jumper. Assisted by David Nichols.,2,0
19:14,43,Anthony Dallier missed Jumper.,2,0
19:14,399,Marqueese Grayson Defensive Rebound.,2,0
19:08,399,Joe Cremo missed Layup.,2,0
19:08,43,Miye Oni Block.,2,0
19:06,43,Anthony Dallier Defensive Rebound.,2,0
18:57,43,Foul on Trey Phills.,2,0
18:57,43,Trey Phills Turnover.,2,0
18:38,399,Greig Stire made Jumper.,4,0
18:16,43,Miye Oni missed Three Point Jumper.,4,0
18:16,399,Mike Rowley Defensive Rebound.,4,0
17:59,399,Marqueese Grayson made Three Point Jumper. Assisted by Greig Stire.,7,0
17:41,43,Trey Phills made Layup. Assisted by Anthony Dallier.,7,2
17:41,399,Foul on Marqueese Grayson.,7,2
17:41,43,Trey Phills made Free Throw.,7,3
17:28,399,Greig Stire Turnover.,7,3
17:06,43,Anthony Dallier made Three Point Jumper. Assisted by Trey Phills.,7,6
16:38,399,Joe Cremo missed Jumper.,7,6
16:38,43,Sam Downey Defensive Rebound.,7,6
16:28,43,Anthony Dallier missed Layup.,7,6
16:28,399,Marqueese Grayson Defensive Rebound.,7,6
16:15,399,Mike Rowley Turnover.,7,6
16:01,43,Sam Downey made Layup. Assisted by Miye Oni.,7,8
15:42,399,Mike Rowley made Layup. Assisted by David Nichols.,9,8
15:14,43,Miye Oni made Three Point Jumper. Assisted by Trey Phills.,9,11
14:47,399,Marqueese Grayson made Three Point Jumper. Assisted by David Nichols.,12,11
14:21,43,Anthony Dallier Turnover.,12,11
14:21,43,Official TV Timeout,12,11
14:01,399,Foul on Joe Cremo.,12,11
14:01,399,Joe Cremo Turnover.,12,11
13:42,43,Miye Oni missed Jumper.,12,11
13:42,399,Greig Stire Defensive Rebound.,12,11
13:25,399,Marqueese Grayson made Layup.,14,11
13:05,43,Anthony Dallier Turnover.,14,11
13:05,399,Marqueese Grayson Steal.,14,11
13:05,43,Foul on Anthony Dallier.,14,11
12:55,399,Marqueese Grayson missed Three Point Jumper.,14,11
12:55,43,Yale Defensive Rebound.,14,11
12:41,43,Anthony Dallier Turnover.,14,11
12:26,399,David Nichols missed Jumper.,14,11
12:26,43,Miye Oni Defensive Rebound.,14,11
12:18,43,Miye Oni Turnover.,14,11
12:07,399,Travis Charles made Jumper.,16,11
11:55,43,Alex Copeland missed Jumper.,16,11
11:55,43,Jordan Bruner Offensive Rebound.,16,11
11:43,43,Anthony Dallier missed Three Point Jumper.,16,11
11:43,399,Travis Charles Defensive Rebound.,16,11
11:40,43,Foul on Jordan Bruner.,16,11
11:40,43,Official TV Timeout,16,11
11:24,399,Dallas Ennema missed Three Point Jumper.,16,11
11:24,43,Jordan Bruner Defensive Rebound.,16,11
11:17,43,Jordan Bruner missed Three Point Jumper.,16,11
11:17,399,David Nichols Defensive Rebound.,16,11
11:07,399,Travis Charles made Layup. Assisted by David Nichols.,18,11
10:53,43,Alex Copeland missed Three Point Jumper.,18,11
10:53,43,Jordan Bruner Offensive Rebound.,18,11
10:48,43,Foul on Jordan Bruner.,18,11
10:48,43,Jordan Bruner Turnover.,18,11
10:29,399,David Nichols made Layup.,20,11
10:12,43,Miye Oni missed Layup.,20,11
10:12,399,Travis Charles Defensive Rebound.,20,11
10:01,43,Foul on Blake Reynolds.,20,11
9:43,399,David Nichols Turnover.,20,11
9:29,43,Trey Phills Turnover.,20,11
9:10,399,Joe Cremo missed Layup.,20,11
9:10,399,Greig Stire Offensive Rebound.,20,11
8:53,399,Marqueese Grayson Turnover.,20,11
8:38,43,Alex Copeland missed Jumper.,20,11
8:38,399,Greig Stire Defensive Rebound.,20,11
8:28,399,Travis Charles made Layup. Assisted by Joe Cremo.,22,11
8:16,43,Alex Copeland made Three Point Jumper. Assisted by Trey Phills.,22,14
7:50,399,Marqueese Grayson Turnover.,22,14
7:46,43,Sam Downey Steal.,22,14
7:30,43,Trey Phills missed Layup.,22,14
7:30,399,Greig Stire Defensive Rebound.,22,14
7:11,399,Joe Cremo Turnover.,22,14
7:11,43,Official TV Timeout,22,14
6:43,43,Miye Oni missed Jumper.,22,14
6:43,399,Greig Stire Defensive Rebound.,22,14
6:36,399,David Nichols Turnover.,22,14
6:35,43,Sam Downey Steal.,22,14
6:31,43,Anthony Dallier Turnover.,22,14
6:28,399,Dallas Ennema Steal.,22,14
6:16,399,Mike Rowley Turnover.,22,14
5:58,43,Eric Monroe made Three Point Jumper. Assisted by Anthony Dallier.,22,17
5:34,399,Mike Rowley made Jumper.,24,17
5:06,43,Jordan Bruner missed Three Point Jumper.,24,17
5:06,43,Sam Downey Offensive Rebound.,24,17
5:04,399,Foul on Joe Cremo.,24,17
4:53,43,Miye Oni missed Three Point Jumper.,24,17
4:53,399,Devonte Campbell Defensive Rebound.,24,17
4:49,43,Foul on Austin Williams.,24,17
4:24,399,David Nichols missed Three Point Jumper.,24,17
4:24,43,Anthony Dallier Defensive Rebound.,24,17
4:04,43,Miye Oni missed Three Point Jumper.,24,17
4:04,399,Albany Defensive Rebound.,24,17
3:59,43,Official TV Timeout,24,17
3:26,399,Devonte Campbell missed Three Point Jumper.,24,17
3:26,43,Eric Monroe Defensive Rebound.,24,17
3:08,43,Sam Downey Turnover.,24,17
3:02,399,David Nichols missed Layup.,24,17
3:02,399,Albany Offensive Rebound.,24,17
2:53,399,David Nichols Turnover.,24,17
2:34,43,Eric Monroe missed Three Point Jumper.,24,17
2:34,43,Sam Downey Offensive Rebound.,24,17
2:29,43,Anthony Dallier made Three Point Jumper. Assisted by Miye Oni.,24,20
2:09,399,David Nichols made Jumper.,26,20
1:47,43,Anthony Dallier made Three Point Jumper. Assisted by Sam Downey.,26,23
1:17,43,Foul on Sam Downey.,26,23
1:17,399,Marqueese Grayson made Free Throw.,27,23
1:17,399,Marqueese Grayson made Free Throw.,28,23
0:54,43,Eric Monroe missed Three Point Jumper.,28,23
0:54,399,Albany Defensive Rebound.,28,23
0:38,399,David Nichols missed Layup.,28,23
0:38,43,Blake Reynolds Defensive Rebound.,28,23
0:26,43,Sam Downey missed Layup.,28,23
0:26,399,Dallas Ennema Defensive Rebound.,28,23
0:18,399,Albany  Timeout,28,23
0:00,399,David Nichols made Layup. Assisted by Greig Stire.,30,23
0:00,43,End of 1st half,30,23
19:46,43,Sam Downey Turnover.,30,23
19:34,399,David Nichols missed Three Point Jumper.,30,23
19:34,43,Blake Reynolds Defensive Rebound.,30,23
19:26,43,Trey Phills made Three Point Jumper. Assisted by Anthony Dallier.,30,26
19:10,399,Joe Cremo missed Three Point Jumper.,30,26
19:10,43,Trey Phills Defensive Rebound.,30,26
19:02,399,Foul on David Nichols.,30,26
18:54,43,Anthony Dallier missed Three Point Jumper.,30,26
18:54,399,Greig Stire Defensive Rebound.,30,26
18:35,399,David Nichols made Jumper.,32,26
18:17,43,Blake Reynolds made Three Point Jumper. Assisted by Anthony Dallier.,32,29
17:53,399,Greig Stire missed Layup.,32,29
17:53,43,Sam Downey Block.,32,29
17:52,399,Greig Stire Offensive Rebound.,32,29
17:51,399,Greig Stire Turnover.,32,29
17:37,43,Anthony Dallier missed Layup.,32,29
17:37,399,Mike Rowley Defensive Rebound.,32,29
17:28,399,David Nichols missed Jumper.,32,29
17:28,43,Trey Phills Defensive Rebound.,32,29
17:21,43,Trey Phills made Dunk.,32,31
16:54,43,Foul on Miye Oni.,32,31
16:54,399,Joe Cremo made Free Throw.,33,31
16:54,399,Joe Cremo made Free Throw.,34,31
16:31,43,Trey Phills missed Three Point Jumper.,34,31
16:31,43,Anthony Dallier Offensive Rebound.,34,31
16:26,43,Miye Oni made Three Point Jumper. Assisted by Anthony Dallier.,34,34
16:01,399,Joe Cremo missed Layup.,34,34
16:01,43,Sam Downey Defensive Rebound.,34,34
15:50,43,Blake Reynolds missed Jumper.,34,34
15:50,399,David Nichols Defensive Rebound.,34,34
15:45,399,David Nichols missed Layup.,34,34
15:45,43,Trey Phills Block.,34,34
15:43,399,Mike Rowley Offensive Rebound.,34,34
15:42,43,Foul on Miye Oni.,34,34
15:42,43,Official TV Timeout,34,34
15:42,399,Mike Rowley made Free Throw.,35,34
15:42,399,Mike Rowley made Free Throw.,36,34
15:15,43,Sam Downey missed Jumper.,36,34
15:15,399,Marqueese Grayson Defensive Rebound.,36,34
14:47,399,Greig Stire made Layup. Assisted by Marqueese Grayson.,38,34
14:35,43,Anthony Dallier missed Three Point Jumper.,38,34
14:35,399,David Nichols Defensive Rebound.,38,34
14:29,399,David Nichols made Layup.,40,34
14:10,43,Miye Oni missed Three Point Jumper.,40,34
14:10,399,Greig Stire Defensive Rebound.,40,34
13:45,399,Mike Rowley made Jumper. Assisted by David Nichols.,42,34
13:25,43,Anthony Dallier missed Three Point Jumper.,42,34
13:25,399,Greig Stire Defensive Rebound.,42,34
13:18,399,Marqueese Grayson missed Layup.,42,34
13:18,43,Miye Oni Defensive Rebound.,42,34
13:10,43,Alex Copeland made Jumper.,42,36
13:08,43,Yale  Timeout,42,36
12:49,399,Marqueese Grayson missed Three Point Jumper.,42,36
12:49,43,Jordan Bruner Defensive Rebound.,42,36
12:34,43,Sam Downey made Layup. Assisted by Alex Copeland.,42,38
12:16,43,Foul on Sam Downey.,42,38
12:16,399,Greig Stire made Free Throw.,43,38
12:16,399,Greig Stire made Free Throw.,44,38
12:09,399,Foul on David Nichols.,44,38
11:53,43,Anthony Dallier missed Three Point Jumper.,44,38
11:53,399,Travis Charles Defensive Rebound.,44,38
11:30,399,Dallas Ennema missed Three Point Jumper.,44,38
11:30,43,Jordan Bruner Defensive Rebound.,44,38
11:05,43,Sam Downey missed Jumper.,44,38
11:05,399,Travis Charles Defensive Rebound.,44,38
10:37,399,Joe Cremo missed Layup.,44,38
10:37,43,Jordan Bruner Block.,44,38
10:35,43,Sam Downey Defensive Rebound.,44,38
10:22,43,Alex Copeland made Three Point Jumper.,44,41
10:05,399,Travis Charles missed Layup.,44,41
10:05,43,Jordan Bruner Block.,44,41
10:03,43,Anthony Dallier Defensive Rebound.,44,41
9:57,43,Alex Copeland made Three Point Jumper. Assisted by Miye Oni.,44,44
9:47,43,Official TV Timeout,44,44
9:32,399,David Nichols missed Jumper.,44,44
9:32,43,Alex Copeland Defensive Rebound.,44,44
9:07,43,Anthony Dallier made Jumper. Assisted by Trey Phills.,44,46
8:50,399,David Nichols missed Jumper.,44,46
8:50,43,Blake Reynolds Defensive Rebound.,44,46
8:46,399,Foul on Travis Charles.,44,46
8:20,43,Alex Copeland made Jumper.,44,48
8:00,399,David Nichols missed Layup.,44,48
8:00,43,Jordan Bruner Defensive Rebound.,44,48
7:53,399,Foul on Travis Charles.,44,48
7:53,43,Official TV Timeout,44,48
7:38,43,Sam Downey Turnover.,44,48
7:17,399,Joe Cremo Turnover.,44,48
6:56,43,Trey Phills missed Jumper.,44,48
6:56,399,Greig Stire Defensive Rebound.,44,48
6:38,43,Foul on Alex Copeland.,44,48
6:27,399,Joe Cremo missed Three Point Jumper.,44,48
6:27,399,Mike Rowley Offensive Rebound.,44,48
6:10,399,Marqueese Grayson missed Three Point Jumper.,44,48
6:10,43,Alex Copeland Defensive Rebound.,44,48
5:44,399,Foul on Greig Stire.,44,48
5:34,43,Miye Oni made Jumper.,44,50
5:14,399,Greig Stire made Layup. Assisted by Joe Cremo.,46,50
5:14,43,Foul on Miye Oni.,46,50
5:14,399,Greig Stire made Free Throw.,47,50
4:51,43,Anthony Dallier made Layup. Assisted by Miye Oni.,47,52
4:38,43,Foul on Miye Oni.,47,52
4:21,399,Joe Cremo made Jumper. Assisted by Marqueese Grayson.,49,52
3:48,43,Jordan Bruner Turnover.,49,52
3:47,399,Marqueese Grayson Steal.,49,52
3:42,399,Marqueese Grayson missed Layup.,49,52
3:42,43,Jordan Bruner Defensive Rebound.,49,52
3:18,43,Anthony Dallier missed Jumper.,49,52
3:18,43,Trey Phills Offensive Rebound.,49,52
3:13,43,Anthony Dallier missed Three Point Jumper.,49,52
3:13,399,Mike Rowley Defensive Rebound.,49,52
3:03,399,David Nichols made Layup. Assisted by Joe Cremo.,51,52
2:34,43,Anthony Dallier made Layup.,51,54
2:23,399,Albany  Timeout,51,54
2:05,399,David Nichols missed Jumper.,51,54
2:05,43,Blake Reynolds Defensive Rebound.,51,54
1:51,43,Anthony Dallier Turnover.,51,54
1:50,399,David Nichols Steal.,51,54
1:47,399,David Nichols made Layup.,53,54
1:25,43,Miye Oni missed Three Point Jumper.,53,54
1:25,43,Blake Reynolds Offensive Rebound.,53,54
1:20,43,Alex Copeland missed Three Point Jumper.,53,54
1:20,43,Jordan Bruner Offensive Rebound.,53,54
