Limestone,Error,East Tennessee State,2193
time,team_id,description,h_score,a_score
19:47,-1,Shaq Dance missed Layup.,0,0
19:47,2193,Tevin Glass Defensive Rebound.,0,0
19:36,2193,Hanner Mosquera-Perea made Layup. Assisted by Desonta Bradford.,0,2
19:25,2193,Foul on Tevin Glass.,0,2
19:14,-1,Evans Moreau Turnover.,0,2
19:13,2193,A.J. Merriweather Steal.,0,2
19:10,2193,Desonta Bradford made Layup.,0,4
18:46,-1,Donovan Harris missed Layup.,0,4
18:46,-1,Donovan Harris Offensive Rebound.,0,4
18:43,-1,Donovan Harris Turnover.,0,4
18:42,2193,Tevin Glass Steal.,0,4
18:23,2193,Hanner Mosquera-Perea missed Layup.,0,4
18:23,-1,Donovan Harris Defensive Rebound.,0,4
18:13,-1,Shaun Stewart made Jumper.,2,4
17:51,2193,Tevin Glass made Layup.,2,6
17:34,-1,Macoumba Kane Turnover.,2,6
17:22,2193,David Burrell made Layup. Assisted by Desonta Bradford.,2,8
17:22,-1,Foul on Shaq Dance.,2,8
17:22,2193,David Burrell made Free Throw.,2,9
17:00,-1,Shaq Dance made Layup.,4,9
16:40,2193,A.J. Merriweather missed Layup.,4,9
16:40,-1,Donovan Harris Block.,4,9
16:38,-1,Donovan Harris Defensive Rebound.,4,9
16:32,-1,Teron Wallace made Three Point Jumper. Assisted by Macoumba Kane.,7,9
16:13,2193,Desonta Bradford missed Three Point Jumper.,7,9
16:13,-1,Teron Wallace Defensive Rebound.,7,9
15:55,-1,Macoumba Kane missed Layup.,7,9
15:55,-1,Donovan Harris Offensive Rebound.,7,9
15:54,2193,Foul on David Burrell.,7,9
15:54,2193,Official TV Timeout,7,9
15:37,-1,Shaun Stewart missed Jumper.,7,9
15:37,2193,Tevin Glass Defensive Rebound.,7,9
15:18,2193,T.J. Cromer made Jumper.,7,11
15:00,-1,Foul on Macoumba Kane.,7,11
15:00,-1,Macoumba Kane Turnover.,7,11
14:51,2193,T.J. Cromer made Three Point Jumper. Assisted by Desonta Bradford.,7,14
14:30,-1,Kenny Hairston missed Three Point Jumper.,7,14
14:30,2193,East Tennessee St Defensive Rebound.,7,14
14:06,2193,T.J. Cromer missed Three Point Jumper.,7,14
14:06,2193,Tevin Glass Offensive Rebound.,7,14
14:02,2193,Tevin Glass made Layup.,7,16
13:43,-1,Macoumba Kane made Three Point Jumper.,10,16
13:23,2193,Peter Jurkin Turnover.,10,16
13:21,-1,Shaun Stewart Steal.,10,16
13:12,-1,Shaun Stewart missed Layup.,10,16
13:12,2193,Tevin Glass Block.,10,16
13:10,2193,Jason Williams Defensive Rebound.,10,16
13:02,2193,Jermaine Long missed Three Point Jumper.,10,16
13:02,-1,Shaq Dance Defensive Rebound.,10,16
12:59,2193,Foul on Tevin Glass.,10,16
12:38,2193,Foul on Jermaine Long.,10,16
12:32,-1,Macoumba Kane missed Jumper.,10,16
12:32,2193,Hanner Mosquera-Perea Defensive Rebound.,10,16
12:21,2193,T.J. Cromer missed Three Point Jumper.,10,16
12:21,-1,Walter Cole Defensive Rebound.,10,16
12:04,-1,Macoumba Kane made Jumper.,12,16
11:43,-1,Foul on Shaq Dance.,12,16
11:43,2193,Official TV Timeout,12,16
11:43,2193,Hanner Mosquera-Perea made Free Throw.,12,17
11:43,2193,Hanner Mosquera-Perea made Free Throw.,12,18
11:15,-1,Shaun Stewart made Layup.,14,18
10:59,2193,Hanner Mosquera-Perea Turnover.,14,18
10:33,-1,Walter Cole missed Three Point Jumper.,14,18
10:33,2193,A.J. Merriweather Defensive Rebound.,14,18
10:09,2193,T.J. Cromer missed Three Point Jumper.,14,18
10:09,2193,A.J. Merriweather Offensive Rebound.,14,18
10:06,2193,A.J. Merriweather made Layup.,14,20
10:06,-1,Foul on Macoumba Kane.,14,20
10:06,2193,A.J. Merriweather made Free Throw.,14,21
9:53,-1,Justin Hollimon Turnover.,14,21
9:43,2193,Desonta Bradford missed Layup.,14,21
9:43,2193,David Burrell Offensive Rebound.,14,21
9:39,2193,David Burrell made Layup.,14,23
9:17,-1,Kenny Hairston missed Three Point Jumper.,14,23
9:17,2193,David Burrell Defensive Rebound.,14,23
9:01,2193,A.J. Merriweather made Three Point Jumper. Assisted by T.J. Cromer.,14,26
8:34,2193,Foul on David Burrell.,14,26
8:34,-1,Shaun Stewart made Free Throw.,15,26
8:34,-1,Shaun Stewart made Free Throw.,16,26
8:21,2193,Isaac Banks made Layup. Assisted by Julian Walters.,16,28
8:07,-1,Shaun Stewart missed Layup.,16,28
8:07,2193,Hanner Mosquera-Perea Block.,16,28
8:06,-1,Limestone Offensive Rebound.,16,28
8:04,-1,Kenny Hairston made Jumper.,18,28
7:53,2193,A.J. Merriweather missed Jumper.,18,28
7:53,2193,Hanner Mosquera-Perea Offensive Rebound.,18,28
7:41,2193,Hanner Mosquera-Perea missed Layup.,18,28
7:41,-1,Limestone Defensive Rebound.,18,28
7:29,2193,Official TV Timeout,18,28
7:08,-1,Kenny Hairston missed Three Point Jumper.,18,28
7:08,2193,Devontavius Payne Defensive Rebound.,18,28
6:52,2193,Hanner Mosquera-Perea missed Jumper.,18,28
6:52,2193,Isaac Banks Offensive Rebound.,18,28
6:50,-1,Foul on Shaq Dance.,18,28
6:50,2193,Isaac Banks made Free Throw.,18,29
6:50,2193,Isaac Banks made Free Throw.,18,30
6:25,2193,Foul on Desonta Bradford.,18,30
6:25,-1,Limestone  Timeout,18,30
6:16,2193,Foul on Peter Jurkin.,18,30
6:16,-1,Donovan Harris missed Free Throw.,18,30
6:16,-1,Limestone Deadball Team Rebound.,18,30
6:16,-1,Donovan Harris missed Free Throw.,18,30
6:16,2193,Jermaine Long Defensive Rebound.,18,30
6:02,2193,Peter Jurkin missed Jumper.,18,30
6:02,2193,Peter Jurkin Offensive Rebound.,18,30
5:58,2193,Peter Jurkin missed Jumper.,18,30
5:58,-1,Donovan Harris Defensive Rebound.,18,30
5:39,-1,Walter Cole made Three Point Jumper. Assisted by Kenny Hairston.,21,30
5:18,2193,Jermaine Long Turnover.,21,30
5:17,-1,Justin Hollimon Steal.,21,30
5:12,-1,Shaun Stewart missed Layup.,21,30
5:12,2193,Peter Jurkin Block.,21,30
5:10,-1,Limestone Offensive Rebound.,21,30
4:32,-1,Teron Wallace missed Jumper.,21,30
4:32,2193,Hanner Mosquera-Perea Defensive Rebound.,21,30
4:26,2193,T.J. Cromer made Layup.,21,32
4:10,-1,Shaq Dance Turnover.,21,32
4:08,2193,A.J. Merriweather Steal.,21,32
4:06,2193,T.J. Cromer made Layup.,21,34
3:37,-1,Macoumba Kane missed Three Point Jumper.,21,34
3:37,2193,Isaac Banks Defensive Rebound.,21,34
3:27,2193,A.J. Merriweather made Three Point Jumper. Assisted by T.J. Cromer.,21,37
3:02,-1,Shaun Stewart missed Three Point Jumper.,21,37
3:02,-1,Evans Moreau Offensive Rebound.,21,37
2:58,-1,Evans Moreau made Layup.,23,37
2:38,2193,T.J. Cromer missed Three Point Jumper.,23,37
2:38,2193,Isaac Banks Offensive Rebound.,23,37
2:35,2193,Isaac Banks made Layup.,23,39
2:11,2193,Official TV Timeout,23,39
2:01,-1,Evans Moreau made Three Point Jumper. Assisted by Shaq Dance.,26,39
1:36,2193,Isaac Banks made Layup. Assisted by Desonta Bradford.,26,41
1:18,-1,Macoumba Kane missed Jumper.,26,41
1:18,2193,Desonta Bradford Defensive Rebound.,26,41
1:12,2193,Desonta Bradford Turnover.,26,41
0:59,-1,Macoumba Kane made Jumper.,28,41
0:57,2193,Foul on Peter Jurkin.,28,41
0:57,-1,Macoumba Kane made Free Throw.,29,41
0:41,-1,Foul on Macoumba Kane.,29,41
0:35,2193,Hanner Mosquera-Perea missed Jumper.,29,41
0:35,-1,Macoumba Kane Block.,29,41
0:34,-1,Michael Miller Defensive Rebound.,29,41
0:27,2193,Foul on Desonta Bradford.,29,41
0:27,-1,Michael Miller missed Free Throw.,29,41
0:27,-1,Limestone Deadball Team Rebound.,29,41
0:27,-1,Michael Miller made Free Throw.,30,41
0:06,2193,Jason Williams missed Jumper.,30,41
0:06,-1,Walter Cole Defensive Rebound.,30,41
0:00,2193,End of 1st half,30,41
19:51,2193,Hanner Mosquera-Perea missed Layup.,30,41
19:51,-1,Donovan Harris Block.,30,41
19:49,-1,Donovan Harris Defensive Rebound.,30,41
19:32,-1,Evans Moreau missed Jumper.,30,41
19:32,2193,Tevin Glass Defensive Rebound.,30,41
19:23,2193,Foul on Hanner Mosquera-Perea.,30,41
19:23,2193,Hanner Mosquera-Perea Turnover.,30,41
18:54,-1,Evans Moreau missed Layup.,30,41
18:54,2193,Isaac Banks Defensive Rebound.,30,41
18:43,2193,A.J. Merriweather missed Three Point Jumper.,30,41
18:43,-1,Donovan Harris Defensive Rebound.,30,41
18:23,-1,Donovan Harris missed Layup.,30,41
18:23,2193,Isaac Banks Defensive Rebound.,30,41
18:16,2193,Desonta Bradford Turnover.,30,41
17:49,-1,Shaq Dance made Jumper.,32,41
17:26,2193,Tevin Glass Turnover.,32,41
17:07,-1,Teron Wallace made Three Point Jumper. Assisted by Evans Moreau.,35,41
16:50,2193,T.J. Cromer made Three Point Jumper. Assisted by Jason Williams.,35,44
16:17,-1,Macoumba Kane missed Jumper.,35,44
16:17,2193,T.J. Cromer Defensive Rebound.,35,44
16:00,2193,David Burrell missed Layup.,35,44
16:00,-1,Shaq Dance Block.,35,44
15:58,-1,Shaq Dance Defensive Rebound.,35,44
15:54,-1,Foul on Shaq Dance.,35,44
15:54,-1,Shaq Dance Turnover.,35,44
15:54,2193,Official TV Timeout,35,44
15:43,2193,T.J. Cromer made Three Point Jumper. Assisted by David Burrell.,35,47
15:12,-1,Shaq Dance missed Layup.,35,47
15:12,2193,T.J. Cromer Defensive Rebound.,35,47
14:56,2193,T.J. Cromer missed Jumper.,35,47
14:56,-1,Shaun Stewart Block.,35,47
14:55,2193,A.J. Merriweather Offensive Rebound.,35,47
14:45,2193,T.J. Cromer made Three Point Jumper. Assisted by Desonta Bradford.,35,50
14:11,-1,Shaun Stewart made Jumper.,37,50
13:57,2193,Desonta Bradford missed Jumper.,37,50
13:57,-1,Macoumba Kane Defensive Rebound.,37,50
13:47,-1,Shaun Stewart made Three Point Jumper.,40,50
13:28,2193,T.J. Cromer made Three Point Jumper. Assisted by Desonta Bradford.,40,53
12:59,-1,Shaq Dance missed Jumper.,40,53
12:59,2193,T.J. Cromer Defensive Rebound.,40,53
12:50,2193,A.J. Merriweather made Jumper.,40,55
12:24,-1,Evans Moreau missed Three Point Jumper.,40,55
12:24,2193,Isaac Banks Defensive Rebound.,40,55
12:08,2193,T.J. Cromer missed Three Point Jumper.,40,55
12:08,2193,Isaac Banks Offensive Rebound.,40,55
12:05,-1,Foul on Macoumba Kane.,40,55
12:04,2193,Isaac Banks made Free Throw.,40,56
12:04,2193,Isaac Banks made Free Throw.,40,57
11:35,-1,Walter Cole missed Jumper.,40,57
11:35,2193,Hanner Mosquera-Perea Defensive Rebound.,40,57
11:32,-1,Foul on Justin Hollimon.,40,57
11:32,2193,Official TV Timeout,40,57
11:14,2193,Julian Walters Turnover.,40,57
11:13,-1,Michael Miller Steal.,40,57
11:10,-1,Michael Miller made Layup.,42,57
10:53,2193,Julian Walters missed Three Point Jumper.,42,57
10:53,-1,Donovan Harris Defensive Rebound.,42,57
10:39,-1,Kenny Hairston missed Three Point Jumper.,42,57
10:39,2193,David Burrell Defensive Rebound.,42,57
10:30,-1,Foul on Donovan Harris.,42,57
10:22,-1,Foul on Donovan Harris.,42,57
10:22,2193,Jermaine Long missed Free Throw.,42,57
10:22,2193,East Tennessee St Deadball Team Rebound.,42,57
10:22,2193,Jermaine Long missed Free Throw.,42,57
10:18,2193,Julian Walters Offensive Rebound.,42,57
10:18,-1,Foul on Kenny Hairston.,42,57
10:15,2193,Jermaine Long missed Jumper.,42,57
10:15,2193,David Burrell Offensive Rebound.,42,57
10:12,2193,David Burrell made Dunk.,42,59
9:58,-1,Justin Hollimon made Layup.,44,59
9:35,2193,Hanner Mosquera-Perea missed Dunk.,44,59
9:35,-1,Limestone Defensive Rebound.,44,59
9:21,-1,Walter Cole missed Three Point Jumper.,44,59
9:21,2193,Julian Walters Defensive Rebound.,44,59
9:13,2193,Julian Walters made Layup.,44,61
9:13,-1,Foul on Walter Cole.,44,61
9:13,2193,Julian Walters made Free Throw.,44,62
9:01,-1,Macoumba Kane made Layup. Assisted by Kenny Hairston.,46,62
8:41,2193,Tevin Glass missed Jumper.,46,62
8:41,-1,Michael Miller Defensive Rebound.,46,62
8:30,2193,Foul on T.J. Cromer.,46,62
8:30,-1,Michael Miller made Free Throw.,47,62
8:30,-1,Michael Miller made Free Throw.,48,62
8:20,2193,Julian Walters made Three Point Jumper. Assisted by Desonta Bradford.,48,65
7:52,-1,Macoumba Kane missed Three Point Jumper.,48,65
7:52,-1,Kenny Hairston Offensive Rebound.,48,65
7:41,-1,Kenny Hairston missed Three Point Jumper.,48,65
7:41,2193,Tevin Glass Defensive Rebound.,48,65
7:32,2193,Desonta Bradford made Layup.,48,67
7:05,-1,Walter Cole missed Layup.,48,67
7:05,2193,Desonta Bradford Defensive Rebound.,48,67
6:58,2193,Devontavius Payne made Three Point Jumper. Assisted by Desonta Bradford.,48,70
6:27,-1,Walter Cole missed Layup.,48,70
6:27,2193,Julian Walters Defensive Rebound.,48,70
6:18,2193,Tevin Glass made Layup. Assisted by Julian Walters.,48,72
6:09,-1,Limestone  Timeout,48,72
6:09,2193,Official TV Timeout,48,72
6:02,-1,Macoumba Kane missed Three Point Jumper.,48,72
6:02,2193,East Tennessee St Defensive Rebound.,48,72
5:41,2193,Devontavius Payne missed Three Point Jumper.,48,72
5:41,2193,Julian Walters Offensive Rebound.,48,72
5:36,-1,Foul on Michael Miller.,48,72
