Marist,2514,Quinnipiac,2368
time,team_id,description,h_score,a_score
19:56,2514,Chaise Daniels made Jumper. Assisted by Phil Winston.,0,2
19:34,2514,Foul on Phil Winston.,0,2
19:27,2368,Brian Parker Turnover.,0,2
19:18,2514,Reggie Oliver made Three Point Jumper. Assisted by Phil Winston.,0,5
19:03,2368,Tobias Sjoberg Turnover.,0,5
19:02,2514,Chaise Daniels Steal.,0,5
18:48,2514,Reggie Oliver missed Three Point Jumper.,0,5
18:48,2514,Quinnipiac Offensive Rebound.,0,5
18:46,2368,Foul on Tobias Sjoberg.,0,5
18:32,2514,Abdulai Bundu made Jumper. Assisted by Daniel Harris.,0,7
18:13,2514,Foul on Chaise Daniels.,0,7
18:13,2368,Isaiah Lamb made Free Throw.,1,7
18:13,2368,Isaiah Lamb made Free Throw.,2,7
17:50,2514,Phil Winston made Three Point Jumper.,2,10
17:33,2368,Tobias Sjoberg made Layup. Assisted by Ryan Funk.,4,10
17:24,2514,Chaise Daniels made Jumper. Assisted by Phil Winston.,4,12
17:16,2368,Tobias Sjoberg Turnover.,4,12
17:08,2514,Daniel Harris missed Three Point Jumper.,4,12
17:08,2368,Tobias Sjoberg Defensive Rebound.,4,12
17:05,2514,Foul on Abdulai Bundu.,4,12
16:53,2368,Khallid Hart missed Jumper.,4,12
16:53,2514,Daniel Harris Defensive Rebound.,4,12
16:22,2514,Reggie Oliver made Layup. Assisted by Chaise Daniels.,4,14
16:00,2368,Isaiah Lamb made Jumper.,6,14
15:33,2514,Phil Winston Turnover.,6,14
15:32,2368,Khallid Hart Steal.,6,14
15:28,2368,Khallid Hart Turnover.,6,14
15:03,2514,Donovan Smith made Dunk. Assisted by Daniel Harris.,6,16
14:51,2514,Foul on Mikey Dixon.,6,16
14:40,2368,Ryan Funk missed Three Point Jumper.,6,16
14:40,2514,Donovan Smith Defensive Rebound.,6,16
14:17,2514,Donovan Smith missed Layup.,6,16
14:17,2368,David Knudsen Defensive Rebound.,6,16
14:07,2368,David Knudsen missed Jumper.,6,16
14:07,2514,Quinnipiac Defensive Rebound.,6,16
14:07,2368,Foul on Kentrall Brooks.,6,16
13:56,2368,Foul on Kentrall Brooks.,6,16
13:44,2514,Daniel Harris missed Three Point Jumper.,6,16
13:44,2514,Alain Chigha Offensive Rebound.,6,16
13:39,2514,Daniel Harris Turnover.,6,16
13:25,2368,Khallid Hart made Jumper.,8,16
13:03,2514,Reggie Oliver missed Jumper.,8,16
13:03,2368,Kristinn Palsson Defensive Rebound.,8,16
12:56,2368,Ryan Funk missed Three Point Jumper.,8,16
12:56,2514,Peter Kiss Defensive Rebound.,8,16
12:45,2514,Peter Kiss made Layup.,8,18
12:23,2368,Khallid Hart made Three Point Jumper.,11,18
12:00,2514,Peter Kiss missed Jumper.,11,18
12:00,2368,David Knudsen Defensive Rebound.,11,18
12:00,2514,Foul on Peter Kiss.,11,18
11:50,2368,Kristinn Palsson missed Three Point Jumper.,11,18
11:50,2514,Peter Kiss Defensive Rebound.,11,18
11:45,2514,Peter Kiss Turnover.,11,18
11:44,2368,Isaiah Lamb Steal.,11,18
11:37,2368,David Knudsen made Three Point Jumper. Assisted by Brian Parker.,14,18
11:04,2514,Abdulai Bundu missed Layup.,14,18
11:04,2368,Kristinn Palsson Block.,14,18
11:04,2514,Quinnipiac Offensive Rebound.,14,18
10:58,2514,Abdulai Bundu Turnover.,14,18
10:48,2368,Ryan Funk missed Three Point Jumper.,14,18
10:48,2514,Abdulai Bundu Defensive Rebound.,14,18
10:32,2514,Peter Kiss missed Three Point Jumper.,14,18
10:32,2368,Isaiah Lamb Defensive Rebound.,14,18
10:26,2368,Isaiah Lamb Turnover.,14,18
10:25,2514,Reggie Oliver Steal.,14,18
10:21,2514,Mikey Dixon missed Layup.,14,18
10:21,2514,Peter Kiss Offensive Rebound.,14,18
10:21,2514,Peter Kiss made Layup.,14,20
10:21,2368,Foul on Isaiah Lamb.,14,20
10:13,2514,Peter Kiss missed Free Throw.,14,20
10:13,2368,Obi Momah Defensive Rebound.,14,20
9:53,2368,Khallid Hart missed Jumper.,14,20
9:53,2514,Peter Kiss Defensive Rebound.,14,20
9:47,2514,Chaise Daniels made Layup. Assisted by Phil Winston.,14,22
9:33,2368,Ryan Funk made Layup. Assisted by Obi Momah.,16,22
9:24,2514,Chaise Daniels Turnover.,16,22
9:12,2368,Brian Parker Turnover.,16,22
8:59,2514,Phil Winston missed Jumper.,16,22
8:59,2514,Reggie Oliver Offensive Rebound.,16,22
8:50,2368,Brian Parker missed Jumper.,16,22
8:50,2514,Abdulai Bundu Defensive Rebound.,16,22
8:22,2514,Mikey Dixon missed Three Point Jumper.,16,22
8:22,2368,Marist Defensive Rebound.,16,22
8:04,2368,Tobias Sjoberg made Layup. Assisted by Kristinn Palsson.,18,22
7:30,2514,Daniel Harris missed Jumper.,18,22
7:30,2514,Reggie Oliver Offensive Rebound.,18,22
7:30,2368,Foul on Khallid Hart.,18,22
7:30,2514,Reggie Oliver missed Free Throw.,18,22
7:30,2514,Quinnipiac Deadball Team Rebound.,18,22
7:30,2514,Reggie Oliver made Free Throw.,18,23
7:21,2368,David Knudsen missed Three Point Jumper.,18,23
7:21,2514,Peter Kiss Defensive Rebound.,18,23
