Syracuse,41,Connecticut,183
time,team_id,description,h_score,a_score
20:00,41,Jump Ball won by Connecticut,0,0
19:49,41,Rodney Purvis missed Three Point Jumper.,0,0
19:49,41,Amida Brimah Offensive Rebound.,0,0
19:45,41,Amida Brimah made Layup.,0,2
19:20,183,Andrew White III missed Three Point Jumper.,0,2
19:20,183,DaJuan Coleman Offensive Rebound.,0,2
19:18,183,Jump Ball won by Syracuse,0,2
19:07,183,Tyus Battle made Three Point Jumper. Assisted by DaJuan Coleman.,3,2
18:44,41,Rodney Purvis Turnover.,3,2
18:31,183,DaJuan Coleman Turnover.,3,2
18:31,41,Jalen Adams Steal.,3,2
18:26,41,Christian Vital missed Layup.,3,2
18:26,183,Andrew White III Defensive Rebound.,3,2
18:20,41,Foul on Christian Vital.,3,2
18:10,183,Tyus Battle missed Three Point Jumper.,3,2
18:10,41,Jalen Adams Defensive Rebound.,3,2
17:53,41,Steven Enoch missed Jumper.,3,2
17:53,183,Syracuse Defensive Rebound.,3,2
17:40,183,Tyler Lydon missed Three Point Jumper.,3,2
17:40,183,DaJuan Coleman Offensive Rebound.,3,2
17:32,183,Frank Howard missed Jumper.,3,2
17:32,41,Amida Brimah Defensive Rebound.,3,2
17:12,41,Amida Brimah missed Jumper.,3,2
17:12,183,Tyler Lydon Defensive Rebound.,3,2
16:50,183,Andrew White III missed Jumper.,3,2
16:50,183,DaJuan Coleman Offensive Rebound.,3,2
16:47,41,Foul on Steven Enoch.,3,2
16:38,183,Tyler Lydon missed Jumper.,3,2
16:38,41,Kentan Facey Defensive Rebound.,3,2
16:18,41,Christian Vital missed Three Point Jumper.,3,2
16:18,183,Tyler Lydon Defensive Rebound.,3,2
15:56,183,DaJuan Coleman Turnover.,3,2
15:56,41,Official TV Timeout,3,2
15:34,41,Rodney Purvis missed Jumper.,3,2
15:34,41,Kentan Facey Offensive Rebound.,3,2
15:29,41,Kentan Facey missed Layup.,3,2
15:29,183,DaJuan Coleman Defensive Rebound.,3,2
15:15,183,Tyus Battle Turnover.,3,2
15:15,41,Rodney Purvis Steal.,3,2
14:56,183,Foul on Frank Howard.,3,2
14:42,41,Vance Jackson Turnover.,3,2
14:22,183,DaJuan Coleman missed Jumper.,3,2
14:22,41,Rodney Purvis Defensive Rebound.,3,2
14:16,41,Jalen Adams Turnover.,3,2
14:16,183,Andrew White III Steal.,3,2
14:10,41,Foul on Rodney Purvis.,3,2
14:10,183,Andrew White III made Free Throw.,4,2
14:10,183,Andrew White III made Free Throw.,5,2
13:51,183,Foul on DaJuan Coleman.,5,2
13:50,41,Jalen Adams Turnover.,5,2
13:50,183,John Gillon Steal.,5,2
13:43,183,Tyler Roberson made Layup. Assisted by John Gillon.,7,2
13:32,41,Juwan Durham Turnover.,7,2
13:32,183,Tyler Roberson Steal.,7,2
13:14,41,Foul on Juwan Durham.,7,2
13:14,183,Tyus Battle made Free Throw.,8,2
13:14,183,Tyus Battle missed Free Throw.,8,2
13:14,41,Rodney Purvis Defensive Rebound.,8,2
13:04,41,Jalen Adams made Jumper.,8,4
12:38,183,Tyler Lydon missed Three Point Jumper.,8,4
12:38,41,Rodney Purvis Defensive Rebound.,8,4
12:21,41,Vance Jackson missed Three Point Jumper.,8,4
12:21,183,Tyler Roberson Defensive Rebound.,8,4
12:14,183,John Gillon missed Three Point Jumper.,8,4
12:14,41,Connecticut Defensive Rebound.,8,4
11:54,41,Kentan Facey made Jumper. Assisted by Jalen Adams.,8,6
11:32,183,John Gillon missed Three Point Jumper.,8,6
11:32,41,Rodney Purvis Defensive Rebound.,8,6
11:27,41,Rodney Purvis Turnover.,8,6
11:27,183,Andrew White III Steal.,8,6
11:17,183,Tyler Roberson made Layup. Assisted by John Gillon.,10,6
11:17,41,Foul on Amida Brimah.,10,6
11:17,41,Official TV Timeout,10,6
11:17,183,Tyler Roberson made Free Throw.,11,6
11:02,41,Jalen Adams made Three Point Jumper. Assisted by Kentan Facey.,11,9
10:44,183,Andrew White III missed Three Point Jumper.,11,9
10:44,41,Christian Vital Defensive Rebound.,11,9
10:19,41,Jalen Adams missed Jumper.,11,9
10:19,41,Kentan Facey Offensive Rebound.,11,9
10:12,41,Rodney Purvis made Three Point Jumper. Assisted by Jalen Adams.,11,12
9:45,41,Foul on Kentan Facey.,11,12
9:45,183,Taurean Thompson missed Free Throw.,11,12
