UMass Lowell,2529,Sacred Heart,2349
time,team_id,description,h_score,a_score
19:46,2529,Quincy McKnight Turnover.,0,0
19:37,2349,Stefan Borovac made Layup.,2,0
19:26,2529,Joseph Lopez made Layup. Assisted by Quincy McKnight.,2,2
19:26,2349,Foul on Stefan Borovac.,2,2
19:26,2529,Joseph Lopez made Free Throw.,2,3
19:06,2349,Ryan Jones Turnover.,2,3
19:05,2529,Sean Hoehn Steal.,2,3
18:55,2529,Quincy McKnight made Layup.,2,5
18:34,2349,Stefan Borovac Turnover.,2,5
18:32,2529,Quincy McKnight Steal.,2,5
18:29,2529,Quincy McKnight missed Layup.,2,5
18:29,2349,Stefan Borovac Defensive Rebound.,2,5
18:23,2349,Jahad Thomas Turnover.,2,5
18:22,2529,Charles Tucker Jr. Steal.,2,5
18:19,2529,Charles Tucker Jr. made Layup.,2,7
18:03,2349,Isaac White missed Three Point Jumper.,2,7
18:03,2529,Joseph Lopez Defensive Rebound.,2,7
17:49,2529,Quincy McKnight made Three Point Jumper. Assisted by Charles Tucker Jr..,2,10
17:26,2349,Ryan Jones missed Layup.,2,10
17:26,2529,Joseph Lopez Defensive Rebound.,2,10
17:09,2529,Quincy McKnight Turnover.,2,10
16:54,2349,Isaac White made Layup.,4,10
16:29,2529,Joseph Lopez Turnover.,4,10
16:28,2349,Jahad Thomas Steal.,4,10
16:20,2349,Isaac White made Three Point Jumper. Assisted by Tyler Livingston.,7,10
16:04,2529,De'von Barnett missed Jumper.,7,10
16:04,2349,Stefan Borovac Defensive Rebound.,7,10
15:55,2349,Tyler Livingston missed Layup.,7,10
15:55,2529,Sacred Heart Defensive Rebound.,7,10
15:54,2529,Official TV Timeout,7,10
15:39,2349,Foul on Jahad Thomas.,7,10
15:34,2529,Quincy McKnight missed Layup.,7,10
15:34,2349,Stefan Borovac Defensive Rebound.,7,10
15:17,2349,Jahad Thomas made Layup.,9,10
15:04,2529,Quincy McKnight missed Three Point Jumper.,9,10
15:04,2349,Ryan Jones Defensive Rebound.,9,10
14:57,2349,Isaac White missed Three Point Jumper.,9,10
14:57,2529,Sean Hoehn Defensive Rebound.,9,10
14:41,2529,Sean Hoehn made Layup. Assisted by Quincy McKnight.,9,12
14:25,2529,Foul on De'von Barnett.,9,12
14:23,2349,Tyler Livingston made Layup. Assisted by Isaac White.,11,12
14:08,2529,Cole Walton Turnover.,11,12
14:07,2349,Tyler Livingston Steal.,11,12
13:59,2349,Matt Harris Turnover.,11,12
13:57,2529,Quincy McKnight Steal.,11,12
13:55,2529,Quincy McKnight made Layup.,11,14
13:33,2349,Matt Harris missed Three Point Jumper.,11,14
13:33,2529,Quincy McKnight Defensive Rebound.,11,14
13:11,2529,Quincy McKnight Turnover.,11,14
12:58,2349,Ryan Jones made Layup.,13,14
12:52,2529,Sean Hoehn Turnover.,13,14
12:42,2349,Tyler Livingston made Three Point Jumper. Assisted by Matt Harris.,16,14
12:27,2529,Matej Buovac made Three Point Jumper. Assisted by Sean Hoehn.,16,17
12:15,2529,Foul on Sean Hoehn.,16,17
12:09,2349,Logan Primerano Turnover.,16,17
11:42,2529,Matej Buovac missed Three Point Jumper.,16,17
11:42,2349,Jahad Thomas Defensive Rebound.,16,17
11:33,2349,Jahad Thomas Turnover.,16,17
11:33,2529,Official TV Timeout,16,17
11:21,2529,Sean Hoehn Turnover.,16,17
11:19,2349,Rinardo Perry Steal.,16,17
11:09,2349,Jahad Thomas missed Jumper.,16,17
11:09,2529,Matej Buovac Defensive Rebound.,16,17
10:43,2529,Sean Hoehn missed Three Point Jumper.,16,17
10:43,2349,Tyler Livingston Defensive Rebound.,16,17
10:34,2349,Matt Harris Turnover.,16,17
10:34,2529,Sean Hoehn Steal.,16,17
10:29,2529,Quincy McKnight Turnover.,16,17
10:15,2349,Logan Primerano made Three Point Jumper. Assisted by Tyler Livingston.,19,17
9:59,2529,Quincy McKnight Turnover.,19,17
9:50,2349,Cameron Wolter missed Three Point Jumper.,19,17
9:50,2529,Charles Tucker Jr. Defensive Rebound.,19,17
9:41,2349,Foul on Matt Harris.,19,17
9:41,2529,Charles Tucker Jr. made Free Throw.,19,18
9:41,2529,Charles Tucker Jr. made Free Throw.,19,19
9:27,2349,Logan Primerano missed Layup.,19,19
9:27,2529,Joseph Lopez Defensive Rebound.,19,19
9:22,2529,Foul on Joseph Lopez.,19,19
9:22,2529,Joseph Lopez Turnover.,19,19
9:06,2349,Logan Primerano missed Jumper.,19,19
9:06,2529,Charles Tucker Jr. Defensive Rebound.,19,19
8:56,2529,Charles Tucker Jr. Turnover.,19,19
8:55,2349,Logan Primerano Steal.,19,19
8:43,2349,Logan Primerano missed Jumper.,19,19
8:43,2349,Cameron Wolter Offensive Rebound.,19,19
8:39,2349,Cameron Wolter missed Layup.,19,19
8:39,2529,Matej Buovac Defensive Rebound.,19,19
8:32,2529,Matej Buovac made Three Point Jumper. Assisted by Charles Tucker Jr..,19,22
8:10,2349,Logan Primerano Turnover.,19,22
7:59,2529,Matej Buovac missed Layup.,19,22
7:59,2349,Jordan Shea Defensive Rebound.,19,22
7:44,2349,Cameron Wolter missed Layup.,19,22
7:44,2529,De'von Barnett Defensive Rebound.,19,22
7:37,2529,Matej Buovac missed Three Point Jumper.,19,22
7:37,2349,Matt Harris Defensive Rebound.,19,22
7:34,2529,Official TV Timeout,19,22
7:20,2349,Ryan Jones Turnover.,19,22
7:19,2529,Charles Tucker Jr. Steal.,19,22
7:16,2349,Foul on Cameron Wolter.,19,22
7:02,2529,De'von Barnett made Layup. Assisted by Matej Buovac.,19,24
6:50,2349,Foul on Ryan Jones.,19,24
6:50,2349,Ryan Jones Turnover.,19,24
6:40,2529,Matej Buovac missed Layup.,19,24
6:40,2529,Joseph Lopez Offensive Rebound.,19,24
6:40,2349,Foul on Jordan Shea.,19,24
6:40,2529,Joseph Lopez made Free Throw.,19,25
6:40,2529,Joseph Lopez made Free Throw.,19,26
6:26,2349,Jahad Thomas made Layup. Assisted by Ryan Jones.,21,26
6:13,2529,Quincy McKnight missed Three Point Jumper.,21,26
6:13,2349,Jordan Shea Defensive Rebound.,21,26
5:53,2529,Foul on Charles Tucker Jr..,21,26
5:53,2349,Cameron Wolter made Free Throw.,22,26
5:53,2349,Cameron Wolter missed Free Throw.,22,26
5:53,2529,Joseph Lopez Defensive Rebound.,22,26
5:33,2529,De'von Barnett made Layup. Assisted by Quincy McKnight.,22,28
5:20,2349,Isaac White Turnover.,22,28
5:18,2529,Charles Tucker Jr. Steal.,22,28
5:16,2529,Charles Tucker Jr. made Layup.,22,30
5:02,2529,Foul on Charles Tucker Jr..,22,30
4:57,2349,Ryan Jones missed Layup.,22,30
4:57,2349,Cameron Wolter Offensive Rebound.,22,30
4:55,2349,Cameron Wolter missed Layup.,22,30
