Mercer,228,Clemson,2382
time,team_id,description,h_score,a_score
19:43,228,Donte Grantham missed Three Point Jumper.,0,0
19:43,228,Shelton Mitchell Offensive Rebound.,0,0
19:34,228,Shelton Mitchell made Three Point Jumper. Assisted by Donte Grantham.,0,3
19:05,2382,Ria'n Holland made Three Point Jumper.,3,3
18:38,228,Jaron Blossomgame missed Layup.,3,3
18:38,2382,Desmond Ringer Defensive Rebound.,3,3
18:11,2382,Stephon Jelks missed Three Point Jumper.,3,3
18:11,228,Jaron Blossomgame Block.,3,3
18:09,228,Donte Grantham Defensive Rebound.,3,3
17:52,228,Avry Holmes made Three Point Jumper.,3,6
17:18,2382,Ria'n Holland Turnover.,3,6
17:18,228,Avry Holmes Steal.,3,6
17:14,228,Jaron Blossomgame Turnover.,3,6
17:14,228,Foul on Jaron Blossomgame.,3,6
16:43,2382,Ria'n Holland made Three Point Jumper.,6,6
16:28,228,Avry Holmes made Three Point Jumper. Assisted by Shelton Mitchell.,6,9
16:00,2382,Jordan Strawberry missed Three Point Jumper.,6,9
16:00,228,Sidy Djitte Defensive Rebound.,6,9
15:43,2382,Foul on Demetre Rivers.,6,9
15:43,228,Official TV Timeout,6,9
15:43,228,Jaron Blossomgame missed Free Throw.,6,9
15:43,228,Clemson Deadball Team Rebound.,6,9
15:43,228,Jaron Blossomgame missed Free Throw.,6,9
15:43,2382,Stephon Jelks Defensive Rebound.,6,9
15:24,2382,Demetre Rivers missed Three Point Jumper.,6,9
15:24,228,Gabe DeVoe Defensive Rebound.,6,9
15:10,228,Jaron Blossomgame missed Three Point Jumper.,6,9
15:10,228,Gabe DeVoe Offensive Rebound.,6,9
15:05,228,Donte Grantham made Three Point Jumper. Assisted by Shelton Mitchell.,6,12
14:35,2382,Jordan Strawberry made Three Point Jumper. Assisted by Ria'n Holland.,9,12
14:26,228,Donte Grantham made Layup. Assisted by Shelton Mitchell.,9,14
14:26,2382,Foul on Desmond Ringer.,9,14
14:26,228,Donte Grantham made Free Throw.,9,15
14:12,2382,Stephon Jelks missed Three Point Jumper.,9,15
14:12,2382,Ria'n Holland Offensive Rebound.,9,15
13:44,228,Foul on Sidy Djitte.,9,15
13:44,2382,Stephon Jelks made Free Throw.,10,15
13:44,2382,Stephon Jelks made Free Throw.,11,15
13:37,228,Avry Holmes Turnover.,11,15
13:36,2382,Rashad Lewis Steal.,11,15
13:11,2382,Demetre Rivers missed Three Point Jumper.,11,15
13:11,228,Donte Grantham Defensive Rebound.,11,15
12:58,228,Donte Grantham made Three Point Jumper. Assisted by Shelton Mitchell.,11,18
12:39,2382,Stephon Jelks missed Jumper.,11,18
12:39,228,Shelton Mitchell Defensive Rebound.,11,18
12:32,2382,Foul on Rashad Lewis.,11,18
12:31,228,Shelton Mitchell missed Three Point Jumper.,11,18
12:31,228,Sidy Djitte Offensive Rebound.,11,18
12:28,228,Sidy Djitte missed Layup.,11,18
12:28,2382,Andrew Fishler Block.,11,18
12:27,2382,Rashad Lewis Defensive Rebound.,11,18
12:08,2382,Rashad Lewis missed Three Point Jumper.,11,18
12:08,228,Shelton Mitchell Defensive Rebound.,11,18
12:00,228,Avry Holmes missed Three Point Jumper.,11,18
12:00,228,Sidy Djitte Offensive Rebound.,11,18
11:58,2382,Foul on Stephon Jelks.,11,18
11:58,228,Official TV Timeout,11,18
11:36,228,Gabe DeVoe made Three Point Jumper. Assisted by Marcquise Reed.,11,21
11:14,2382,Jordan Strawberry Turnover.,11,21
11:13,228,Avry Holmes Steal.,11,21
11:01,228,Marcquise Reed Turnover.,11,21
11:01,228,Foul on Marcquise Reed.,11,21
10:50,2382,Ria'n Holland made Three Point Jumper.,14,21
10:24,228,Jaron Blossomgame missed Three Point Jumper.,14,21
10:24,2382,Demetre Rivers Defensive Rebound.,14,21
10:11,228,Foul on Legend Robertin.,14,21
10:03,2382,Ria'n Holland missed Three Point Jumper.,14,21
10:03,2382,Mercer Offensive Rebound.,14,21
9:58,2382,Jordan Strawberry Turnover.,14,21
9:57,228,Avry Holmes Steal.,14,21
9:55,228,Gabe DeVoe made Layup.,14,23
9:46,2382,Ria'n Holland missed Three Point Jumper.,14,23
9:46,228,Legend Robertin Defensive Rebound.,14,23
9:33,2382,Foul on Stephon Jelks.,14,23
9:28,2382,Foul on Ryan Johnson.,14,23
9:28,228,Avry Holmes made Free Throw.,14,24
9:28,228,Avry Holmes made Free Throw.,14,25
9:08,2382,Darius Roy made Jumper.,16,25
8:46,228,Avry Holmes missed Three Point Jumper.,16,25
8:46,2382,Demetre Rivers Defensive Rebound.,16,25
8:16,2382,Ryan Johnson made Jumper.,18,25
7:54,228,Jaron Blossomgame made Jumper.,18,27
7:54,2382,Foul on Ryan Johnson.,18,27
7:54,228,Official TV Timeout,18,27
7:53,228,Jaron Blossomgame missed Free Throw.,18,27
7:53,2382,Ryan Johnson Defensive Rebound.,18,27
7:33,228,Foul on Shelton Mitchell.,18,27
7:15,2382,Desmond Ringer missed Layup.,18,27
7:15,2382,Ryan Johnson Offensive Rebound.,18,27
7:11,2382,Desmond Ringer Turnover.,18,27
7:09,228,Sidy Djitte Steal.,18,27
7:05,2382,Foul on Ryan Johnson.,18,27
7:05,228,Jaron Blossomgame made Free Throw.,18,28
7:05,228,Jaron Blossomgame made Free Throw.,18,29
6:49,2382,JJ N'Ganga made Layup.,20,29
6:39,228,Jaron Blossomgame made Layup.,20,31
6:20,2382,JJ N'Ganga Turnover.,20,31
6:08,228,Sidy Djitte missed Jumper.,20,31
6:08,2382,Rashad Lewis Defensive Rebound.,20,31
5:41,2382,Darius Roy missed Three Point Jumper.,20,31
5:41,228,Donte Grantham Defensive Rebound.,20,31
5:31,2382,Foul on Rashad Lewis.,20,31
5:31,228,Shelton Mitchell made Free Throw.,20,32
5:31,228,Shelton Mitchell made Free Throw.,20,33
5:12,2382,JJ N'Ganga Turnover.,20,33
5:01,2382,Foul on Rashad Lewis.,20,33
5:01,228,Shelton Mitchell made Free Throw.,20,34
5:01,228,Shelton Mitchell made Free Throw.,20,35
4:42,2382,Jordan Strawberry Turnover.,20,35
4:22,2382,Foul on Ria'n Holland.,20,35
4:22,228,Avry Holmes made Free Throw.,20,36
4:22,228,Avry Holmes made Free Throw.,20,37
4:05,2382,Demetre Rivers Turnover.,20,37
4:04,228,Marcquise Reed Steal.,20,37
3:53,228,Marcquise Reed missed Three Point Jumper.,20,37
3:53,228,Shelton Mitchell Offensive Rebound.,20,37
3:49,228,Shelton Mitchell made Layup.,20,39
3:34,2382,Jordan Strawberry missed Layup.,20,39
3:34,228,Legend Robertin Block.,20,39
3:33,2382,Desmond Ringer Offensive Rebound.,20,39
3:30,2382,Desmond Ringer made Layup.,22,39
3:22,2382,Foul on Jordan Strawberry.,22,39
3:22,228,Official TV Timeout,22,39
3:22,228,Shelton Mitchell missed Free Throw.,22,39
3:22,228,Clemson Deadball Team Rebound.,22,39
3:22,228,Shelton Mitchell made Free Throw.,22,40
3:07,2382,Ross Cummings Turnover.,22,40
2:54,228,Shelton Mitchell Turnover.,22,40
2:37,2382,Desmond Ringer missed Layup.,22,40
2:37,228,Sidy Djitte Block.,22,40
2:37,2382,Mercer Offensive Rebound.,22,40
2:36,228,Foul on Sidy Djitte.,22,40
2:32,2382,Andrew Fishler Turnover.,22,40
2:32,228,Gabe DeVoe Steal.,22,40
2:27,228,Shelton Mitchell missed Layup.,22,40
2:27,2382,Jordan Strawberry Defensive Rebound.,22,40
2:18,2382,Desmond Ringer missed Layup.,22,40
2:18,228,Marcquise Reed Defensive Rebound.,22,40
2:12,228,Jaron Blossomgame made Layup. Assisted by Marcquise Reed.,22,42
1:50,2382,Demetre Rivers Turnover.,22,42
1:50,228,Gabe DeVoe Steal.,22,42
1:50,2382,Foul on Ria'n Holland.,22,42
1:50,228,Gabe DeVoe made Free Throw.,22,43
1:50,228,Gabe DeVoe made Free Throw.,22,44
1:29,2382,Jordan Strawberry Turnover.,22,44
1:28,228,Donte Grantham Steal.,22,44
1:24,228,Jaron Blossomgame made Layup. Assisted by Gabe DeVoe.,22,46
1:08,2382,Ria'n Holland Turnover.,22,46
1:08,2382,Foul on Ria'n Holland.,22,46
0:51,228,Donte Grantham made Three Point Jumper. Assisted by Gabe DeVoe.,22,49
