UC Davis,25,California,302
time,team_id,description,h_score,a_score
19:42,25,Jabari Bird missed Three Point Jumper.,0,0
19:42,302,Brynton Lemar Defensive Rebound.,0,0
19:25,302,J.T. Adenrele Turnover.,0,0
19:15,25,Foul on Ivan Rabb.,0,0
19:15,25,Ivan Rabb Turnover.,0,0
18:58,302,Chima Moneke made Jumper.,2,0
18:38,25,Charlie Moore made Three Point Jumper. Assisted by Jabari Bird.,2,3
18:19,302,J.T. Adenrele missed Jumper.,2,3
18:19,25,Kingsley Okoroh Defensive Rebound.,2,3
17:57,25,Kingsley Okoroh Turnover.,2,3
17:56,302,Brynton Lemar Steal.,2,3
17:40,302,J.T. Adenrele missed Jumper.,2,3
17:40,25,Jabari Bird Defensive Rebound.,2,3
17:28,302,Foul on J.T. Adenrele.,2,3
17:27,25,Jabari Bird missed Three Point Jumper.,2,3
17:27,302,Chima Moneke Defensive Rebound.,2,3
17:12,302,Brynton Lemar made Jumper.,4,3
16:57,25,Charlie Moore missed Three Point Jumper.,4,3
16:57,25,Ivan Rabb Offensive Rebound.,4,3
16:46,25,Jabari Bird made Layup.,4,5
16:45,302,Foul on Lawrence White.,4,5
16:45,25,Jabari Bird made Free Throw.,4,6
16:43,302,Mikey Henn missed Layup.,4,6
16:43,25,Kingsley Okoroh Block.,4,6
16:42,25,Stephen Domingo Defensive Rebound.,4,6
16:31,25,Sam Singer missed Jumper.,4,6
16:31,302,Lawrence White Block.,4,6
16:24,25,California Offensive Rebound.,4,6
16:09,25,Charlie Moore missed Layup.,4,6
16:09,302,Chima Moneke Defensive Rebound.,4,6
16:04,302,Darius Graham missed Jumper.,4,6
16:04,25,Jabari Bird Defensive Rebound.,4,6
15:57,25,Sam Singer Turnover.,4,6
15:57,302,Lawrence White Steal.,4,6
15:57,302,Brynton Lemar Turnover.,4,6
15:57,25,Charlie Moore Steal.,4,6
15:57,25,Stephen Domingo missed Jumper.,4,6
15:57,302,Mikey Henn Defensive Rebound.,4,6
15:14,302,Darius Graham missed Jumper.,4,6
15:14,25,Kingsley Okoroh Defensive Rebound.,4,6
14:50,25,Stephen Domingo missed Jumper.,4,6
14:50,302,Lawrence White Defensive Rebound.,4,6
14:43,25,Foul on Kingsley Okoroh.,4,6
14:43,25,Official TV Timeout,4,6
14:34,302,Darius Graham Turnover.,4,6
14:21,25,Grant Mullins made Three Point Jumper. Assisted by Sam Singer.,4,9
