IUPUI,193,Miami (OH),85
time,team_id,description,h_score,a_score
19:36,193,Rod Mills Jr. made Layup. Assisted by Abdoulaye Harouna.,0,2
19:18,193,Foul on Abdoulaye Harouna.,0,2
19:13,85,Matt O'Leary Turnover.,0,2
19:01,193,Michael Weathers made Jumper.,0,4
18:48,85,Ron Patterson Turnover.,0,4
18:47,193,Logan McLane Steal.,0,4
18:32,85,Foul on Darell Combs.,0,4
18:31,193,Rod Mills Jr. made Layup. Assisted by Michael Weathers.,0,6
18:14,193,Foul on Rod Mills Jr..,0,6
18:00,85,Darell Combs missed Three Point Jumper.,0,6
18:00,193,Rod Mills Jr. Defensive Rebound.,0,6
17:48,193,Abdoulaye Harouna missed Three Point Jumper.,0,6
17:48,193,Dion Wade Offensive Rebound.,0,6
17:29,193,Abdoulaye Harouna made Three Point Jumper. Assisted by Logan McLane.,0,9
17:09,85,Kellon Thomas missed Jumper.,0,9
17:09,193,Dion Wade Defensive Rebound.,0,9
16:59,193,Logan McLane made Layup. Assisted by Michael Weathers.,0,11
16:56,85,IUPUI  Timeout,0,11
16:43,85,Darell Combs missed Jumper.,0,11
16:43,193,Michael Weathers Block.,0,11
16:41,193,Abdoulaye Harouna Defensive Rebound.,0,11
16:34,193,Michael Weathers missed Jumper.,0,11
16:34,85,IUPUI Defensive Rebound.,0,11
16:04,85,Kellon Thomas missed Jumper.,0,11
16:04,193,Rod Mills Jr. Block.,0,11
16:02,193,Rod Mills Jr. Defensive Rebound.,0,11
15:59,193,Logan McLane made Layup. Assisted by Rod Mills Jr..,0,13
15:48,85,Matt O'Leary made Three Point Jumper. Assisted by Kellon Thomas.,3,13
15:20,193,Logan McLane missed Jumper.,3,13
15:20,85,Evan Hall Block.,3,13
15:18,193,Miami (OH) Offensive Rebound.,3,13
15:17,193,Official TV Timeout,3,13
15:16,193,Bruno Solomun missed Layup.,3,13
15:16,85,Matt O'Leary Block.,3,13
15:16,193,Miami (OH) Offensive Rebound.,3,13
15:14,193,Marcus Weathers made Layup. Assisted by Michael Weathers.,3,15
14:45,85,Foul on Kellon Thomas.,3,15
14:45,85,Kellon Thomas Turnover.,3,15
14:29,193,Michael Weathers made Jumper.,3,17
14:18,85,Darell Combs missed Layup.,3,17
14:18,193,Bruno Solomun Defensive Rebound.,3,17
14:05,193,Michael Weathers made Three Point Jumper. Assisted by Logan McLane.,3,20
13:49,193,Foul on Michael Weathers.,3,20
13:45,85,Aaron Brennan made Layup. Assisted by T.J. Henderson.,5,20
13:30,193,Foul on Rod Mills Jr..,5,20
13:30,193,Rod Mills Jr. Turnover.,5,20
13:12,85,Darell Combs missed Three Point Jumper.,5,20
13:12,193,Logan McLane Defensive Rebound.,5,20
13:01,193,Marcus Weathers Turnover.,5,20
13:00,85,D.J. McCall Steal.,5,20
12:58,85,D.J. McCall made Layup.,7,20
12:31,85,Foul on D.J. McCall.,7,20
