James Madison,2711,Western Michigan,256
time,team_id,description,h_score,a_score
19:39,2711,Brandon Johnson missed Jumper.,0,0
19:39,2711,Drake LaMont Offensive Rebound.,0,0
19:35,2711,Drake LaMont made Layup.,0,2
19:20,256,Jackson Kent Turnover.,0,2
19:19,2711,Bryce Moore Steal.,0,2
19:16,2711,Thomas Wilder made Layup. Assisted by Bryce Moore.,0,4
19:16,256,Foul on Joey McLean.,0,4
19:16,2711,Thomas Wilder made Free Throw.,0,5
18:49,256,Tom Vodanovich made Layup. Assisted by Jackson Kent.,2,5
18:25,2711,Drake LaMont made Jumper. Assisted by Reggie Jones.,2,7
18:07,256,Yohanny Dalembert made Layup. Assisted by Tom Vodanovich.,4,7
17:51,2711,Drake LaMont made Layup. Assisted by Reggie Jones.,4,9
17:28,256,Jackson Kent made Three Point Jumper. Assisted by Joey McLean.,7,9
17:02,2711,Reggie Jones made Jumper.,7,11
16:48,256,Joey McLean missed Jumper.,7,11
16:48,2711,Reggie Jones Defensive Rebound.,7,11
16:41,2711,Bryce Moore made Three Point Jumper. Assisted by Thomas Wilder.,7,14
16:37,256,James Madison  Timeout,7,14
16:29,256,Vince Holmes Turnover.,7,14
16:10,2711,Thomas Wilder missed Layup.,7,14
16:10,2711,Drake LaMont Offensive Rebound.,7,14
16:05,2711,Drake LaMont missed Layup.,7,14
16:05,256,Ramone Snowden Block.,7,14
16:05,256,James Madison Defensive Rebound.,7,14
16:00,256,Jackson Kent made Three Point Jumper. Assisted by Vince Holmes.,10,14
15:42,2711,Reggie Jones Turnover.,10,14
15:40,256,Tom Vodanovich Steal.,10,14
15:29,2711,Foul on Drake LaMont.,10,14
15:29,2711,Official TV Timeout,10,14
15:29,256,Yohanny Dalembert made Free Throw.,11,14
15:29,256,Yohanny Dalembert made Free Throw.,12,14
15:03,256,Foul on Vince Holmes.,12,14
14:48,2711,Reggie Jones made Jumper.,12,16
14:22,2711,Foul on Adida Ikongshul.,12,16
14:18,2711,Foul on Reggie Jones.,12,16
14:10,256,Jackson Kent made Layup.,14,16
13:41,2711,Adida Ikongshul made Jumper. Assisted by Thomas Wilder.,14,18
13:31,2711,Foul on Adida Ikongshul.,14,18
13:24,256,Ramone Snowden made Layup.,16,18
12:57,2711,Tucker Haymond Turnover.,16,18
12:56,256,Tom Vodanovich Steal.,16,18
12:48,256,Dimitrije Cabarkapa missed Jumper.,16,18
12:48,2711,Tucker Haymond Defensive Rebound.,16,18
12:38,2711,Josh Davis missed Three Point Jumper.,16,18
12:38,2711,Brandon Johnson Offensive Rebound.,16,18
12:29,2711,Brandon Johnson missed Three Point Jumper.,16,18
12:29,256,Vince Holmes Defensive Rebound.,16,18
