Northern Kentucky,2546,Southeast Missouri State,94
time,team_id,description,h_score,a_score
19:44,2546,Trey Kellum made Layup.,0,2
19:25,94,Carson Williams missed Jumper.,0,2
19:25,2546,Jamaal Calvin Defensive Rebound.,0,2
19:18,2546,Jamaal Calvin Turnover.,0,2
18:51,94,Lavone Holland II made Three Point Jumper.,3,2
18:34,94,Foul on Jeff Garrett.,3,2
18:25,2546,Trey Kellum made Jumper.,3,4
18:11,94,Jeff Garrett made Jumper.,5,4
17:49,2546,Trey Kellum missed Layup.,5,4
17:49,94,Northern Kentucky Defensive Rebound.,5,4
17:30,94,Carson Williams made Jumper.,7,4
17:30,2546,Foul on Trey Kellum.,7,4
17:30,94,Carson Williams made Free Throw.,8,4
17:08,2546,Antonius Cleveland missed Three Point Jumper.,8,4
17:08,94,Drew McDonald Defensive Rebound.,8,4
17:00,94,Cole Murray made Three Point Jumper. Assisted by Lavone Holland II.,11,4
16:39,2546,Denzel Mahoney made Three Point Jumper.,11,7
16:21,94,Lavone Holland II Turnover.,11,7
16:19,2546,Jaylen Benton Steal.,11,7
16:17,2546,Antonius Cleveland made Dunk. Assisted by Jaylen Benton.,11,9
16:11,2546,Foul on Jaylen Benton.,11,9
15:56,94,Carson Williams missed Jumper.,11,9
15:56,2546,Trey Kellum Block.,11,9
15:55,94,Jeff Garrett Offensive Rebound.,11,9
15:48,94,Cole Murray made Three Point Jumper.,14,9
15:39,2546,Jamaal Calvin Turnover.,14,9
15:37,94,Carson Williams Steal.,14,9
15:36,94,Lavone Holland II missed Three Point Jumper.,14,9
15:36,2546,Antonius Cleveland Defensive Rebound.,14,9
15:27,94,Foul on Carson Williams.,14,9
15:27,2546,Official TV Timeout,14,9
15:27,2546,Denzel Mahoney made Free Throw.,14,10
15:27,2546,Denzel Mahoney made Free Throw.,14,11
15:13,94,Cole Murray made Three Point Jumper. Assisted by Lavone Holland II.,17,11
14:43,2546,Jaylen Benton missed Jumper.,17,11
14:43,94,Brennan Gillis Defensive Rebound.,17,11
14:35,94,Brennan Gillis made Three Point Jumper. Assisted by Jordan Garnett.,20,11
14:07,2546,Denzel Mahoney missed Jumper.,20,11
14:07,94,Cole Murray Defensive Rebound.,20,11
14:00,94,Cole Murray made Three Point Jumper. Assisted by Lavone Holland II.,23,11
13:43,94,Foul on Jordan Garnett.,23,11
13:33,2546,Jonathan Dalton missed Layup.,23,11
13:33,94,Brennan Gillis Defensive Rebound.,23,11
13:28,94,Cole Murray made Three Point Jumper. Assisted by Mason Faulkner.,26,11
13:25,2546,SE Missouri St  Timeout,26,11
13:09,2546,Jamaal Calvin Turnover.,26,11
12:59,94,Cole Murray Turnover.,26,11
12:59,2546,SE Missouri St  Turnover.,26,11
12:46,94,Jordan Garnett Turnover.,26,11
12:32,2546,Antonius Cleveland Turnover.,26,11
12:16,94,Mason Faulkner missed Three Point Jumper.,26,11
12:16,94,Brennan Gillis Offensive Rebound.,26,11
12:12,94,Brennan Gillis missed Jumper.,26,11
12:12,94,Jordan Garnett Offensive Rebound.,26,11
12:10,2546,Foul on Antonius Cleveland.,26,11
11:49,2546,Foul on Milos Vranes.,26,11
11:49,94,Official TV Timeout,26,11
11:49,94,Carson Williams made Free Throw.,27,11
11:48,94,Carson Williams missed Free Throw.,27,11
11:48,2546,Milos Vranes Defensive Rebound.,27,11
11:23,2546,Daniel Simmons made Jumper.,27,13
11:09,94,Carson Williams made Jumper.,29,13
10:55,2546,Milos Vranes made Three Point Jumper. Assisted by Jonathan Dalton.,29,16
10:37,94,Mason Faulkner missed Three Point Jumper.,29,16
10:37,2546,William Tchiengang Defensive Rebound.,29,16
10:24,2546,Jonathan Dalton missed Jumper.,29,16
10:24,94,Drew McDonald Defensive Rebound.,29,16
10:13,94,Lavone Holland II Turnover.,29,16
10:12,2546,Daniel Simmons Steal.,29,16
10:09,2546,Daniel Simmons made Layup.,29,18
9:54,94,Carson Williams missed Three Point Jumper.,29,18
9:54,2546,Jonathan Dalton Defensive Rebound.,29,18
9:22,2546,Daniel Simmons made Jumper. Assisted by Jaylen Benton.,29,20
9:11,94,Northern Kentucky  Timeout,29,20
8:57,94,Dantez Walton Turnover.,29,20
8:49,94,Foul on Brandon Maxwell.,29,20
8:40,94,Foul on Dantez Walton.,29,20
8:40,2546,Milos Vranes made Free Throw.,29,21
8:40,2546,Milos Vranes made Free Throw.,29,22
8:40,2546,Milos Vranes made Free Throw.,29,23
8:39,94,Jeff Garrett Turnover.,29,23
8:37,2546,Jamaal Calvin missed Three Point Jumper.,29,23
8:37,94,Cole Murray Defensive Rebound.,29,23
8:28,94,Jeff Garrett made Jumper. Assisted by Mason Faulkner.,31,23
8:15,94,Foul on Jeff Garrett.,31,23
8:15,2546,Daniel Simmons made Free Throw.,31,24
8:15,2546,Daniel Simmons made Free Throw.,31,25
7:47,94,Brandon Maxwell made Three Point Jumper. Assisted by Cole Murray.,34,25
7:28,2546,Daniel Simmons missed Three Point Jumper.,34,25
7:28,94,Drew McDonald Defensive Rebound.,34,25
7:26,2546,Foul on Milos Vranes.,34,25
7:26,2546,Official TV Timeout,34,25
7:11,94,Brandon Maxwell Turnover.,34,25
6:54,2546,Antonius Cleveland made Three Point Jumper. Assisted by Jamaal Calvin.,34,28
6:27,94,Cole Murray missed Three Point Jumper.,34,28
6:27,2546,SE Missouri St Defensive Rebound.,34,28
6:07,2546,Denzel Mahoney made Jumper.,34,30
5:40,94,Cole Murray made Three Point Jumper. Assisted by Drew McDonald.,37,30
5:16,94,Foul on Drew McDonald.,37,30
5:16,2546,Trey Kellum made Free Throw.,37,31
5:16,2546,Trey Kellum made Free Throw.,37,32
5:04,2546,Foul on Denzel Mahoney.,37,32
4:44,94,Jordan Garnett Turnover.,37,32
4:42,2546,Trey Kellum Steal.,37,32
4:38,2546,Trey Kellum missed Jumper.,37,32
4:38,94,Mason Faulkner Defensive Rebound.,37,32
4:34,94,Cole Murray missed Three Point Jumper.,37,32
4:34,2546,Antonius Cleveland Defensive Rebound.,37,32
4:32,94,Foul on Drew McDonald.,37,32
4:27,2546,Antonius Cleveland missed Free Throw.,37,32
4:27,94,Brennan Gillis Defensive Rebound.,37,32
4:26,2546,Foul on Trey Kellum.,37,32
4:26,94,Brennan Gillis made Free Throw.,38,32
4:26,94,Brennan Gillis made Free Throw.,39,32
4:01,2546,Jonathan Dalton missed Jumper.,39,32
4:01,94,Northern Kentucky Defensive Rebound.,39,32
3:57,2546,Official TV Timeout,39,32
3:40,94,Cole Murray missed Three Point Jumper.,39,32
3:40,2546,SE Missouri St Defensive Rebound.,39,32
3:21,94,Foul on Jordan Garnett.,39,32
3:21,2546,Antonius Cleveland missed Free Throw.,39,32
3:21,2546,SE Missouri St Deadball Team Rebound.,39,32
3:21,2546,Antonius Cleveland made Free Throw.,39,33
3:07,94,Brennan Gillis missed Three Point Jumper.,39,33
3:07,94,Northern Kentucky Offensive Rebound.,39,33
2:40,94,Mason Faulkner made Jumper.,41,33
2:17,2546,Antonius Cleveland missed Jumper.,41,33
2:17,94,Lavone Holland II Defensive Rebound.,41,33
2:15,2546,Foul on William Tchiengang.,41,33
2:15,94,Lavone Holland II made Free Throw.,42,33
2:15,94,Lavone Holland II made Free Throw.,43,33
1:59,94,Foul on Jordan Garnett.,43,33
1:58,2546,William Tchiengang missed Free Throw.,43,33
1:58,2546,SE Missouri St Deadball Team Rebound.,43,33
1:58,2546,William Tchiengang missed Free Throw.,43,33
1:58,2546,Jonathan Dalton Offensive Rebound.,43,33
1:49,94,Foul on Mason Faulkner.,43,33
1:49,2546,Daniel Simmons missed Free Throw.,43,33
1:49,2546,SE Missouri St Deadball Team Rebound.,43,33
1:49,2546,Daniel Simmons missed Free Throw.,43,33
1:49,94,Brennan Gillis Defensive Rebound.,43,33
1:35,2546,Foul on Denzel Mahoney.,43,33
1:35,94,Lavone Holland II missed Free Throw.,43,33
1:35,2546,Daniel Simmons Defensive Rebound.,43,33
1:19,2546,Denzel Mahoney missed Three Point Jumper.,43,33
1:19,94,Mason Faulkner Defensive Rebound.,43,33
1:01,94,Lavone Holland II missed Three Point Jumper.,43,33
1:01,2546,Jaylen Benton Defensive Rebound.,43,33
0:53,2546,Daniel Simmons missed Three Point Jumper.,43,33
0:53,94,Mason Faulkner Defensive Rebound.,43,33
0:33,94,Brandon Maxwell Turnover.,43,33
0:31,2546,Antonius Cleveland Steal.,43,33
0:24,2546,Denzel Mahoney missed Jumper.,43,33
0:24,94,Mason Faulkner Defensive Rebound.,43,33
0:04,94,Lavone Holland II made Jumper.,45,33
0:00,2546,End of 1st half,45,33
19:48,94,Lavone Holland II Turnover.,45,33
19:47,2546,Denzel Mahoney Steal.,45,33
19:43,2546,Jaylen Benton missed Layup.,45,33
19:43,2546,Antonius Cleveland Offensive Rebound.,45,33
19:40,2546,Antonius Cleveland made Jumper.,45,35
19:28,94,Lavone Holland II Turnover.,45,35
19:16,2546,Trey Kellum made Jumper.,45,37
18:47,94,Lavone Holland II made Three Point Jumper.,48,37
18:27,2546,Antonius Cleveland Turnover.,48,37
18:07,94,Lavone Holland II Turnover.,48,37
18:05,2546,Jamaal Calvin Steal.,48,37
18:00,2546,Antonius Cleveland missed Three Point Jumper.,48,37
18:00,94,Drew McDonald Defensive Rebound.,48,37
17:57,2546,Foul on Trey Kellum.,48,37
17:31,94,Carson Williams made Jumper. Assisted by Drew McDonald.,50,37
17:31,2546,Foul on Antonius Cleveland.,50,37
17:31,94,Carson Williams missed Free Throw.,50,37
17:31,2546,Milos Vranes Defensive Rebound.,50,37
17:24,94,Foul on Jeff Garrett.,50,37
17:18,2546,Milos Vranes made Jumper. Assisted by Jaylen Benton.,50,39
17:02,94,Jeff Garrett Turnover.,50,39
17:02,2546,Antonius Cleveland Steal.,50,39
16:39,2546,Antonius Cleveland missed Layup.,50,39
16:39,94,Drew McDonald Defensive Rebound.,50,39
16:28,94,Lavone Holland II missed Jumper.,50,39
16:28,2546,Jaylen Benton Defensive Rebound.,50,39
16:20,2546,Denzel Mahoney missed Three Point Jumper.,50,39
16:20,2546,Jamaal Calvin Offensive Rebound.,50,39
16:04,2546,Jaylen Benton Turnover.,50,39
15:47,94,Mason Faulkner made Jumper. Assisted by Drew McDonald.,52,39
15:27,2546,Denzel Mahoney missed Jumper.,52,39
15:27,94,Mason Faulkner Defensive Rebound.,52,39
15:24,94,Carson Williams missed Jumper.,52,39
15:24,2546,Milos Vranes Defensive Rebound.,52,39
15:23,94,Foul on Drew McDonald.,52,39
15:23,2546,Official TV Timeout,52,39
14:56,94,Foul on Cole Murray.,52,39
14:56,2546,Milos Vranes missed Free Throw.,52,39
14:56,2546,SE Missouri St Deadball Team Rebound.,52,39
14:56,2546,Milos Vranes missed Free Throw.,52,39
14:56,94,Brennan Gillis Defensive Rebound.,52,39
14:55,2546,Foul on Antonius Cleveland.,52,39
14:34,94,Jordan Garnett Turnover.,52,39
14:31,2546,Antonius Cleveland Steal.,52,39
14:28,94,Foul on Brennan Gillis.,52,39
14:28,2546,Antonius Cleveland made Free Throw.,52,40
14:28,2546,Antonius Cleveland made Free Throw.,52,41
14:13,94,Cole Murray made Three Point Jumper. Assisted by Mason Faulkner.,55,41
13:48,2546,Antonius Cleveland Turnover.,55,41
13:47,94,Cole Murray Steal.,55,41
13:43,94,Dantez Walton made Layup. Assisted by Mason Faulkner.,57,41
13:23,2546,Antonius Cleveland made Jumper.,57,43
13:08,2546,Foul on Trey Kellum.,57,43
13:08,94,Brennan Gillis missed Free Throw.,57,43
13:08,94,Northern Kentucky Deadball Team Rebound.,57,43
13:08,94,Brennan Gillis made Free Throw.,58,43
12:46,2546,Jonathan Dalton missed Jumper.,58,43
12:46,94,Jordan Garnett Defensive Rebound.,58,43
12:35,94,Brennan Gillis Turnover.,58,43
12:34,2546,Jonathan Dalton Steal.,58,43
12:30,2546,Daniel Simmons Turnover.,58,43
12:29,94,Jordan Garnett Steal.,58,43
12:23,94,Brennan Gillis missed Jumper.,58,43
12:23,94,Dantez Walton Offensive Rebound.,58,43
12:18,94,Dantez Walton Turnover.,58,43
12:18,94,Foul on Dantez Walton.,58,43
12:11,2546,Daniel Simmons missed Jumper.,58,43
12:11,94,Lavone Holland II Defensive Rebound.,58,43
11:57,94,Brennan Gillis Turnover.,58,43
11:57,94,Foul on Brennan Gillis.,58,43
11:53,2546,Official TV Timeout,58,43
11:35,2546,Antonius Cleveland made Jumper.,58,45
11:22,94,Dantez Walton missed Jumper.,58,45
11:22,94,Jordan Garnett Offensive Rebound.,58,45
11:20,94,Jordan Garnett missed Two Point Tip Shot.,58,45
11:20,2546,Antonius Cleveland Defensive Rebound.,58,45
11:08,2546,Jonathan Dalton Turnover.,58,45
10:49,94,Mason Faulkner missed Three Point Jumper.,58,45
10:49,2546,Jonathan Dalton Defensive Rebound.,58,45
10:41,94,Foul on Mason Faulkner.,58,45
10:41,2546,Antonius Cleveland missed Free Throw.,58,45
10:41,2546,SE Missouri St Deadball Team Rebound.,58,45
10:41,2546,Antonius Cleveland missed Free Throw.,58,45
10:41,94,Dantez Walton Defensive Rebound.,58,45
10:24,94,Dantez Walton missed Three Point Jumper.,58,45
10:24,2546,Denzel Mahoney Defensive Rebound.,58,45
10:22,94,Foul on Jordan Garnett.,58,45
10:22,2546,Denzel Mahoney made Free Throw.,58,46
10:13,2546,Denzel Mahoney made Free Throw.,58,47
10:08,2546,Eli Sample Turnover.,58,47
10:07,94,Drew McDonald Steal.,58,47
10:04,94,Foul on Cole Murray.,58,47
10:04,2546,Denzel Mahoney missed Free Throw.,58,47
10:04,2546,SE Missouri St Deadball Team Rebound.,58,47
10:04,2546,Denzel Mahoney made Free Throw.,58,48
9:51,2546,Foul on Jonathan Dalton.,58,48
9:51,94,Lavone Holland II missed Free Throw.,58,48
9:51,94,Northern Kentucky Deadball Team Rebound.,58,48
9:51,94,Lavone Holland II made Free Throw.,59,48
9:34,2546,Denzel Mahoney missed Jumper.,59,48
9:34,94,Jeff Garrett Defensive Rebound.,59,48
9:02,94,Drew McDonald made Jumper.,61,48
8:51,2546,Jamaal Calvin missed Three Point Jumper.,61,48
8:51,94,Mason Faulkner Defensive Rebound.,61,48
8:35,94,Cole Murray made Three Point Jumper. Assisted by Jeff Garrett.,64,48
8:17,94,Foul on Jeff Garrett.,64,48
8:17,2546,Antonius Cleveland missed Free Throw.,64,48
8:17,2546,SE Missouri St Deadball Team Rebound.,64,48
8:16,2546,Antonius Cleveland missed Free Throw.,64,48
8:16,94,Jeff Garrett Defensive Rebound.,64,48
8:12,94,Jeff Garrett Turnover.,64,48
8:00,2546,Denzel Mahoney Turnover.,64,48
7:59,94,Mason Faulkner Steal.,64,48
7:57,94,Mason Faulkner missed Layup.,64,48
7:57,2546,Antonius Cleveland Block.,64,48
7:55,2546,SE Missouri St Defensive Rebound.,64,48
7:53,2546,Official TV Timeout,64,48
7:42,2546,Jaylen Benton made Jumper.,64,50
7:18,2546,Foul on Jamaal Calvin.,64,50
7:15,94,Jeff Garrett made Jumper.,66,50
6:59,2546,Denzel Mahoney missed Jumper.,66,50
6:59,94,Cole Murray Defensive Rebound.,66,50
6:38,94,Lavone Holland II missed Jumper.,66,50
6:38,2546,Jamaal Calvin Block.,66,50
6:38,94,Northern Kentucky Offensive Rebound.,66,50
6:37,94,Lavone Holland II Turnover.,66,50
6:35,2546,Milos Vranes Steal.,66,50
