Tennessee,153,North Carolina,2633
time,team_id,description,h_score,a_score
20:00,153,Jump Ball won by North Carolina,0,0
19:42,153,Isaiah Hicks missed Jumper.,0,0
19:42,2633,John Fulkerson Block.,0,0
19:42,2633,John Fulkerson Defensive Rebound.,0,0
19:30,2633,Shembari Phillips missed Jumper.,0,0
19:30,153,Isaiah Hicks Defensive Rebound.,0,0
19:21,153,Nate Britt missed Three Point Jumper.,0,0
19:21,2633,John Fulkerson Defensive Rebound.,0,0
19:00,2633,Jordan Bowden missed Three Point Jumper.,0,0
19:00,153,Isaiah Hicks Defensive Rebound.,0,0
18:43,153,Kennedy Meeks made Layup.,0,2
18:41,2633,John Fulkerson Turnover.,0,2
18:37,153,Isaiah Hicks missed Jumper.,0,2
18:37,153,Isaiah Hicks Offensive Rebound.,0,2
18:36,2633,Foul on Grant Williams.,0,2
18:36,153,Isaiah Hicks made Free Throw.,0,3
18:36,153,Isaiah Hicks made Free Throw.,0,4
18:24,2633,Robert Hubbs III made Jumper.,2,4
17:58,153,Justin Jackson missed Jumper.,2,4
17:58,2633,John Fulkerson Defensive Rebound.,2,4
17:40,153,Foul on Kenny Williams.,2,4
17:29,153,Foul on Kennedy Meeks.,2,4
17:23,2633,Lamonte Turner Turnover.,2,4
17:14,153,Justin Jackson missed Jumper.,2,4
17:14,2633,Jordan Bowden Defensive Rebound.,2,4
17:03,2633,Shembari Phillips missed Jumper.,2,4
17:03,153,Isaiah Hicks Block.,2,4
17:03,153,Kennedy Meeks Defensive Rebound.,2,4
16:41,153,Kenny Williams made Three Point Jumper. Assisted by Nate Britt.,2,7
16:33,2633,John Fulkerson made Jumper. Assisted by Shembari Phillips.,4,7
16:27,153,Foul on Kenny Williams.,4,7
16:27,153,Kenny Williams Turnover.,4,7
16:09,2633,Grant Williams made Jumper.,6,7
16:00,153,Seventh Woods made Layup.,6,9
15:33,2633,Robert Hubbs III made Jumper.,8,9
15:22,153,Isaiah Hicks missed Jumper.,8,9
15:22,153,Nate Britt Offensive Rebound.,8,9
15:15,153,Justin Jackson missed Three Point Jumper.,8,9
15:15,2633,Grant Williams Defensive Rebound.,8,9
15:03,153,Foul on Isaiah Hicks.,8,9
15:03,153,Official TV Timeout,8,9
15:03,2633,Shembari Phillips made Free Throw.,9,9
15:03,2633,Shembari Phillips made Free Throw.,10,9
14:38,153,Nate Britt made Jumper.,10,11
14:08,2633,Lamonte Turner made Three Point Jumper. Assisted by Detrick Mostella.,13,11
13:48,153,Luke Maye missed Three Point Jumper.,13,11
13:48,2633,Detrick Mostella Defensive Rebound.,13,11
13:32,2633,Jump Ball won by Tennessee,13,11
13:25,2633,Lamonte Turner missed Jumper.,13,11
13:25,153,Tony Bradley Defensive Rebound.,13,11
13:16,153,Seventh Woods Turnover.,13,11
13:16,2633,Jordan Bowden Steal.,13,11
13:11,2633,Jordan Bowden made Three Point Jumper. Assisted by Lamonte Turner.,16,11
13:03,2633,Foul on Lew Evans.,16,11
12:34,153,Nate Britt missed Layup.,16,11
12:34,153,Seventh Woods Offensive Rebound.,16,11
12:23,153,Brandon Robinson missed Three Point Jumper.,16,11
12:23,153,Luke Maye Offensive Rebound.,16,11
12:14,153,Justin Jackson missed Three Point Jumper.,16,11
12:14,153,Tony Bradley Offensive Rebound.,16,11
12:12,2633,Foul on Lew Evans.,16,11
11:54,153,Luke Maye made Layup. Assisted by Tony Bradley.,16,13
11:40,153,Foul on Brandon Robinson.,16,13
11:40,153,Official TV Timeout,16,13
11:25,2633,Robert Hubbs III made Layup.,18,13
11:09,153,Luke Maye missed Jumper.,18,13
11:09,2633,Tennessee Defensive Rebound.,18,13
10:41,2633,Tennessee  Timeout,18,13
10:38,2633,Kyle Alexander made Jumper. Assisted by Shembari Phillips.,20,13
10:28,153,Isaiah Hicks missed Jumper.,20,13
10:28,153,Kennedy Meeks Offensive Rebound.,20,13
10:20,153,Kennedy Meeks missed Jumper.,20,13
10:20,2633,Grant Williams Defensive Rebound.,20,13
10:05,2633,Grant Williams missed Jumper.,20,13
10:05,2633,Kyle Alexander Offensive Rebound.,20,13
9:56,2633,Jordan Bowden made Three Point Jumper. Assisted by Robert Hubbs III.,23,13
9:46,2633,Foul on Kyle Alexander.,23,13
9:46,153,Kennedy Meeks missed Free Throw.,23,13
9:46,153,North Carolina Deadball Team Rebound.,23,13
9:46,153,Kennedy Meeks missed Free Throw.,23,13
9:46,2633,John Fulkerson Defensive Rebound.,23,13
9:32,2633,Robert Hubbs III Turnover.,23,13
9:07,153,Kennedy Meeks missed Layup.,23,13
9:07,2633,Grant Williams Block.,23,13
9:07,2633,Grant Williams Defensive Rebound.,23,13
8:57,2633,Foul on Shembari Phillips.,23,13
8:57,2633,Shembari Phillips Turnover.,23,13
8:47,153,Justin Jackson missed Jumper.,23,13
8:47,153,Tony Bradley Offensive Rebound.,23,13
8:47,2633,Foul on Robert Hubbs III.,23,13
8:39,153,Nate Britt missed Jumper.,23,13
8:39,2633,Grant Williams Defensive Rebound.,23,13
8:36,153,Foul on Isaiah Hicks.,23,13
8:18,2633,Robert Hubbs III made Jumper. Assisted by Grant Williams.,25,13
8:04,153,Justin Jackson missed Jumper.,25,13
8:04,153,Luke Maye Offensive Rebound.,25,13
7:58,153,Luke Maye missed Jumper.,25,13
7:58,2633,Grant Williams Defensive Rebound.,25,13
7:50,2633,Robert Hubbs III made Jumper.,27,13
7:50,153,Foul on Justin Jackson.,27,13
7:50,2633,Robert Hubbs III made Free Throw.,28,13
7:50,153,Official TV Timeout,28,13
7:45,2633,Foul on Lamonte Turner.,28,13
7:45,153,Nate Britt made Free Throw.,28,14
7:45,153,Nate Britt made Free Throw.,28,15
7:36,2633,Jordan Bowden made Jumper.,30,15
7:17,153,Nate Britt Turnover.,30,15
7:17,2633,John Fulkerson Steal.,30,15
7:00,2633,Grant Williams Turnover.,30,15
7:00,153,Luke Maye Steal.,30,15
6:52,153,Luke Maye missed Jumper.,30,15
6:52,2633,Grant Williams Defensive Rebound.,30,15
6:45,2633,Lamonte Turner Turnover.,30,15
6:45,153,Nate Britt Steal.,30,15
6:41,153,Nate Britt made Layup.,30,17
6:17,2633,Foul on Grant Williams.,30,17
6:17,2633,Grant Williams Turnover.,30,17
5:58,153,Tony Bradley made Dunk. Assisted by Brandon Robinson.,30,19
5:46,2633,Admiral Schofield Turnover.,30,19
5:42,153,Justin Jackson missed Three Point Jumper.,30,19
5:42,153,Tony Bradley Offensive Rebound.,30,19
5:40,2633,Foul on Detrick Mostella.,30,19
5:40,153,Tony Bradley made Free Throw.,30,20
5:40,153,Tony Bradley made Free Throw.,30,21
5:30,2633,Lamonte Turner made Jumper.,32,21
5:24,153,Kenny Williams made Layup. Assisted by Nate Britt.,32,23
5:24,2633,Foul on Jordan Bowden.,32,23
5:24,153,Kenny Williams made Free Throw.,32,24
5:13,2633,Lamonte Turner made Jumper.,34,24
5:04,153,Kenny Williams missed Jumper.,34,24
5:04,2633,Detrick Mostella Defensive Rebound.,34,24
4:58,153,Foul on Nate Britt.,34,24
4:58,2633,Detrick Mostella made Free Throw.,35,24
4:58,2633,Detrick Mostella made Free Throw.,36,24
4:40,153,Nate Britt missed Layup.,36,24
4:40,2633,Tennessee Defensive Rebound.,36,24
4:27,2633,Detrick Mostella missed Jumper.,36,24
4:27,153,Justin Jackson Defensive Rebound.,36,24
4:17,153,Kennedy Meeks made Layup. Assisted by Brandon Robinson.,36,26
3:59,2633,Lamonte Turner missed Three Point Jumper.,36,26
3:59,153,Brandon Robinson Defensive Rebound.,36,26
3:53,153,Nate Britt Turnover.,36,26
3:53,2633,Robert Hubbs III Steal.,36,26
3:29,2633,Lew Evans missed Layup.,36,26
3:29,2633,Robert Hubbs III Offensive Rebound.,36,26
3:29,2633,Robert Hubbs III made Dunk.,38,26
3:14,153,Kennedy Meeks made Layup.,38,28
2:54,153,Foul on Kennedy Meeks.,38,28
2:54,153,Official TV Timeout,38,28
2:54,2633,Lew Evans made Free Throw.,39,28
2:54,2633,Lew Evans missed Free Throw.,39,28
2:54,153,Justin Jackson Defensive Rebound.,39,28
2:38,153,Isaiah Hicks missed Jumper.,39,28
2:38,153,Kenny Williams Offensive Rebound.,39,28
2:30,153,Brandon Robinson made Jumper. Assisted by Kenny Williams.,39,30
2:09,2633,Lamonte Turner missed Three Point Jumper.,39,30
2:09,153,Nate Britt Defensive Rebound.,39,30
2:03,153,Kenny Williams made Layup. Assisted by Nate Britt.,39,32
1:41,153,Foul on Nate Britt.,39,32
1:41,2633,Shembari Phillips missed Free Throw.,39,32
1:41,2633,Tennessee Deadball Team Rebound.,39,32
1:41,2633,Shembari Phillips made Free Throw.,40,32
1:30,153,Stilman White missed Jumper.,40,32
1:30,153,North Carolina Deadball Team Rebound.,40,32
1:27,2633,Foul on Shembari Phillips.,40,32
1:27,153,Kenny Williams missed Free Throw.,40,32
1:27,153,North Carolina Deadball Team Rebound.,40,32
1:27,153,Kenny Williams missed Free Throw.,40,32
1:27,2633,Admiral Schofield Defensive Rebound.,40,32
1:16,2633,Jordan Bowden made Layup.,42,32
1:06,153,Brandon Robinson made Layup.,42,34
0:34,2633,Robert Hubbs III made Jumper. Assisted by Admiral Schofield.,44,34
0:21,153,North Carolina  Timeout,44,34
0:04,153,Justin Jackson made Jumper.,44,36
0:00,153,End of 1st half,44,36
20:00,153,Jump Ball won by North Carolina,44,36
19:47,153,Isaiah Hicks made Jumper. Assisted by Nate Britt.,44,38
19:35,153,Foul on Kennedy Meeks.,44,38
19:18,2633,Jordan Bowden missed Three Point Jumper.,44,38
19:18,2633,Robert Hubbs III Offensive Rebound.,44,38
18:57,2633,Grant Williams missed Jumper.,44,38
18:57,153,Kenny Williams Defensive Rebound.,44,38
18:47,153,Nate Britt missed Layup.,44,38
18:47,153,Isaiah Hicks Offensive Rebound.,44,38
18:39,153,Kenny Williams missed Three Point Jumper.,44,38
18:39,2633,Jordan Bowden Defensive Rebound.,44,38
18:25,2633,Shembari Phillips Turnover.,44,38
18:25,153,Nate Britt Steal.,44,38
18:21,153,Kenny Williams made Layup. Assisted by Justin Jackson.,44,40
18:18,2633,Shembari Phillips Turnover.,44,40
18:18,153,Nate Britt Steal.,44,40
18:16,153,Justin Jackson made Layup. Assisted by Nate Britt.,44,42
18:16,2633,Tennessee  Timeout,44,42
18:03,2633,John Fulkerson made Jumper. Assisted by Grant Williams.,46,42
17:48,153,Kenny Williams Turnover.,46,42
17:48,2633,John Fulkerson Steal.,46,42
17:42,2633,Lamonte Turner missed Layup.,46,42
17:42,153,Kenny Williams Block.,46,42
17:42,2633,Robert Hubbs III Offensive Rebound.,46,42
17:25,2633,Robert Hubbs III missed Jumper.,46,42
17:25,2633,Robert Hubbs III Offensive Rebound.,46,42
17:25,153,Foul on Isaiah Hicks.,46,42
17:25,2633,Robert Hubbs III made Free Throw.,47,42
17:25,2633,Robert Hubbs III made Free Throw.,48,42
17:13,153,Justin Jackson missed Three Point Jumper.,48,42
17:13,153,Tony Bradley Offensive Rebound.,48,42
17:02,153,Tony Bradley made Layup.,48,44
16:38,2633,Lamonte Turner missed Jumper.,48,44
16:38,153,Tony Bradley Defensive Rebound.,48,44
16:24,153,Tony Bradley missed Jumper.,48,44
16:24,2633,Grant Williams Block.,48,44
16:24,153,Tony Bradley Offensive Rebound.,48,44
16:13,153,Justin Jackson missed Jumper.,48,44
16:13,2633,Jordan Bowden Defensive Rebound.,48,44
16:05,2633,Jordan Bowden missed Three Point Jumper.,48,44
16:05,153,Justin Jackson Defensive Rebound.,48,44
16:00,2633,Foul on Grant Williams.,48,44
16:00,153,Luke Maye missed Free Throw.,48,44
16:00,153,North Carolina Deadball Team Rebound.,48,44
16:00,153,Luke Maye missed Free Throw.,48,44
16:00,153,Tony Bradley Offensive Rebound.,48,44
15:59,2633,Foul on Lew Evans.,48,44
15:59,153,Official TV Timeout,48,44
15:59,153,Tony Bradley made Free Throw.,48,45
15:59,153,Tony Bradley made Free Throw.,48,46
15:44,2633,Robert Hubbs III made Dunk. Assisted by Jordan Bowden.,50,46
15:30,153,Kenny Williams Turnover.,50,46
15:14,2633,Lamonte Turner Turnover.,50,46
14:57,153,Nate Britt missed Jumper.,50,46
14:57,2633,Jordan Bowden Defensive Rebound.,50,46
14:44,2633,Lew Evans Turnover.,50,46
14:33,153,Tony Bradley made Dunk. Assisted by Nate Britt.,50,48
14:15,2633,Detrick Mostella missed Jumper.,50,48
14:15,153,North Carolina Defensive Rebound.,50,48
13:52,153,Kenny Williams missed Three Point Jumper.,50,48
13:52,153,Tony Bradley Offensive Rebound.,50,48
13:48,2633,Foul on Detrick Mostella.,50,48
13:35,153,Stilman White made Jumper.,50,50
13:24,2633,Lew Evans missed Three Point Jumper.,50,50
13:24,153,Nate Britt Defensive Rebound.,50,50
13:14,153,Nate Britt missed Layup.,50,50
13:14,2633,Tennessee Defensive Rebound.,50,50
12:46,2633,Lamonte Turner missed Three Point Jumper.,50,50
