Blue Mountain College,Error,UL Monroe,2433
time,team_id,description,h_score,a_score
19:34,-1,Conner Helvig made Three Point Jumper.,3,0
19:05,2433,Sam Alabakis Turnover.,3,0
18:47,-1,Anfernee Floyd missed Layup.,3,0
18:47,2433,Travis Munnings Defensive Rebound.,3,0
18:35,-1,Foul on Conner Helvig.,3,0
18:30,2433,Marcus Washington missed Three Point Jumper.,3,0
18:30,-1,Conner Helvig Defensive Rebound.,3,0
18:10,-1,Denio Chirindza missed Jumper.,3,0
18:10,2433,Travis Munnings Defensive Rebound.,3,0
18:02,2433,Sam Alabakis missed Jumper.,3,0
18:02,2433,UL Monroe Deadball Team Rebound.,3,0
18:00,-1,Foul on Denio Chirindza.,3,0
17:49,2433,Travis Munnings missed Layup.,3,0
17:49,2433,Sam Alabakis Offensive Rebound.,3,0
17:44,2433,Sam Alabakis missed Layup.,3,0
17:44,2433,Sam Alabakis Offensive Rebound.,3,0
17:43,2433,Sam Alabakis made Layup.,3,2
17:16,-1,Anfernee Floyd missed Jumper.,3,2
17:16,2433,Travis Munnings Defensive Rebound.,3,2
17:08,2433,Travis Munnings missed Three Point Jumper.,3,2
17:08,-1,Anfernee Floyd Defensive Rebound.,3,2
16:41,-1,Denio Chirindza missed Layup.,3,2
16:41,2433,Sam Alabakis Defensive Rebound.,3,2
16:21,2433,Nick Coppola Turnover.,3,2
15:57,-1,Denio Chirindza made Jumper.,5,2
15:36,2433,Nick Coppola missed Three Point Jumper.,5,2
15:36,-1,Chris English Defensive Rebound.,5,2
15:26,-1,Chris English missed Jumper.,5,2
15:26,2433,Nick Coppola Defensive Rebound.,5,2
15:23,2433,Sam McDaniel made Layup. Assisted by Nick Coppola.,5,4
15:23,-1,Foul on Conner Helvig.,5,4
15:23,2433,Official TV Timeout,5,4
15:23,2433,Sam McDaniel made Free Throw.,5,5
15:06,-1,Denio Chirindza missed Layup.,5,5
15:06,-1,Anfernee Floyd Offensive Rebound.,5,5
14:36,-1,Chris English missed Layup.,5,5
14:36,2433,Sam Alabakis Block.,5,5
14:34,2433,Travis Munnings Defensive Rebound.,5,5
14:19,2433,Sam Alabakis missed Jumper.,5,5
14:19,2433,Sam McDaniel Offensive Rebound.,5,5
14:03,2433,Travis Munnings made Layup. Assisted by Nick Coppola.,5,7
13:30,-1,C.J. Barnes missed Three Point Jumper.,5,7
13:30,2433,Travis Munnings Defensive Rebound.,5,7
13:06,2433,Marcus Washington missed Layup.,5,7
13:06,2433,Travis Munnings Offensive Rebound.,5,7
13:03,-1,Foul on Anfernee Floyd.,5,7
13:03,2433,Travis Munnings made Free Throw.,5,8
13:03,2433,Sam McDaniel made Free Throw.,5,9
12:35,-1,Jay Howard made Layup.,7,9
12:25,2433,Jordon Harris made Three Point Jumper.,7,12
11:37,-1,Chase Brittingham Turnover.,7,12
11:37,2433,Official TV Timeout,7,12
11:24,2433,Jordon Harris missed Three Point Jumper.,7,12
11:24,-1,Justin McClellon Defensive Rebound.,7,12
11:00,-1,Justin McClellon missed Layup.,7,12
11:00,2433,Travis Munnings Defensive Rebound.,7,12
10:51,2433,Marvin Jean-Pierre missed Three Point Jumper.,7,12
10:51,-1,Jay Howard Defensive Rebound.,7,12
10:28,-1,Adam Fleming made Layup. Assisted by C.J. Barnes.,9,12
10:08,2433,Sam McDaniel missed Jumper.,9,12
10:08,-1,Jay Howard Defensive Rebound.,9,12
9:55,-1,Jay Howard Turnover.,9,12
9:54,2433,Sam McDaniel Steal.,9,12
9:46,2433,Wade Martin made Three Point Jumper. Assisted by Travis Munnings.,9,15
9:11,-1,Jay Howard missed Three Point Jumper.,9,15
9:11,2433,UL Monroe Deadball Team Rebound.,9,15
8:52,2433,Jordon Harris made Jumper.,9,17
8:33,-1,Jay Howard made Jumper.,11,17
8:26,-1,Foul on Chase Brittingham.,11,17
8:19,2433,Travis Munnings missed Three Point Jumper.,11,17
8:19,2433,Sam McDaniel Offensive Rebound.,11,17
8:10,2433,Sam McDaniel made Three Point Jumper. Assisted by Jordon Harris.,11,20
7:40,-1,C.J. Barnes missed Three Point Jumper.,11,20
7:40,2433,Jordon Harris Defensive Rebound.,11,20
7:32,2433,Foul on Jordon Harris.,11,20
7:32,2433,Jordon Harris Turnover.,11,20
7:23,-1,Chase Brittingham missed Three Point Jumper.,11,20
7:23,-1,Blue Mountain Deadball Team Rebound.,11,20
7:20,2433,Foul on Sam McDaniel.,11,20
7:00,-1,Adam Fleming made Layup. Assisted by Dominic Hudson.,13,20
6:44,2433,Sam McDaniel made Layup.,13,22
6:31,-1,Jay Howard missed Jumper.,13,22
6:31,2433,Marvin Jean-Pierre Defensive Rebound.,13,22
6:19,2433,Sam McDaniel made Three Point Jumper. Assisted by Marvin Jean-Pierre.,13,25
6:08,-1,Blue Mountain  Timeout,13,25
5:54,-1,Chase Brittingham Turnover.,13,25
5:54,2433,Jordon Harris Steal.,13,25
