South Carolina State,228,Clemson,2569
time,team_id,description,h_score,a_score
20:00,228,Jump Ball won by Clemson,0,0
19:43,228,Sidy Djitte made Layup. Assisted by Jaron Blossomgame.,0,2
19:19,2569,Tashombe Riley missed Jumper.,0,2
19:19,228,Donte Grantham Defensive Rebound.,0,2
19:01,228,Jaron Blossomgame missed Jumper.,0,2
19:01,2569,Tashombe Riley Defensive Rebound.,0,2
18:45,2569,Ian Kinard Turnover.,0,2
18:27,228,Shelton Mitchell made Three Point Jumper. Assisted by Donte Grantham.,0,5
17:52,2569,Greg Mortimer Turnover.,0,5
17:40,2569,Foul on Tashombe Riley.,0,5
17:26,228,Jaron Blossomgame made Dunk. Assisted by Shelton Mitchell.,0,7
16:56,2569,Greg Mortimer made Layup.,2,7
16:49,228,Shelton Mitchell missed Jumper.,2,7
16:49,2569,Ed Stephens Defensive Rebound.,2,7
16:41,2569,Tashombe Riley missed Jumper.,2,7
16:41,228,Jaron Blossomgame Defensive Rebound.,2,7
16:25,228,Donte Grantham missed Jumper.,2,7
16:25,228,Donte Grantham Offensive Rebound.,2,7
16:19,2569,Foul on Ian Kinard.,2,7
16:19,228,Jaron Blossomgame missed Free Throw.,2,7
16:19,228,Clemson Deadball Team Rebound.,2,7
16:19,228,Jaron Blossomgame made Free Throw.,2,8
16:02,2569,Jump Ball won by South Carolina St,2,8
15:58,2569,Ian Kinard Turnover.,2,8
15:58,228,Jaron Blossomgame Steal.,2,8
15:56,228,Jump Ball won by Clemson,2,8
15:54,228,Official TV Timeout,2,8
15:39,228,Donte Grantham missed Three Point Jumper.,2,8
15:39,228,Sidy Djitte Offensive Rebound.,2,8
15:33,228,Donte Grantham missed Jumper.,2,8
15:33,228,Donte Grantham Offensive Rebound.,2,8
15:33,228,Donte Grantham made Two Point Tip Shot.,2,10
15:21,2569,Eric Eaves made Three Point Jumper. Assisted by Tashombe Riley.,5,10
14:55,228,Shelton Mitchell missed Three Point Jumper.,5,10
14:55,2569,Eric Eaves Defensive Rebound.,5,10
14:23,2569,Tashombe Riley missed Jumper.,5,10
14:23,228,Clemson Defensive Rebound.,5,10
14:14,228,Gabe DeVoe missed Three Point Jumper.,5,10
14:14,228,Sidy Djitte Offensive Rebound.,5,10
14:09,2569,Foul on Ed Stephens.,5,10
14:00,2569,Foul on Ozante Fields.,5,10
14:00,228,Jaron Blossomgame made Free Throw.,5,11
14:00,228,Jaron Blossomgame made Free Throw.,5,12
13:38,2569,Janai Raynor Powell Turnover.,5,12
