John Brown,Error,Baylor,239
time,team_id,description,h_score,a_score
19:28,2301,Zach English Turnover.,0,0
19:18,239,Jo Lual-Acuil Jr. Turnover.,0,0
19:06,2301,Zach English missed Three Point Jumper.,0,0
19:06,239,Ishmail Wainright Defensive Rebound.,0,0
18:59,239,Foul on Johnathan Motley.,0,0
18:59,239,Johnathan Motley Turnover.,0,0
18:37,2301,Ricky Roberts missed Jumper.,0,0
18:37,2301,Miguel Martinez Offensive Rebound.,0,0
18:29,2301,Jake Caudle missed Three Point Jumper.,0,0
18:29,239,Jo Lual-Acuil Jr. Defensive Rebound.,0,0
18:10,239,Ishmail Wainright missed Jumper.,0,0
18:10,2301,John Brown Defensive Rebound.,0,0
17:44,2301,Jake Caudle made Three Point Jumper. Assisted by Ricky Roberts.,3,0
17:34,2301,Foul on Miguel Martinez.,3,0
17:31,239,Manu Lecomte missed Three Point Jumper.,3,0
17:31,239,Ishmail Wainright Offensive Rebound.,3,0
17:27,239,Ishmail Wainright missed Jumper.,3,0
17:27,239,Baylor Offensive Rebound.,3,0
17:14,239,Al Freeman missed Three Point Jumper.,3,0
17:14,239,Baylor Deadball Team Rebound.,3,0
17:13,2301,Foul on Miguel Martinez.,3,0
17:10,239,Johnathan Motley missed Jumper.,3,0
17:10,239,Johnathan Motley Offensive Rebound.,3,0
17:08,239,Johnathan Motley made Jumper.,3,2
17:08,2301,Foul on Josh Bowling.,3,2
17:08,239,Johnathan Motley made Free Throw.,3,3
16:58,2301,Jake Caudle Turnover.,3,3
16:38,239,Al Freeman made Three Point Jumper. Assisted by Johnathan Motley.,3,6
16:19,2301,Jake Caudle Turnover.,3,6
16:19,2301,Foul on Jake Caudle.,3,6
16:09,239,Johnathan Motley made Three Point Jumper. Assisted by Ishmail Wainright.,3,9
15:58,2301,Ricky Roberts Turnover.,3,9
15:58,239,Official TV Timeout,3,9
15:44,239,Jo Lual-Acuil Jr. made Dunk. Assisted by Manu Lecomte.,3,11
