Tennessee St,150,Duke,2634
time,team_id,description,h_score,a_score
20:00,2634,Jump Ball won by Tennessee St,0,0
19:51,2634,Jordan Reed made Dunk. Assisted by Tahjere McCall.,2,0
19:38,150,Jayson Tatum missed Three Point Jumper.,2,0
19:38,150,Matt Jones Offensive Rebound.,2,0
19:38,150,Matt Jones missed Two Point Tip Shot.,2,0
19:38,2634,Ken'Darrius Hamilton Defensive Rebound.,2,0
19:26,2634,Foul on Tahjere McCall.,2,0
19:26,2634,Tahjere McCall Turnover.,2,0
19:19,150,Jayson Tatum Turnover.,2,0
19:19,2634,Tahjere McCall Steal.,2,0
19:19,150,Foul on Jayson Tatum.,2,0
18:52,2634,Armani Chaney missed Three Point Jumper.,2,0
18:52,150,Jayson Tatum Defensive Rebound.,2,0
18:34,150,Amile Jefferson Turnover.,2,0
18:11,2634,Wayne Martin made Jumper.,4,0
17:51,150,Luke Kennard made Three Point Jumper. Assisted by Matt Jones.,4,3
17:18,150,Foul on Matt Jones.,4,3
17:04,2634,Ken'Darrius Hamilton Turnover.,4,3
17:04,150,Amile Jefferson Steal.,4,3
16:55,2634,Foul on Ken'Darrius Hamilton.,4,3
16:52,150,Matt Jones missed Jumper.,4,3
16:52,2634,Wayne Martin Defensive Rebound.,4,3
16:41,2634,Tahjere McCall missed Layup.,4,3
16:41,150,Grayson Allen Defensive Rebound.,4,3
16:33,150,Matt Jones missed Layup.,4,3
16:33,2634,Christian Mekowulu Block.,4,3
16:32,150,Amile Jefferson Offensive Rebound.,4,3
16:32,2634,Foul on Jordan Reed.,4,3
16:32,150,Amile Jefferson missed Free Throw.,4,3
16:32,150,Duke Deadball Team Rebound.,4,3
16:32,150,Amile Jefferson missed Free Throw.,4,3
16:32,2634,Christian Mekowulu Defensive Rebound.,4,3
16:06,2634,Christian Mekowulu missed Jumper.,4,3
16:06,2634,Jordan Reed Offensive Rebound.,4,3
15:54,2634,Delano Spencer missed Three Point Jumper.,4,3
15:54,150,Amile Jefferson Defensive Rebound.,4,3
15:40,2634,Foul on Darreon Reddick.,4,3
15:40,150,Official TV Timeout,4,3
15:40,150,Grayson Allen made Free Throw.,4,4
15:40,150,Grayson Allen made Free Throw.,4,5
15:15,150,Foul on Marques Bolden.,4,5
15:09,2634,Tahjere McCall made Layup.,6,5
14:47,150,Frank Jackson missed Three Point Jumper.,6,5
14:47,2634,Wayne Martin Defensive Rebound.,6,5
14:33,2634,Wayne Martin missed Three Point Jumper.,6,5
14:33,150,Frank Jackson Defensive Rebound.,6,5
14:25,150,Grayson Allen missed Three Point Jumper.,6,5
14:25,150,Jayson Tatum Offensive Rebound.,6,5
14:23,2634,Foul on Christian Mekowulu.,6,5
14:22,150,Frank Jackson made Three Point Jumper. Assisted by Marques Bolden.,6,8
14:05,2634,Delano Spencer Turnover.,6,8
14:05,150,Jayson Tatum Steal.,6,8
14:03,150,Jayson Tatum made Dunk.,6,10
13:45,2634,Jordan Reed made Jumper.,8,10
13:23,150,Jayson Tatum missed Three Point Jumper.,8,10
13:23,2634,Jordan Reed Defensive Rebound.,8,10
12:58,2634,Jordan Reed missed Three Point Jumper.,8,10
12:58,150,Jayson Tatum Defensive Rebound.,8,10
12:42,2634,Foul on Christian Mekowulu.,8,10
12:27,150,Luke Kennard Turnover.,8,10
12:21,2634,Foul on Jordan Reed.,8,10
12:21,2634,Jordan Reed Turnover.,8,10
12:14,150,Luke Kennard Turnover.,8,10
12:14,2634,Tahjere McCall Steal.,8,10
12:06,2634,Wayne Martin Turnover.,8,10
11:41,150,Amile Jefferson missed Jumper.,8,10
11:41,150,Amile Jefferson Offensive Rebound.,8,10
11:41,150,Amile Jefferson missed Two Point Tip Shot.,8,10
11:41,2634,Wayne Martin Defensive Rebound.,8,10
11:27,2634,Darreon Reddick Turnover.,8,10
11:27,150,Official TV Timeout,8,10
11:16,150,Harry Giles missed Jumper.,8,10
11:16,150,Jayson Tatum Offensive Rebound.,8,10
11:13,150,Jump Ball won by Duke,8,10
10:53,150,Luke Kennard made Jumper.,8,12
10:20,2634,Darreon Reddick made Jumper.,10,12
10:00,150,Matt Jones missed Three Point Jumper.,10,12
10:00,2634,Darreon Reddick Defensive Rebound.,10,12
9:47,2634,Darreon Reddick made Three Point Jumper.,13,12
9:25,2634,Foul on A'Torey Everett.,13,12
9:25,150,Luke Kennard made Free Throw.,13,13
9:25,150,Luke Kennard made Free Throw.,13,14
9:09,2634,Darreon Reddick missed Three Point Jumper.,13,14
9:09,150,Amile Jefferson Defensive Rebound.,13,14
8:56,150,Foul on Jayson Tatum.,13,14
8:56,150,Jayson Tatum Turnover.,13,14
