Savannah State,2729,William &amp; Mary,2542
time,team_id,description,h_score,a_score
19:47,2542,Dexter McClanahan Turnover.,0,0
19:33,2729,Omar Prewitt missed Three Point Jumper.,0,0
19:33,2729,Jack Whitman Offensive Rebound.,0,0
19:30,2729,Jack Whitman made Layup.,0,2
19:17,2542,Dexter McClanahan Turnover.,0,2
19:11,2729,Omar Prewitt made Layup. Assisted by David Cohn.,0,4
19:05,2542,Austin Dasent missed Three Point Jumper.,0,4
19:05,2729,Greg Malinowski Defensive Rebound.,0,4
18:57,2729,Omar Prewitt made Dunk. Assisted by David Cohn.,0,6
18:46,2542,Troyce Manassa missed Layup.,0,6
18:46,2729,Jack Whitman Defensive Rebound.,0,6
18:36,2729,Connor Burchfield missed Three Point Jumper.,0,6
18:36,2729,Jack Whitman Offensive Rebound.,0,6
18:33,2542,Foul on Maricus Glenn.,0,6
18:33,2729,Jack Whitman missed Free Throw.,0,6
18:33,2729,William & Mary Deadball Team Rebound.,0,6
18:33,2729,Jack Whitman made Free Throw.,0,7
18:22,2542,Jahir Cabeza missed Three Point Jumper.,0,7
18:22,2729,Jack Whitman Defensive Rebound.,0,7
18:14,2729,Omar Prewitt made Dunk. Assisted by Connor Burchfield.,0,9
17:54,2542,Joshua Floyd made Three Point Jumper. Assisted by Austin Dasent.,3,9
17:39,2729,Greg Malinowski made Three Point Jumper. Assisted by Connor Burchfield.,3,12
17:20,2542,Maricus Glenn made Layup. Assisted by Austin Dasent.,5,12
17:11,2729,Connor Burchfield made Three Point Jumper. Assisted by Omar Prewitt.,5,15
16:58,2542,Maricus Glenn made Layup. Assisted by Jahir Cabeza.,7,15
16:44,2729,Jack Whitman Turnover.,7,15
16:44,2729,Foul on Jack Whitman.,7,15
16:36,2542,Austin Dasent made Layup.,9,15
16:24,2542,Foul on Robert Jr Kelly.,9,15
16:24,2729,Jack Whitman made Free Throw.,9,16
16:24,2729,Jack Whitman made Free Throw.,9,17
16:13,2542,Dexter McClanahan made Layup.,11,17
15:59,2542,Foul on Zach Sellers.,11,17
15:59,2729,Official TV Timeout,11,17
15:59,2729,Nathan Knight made Free Throw.,11,18
15:59,2729,Nathan Knight missed Free Throw.,11,18
15:59,2542,Zach Sellers Defensive Rebound.,11,18
15:49,2542,Joshua Floyd missed Three Point Jumper.,11,18
15:49,2542,Zach Sellers Offensive Rebound.,11,18
15:46,2542,Joshua Floyd Turnover.,11,18
15:34,2729,Greg Malinowski missed Three Point Jumper.,11,18
15:34,2542,Zach Sellers Defensive Rebound.,11,18
15:25,2542,Robert Jr Kelly missed Three Point Jumper.,11,18
15:25,2729,Omar Prewitt Defensive Rebound.,11,18
15:18,2729,David Cohn made Layup. Assisted by Daniel Dixon.,11,20
15:10,2542,Isaiah Felder missed Three Point Jumper.,11,20
15:10,2542,Robert Jr Kelly Offensive Rebound.,11,20
15:09,2729,Foul on Omar Prewitt.,11,20
15:00,2542,Jordan Gaines missed Jumper.,11,20
15:00,2729,Daniel Dixon Defensive Rebound.,11,20
14:55,2542,Foul on Kamil Williams.,11,20
14:54,2729,David Cohn Turnover.,11,20
14:54,2542,Kamil Williams Steal.,11,20
14:47,2542,Troyce Manassa Turnover.,11,20
14:29,2729,Daniel Dixon missed Three Point Jumper.,11,20
14:29,2542,Dexter McClanahan Defensive Rebound.,11,20
14:21,2542,Dexter McClanahan missed Layup.,11,20
14:21,2729,Nathan Knight Block.,11,20
14:20,2542,Savannah St Offensive Rebound.,11,20
14:10,2542,Isaiah Felder made Jumper.,13,20
13:53,2729,Paul Rowley missed Three Point Jumper.,13,20
13:53,2542,Kamil Williams Defensive Rebound.,13,20
13:40,2542,Troyce Manassa missed Three Point Jumper.,13,20
13:40,2729,Daniel Dixon Defensive Rebound.,13,20
13:26,2729,Omar Prewitt missed Three Point Jumper.,13,20
13:26,2542,Dexter McClanahan Defensive Rebound.,13,20
13:05,2542,Troyce Manassa made Layup.,15,20
12:55,2729,Omar Prewitt made Layup. Assisted by Nathan Knight.,15,22
12:48,2729,Foul on Oliver Tot.,15,22
12:42,2542,Kamil Williams missed Three Point Jumper.,15,22
12:42,2729,Justin Pierce Defensive Rebound.,15,22
12:34,2729,William & Mary  Timeout,15,22
12:16,2729,Daniel Dixon missed Three Point Jumper.,15,22
12:16,2729,Paul Rowley Offensive Rebound.,15,22
11:55,2729,Justin Pierce made Layup. Assisted by Oliver Tot.,15,24
