Pepperdine,309,Louisiana,2492
time,team_id,description,h_score,a_score
19:42,309,Roydell Brown missed Layup.,0,0
19:42,2492,Nolan Taylor Defensive Rebound.,0,0
19:36,2492,Chris Reyes missed Jumper.,0,0
19:36,2492,Chris Reyes Offensive Rebound.,0,0
19:33,2492,Chris Reyes made Layup.,2,0
19:29,309,Frank Bartley IV missed Jumper.,2,0
19:29,2492,Lamond Murray Jr. Block.,2,0
19:28,2492,Lamond Murray Jr. Defensive Rebound.,2,0
19:23,2492,Lamond Murray Jr. Turnover.,2,0
19:23,2492,Foul on Lamond Murray Jr..,2,0
19:12,309,Bryce Washington Turnover.,2,0
19:00,2492,Lamond Murray Jr. missed Jumper.,2,0
19:00,309,Bryce Washington Defensive Rebound.,2,0
18:47,309,Justin Miller missed Jumper.,2,0
18:47,2492,Nolan Taylor Defensive Rebound.,2,0
18:38,2492,Jeremy Major missed Jumper.,2,0
18:38,309,Bryce Washington Defensive Rebound.,2,0
18:27,309,Frank Bartley IV made Layup.,2,2
18:27,2492,Foul on Chris Reyes.,2,2
18:27,309,Frank Bartley IV missed Free Throw.,2,2
18:27,2492,Chris Reyes Defensive Rebound.,2,2
18:11,2492,Nolan Taylor Turnover.,2,2
18:10,309,Jay Wright Steal.,2,2
18:07,309,Jay Wright missed Layup.,2,2
18:07,309,Bryce Washington Offensive Rebound.,2,2
18:04,309,Bryce Washington made Layup.,2,4
17:32,2492,Knox Hellums missed Jumper.,2,4
17:32,309,Roydell Brown Block.,2,4
17:31,309,Roydell Brown Defensive Rebound.,2,4
17:05,309,Bryce Washington missed Three Point Jumper.,2,4
17:05,2492,Lamond Murray Jr. Defensive Rebound.,2,4
16:53,2492,Chris Reyes missed Jumper.,2,4
16:53,309,Roydell Brown Defensive Rebound.,2,4
16:35,309,Justin Miller missed Jumper.,2,4
16:35,2492,Pepperdine Defensive Rebound.,2,4
16:12,2492,Knox Hellums made Layup. Assisted by Jeremy Major.,4,4
15:51,309,Roydell Brown missed Jumper.,4,4
15:51,2492,Knox Hellums Defensive Rebound.,4,4
15:33,2492,Foul on Knox Hellums.,4,4
15:33,2492,Knox Hellums Turnover.,4,4
15:33,309,Official TV Timeout,4,4
15:15,309,Bryce Washington missed Jumper.,4,4
15:15,2492,Lamond Murray Jr. Defensive Rebound.,4,4
15:07,309,Foul on Jay Wright.,4,4
15:03,2492,Nolan Taylor Turnover.,4,4
15:01,309,Bryce Washington Steal.,4,4
14:59,2492,Foul on Lamond Murray Jr..,4,4
14:59,309,Roydell Brown made Free Throw.,4,5
14:59,309,Roydell Brown missed Free Throw.,4,5
14:59,2492,Chris Reyes Defensive Rebound.,4,5
14:39,2492,Chris Reyes missed Jumper.,4,5
14:39,309,Bryce Washington Defensive Rebound.,4,5
14:31,309,Jay Wright made Jumper.,4,7
14:11,2492,Elijah Lee missed Jumper.,4,7
14:11,309,Frank Bartley IV Defensive Rebound.,4,7
14:06,309,Roydell Brown made Dunk. Assisted by Frank Bartley IV.,4,9
13:42,2492,Elijah Lee made Layup.,6,9
13:33,309,Jay Wright Turnover.,6,9
13:31,2492,Nolan Taylor Steal.,6,9
13:28,309,Foul on Justin Miller.,6,9
13:28,2492,Elijah Lee made Free Throw.,7,9
13:28,2492,Elijah Lee made Free Throw.,8,9
13:05,309,Justin Miller missed Jumper.,8,9
13:05,2492,Chris Reyes Block.,8,9
13:03,2492,Chris Reyes Defensive Rebound.,8,9
12:56,2492,Jeremy Major missed Layup.,8,9
12:56,309,Bryce Washington Defensive Rebound.,8,9
12:50,309,Jay Wright made Jumper.,8,11
12:30,2492,Elijah Lee Turnover.,8,11
12:29,309,Jay Wright Steal.,8,11
12:26,309,Justin Miller Turnover.,8,11
12:11,2492,Elijah Lee Turnover.,8,11
12:10,309,Bryce Washington Steal.,8,11
12:07,2492,Foul on Jonathan Allen.,8,11
11:56,309,Jay Wright missed Three Point Jumper.,8,11
11:56,2492,Elijah Lee Defensive Rebound.,8,11
11:35,309,Official TV Timeout,8,11
11:33,2492,Chris Reyes made Jumper.,10,11
11:24,309,Bryce Washington made Jumper.,10,13
11:14,2492,Elijah Lee missed Three Point Jumper.,10,13
11:14,2492,Nate Gehring Offensive Rebound.,10,13
11:11,2492,Nate Gehring made Layup.,12,13
10:33,309,Frank Bartley IV missed Three Point Jumper.,12,13
10:33,2492,Nate Gehring Defensive Rebound.,12,13
10:13,2492,Jonathan Allen missed Three Point Jumper.,12,13
10:13,309,Johnathan Stove Defensive Rebound.,12,13
10:05,309,Frank Bartley IV missed Three Point Jumper.,12,13
10:05,2492,Nate Gehring Defensive Rebound.,12,13
9:40,2492,Foul on Nate Gehring.,12,13
9:40,2492,Nate Gehring Turnover.,12,13
9:29,309,Johnathan Stove Turnover.,12,13
9:27,2492,Craig LeCesne Steal.,12,13
9:25,2492,Elijah Lee Turnover.,12,13
9:23,309,P.J. Hardy Steal.,12,13
9:18,309,Bryce Washington made Layup. Assisted by Johnathan Stove.,12,15
8:57,2492,Foul on Nate Gehring.,12,15
8:57,2492,Nate Gehring Turnover.,12,15
8:46,309,P.J. Hardy made Three Point Jumper.,12,18
