UC Santa Barbara,314,Iona,2540
time,team_id,description,h_score,a_score
19:43,2540,Ami Lakoju Turnover.,0,0
19:25,314,Jordan Washington missed Jumper.,0,0
19:25,2540,Christian Terrell Defensive Rebound.,0,0
19:04,2540,Ami Lakoju made Layup. Assisted by Christian Terrell.,2,0
18:51,314,Sam Cassell Jr. missed Three Point Jumper.,2,0
18:51,2540,Christian Terrell Defensive Rebound.,2,0
18:41,2540,Gabe Vincent made Three Point Jumper. Assisted by Jalen Canty.,5,0
18:18,314,Jordan Washington made Layup.,5,2
17:41,2540,Eric Childress Turnover.,5,2
17:35,314,Jon Severe missed Jumper.,5,2
17:35,2540,Christian Terrell Defensive Rebound.,5,2
17:25,2540,Christian Terrell missed Jumper.,5,2
17:25,314,Jordan Washington Defensive Rebound.,5,2
17:17,314,Jon Severe made Three Point Jumper. Assisted by Rickey McGill.,5,5
16:55,2540,Jalen Canty missed Jumper.,5,5
16:55,314,Iona Defensive Rebound.,5,5
16:37,314,Rickey McGill missed Three Point Jumper.,5,5
16:37,2540,Christian Terrell Defensive Rebound.,5,5
16:17,314,Foul on E.J. Crawford.,5,5
16:17,2540,Alex Hart missed Free Throw.,5,5
16:17,2540,UC Santa Barbara Deadball Team Rebound.,5,5
16:17,2540,Alex Hart missed Free Throw.,5,5
16:17,2540,Gabe Vincent Offensive Rebound.,5,5
16:16,2540,Gabe Vincent missed Two Point Tip Shot.,5,5
16:16,314,Jordan Washington Defensive Rebound.,5,5
16:11,314,Sam Cassell Jr. Turnover.,5,5
15:54,2540,Alex Hart missed Jumper.,5,5
15:54,2540,Christian Terrell Offensive Rebound.,5,5
15:51,2540,Christian Terrell missed Jumper.,5,5
15:51,2540,Jalen Canty Offensive Rebound.,5,5
15:45,2540,Jalen Canty made Jumper.,7,5
15:43,314,Official TV Timeout,7,5
15:25,314,Taylor Bessick Turnover.,7,5
15:24,2540,Christian Terrell Steal.,7,5
15:18,314,Foul on Rickey McGill.,7,5
15:16,2540,Clifton Powell Jr. made Jumper.,9,5
15:08,2540,Foul on Alex Hart.,9,5
14:55,314,Deyshonee Much made Three Point Jumper.,9,8
14:32,2540,Clifton Powell Jr. Turnover.,9,8
14:31,314,Rickey McGill Steal.,9,8
14:25,314,Sam Cassell Jr. Turnover.,9,8
14:25,2540,Clifton Powell Jr. Steal.,9,8
14:09,2540,Eric Childress missed Three Point Jumper.,9,8
14:09,2540,Alex Hart Offensive Rebound.,9,8
14:00,2540,Gabe Vincent Turnover.,9,8
14:00,314,Deyshonee Much Steal.,9,8
13:53,2540,Foul on Eric Childress.,9,8
13:53,314,Jon Severe missed Free Throw.,9,8
13:53,314,Iona Deadball Team Rebound.,9,8
13:53,314,Jon Severe made Free Throw.,9,9
13:40,2540,Foul on Ami Lakoju.,9,9
13:40,2540,Ami Lakoju Turnover.,9,9
13:18,314,Jordan Washington made Jumper.,9,11
13:18,2540,Foul on Ami Lakoju.,9,11
13:18,314,Jordan Washington made Free Throw.,9,12
13:12,2540,Clifton Powell Jr. Turnover.,9,12
13:12,314,Jordan Washington Steal.,9,12
13:08,314,Foul on Jordan Washington.,9,12
13:08,314,Jordan Washington Turnover.,9,12
12:47,2540,Gabe Vincent missed Jumper.,9,12
12:47,314,Taylor Bessick Block.,9,12
12:46,2540,UC Santa Barbara Offensive Rebound.,9,12
12:44,2540,Gabe Vincent made Three Point Jumper. Assisted by Max Heidegger.,12,12
12:22,314,E.J. Crawford made Jumper. Assisted by Rickey McGill.,12,14
12:00,2540,Christian Terrell missed Jumper.,12,14
12:00,314,Taylor Bessick Block.,12,14
12:00,314,Taylor Bessick Defensive Rebound.,12,14
11:48,314,E.J. Crawford made Jumper. Assisted by Jon Severe.,12,16
11:24,2540,Maxwell Kupchak made Jumper. Assisted by Jalen Canty.,14,16
11:18,314,Deyshonee Much Turnover.,14,16
11:17,314,Official TV Timeout,14,16
10:53,2540,Max Heidegger missed Jumper.,14,16
10:53,2540,Christian Terrell Offensive Rebound.,14,16
10:50,2540,Christian Terrell missed Jumper.,14,16
10:50,314,Taylor Bessick Defensive Rebound.,14,16
10:36,314,Sam Cassell Jr. missed Three Point Jumper.,14,16
10:36,314,Iona Offensive Rebound.,14,16
10:24,314,Jon Severe Turnover.,14,16
10:06,2540,Gabe Vincent missed Jumper.,14,16
10:06,2540,Alex Hart Offensive Rebound.,14,16
10:03,314,Foul on Taylor Bessick.,14,16
10:00,2540,Foul on Gabe Vincent.,14,16
10:00,2540,Gabe Vincent Turnover.,14,16
9:33,314,Deyshonee Much made Three Point Jumper.,14,19
9:23,314,Foul on Schadrac Casimir.,14,19
9:21,2540,Gabe Vincent missed Three Point Jumper.,14,19
9:21,2540,Alex Hart Offensive Rebound.,14,19
9:17,2540,Alex Hart made Jumper.,16,19
9:17,314,Foul on Jordan Washington.,16,19
9:17,2540,Alex Hart made Free Throw.,17,19
8:51,314,Sam Cassell Jr. missed Three Point Jumper.,17,19
8:51,314,Deyshonee Much Offensive Rebound.,17,19
8:20,314,E.J. Crawford made Jumper.,17,21
8:04,2540,Christian Terrell missed Jumper.,17,21
8:04,2540,Jarriesse Blackmon Offensive Rebound.,17,21
7:58,2540,Jarriesse Blackmon made Layup.,19,21
7:52,314,E.J. Crawford Turnover.,19,21
7:51,314,Official TV Timeout,19,21
7:41,2540,Christian Terrell Turnover.,19,21
7:21,314,Taylor Bessick Turnover.,19,21
6:55,2540,Jalen Canty missed Jumper.,19,21
6:55,314,Deyshonee Much Defensive Rebound.,19,21
6:40,2540,Foul on Gabe Vincent.,19,21
6:40,314,E.J. Crawford missed Free Throw.,19,21
6:40,314,Iona Deadball Team Rebound.,19,21
6:40,314,E.J. Crawford made Free Throw.,19,22
6:22,2540,Jarriesse Blackmon made Layup. Assisted by Clifton Powell Jr..,21,22
6:14,314,Jon Severe missed Three Point Jumper.,21,22
6:14,314,Deyshonee Much Offensive Rebound.,21,22
6:04,314,Deyshonee Much missed Jumper.,21,22
6:04,2540,Jarriesse Blackmon Defensive Rebound.,21,22
5:45,2540,Clifton Powell Jr. made Jumper.,23,22
5:32,314,Deyshonee Much missed Three Point Jumper.,23,22
5:32,314,Taylor Bessick Offensive Rebound.,23,22
5:27,314,Taylor Bessick made Jumper.,23,24
5:09,2540,Clifton Powell Jr. missed Three Point Jumper.,23,24
5:09,2540,Jalen Canty Offensive Rebound.,23,24
5:03,314,Foul on Taylor Bessick.,23,24
5:03,2540,Jalen Canty missed Free Throw.,23,24
5:03,2540,UC Santa Barbara Deadball Team Rebound.,23,24
5:03,2540,Jalen Canty missed Free Throw.,23,24
5:03,2540,Jarriesse Blackmon Offensive Rebound.,23,24
4:51,2540,Jarriesse Blackmon missed Jumper.,23,24
4:51,314,Jon Severe Defensive Rebound.,23,24
4:38,2540,Foul on Eric Childress.,23,24
4:38,314,Rickey McGill made Free Throw.,23,25
4:38,314,Rickey McGill made Free Throw.,23,26
4:27,2540,Eric Childress Turnover.,23,26
4:05,2540,Foul on Max Heidegger.,23,26
4:05,314,Jon Severe missed Free Throw.,23,26
4:05,2540,Alex Hart Defensive Rebound.,23,26
3:40,2540,Max Heidegger missed Three Point Jumper.,23,26
3:40,314,Jon Severe Defensive Rebound.,23,26
3:36,314,Rickey McGill made Layup. Assisted by Jon Severe.,23,28
3:21,2540,Max Heidegger missed Three Point Jumper.,23,28
3:21,314,Iona Deadball Team Rebound.,23,28
3:19,2540,Foul on Alex Hart.,23,28
3:19,314,Official TV Timeout,23,28
3:19,314,Tyrell Williams made Free Throw.,23,29
3:19,314,Tyrell Williams made Free Throw.,23,30
3:00,2540,Christian Terrell missed Jumper.,23,30
3:00,314,Tyrell Williams Block.,23,30
2:59,2540,UC Santa Barbara Offensive Rebound.,23,30
2:59,2540,Foul on Clifton Powell Jr..,23,30
2:59,2540,Clifton Powell Jr. Turnover.,23,30
2:36,314,Deyshonee Much made Dunk. Assisted by Sam Cassell Jr..,23,32
2:34,314,Technical Foul on Deyshonee Much.,23,32
2:34,314,Foul on Deyshonee Much.,23,32
2:34,2540,Gabe Vincent made Free Throw.,24,32
2:34,2540,Gabe Vincent made Free Throw.,25,32
2:17,314,Foul on Sam Cassell Jr..,25,32
2:17,2540,Maxwell Kupchak made Free Throw.,26,32
2:17,2540,Maxwell Kupchak made Free Throw.,27,32
1:50,314,Sam Cassell Jr. missed Three Point Jumper.,27,32
1:50,2540,Gabe Vincent Defensive Rebound.,27,32
1:43,2540,Clifton Powell Jr. Turnover.,27,32
1:43,314,Rickey McGill Steal.,27,32
1:37,314,Rickey McGill missed Three Point Jumper.,27,32
1:37,2540,Gabe Vincent Defensive Rebound.,27,32
1:14,2540,Maxwell Kupchak missed Jumper.,27,32
1:14,314,Deyshonee Much Defensive Rebound.,27,32
0:46,314,Deyshonee Much missed Three Point Jumper.,27,32
0:46,2540,Gabe Vincent Defensive Rebound.,27,32
0:40,2540,UC Santa Barbara  Timeout,27,32
0:30,2540,Jalen Canty made Dunk. Assisted by Jarriesse Blackmon.,29,32
0:18,314,Iona  Timeout,29,32
0:03,314,Deyshonee Much Turnover.,29,32
0:00,2540,Max Heidegger missed Jumper.,29,32
