Daniel Webster,Error,New Hampshire,160
time,team_id,description,h_score,a_score
19:52,-1,Marquise Caudill Turnover.,0,0
19:51,160,Jaleen Smith Steal.,0,0
19:34,-1,Foul on Marquise Caudill.,0,0
19:34,160,Tanner Leissner made Free Throw.,0,1
19:34,160,Tanner Leissner made Free Throw.,0,2
19:17,-1,Ray Farmer missed Three Point Jumper.,0,2
19:17,160,Iba Camara Defensive Rebound.,0,2
19:10,160,Daniel Dion made Three Point Jumper. Assisted by Jaleen Smith.,0,5
18:56,-1,Marquise Caudill missed Three Point Jumper.,0,5
18:56,160,Jordan Reed Defensive Rebound.,0,5
18:39,160,Jaleen Smith missed Three Point Jumper.,0,5
18:39,-1,Ray Farmer Defensive Rebound.,0,5
18:16,-1,Antwaun Boyd Turnover.,0,5
17:57,160,Daniel Dion made Three Point Jumper. Assisted by Jordan Reed.,0,8
17:53,-1,Daniel Webster College  Timeout,0,8
17:36,-1,Antwaun Boyd missed Three Point Jumper.,0,8
17:36,160,Jaleen Smith Defensive Rebound.,0,8
17:27,160,Jordan Reed Turnover.,0,8
17:26,-1,Antwaun Boyd Steal.,0,8
17:22,-1,Antwaun Boyd Turnover.,0,8
17:11,-1,Foul on Ray Farmer.,0,8
17:11,160,Tanner Leissner Turnover.,0,8
16:37,-1,Antwaun Boyd missed Three Point Jumper.,0,8
16:37,160,New Hampshire Defensive Rebound.,0,8
16:24,160,Daniel Dion made Three Point Jumper. Assisted by Iba Camara.,0,11
16:04,-1,Mikol Blake Green missed Jumper.,0,11
16:04,-1,Daniel Webster College Offensive Rebound.,0,11
16:03,160,Foul on Jaleen Smith.,0,11
15:56,-1,Michael Campbell Turnover.,0,11
15:56,160,Official TV Timeout,0,11
15:43,160,Jordan Reed made Three Point Jumper. Assisted by Daniel Dion.,0,14
15:27,-1,Michael Campbell missed Three Point Jumper.,0,14
15:27,160,Iba Camara Defensive Rebound.,0,14
15:20,160,Daniel Dion made Three Point Jumper. Assisted by Jaleen Smith.,0,17
