Tennessee,2193,East Tennessee State,2633
time,team_id,description,h_score,a_score
19:43,2633,Foul on Robert Hubbs III.,0,0
19:43,2193,Hanner Mosquera-Perea missed Free Throw.,0,0
19:43,2193,East Tennessee St Deadball Team Rebound.,0,0
19:43,2193,Hanner Mosquera-Perea missed Free Throw.,0,0
19:43,2633,Grant Williams Defensive Rebound.,0,0
19:16,2633,Robert Hubbs III missed Jumper.,0,0
19:16,2193,Hanner Mosquera-Perea Defensive Rebound.,0,0
19:08,2193,Desonta Bradford missed Layup.,0,0
19:08,2633,Jordan Bowden Defensive Rebound.,0,0
18:53,2633,Robert Hubbs III missed Layup.,0,0
18:53,2193,Tevin Glass Block.,0,0
18:51,2633,Kyle Alexander Offensive Rebound.,0,0
18:50,2633,Kyle Alexander made Layup.,2,0
18:32,2193,T.J. Cromer made Three Point Jumper. Assisted by Desonta Bradford.,2,3
18:19,2633,Jordan Bowden missed Three Point Jumper.,2,3
18:19,2193,Hanner Mosquera-Perea Defensive Rebound.,2,3
18:07,2193,Tevin Glass missed Jumper.,2,3
18:07,2633,Robert Hubbs III Defensive Rebound.,2,3
17:43,2193,Foul on Tevin Glass.,2,3
17:27,2633,Kyle Alexander made Jumper. Assisted by Grant Williams.,4,3
17:07,2633,Foul on Kyle Alexander.,4,3
16:45,2193,Tevin Glass missed Jumper.,4,3
16:45,2633,Grant Williams Defensive Rebound.,4,3
16:18,2193,Foul on T.J. Cromer.,4,3
16:03,2633,Detrick Mostella missed Three Point Jumper.,4,3
16:03,2193,David Burrell Defensive Rebound.,4,3
16:00,2633,Foul on Detrick Mostella.,4,3
15:49,2193,Desonta Bradford missed Layup.,4,3
15:49,2633,Lamonte Turner Block.,4,3
15:48,2193,David Burrell Offensive Rebound.,4,3
15:45,2193,Isaac Banks missed Layup.,4,3
15:45,2633,Robert Hubbs III Block.,4,3
15:43,2193,Isaac Banks Offensive Rebound.,4,3
15:39,2193,Isaac Banks missed Layup.,4,3
15:39,2193,David Burrell Offensive Rebound.,4,3
15:36,2193,David Burrell made Layup.,4,5
15:32,2633,Lamonte Turner missed Layup.,4,5
15:32,2633,Lew Evans Offensive Rebound.,4,5
15:29,2633,Lew Evans made Layup.,6,5
15:15,2193,Foul on Desonta Bradford.,6,5
15:15,2193,Desonta Bradford Turnover.,6,5
15:15,2193,Official TV Timeout,6,5
14:49,2633,Lew Evans Turnover.,6,5
14:48,2193,Desonta Bradford Steal.,6,5
14:46,2193,Desonta Bradford missed Dunk.,6,5
14:46,2193,A.J. Merriweather Offensive Rebound.,6,5
14:42,2193,A.J. Merriweather missed Layup.,6,5
14:42,2633,Kwe Parker Block.,6,5
14:41,2633,Tennessee Defensive Rebound.,6,5
14:28,2193,Foul on Devontavius Payne.,6,5
14:16,2193,Foul on Isaac Banks.,6,5
14:16,2633,Lew Evans made Free Throw.,7,5
14:16,2633,Lew Evans made Free Throw.,8,5
14:03,2633,Foul on Lew Evans.,8,5
14:03,2193,T.J. Cromer missed Free Throw.,8,5
14:03,2193,East Tennessee St Deadball Team Rebound.,8,5
14:03,2193,T.J. Cromer made Free Throw.,8,6
13:54,2633,Grant Williams missed Layup.,8,6
13:54,2193,David Burrell Defensive Rebound.,8,6
13:44,2193,Jason Williams Turnover.,8,6
13:24,2633,Shembari Phillips Turnover.,8,6
13:06,2193,Devontavius Payne missed Three Point Jumper.,8,6
13:06,2633,Detrick Mostella Defensive Rebound.,8,6
12:50,2633,Jordan Bowden made Layup. Assisted by Detrick Mostella.,10,6
12:35,2193,Hanner Mosquera-Perea missed Jumper.,10,6
12:35,2193,T.J. Cromer Offensive Rebound.,10,6
12:32,2193,T.J. Cromer missed Layup.,10,6
12:32,2193,Jason Williams Offensive Rebound.,10,6
12:27,2193,T.J. Cromer missed Three Point Jumper.,10,6
12:27,2633,Jordan Bowden Defensive Rebound.,10,6
12:13,2633,Jordan Bowden missed Three Point Jumper.,10,6
12:13,2193,T.J. Cromer Defensive Rebound.,10,6
12:05,2193,Jason Williams made Three Point Jumper. Assisted by T.J. Cromer.,10,9
11:48,2633,Grant Williams missed Three Point Jumper.,10,9
11:48,2193,T.J. Cromer Defensive Rebound.,10,9
11:37,2193,David Burrell missed Three Point Jumper.,10,9
11:37,2633,Grant Williams Defensive Rebound.,10,9
11:34,2193,Foul on Hanner Mosquera-Perea.,10,9
11:34,2193,Official TV Timeout,10,9
11:19,2633,Shembari Phillips Turnover.,10,9
