Utah,62,Hawai'i,254
time,team_id,description,h_score,a_score
19:36,254,Tyler Rawson missed Three Point Jumper.,0,0
19:36,62,Sheriff Drammeh Defensive Rebound.,0,0
19:19,62,Noah Allen Turnover.,0,0
19:10,254,Sedrick Barefield made Layup.,2,0
18:42,62,Leland Green missed Jumper.,2,0
18:42,254,David Collette Block.,2,0
18:40,254,David Collette Defensive Rebound.,2,0
18:35,254,David Collette made Layup.,4,0
18:10,62,Sheriff Drammeh missed Layup.,4,0
18:10,254,David Collette Block.,4,0
18:08,254,David Collette Defensive Rebound.,4,0
18:03,254,Devon Daniels missed Jumper.,4,0
18:03,62,Noah Allen Defensive Rebound.,4,0
17:52,62,Noah Allen made Layup.,4,2
17:26,62,Foul on Gibson Johnson.,4,2
17:17,254,David Collette Turnover.,4,2
16:57,62,Leland Green Turnover.,4,2
16:41,62,Foul on Leland Green.,4,2
16:19,254,David Collette missed Jumper.,4,2
16:19,62,Gibson Johnson Defensive Rebound.,4,2
16:01,62,Gibson Johnson missed Jumper.,4,2
16:01,254,David Collette Defensive Rebound.,4,2
15:53,62,Foul on Jack Purchase.,4,2
15:53,62,Official TV Timeout,4,2
15:32,254,Devon Daniels Turnover.,4,2
15:32,62,Noah Allen missed Three Point Jumper.,4,2
15:32,254,David Collette Defensive Rebound.,4,2
15:16,254,David Collette Turnover.,4,2
15:16,254,Foul on David Collette.,4,2
15:04,62,Sheriff Drammeh missed Jumper.,4,2
15:04,254,Jayce Johnson Defensive Rebound.,4,2
14:42,254,Jayce Johnson missed Jumper.,4,2
14:42,62,Noah Allen Defensive Rebound.,4,2
14:16,62,Noah Allen missed Jumper.,4,2
14:16,254,Jayce Johnson Block.,4,2
14:15,62,Noah Allen Offensive Rebound.,4,2
14:11,62,Noah Allen missed Jumper.,4,2
14:10,254,Jayce Johnson Block.,4,2
14:09,254,Lorenzo Bonam Defensive Rebound.,4,2
14:06,254,Parker Van Dyke Turnover.,4,2
14:06,254,Foul on Parker Van Dyke.,4,2
13:58,254,Foul on Lorenzo Bonam.,4,2
13:45,62,Ido Flaisher made Layup.,4,4
13:22,254,Sedrick Barefield missed Three Point Jumper.,4,4
13:22,254,Jayce Johnson Offensive Rebound.,4,4
13:18,254,Jayce Johnson made Layup.,6,4
13:05,62,Jack Purchase made Three Point Jumper. Assisted by Brocke Stepteau.,6,7
12:35,254,Lorenzo Bonam missed Three Point Jumper.,6,7
12:35,62,Ido Flaisher Defensive Rebound.,6,7
12:25,62,Sheriff Drammeh Turnover.,6,7
12:11,62,Foul on Ido Flaisher.,6,7
12:06,254,Parker Van Dyke made Three Point Jumper. Assisted by Tyler Rawson.,9,7
11:36,62,Brocke Stepteau missed Jumper.,9,7
11:35,62,Hawai'i Deadball Team Rebound.,9,7
11:34,62,Sheriff Drammeh Turnover.,9,7
11:34,62,Foul on Sheriff Drammeh.,9,7
11:34,62,Official TV Timeout,9,7
11:16,254,Gabe Bealer missed Three Point Jumper.,9,7
11:16,62,Hawai'i Defensive Rebound.,9,7
10:54,62,Ido Flaisher missed Jumper.,9,7
10:54,62,Matthew Owies Offensive Rebound.,9,7
10:42,62,Jack Purchase missed Three Point Jumper.,9,7
10:42,62,Larry Lewis Jr. Offensive Rebound.,9,7
10:27,254,Sedrick Barefield missed Layup.,9,7
10:27,62,Brocke Stepteau Defensive Rebound.,9,7
10:15,62,Matthew Owies missed Jumper.,9,7
10:15,254,Jayce Johnson Defensive Rebound.,9,7
10:02,254,Parker Van Dyke missed Jumper.,9,7
10:02,254,Tyler Rawson Offensive Rebound.,9,7
9:43,254,David Collette missed Jumper.,9,7
9:43,62,Ido Flaisher Defensive Rebound.,9,7
9:40,254,Foul on Sedrick Barefield.,9,7
9:40,62,Larry Lewis Jr. made Free Throw.,9,8
9:40,62,Larry Lewis Jr. missed Free Throw.,9,8
9:40,254,Tyler Rawson Defensive Rebound.,9,8
9:21,254,David Collette missed Jumper.,9,8
9:21,254,Tyler Rawson Offensive Rebound.,9,8
9:19,254,Tyler Rawson made Jumper.,11,8
8:51,62,Matthew Owies missed Jumper.,11,8
8:51,254,Devon Daniels Block.,11,8
8:48,254,JoJo Zamora Defensive Rebound.,11,8
8:38,254,David Collette Turnover.,11,8
8:27,62,Leland Green missed Three Point Jumper.,11,8
8:27,62,Noah Allen Offensive Rebound.,11,8
8:24,62,Noah Allen Turnover.,11,8
8:06,62,Foul on Gibson Johnson.,11,8
8:06,254,Tyler Rawson made Free Throw.,12,8
8:06,254,Tyler Rawson made Free Throw.,13,8
7:57,62,Noah Allen missed Jumper.,13,8
7:57,254,Devon Daniels Defensive Rebound.,13,8
7:50,62,Foul on Brocke Stepteau.,13,8
7:49,62,Official TV Timeout,13,8
7:49,254,Devon Daniels missed Free Throw.,13,8
