Eastern Michigan,221,Pittsburgh,2199
time,team_id,description,h_score,a_score
19:49,221,Michael Young made Jumper. Assisted by Chris Jones.,0,2
19:35,2199,James Thompson IV made Layup. Assisted by Tim Bond.,2,2
19:06,221,Cameron Johnson missed Three Point Jumper.,2,2
19:06,2199,Nick Madray Defensive Rebound.,2,2
18:42,2199,Nick Madray missed Three Point Jumper.,2,2
18:42,221,Chris Jones Defensive Rebound.,2,2
18:28,221,Michael Young made Jumper. Assisted by Jamel Artis.,2,4
17:59,2199,Tim Bond missed Jumper.,2,4
17:59,221,Michael Young Defensive Rebound.,2,4
17:52,221,Chris Jones made Layup. Assisted by Michael Young.,2,6
17:51,2199,Foul on Ty Toney.,2,6
17:51,221,Chris Jones missed Free Throw.,2,6
17:51,2199,James Thompson IV Defensive Rebound.,2,6
17:42,2199,Ray Lee missed Layup.,2,6
17:42,2199,James Thompson IV Offensive Rebound.,2,6
17:38,2199,James Thompson IV made Two Point Tip Shot.,4,6
17:24,221,Jamel Artis missed Jumper.,4,6
17:24,2199,James Thompson IV Defensive Rebound.,4,6
17:15,221,Foul on Cameron Johnson.,4,6
17:02,2199,Tim Bond made Layup. Assisted by James Thompson IV.,6,6
16:34,221,Cameron Johnson missed Three Point Jumper.,6,6
16:34,2199,James Thompson IV Defensive Rebound.,6,6
16:30,221,Foul on Jamel Artis.,6,6
16:14,2199,Ray Lee Turnover.,6,6
16:12,221,Sheldon Jeter Steal.,6,6
16:10,221,Sheldon Jeter Turnover.,6,6
16:08,2199,Willie Mangum IV Steal.,6,6
16:05,2199,Willie Mangum IV Turnover.,6,6
16:02,221,Chris Jones missed Dunk.,6,6
16:02,2199,Willie Mangum IV Defensive Rebound.,6,6
15:58,2199,Willie Mangum IV missed Layup.,6,6
15:58,221,Sheldon Jeter Defensive Rebound.,6,6
15:52,221,Jamel Artis missed Three Point Jumper.,6,6
15:52,2199,James Thompson IV Defensive Rebound.,6,6
15:41,221,Foul on Sheldon Jeter.,6,6
15:41,221,Official TV Timeout,6,6
15:14,2199,James Thompson IV missed Layup.,6,6
15:14,221,Chris Jones Defensive Rebound.,6,6
14:52,221,Jamel Artis made Three Point Jumper. Assisted by Chris Jones.,6,9
14:34,2199,Tim Bond missed Jumper.,6,9
14:34,221,Michael Young Defensive Rebound.,6,9
14:26,221,Michael Young Turnover.,6,9
14:25,2199,Ray Lee Steal.,6,9
14:24,2199,Ray Lee missed Layup.,6,9
14:24,2199,Willie Mangum IV Offensive Rebound.,6,9
14:21,2199,Willie Mangum IV made Two Point Tip Shot.,8,9
13:57,221,Cameron Johnson missed Three Point Jumper.,8,9
13:57,221,Jamel Artis Offensive Rebound.,8,9
13:54,2199,Foul on Tim Bond.,8,9
13:45,221,Ryan Luther made Layup. Assisted by Michael Young.,8,11
13:31,2199,Ty Toney made Layup.,10,11
13:24,221,Cameron Johnson made Layup.,10,13
12:59,2199,Willie Mangum IV missed Jumper.,10,13
12:59,221,Michael Young Defensive Rebound.,10,13
12:52,221,Jamel Artis made Three Point Jumper. Assisted by Michael Young.,10,16
12:30,2199,Ty Toney Turnover.,10,16
12:22,221,Cameron Johnson Turnover.,10,16
