Houston Baptist,2641,Texas Tech,2277
time,team_id,description,h_score,a_score
19:19,2277,Atif Russell missed Three Point Jumper.,0,0
19:19,2277,Braxton Bonds Offensive Rebound.,0,0
19:10,2277,Foul on Braxton Bonds.,0,0
19:10,2277,Reveal Chukwujekwu missed Jumper.,0,0
19:10,2641,Aaron Ross Defensive Rebound.,0,0
19:00,2641,Keenan Evans made Dunk.,0,2
18:40,2277,Atif Russell missed Jumper.,0,2
18:40,2641,Zach Smith Block.,0,2
18:40,2277,Houston Baptist Offensive Rebound.,0,2
18:23,2277,Reveal Chukwujekwu missed Jumper.,0,2
18:23,2277,Houston Baptist Deadball Team Rebound.,0,2
18:23,2277,Houston Baptist  Turnover.,0,2
18:08,2277,Foul on Josh Ibarra.,0,2
18:08,2641,Shadell Millinghaus missed Free Throw.,0,2
18:08,2641,Texas Tech Deadball Team Rebound.,0,2
18:08,2641,Shadell Millinghaus made Free Throw.,0,3
18:00,2641,Foul on Zach Smith.,0,3
18:00,2277,Josh Ibarra missed Free Throw.,0,3
18:00,2277,Houston Baptist Deadball Team Rebound.,0,3
18:00,2277,Josh Ibarra made Free Throw.,1,3
17:44,2641,Aaron Ross missed Three Point Jumper.,1,3
17:44,2277,Josh Ibarra Defensive Rebound.,1,3
17:31,2277,Colter Lasher missed Three Point Jumper.,1,3
17:31,2277,Josh Ibarra Offensive Rebound.,1,3
17:31,2277,Josh Ibarra made Layup.,3,3
17:17,2641,Justin Gray made Jumper. Assisted by Anthony Livingston.,3,5
16:58,2277,Braxton Bonds Turnover.,3,5
16:58,2641,Keenan Evans Steal.,3,5
16:55,2277,Foul on Braxton Bonds.,3,5
16:44,2641,Devon Thomas Turnover.,3,5
16:34,2277,Reveal Chukwujekwu Turnover.,3,5
16:16,2641,Keenan Evans Turnover.,3,5
16:02,2277,Jalen Weber made Three Point Jumper.,6,5
15:45,2277,Foul on Atif Russell.,6,5
15:41,2641,Aaron Ross made Three Point Jumper. Assisted by Justin Gray.,6,8
15:33,2277,Atif Russell made Jumper.,8,8
15:26,2277,Foul on Cody Stetler.,8,8
15:26,2641,Zach Smith made Free Throw.,8,9
15:26,2641,Zach Smith made Free Throw.,8,10
