Ball State,139,Saint Louis,2050
time,team_id,description,h_score,a_score
19:42,2050,Sean Sellers Turnover.,0,0
19:40,139,Jermaine Bishop Steal.,0,0
19:37,139,Davell Roby Turnover.,0,0
19:22,2050,Franko House made Jumper.,2,0
19:01,139,Davell Roby made Layup. Assisted by Mike Crawford.,2,2
18:55,2050,Tayler Persons Turnover.,2,2
18:23,139,Saint Louis  Turnover.,2,2
18:08,2050,Francis Kiapway missed Jumper.,2,2
18:08,139,Reggie Agbeko Defensive Rebound.,2,2
17:48,139,Davell Roby missed Jumper.,2,2
17:48,2050,Francis Kiapway Defensive Rebound.,2,2
17:32,139,Foul on Elliott Welmer.,2,2
17:21,2050,Franko House made Three Point Jumper. Assisted by Sean Sellers.,5,2
17:04,139,Foul on Austin Gillmann.,5,2
17:04,139,Austin Gillmann Turnover.,5,2
16:51,2050,Franko House made Three Point Jumper. Assisted by Sean Sellers.,8,2
16:31,139,Reggie Agbeko missed Jumper.,8,2
16:31,2050,Franko House Defensive Rebound.,8,2
16:20,2050,Tayler Persons made Three Point Jumper. Assisted by Franko House.,11,2
16:18,139,Saint Louis  Timeout,11,2
16:18,139,Official TV Timeout,11,2
16:05,139,Reggie Agbeko Turnover.,11,2
15:53,139,Foul on Austin Gillmann.,11,2
15:46,2050,Tayler Persons made Jumper.,13,2
15:32,139,Reggie Agbeko Turnover.,13,2
15:30,2050,Tahjai Teague Steal.,13,2
15:26,2050,Tahjai Teague Turnover.,13,2
15:17,2050,Foul on Ryan Weber.,13,2
15:17,139,Davell Roby made Free Throw.,13,3
15:17,139,Davell Roby missed Free Throw.,13,3
15:17,2050,Tahjai Teague Defensive Rebound.,13,3
14:56,2050,Franko House made Layup. Assisted by Tahjai Teague.,15,3
14:42,139,Davell Roby made Jumper.,15,5
14:18,139,Foul on Davell Roby.,15,5
14:07,2050,Tahjai Teague Turnover.,15,5
13:47,139,Jermaine Bishop missed Jumper.,15,5
13:47,2050,Tahjai Teague Defensive Rebound.,15,5
13:38,2050,Tayler Persons missed Layup.,15,5
13:38,139,Elliott Welmer Block.,15,5
13:36,139,Jalen Johnson Defensive Rebound.,15,5
13:22,2050,Foul on Sean Sellers.,15,5
13:09,2050,Foul on Trey Moses.,15,5
13:09,139,Mike Crawford missed Free Throw.,15,5
13:09,139,Saint Louis Deadball Team Rebound.,15,5
13:09,139,Mike Crawford made Free Throw.,15,6
12:53,2050,Trey Moses missed Jumper.,15,6
12:53,139,Elliott Welmer Block.,15,6
12:51,139,Elliott Welmer Defensive Rebound.,15,6
12:31,2050,Foul on Ryan Weber.,15,6
12:31,139,Zeke Moore missed Free Throw.,15,6
12:31,139,Saint Louis Deadball Team Rebound.,15,6
12:31,139,Zeke Moore missed Free Throw.,15,6
12:31,2050,Trey Moses Defensive Rebound.,15,6
12:17,2050,Tahjai Teague made Layup. Assisted by Trey Moses.,17,6
12:06,139,Aaron Hines Turnover.,17,6
12:05,2050,Tahjai Teague Steal.,17,6
12:01,2050,Tayler Persons made Three Point Jumper. Assisted by Francis Kiapway.,20,6
11:36,139,Elliott Welmer made Three Point Jumper. Assisted by Jermaine Bishop.,20,9
11:19,2050,Francis Kiapway Turnover.,20,9
11:18,139,Jalen Johnson Steal.,20,9
11:15,139,Foul on Zeke Moore.,20,9
11:15,139,Zeke Moore Turnover.,20,9
11:15,139,Official TV Timeout,20,9
10:51,2050,Franko House missed Jumper.,20,9
10:51,2050,Ball State Offensive Rebound.,20,9
10:48,139,Foul on Reggie Agbeko.,20,9
10:48,2050,Sean Sellers missed Three Point Jumper.,20,9
10:48,2050,Kyle Mallers Offensive Rebound.,20,9
10:42,2050,Francis Kiapway made Three Point Jumper. Assisted by Kyle Mallers.,23,9
10:08,139,Reggie Agbeko Turnover.,23,9
9:49,2050,Kyle Mallers missed Three Point Jumper.,23,9
9:49,139,Davell Roby Defensive Rebound.,23,9
9:35,139,Reggie Agbeko missed Layup.,23,9
9:35,2050,Kyle Mallers Defensive Rebound.,23,9
9:24,2050,Francis Kiapway missed Layup.,23,9
9:24,139,Elliott Welmer Block.,23,9
9:23,139,Jermaine Bishop Defensive Rebound.,23,9
9:20,139,Mike Crawford missed Three Point Jumper.,23,9
9:20,2050,Franko House Defensive Rebound.,23,9
9:09,2050,Franko House Turnover.,23,9
8:59,139,Elliott Welmer missed Three Point Jumper.,23,9
8:59,2050,Doudou Gueye Defensive Rebound.,23,9
8:35,2050,Doudou Gueye missed Jumper.,23,9
8:35,139,Elliott Welmer Defensive Rebound.,23,9
8:27,2050,Foul on Franko House.,23,9
8:27,139,Jermaine Bishop missed Free Throw.,23,9
8:27,139,Saint Louis Deadball Team Rebound.,23,9
8:27,139,Jermaine Bishop made Free Throw.,23,10
